t,o,c,h,l,v
1231282800,7.5,7.3,8,7.3,43560
1231369200,7.05,7.16,7.16,7.03,4084
1231455600,0,7.16,7.16,7.16,0
1231714800,7.11,7.19,7.62,7.11,1839
1231801200,7.02,7.59,7.59,7.02,3278
1231887600,7.59,7.69,7.79,7.25,16707
1231974000,7.4,7.4,7.4,7.4,648
1232060400,7.22,7.3,7.58,7.22,1198
1232319600,7.74,7.74,7.74,7.74,1
1232406000,7.2,7.44,7.44,7.06,879
1232492400,7.45,7.15,7.45,7.15,301
1232578800,7.1,7.3,7.3,7.1,363
1232665200,7.43,7.4,7.43,7.01,352
1232924400,7.43,6.98,7.43,6.88,3184
1233010800,6.98,6.94,6.98,6.83,1143
1233097200,6.98,6.98,6.98,6.98,10
1233183600,6.9,6.9,6.9,6.9,1056
1233270000,6.82,6.8,6.82,6.74,1931
1233529200,6.9,6.29,6.9,5.91,7054
1233615600,6.3,6,6.3,6,1033
1233702000,6,5.82,6,5.7,2694
1233788400,5.4,5.74,5.9,5.1,14111
1233874800,5.74,6.13,6.89,5.74,3799
1234134000,5.8,6.17,6.17,5.8,3810
1234220400,6.32,6.53,6.53,6,10491
1234306800,6.68,6.54,6.89,6.5,7357
1234393200,6.7,6.7,6.7,6.7,323
1234479600,6.7,6.77,6.77,6.7,438
1234738800,6.6,6,6.7,6,3301
1234825200,5.8,5.42,5.8,5.42,5210
1234911600,5.29,5.28,5.29,5.18,4727
1234998000,5.41,5.39,5.41,5.39,933
1235084400,5.39,5.39,5.39,5.39,10
1235343600,5.15,5.37,5.37,5.15,1290
1235430000,5.39,5.9,5.9,4.86,16481
1235516400,5.74,6,6.4,5.74,2884
1235602800,6.05,6.29,6.29,6.05,7250
1235689200,6,6.2,6.2,6,1378
1235948400,6.07,6.04,6.07,6.04,632
1236034800,5.8,5.78,5.92,5.69,12430
1236121200,5.64,5.99,5.99,5.64,870
1236207600,6.03,6.25,6.25,5.9,2056
1236294000,6.1,6.25,6.25,5.7,13805
1236553200,5.9,5.9,5.9,5.9,1
1236639600,5.91,5.91,5.91,5.91,380
1236726000,5.91,6,6,5.91,6
1236812400,5.91,6,6,5.91,619
1236898800,5.9,6.79,6.79,5.9,6098
1237158000,6.12,6.4,6.55,6.12,2048
1237244400,6.79,6.6,6.79,6.6,379
1237330800,6.79,6.75,6.79,6.72,1021
1237417200,6.73,6.9,6.9,6.73,101
1237503600,6.98,6.98,6.98,6.98,30
1237762800,7.05,7.4,7.4,6.95,1357
1237849200,7.43,7.4,7.47,7.4,874
1237935600,7.5,7.35,7.5,7.35,333
1238022000,7.7,7.7,7.7,7.7,2
1238108400,7.7,7.6,7.7,7.6,52
1238364000,7.6,7.6,7.6,7.6,2
1238450400,7.6,7.6,7.6,7.6,2
1238536800,7.6,7.2,7.6,7.2,2
1238623200,7.3,7.7,7.7,7.3,363
1238709600,7.6,7.7,7.7,7.3,2291
1238968800,7.7,7.73,7.88,7.7,3765
1239055200,7.8,7.8,7.9,7.78,3424
1239141600,7.8,7.9,7.9,7.74,6169
1239228000,7.95,8.3,8.3,7.9,9453
1239660000,8.3,7.95,8.3,7.95,3745
1239746400,7.9,7.99,7.99,7.9,3634
1239832800,7.83,8.29,8.3,7.83,6387
1239919200,8.09,8.3,8.3,8.09,295
1240178400,8.25,7.85,8.25,7.8,2545
1240264800,7.86,7.9,8.1,7.86,669
1240351200,7.9,8.55,8.55,7.9,7055
1240437600,8.6,9.06,9.11,8.6,7952
1240524000,9.19,9.35,9.38,9.06,5175
1240783200,9.4,9.05,9.4,8.6,2539
1240869600,9.44,11.5,12.39,9.44,31994
1240956000,12.88,11.97,12.88,11.5,43773
1241042400,11.99,11.8,11.99,11.5,14860
1241388000,11.99,11.8,11.99,11.6,8564
1241474400,12.01,12,12.19,12,4027
1241560800,12,11.95,12,11.95,3454
1241647200,11.96,11.8,11.96,11.5,8466
1241733600,11.51,11.64,11.68,11.51,7712
1241992800,11.79,12.1,12.1,11.79,19190
1242079200,12.1,12,12.38,12,2628
1242165600,12,11.45,12,11.45,6151
1242252000,11.4,11.4,11.4,11.4,100
1242338400,11.51,11.1,11.51,11.1,3594
1242597600,11.35,11.5,11.79,11.35,1677
1242684000,11.8,11.8,11.84,11.8,1500
1242770400,12,12,12,11.97,8247
1242856800,11.7,12.08,12.09,11.51,27001
1242943200,12.08,12.1,12.1,11.85,8966
1243202400,12.24,12.1,12.24,12,2733
1243288800,11.86,12.19,12.2,11.86,36316
1243375200,12.22,12.02,12.22,12.02,1873
1243461600,12,12.03,12.03,12,16519
1243548000,12.12,12.15,12.15,12.05,1470
1243807200,12.15,12.5,12.8,12.1,7788
