t,o,c,h,l,v
1408485600,9,9.08,9.15,8.61,294
1408572000,8.51,8.99,9.07,8.51,702
1408658400,8.81,8.98,8.99,8.54,1857
1408917600,8.99,8.95,8.99,8.56,236
1409004000,8.9,8.93,8.93,8.8,6110
1409090400,8.71,8.69,8.93,8.5,6635
1409176800,8.93,8.85,8.93,8.51,1302
1409263200,8.51,8.83,8.88,8.51,1400
1409522400,8.5,8.55,8.6,8.4,4103
1409608800,8.5,8.49,8.75,8.42,5475
1409695200,8.55,8.58,8.58,8.3,8984
1409781600,8.41,8.89,8.89,8.41,3015
1409868000,8.75,8.74,8.88,8.65,2417
1410127200,8.74,8.8,8.87,8.7,8286
1410213600,8.86,8.8,8.95,8.7,54782
1410300000,8.75,8.95,8.95,8.75,2042
1410386400,8.94,8.9,8.94,8.74,4403
1410472800,8.89,8.89,8.89,8.8,3405
1410732000,8.77,8.86,8.87,8.75,1959
1410818400,8.8,8.85,8.85,8.71,30658
1410904800,8.85,8.9,8.9,8.85,203
1410991200,8.85,9.09,9.09,8.75,4505
1411077600,9,9.12,9.12,8.8,932
1411336800,9,9.19,9.2,9,667
1411423200,9.18,9.19,9.19,9.02,744
1411509600,9.19,9.18,9.19,8.87,1751
1411596000,9.17,9.18,9.26,9,17573
1411682400,9.29,9.2,9.29,9.05,858
1411941600,9.23,9.24,9.25,9.23,327
1412028000,9.24,9.19,9.28,9.08,52913
1412114400,9.2,9.18,9.22,9.02,7144
1412200800,9.15,9.28,9.29,9.01,863
1412287200,9.29,9.28,9.29,9.28,1021
1412546400,9.29,9.29,9.29,9.29,44
1412632800,9.29,9.28,9.29,9.15,473
1412719200,9.2,9.28,9.28,9.15,667
1412805600,9.28,9.27,9.28,9.05,878
1412892000,9.26,9.26,9.26,9.2,262
1413151200,9.2,9.2,9.26,9.07,2301
1413237600,9.25,9.18,9.25,9.1,3720
1413324000,9.09,9.15,9.15,9.05,1049
1413410400,9.24,9.15,9.24,9.14,1789
1413496800,9.15,9.14,9.15,9.05,1140
1413756000,9.1,9.17,9.2,9.1,30528
1413842400,9.25,9.19,9.25,9.1,383
1413928800,9.22,9.25,9.25,9.1,21111
1414015200,9.25,9.26,9.26,9.1,9889
1414101600,9.25,9.25,9.25,9.25,12
1414364400,9.2,9.2,9.2,9.1,55502
1414450800,9.24,9.26,9.26,9.24,1195
1414537200,9.23,9.09,9.23,8.91,23831
1414623600,9.26,9.01,9.26,8.95,24495
1414710000,8.95,9.15,9.25,8.95,18321
1414969200,9.13,9.13,9.13,9.13,10
1415055600,9.13,9.23,9.24,8.95,3574
1415142000,9.13,9.24,9.24,9.13,308
1415228400,9,9.45,9.48,9,12024
1415314800,9.48,9.48,9.48,9.48,15
1415574000,9.35,9.44,9.45,9.35,771
1415746800,9.4,9.4,9.44,9.4,1551
1415833200,9.4,9.39,9.4,9.39,168
1415919600,9.4,9.25,9.4,9.25,1618
1416178800,9.39,9.2,9.39,9.09,571
1416265200,9.36,9.37,9.37,9.25,124
1416351600,9.25,9.35,9.37,9.25,381
1416438000,9.35,9.29,9.35,9.2,46
1416524400,9.3,9.07,9.3,9.07,1862
1416783600,9.2,9.3,9.3,9.1,399
1416870000,9.2,9.2,9.2,9.2,200
1416956400,9.1,9,9.29,9,14659
1417042800,9.1,9.36,9.36,9.01,2241
1417129200,9.3,9.36,9.37,9.3,3460
1417388400,9.35,9.2,9.35,9.13,43939
1417474800,9.19,9.35,9.36,9.18,17364
1417561200,9.35,9.29,9.35,9.25,5147
1417647600,9.29,9.2,9.29,9.14,208536
1417734000,9.06,9.3,9.3,9.06,33322
1417993200,9.29,9.29,9.29,9.2,2067
1418079600,9.19,9.28,9.28,9.15,5278
1418166000,9.15,9.28,9.28,9.15,351
1418252400,9.2,9.28,9.28,9.16,3822
1418338800,9.27,9.27,9.27,9.25,1140
1418598000,9.25,9.2,9.25,9.17,120038
1418684400,9.17,9.17,9.17,9.05,28375
1418770800,9.12,9.26,9.26,9.12,2350
1418857200,9.12,9.22,9.24,9.1,1571
1418943600,9.21,9.18,9.21,9.12,9275
1419202800,9.11,9.16,9.19,9.11,5716
1419289200,9.1,9.14,9.23,9.1,13975
1419807600,9.14,9.23,9.23,9.14,1104
1419894000,9.15,9.25,9.25,9.15,1088
1420153200,9.2,9.25,9.25,9.2,1072
1420412400,9.27,9.43,9.43,9.24,1559
1420585200,9.16,9.39,9.4,9.16,515
1420671600,9.37,9.37,9.37,9.16,2295
1420758000,9.35,9.3,9.35,9.22,3207
1421017200,9.3,9.23,9.3,9.16,2754
1421103600,9.23,9.24,9.25,9.1,74241
1421190000,9.12,9.19,9.2,9.05,9379
1421276400,9.2,9.18,9.2,9.1,69733
1421362800,9.12,8.8,9.19,8.79,207733
1421622000,8.98,9.08,9.08,8.83,8292
1421708400,9.08,9.1,9.29,9.02,129569
1421794800,9.12,9,9.16,9,232624
1421881200,9,9.1,9.19,9,117048
1421967600,9.1,9.1,9.19,9,8284
1422226800,9.1,9.11,9.13,9.1,3387
1422313200,9.15,9.18,9.19,9.13,677
1422399600,9.2,9.12,9.23,9.12,20778
1422486000,9.1,9.1,9.1,9.04,2863
