t,o,c,h,l,v
1306447200,62.5,61.25,63.6,60.65,581978
1306706400,61.35,60.9,61.35,60.55,74852
1306792800,60.85,60.7,61,60.6,60048
1306879200,60.6,60.15,60.6,60.05,42566
1306965600,60,60.15,60.15,59.9,67107
1307052000,60.1,60.45,60.45,60,36239
1307311200,60.45,60,60.45,60,52013
1307397600,60,60.2,60.2,60,15324
1307484000,60.1,60.2,60.2,60,51429
1307570400,60,60,60.15,59.95,110286
1307656800,60,59.95,60,59.9,140854
1307916000,60,60,60,59.9,102035
1308002400,60,59.95,60,59.8,38276
1308088800,59.55,59.65,59.85,59.5,30301
1308175200,59.65,59.2,59.65,59.15,54420
1308261600,59.1,59.05,59.2,58.85,54277
1308520800,58.4,59.5,59.5,58.4,59019
1308607200,59.05,59.1,59.4,59,27833
1308693600,58.6,59,59.1,58.6,20281
1308866400,58.35,59,59.1,58.3,20158
1309125600,58.55,58.4,58.6,58.3,19596
1309212000,58.1,58.5,58.55,58,22135
1309298400,58.4,58.7,59.1,58.4,8880
1309384800,59,59.1,59.1,58.65,6154
1309471200,59,59.05,59.1,58.6,18115
1309730400,58.8,59,59,58.65,6536
1309816800,58.6,59.1,59.3,58.6,42263
1309903200,58.65,58.65,58.9,58.6,8256
1309989600,58.6,58.45,58.65,58.25,23946
1310076000,58.45,58.45,58.5,58.25,12322
1310335200,58.15,58.3,58.4,58.1,7055
1310421600,58,57.8,58,57.4,31291
1310508000,57.4,58,58,57.35,14255
1310594400,57.35,57.75,57.9,57.35,4706
1310680800,57.4,57.5,57.55,57.35,6035
1310940000,57.25,57.2,57.45,56.95,12406
1311026400,56.6,56.75,57,56.15,10313
1311112800,56.15,56.9,56.9,56.15,8252
1311199200,56.8,56.5,56.8,56.3,25558
1311285600,56.2,56.85,56.9,56.1,6044
1311544800,56.85,57.35,57.35,56.5,8507
1311631200,57.3,57,57.3,56.65,3912
1311717600,56.8,56.8,56.8,56.2,4072
1311804000,56.05,56,56.15,55.55,5358
1311890400,55.55,55.6,56,55.55,5110
1312149600,55.6,55.8,56.4,55.5,6881
1312236000,55.5,55.05,55.7,55,4778
1312322400,54.95,53.4,54.95,52.25,12061
1312408800,52.55,51.7,53,51,18042
1312495200,49.9,50.5,50.95,48.55,34525
1312754400,47.9,48.11,49,47.25,44571
1312840800,46.1,44.82,48,42.5,32821
1312927200,45,46,47.9,44.85,27767
1313013600,46,46.9,47.1,44.56,14699
1313100000,47.5,48.5,49,47.03,6240
1313445600,49.3,49.48,49.49,48.92,3864
1313532000,49.1,49.5,49.51,48.11,4350
1313618400,49,47.21,49,47,11023
1313704800,45.7,47.18,47.2,45.1,3936
1313964000,45.5,47.88,48.45,45.5,2619
1314050400,48,48.6,49,47.25,3743
1314136800,48.6,48.5,48.6,47.4,1605
1314223200,47.55,47.83,48.68,47.51,3112
1314309600,47.5,47.99,48,47.01,1637
1314568800,47.99,48.49,48.49,47.92,3305
1314655200,48.5,47.84,48.98,47.7,3591
1314741600,47.62,48.2,48.8,47.56,4238
1314828000,48,48.49,48.85,47.6,4323
1314914400,48.38,47.95,48.38,46.5,2688
1315173600,46.35,45.56,46.8,45.55,1922
1315260000,45.12,46.93,46.95,45,3205
1315346400,46.8,47,47,45.6,6981
1315432800,46.02,46.42,46.47,45.91,12784
1315519200,46,45.75,46.33,45.01,71803
1315778400,45.46,44.5,45.46,42.5,5857
1315864800,43.71,43.8,44.44,43,4344
1315951200,43.16,43,43.7,42.56,4374
1316037600,42.95,43.79,44,42.5,5552
1316124000,43.82,43.52,44,43.5,2701
1316383200,43.5,42,43.5,40.6,9498
1316469600,41.98,42.89,42.89,41.28,3907
1316556000,42.15,42.25,42.5,42.15,5022
1316642400,41.99,41.2,41.99,40.5,6238
