t,o,c,h,l,v
1279663200,8.05,7.9,8.1,7.9,809
1279749600,7.9,7.9,7.9,7.9,250
1279836000,7.98,7.95,7.98,7.95,110
1280095200,7.98,7.98,7.98,7.98,370
1280181600,7.96,7.96,7.96,7.9,170
1280268000,7.96,7.9,7.96,7.85,1711
1280354400,7.85,7.9,7.98,7.75,11183
1280440800,7.9,7.98,7.98,7.8,2905
1280700000,7.99,7.77,7.99,7.77,3235
1280786400,7.77,7.85,7.85,7.75,790
1280872800,7.77,7.8,7.8,7.77,20
1280959200,7.8,7.8,7.8,7.8,24
1281045600,7.75,7.8,7.8,7.6,950
1281304800,7.75,7.75,7.75,7.75,500
1281391200,7.71,8.7,8.7,7.71,9834
1281477600,8.3,8.9,8.9,8.15,620
1281564000,8.8,8.8,8.8,8.8,610
1281650400,8.5,8.4,8.5,8.11,3023
1281909600,8.2,8.13,8.6,8.13,1500
1281996000,8.1,8.05,8.1,8.05,3464
1282082400,8,8.15,8.15,8,1015
1282168800,8.18,8.15,8.45,8.15,5910
1282255200,8.15,8.15,8.15,8.15,22
1282514400,8.2,8.33,8.33,8.2,476
1282600800,8.34,8.25,8.34,8.25,2660
1282687200,8.2,8.2,8.33,8.2,1341
1282773600,8.33,8.88,8.88,8.23,5920
1282860000,8.88,9.2,9.4,8.85,5367
1283119200,9.24,9,9.24,9,2680
1283205600,9.23,9.1,9.23,9.1,720
1283292000,9.2,9.23,9.23,9.2,290
1283378400,9.2,9.2,9.2,9.2,10
1283464800,9.1,9.1,9.1,8.9,750
1283724000,9.1,9.1,9.15,9.1,245
1283810400,9.1,9,9.1,9,240
1283896800,9.1,9.15,9.15,9,680
1283983200,9.17,9.25,9.28,9.1,1760
1284069600,9.25,9.1,9.3,9.1,2230
1284328800,9.06,9.07,9.07,9.06,250
1284415200,9.06,9.27,9.27,9.06,110
1284501600,9.28,9.11,9.28,9.11,1085
1284588000,9.06,9.06,9.06,9.06,10
1284674400,9.11,9.1,9.2,9.1,1080
1284933600,9.16,9.18,9.2,9.12,440
1285020000,9.18,9.15,9.18,8.95,350
1285106400,9.2,9.18,9.2,9.18,16
1285192800,9.18,9.18,9.18,9.18,5
1285279200,9.18,9.18,9.2,9.1,2488
1285538400,9.18,9,9.18,8.9,248
1285624800,9,8.98,9,8.5,600
1285711200,8.8,9.1,9.1,8.8,321
1285797600,9.15,9.18,9.18,9.1,421
1285884000,9.18,9.15,9.18,9,171
1286143200,9.16,9.05,9.16,9,580
1286229600,9.16,9.03,9.16,9.03,392
1286316000,9.16,9.05,9.16,9.05,60
1286402400,9.15,9.05,9.15,9.05,60
