t,o,c,h,l,v
1427839200,7.35,6.67,7.99,6.6,14054
1427925600,7.3,7.98,8.64,7.3,14420
1428357600,9,8.17,9,8.09,2186
1428444000,8.4,8.4,8.4,8.37,2228
1428530400,8.2,8.2,8.2,8.2,380
1428616800,8.01,8,8.01,8,541
1428876000,8,7.97,8,7.97,499
1428962400,7.65,7.65,7.65,7.65,330
1429048800,7.32,7.7,7.7,7.32,590
1429135200,7.98,7.98,7.98,7.98,10
1429221600,7.9,7.84,7.9,7.84,345
1429480800,7.53,7.99,7.99,7.53,2522
1429567200,0,7.99,7.99,7.99,0
1429653600,7.8,7.8,7.8,7.8,2060
1429740000,7.8,7.8,7.8,7.8,300
1429826400,7.85,7.85,7.85,7.85,91
1430085600,7.93,7.93,7.93,7.93,320
1430172000,7.9,7.9,7.9,7.9,320
1430258400,7.51,7.5,7.51,7.5,4620
1430344800,0,7.5,7.5,7.5,0
1430690400,0,7.5,7.5,7.5,0
1430776800,7.89,7.89,7.89,7.89,107
1430863200,0,7.89,7.89,7.89,0
1430949600,7.85,7.5,7.85,7.5,1231
1431036000,7.5,7.5,7.5,7.5,6155
1431295200,7.95,7.95,7.95,7.95,702
1431381600,0,7.95,7.95,7.95,0
1431468000,0,7.95,7.95,7.95,0
1431554400,7.82,8.4,8.4,7.82,5226
1431640800,8.7,8.97,8.97,8.69,648
1431900000,9,8.77,9,8.18,710
1431986400,8.77,8.4,8.77,8.4,500
1432072800,0,8.4,8.4,8.4,0
1432159200,8.4,8.4,8.4,8.4,800
1432245600,8.4,8.4,8.4,8.4,520
1432504800,8.5,8.5,8.5,8.5,50
1432591200,8.5,8.3,8.5,8.3,350
1432677600,8.4,8.4,8.4,8.4,150
1432764000,0,8.4,8.4,8.4,0
1432850400,0,8.4,8.4,8.4,0
1433109600,8.49,8.49,8.49,8.49,24
1433196000,0,8.49,8.49,8.49,0
1433282400,8.33,8.3,8.33,8.3,1625
1433455200,8.01,8.01,8.01,8.01,74
1433714400,8.33,8.33,8.33,8.33,20
1433800800,0,8.33,8.33,8.33,0
1433887200,8.3,8.3,8.3,8.3,300
1433973600,8.4,8.59,8.59,8.4,179
1434060000,8.6,8.6,8.6,8.6,58
1434319200,8.3,8.54,8.54,8.3,330
1434405600,8.3,8.3,8.3,8.3,330
1434492000,8.03,8.03,8.03,8.03,750
1434578400,8.04,8.04,8.04,8.04,200
1434664800,0,8.04,8.04,8.04,0
1434924000,8.04,8.04,8.04,8.04,310
1435010400,0,8.04,8.04,8.04,0
1435096800,8.05,8.04,8.05,8.02,1217
1435183200,7.91,8,8.31,7.91,660
1435269600,0,8,8,8,0
1435528800,7.95,7.92,7.95,7.91,2315
1435615200,0,7.92,7.92,7.92,0
1435701600,0,7.92,7.92,7.92,0
1435788000,0,7.92,7.92,7.92,0
1435874400,0,7.92,7.92,7.92,0
1436133600,0,7.92,7.92,7.92,0
1436220000,0,7.92,7.92,7.92,0
1436306400,0,7.92,7.92,7.92,0
1436392800,7.87,7.87,7.87,7.87,320
1436479200,0,7.87,7.87,7.87,0
1436738400,0,7.87,7.87,7.87,0
1436824800,7.88,8,8.01,7.87,6260
1436911200,0,8,8,8,0
1436997600,7.75,7.75,7.75,7.75,80
1437084000,0,7.75,7.75,7.75,0
1437343200,7.89,7.89,7.89,7.89,200
1437429600,0,7.89,7.89,7.89,0
1437516000,7.89,7.85,7.89,7.85,435
1437602400,8,8,8,8,1000
1437688800,7.85,8,8,7.85,800
1437948000,8.01,8.01,8.01,8.01,180
1438034400,8.01,8.01,8.01,8.01,2200
1438120800,0,8.01,8.01,8.01,0
