t,o,c,h,l,v
1112220000,4.27,4.29,4.42,4.27,551373
1112306400,4.33,4.3,4.36,4.21,362919
1112565600,4.3,4.26,4.33,4.22,126154
1112652000,4.28,4.3,4.3,4.28,115482
1112738400,4.29,4.28,4.31,4.2,106070
1112824800,4.28,4.3,4.35,4.25,100473
1113170400,4.27,4.26,4.29,4.24,315184
1113256800,4.27,4.26,4.27,4.24,87034
1113343200,4.29,4.29,4.33,4.26,75944
1113429600,4.29,4.2,4.29,4.2,103301
1113516000,4.19,4.08,4.19,4.02,124565
1113775200,4.05,3.9,4.06,3.9,379581
1113861600,3.93,4,4,3.75,158731
1113948000,4.04,3.99,4.06,3.92,61687
1114034400,3.92,4.08,4.08,3.92,72470
1114120800,4.1,4.03,4.15,3.98,79990
1114380000,4,3.98,4.07,3.97,55011
1114466400,4,3.98,4.04,3.96,84982
1114552800,3.99,3.94,3.99,3.93,118519
1114639200,3.95,3.99,4.03,3.94,32826
1114725600,4,4,4.06,3.97,115439
1114984800,4,4,4.02,3.98,124879
1115157600,4.01,4.02,4.03,4,21173
1115244000,4.06,4,4.06,3.95,60000
1115330400,4,4.08,4.08,4,113759
1115589600,4.05,4.06,4.09,4.03,12107
1115676000,4.04,4.05,4.05,4.03,39626
1115762400,4.04,4.06,4.06,4.03,24315
1115848800,4.06,4.06,4.08,4.04,108714
1115935200,4.08,4.05,4.09,4.03,222698
1116194400,4.08,4.05,4.08,4,39054
1116280800,4,3.97,4.02,3.8,228159
1116367200,4,4,4,3.95,99476
1116453600,4,4.02,4.05,3.98,291927
1116540000,4.04,4.04,4.06,4.01,136017
1116799200,4.03,4.16,4.38,4.03,517372
1116885600,4.26,4.13,4.26,4.07,126881
1116972000,4.19,4.16,4.28,4.16,104170
1117144800,4.19,4.2,4.23,4.18,65417
1117404000,4.22,4.2,4.24,4.15,100648
1117490400,4.2,4.19,4.2,4.17,53582
1117576800,4.2,4.15,4.2,4.14,51273
1117663200,4.15,4.22,4.27,4.13,190357
1117749600,4.26,4.25,4.27,4.2,107825
1118008800,4.29,4.51,4.55,4.25,475185
1118095200,4.69,4.69,4.73,4.5,942154
1118181600,4.68,4.9,5.1,4.6,1313976
1118268000,4.99,4.95,4.99,4.8,444682
1118354400,4.92,4.92,4.98,4.9,228342
1118613600,4.95,4.9,4.98,4.87,207224
1118700000,4.91,4.86,4.91,4.8,225363
1118786400,5.15,5.8,5.8,4.95,2259581
1118872800,6,5.95,6.6,5.85,2427494
1118959200,5.85,5.7,5.95,5.7,475559
1119218400,5.7,6.1,6.1,5.55,598242
1119304800,6.2,6.25,6.45,6.15,933892
1119391200,6.3,6.2,6.3,6.15,183483
1119477600,6.25,6.15,6.25,6,277260
1119564000,6.05,5.9,6.05,5.8,647289
1119823200,5.9,5.8,5.9,5.8,209890
1119909600,5.85,6.1,6.15,5.85,280257
1119996000,6.1,6.2,6.25,6.1,240937
1120082400,6.25,6.2,6.3,6.15,150944
1120168800,6.15,6.15,6.2,6,162268
1120428000,6.15,6.2,6.2,6.05,77686
1120514400,6.2,6.15,6.25,6.15,147066
1120600800,6.2,6.15,6.25,6.1,78251
1120687200,6.1,6.15,6.15,5.95,163452
1120773600,6.2,6.2,6.25,6.1,87085
1121032800,6.2,6.8,6.9,6.05,989122
1121119200,6.8,7.1,7.35,6.65,1028072
1121205600,7.05,7.15,7.3,6.9,552203
1121292000,7.2,7.1,7.2,7,463130
1121378400,7.2,7.1,7.2,7.05,303992
1121637600,7.1,7.2,7.25,7.05,269787
1121724000,7.4,7.65,7.65,7.3,927579
1121810400,7.65,7.2,7.85,7.1,1186379
1121896800,7.45,7.3,7.5,7.1,403238
1121983200,7.3,7.3,7.35,7.2,207011
1122242400,7.35,7.5,7.5,7.35,207464
1122328800,7.45,7.55,7.7,7.4,368775
1122415200,7.6,7.75,7.9,7.55,541018
1122501600,7.75,7.75,7.8,7.65,140623
1122588000,7.8,7.8,7.9,7.75,319881
1122847200,7.8,7.75,7.85,7.6,153147
1122933600,7.75,7.6,7.8,7.3,381481
1123020000,7.6,7.4,7.6,7.35,308088
1123106400,7.35,7.6,7.6,7.25,158699
1123192800,7.6,7.7,7.75,7.45,178436
1123452000,7.7,7.65,7.7,7.55,207390
1123538400,7.7,7.7,7.7,7.6,85889
1123624800,7.65,7.5,7.65,7.45,124751
1123711200,7.5,7.4,7.55,7.35,173502
1123797600,7.45,7.5,7.55,7.35,86236
1124143200,7.6,7.5,7.65,7.45,75971
1124229600,7.65,7.6,7.85,7.5,402159
1124316000,7.6,7.7,7.75,7.55,160819
1124402400,7.65,7.5,7.65,7.5,129171
1124661600,7.55,7.4,7.55,7.3,214935
1124748000,7.4,7.4,7.4,7.3,72712
1124834400,7.35,7.35,7.4,7.3,56559
1124920800,7.35,7.05,7.35,6.85,482027
1125007200,7,7.1,7.1,6.8,138731
1125266400,7.1,7.3,7.4,7.1,215623
1125352800,7.4,7.3,7.45,7.25,79378
1125439200,7.3,7.25,7.35,7.15,96852
1125525600,7.3,7.2,7.3,7.15,90093
1125612000,7.15,7.1,7.15,6.9,125877
1125871200,7.05,7.1,7.1,6.9,110528
1125957600,7.1,7.1,7.15,7.1,24894
1126044000,7.1,7.05,7.1,7,47980
1126130400,7.1,7.15,7.15,7,31975
1126216800,7.15,7.2,7.2,7.1,57152
1126476000,7.15,7.15,7.2,7.1,97724
1126562400,7.1,7.1,7.15,7.05,42770
1126648800,7.1,7.05,7.1,7,45708
1126735200,7.2,7.2,7.35,7.2,537754
1126821600,7.2,7.25,7.35,7.2,115039
1127080800,7.35,7.4,7.4,7.3,151840
1127167200,7.45,7.65,7.65,7.35,421200
1127253600,7.65,7.6,7.7,7.55,188557
1127340000,7.55,7.3,7.55,7.3,164728
1127426400,7.35,7.3,7.5,7.25,193063
1127685600,7.35,7.3,7.4,7.25,71513
1127772000,7.35,7.4,7.5,7.3,133370
1127858400,7.45,7.4,7.5,7.3,140488
1127944800,7.25,7.4,7.4,7.25,54716
1128031200,7.4,7.4,7.4,7.25,51212
1128290400,7.5,7.55,7.7,7.45,260734
1128376800,7.55,7.5,7.55,7.45,136157
1128463200,7.45,7.45,7.5,7.35,88739
1128549600,7.4,7.4,7.4,7.25,119220
1128636000,7.3,7.4,7.4,7.15,137236
1128895200,7.4,7.25,7.45,7.25,102428
1128981600,8.2,8.65,8.85,8.15,1953789
1129068000,8.85,8.85,8.95,8.65,913339
1129154400,8.8,8.4,8.8,8.4,350165
1129240800,8.3,8.6,8.65,8.05,292281
1129500000,8.7,9.35,9.45,8.7,792027
1129586400,9.5,9.25,9.55,9.2,428840
1129672800,9.2,9.85,10.05,9.1,1011364
1129759200,10.25,11.3,12,10.25,2047359
1129845600,11.75,12.3,12.6,11.7,1669586
1130104800,11.7,11.55,12.15,10.65,918311
1130191200,11.4,10.55,11.55,10.15,1142937
1130277600,10.25,10.25,10.75,10.15,676804
1130364000,9.9,9.35,9.95,9.3,856071
1130450400,9.15,10.55,10.7,9.1,1295067
1130713200,11.4,11.7,11.95,11.1,1324825
1130886000,12.3,11.35,12.4,11.15,1209127
1130972400,11.25,11.45,11.75,10.85,673227
1131058800,11.5,11.05,11.55,10.95,605275
1131318000,11.2,10.9,11.2,10.75,236212
1131404400,11.05,10.75,11.35,10.6,500519
1131490800,10.75,10.8,11,10.7,203290
1131577200,10.8,11.7,11.8,10.8,730057
1131922800,12,11.8,12.3,11.75,1078187
1132009200,11.85,11.7,11.95,11.65,277656
1132095600,11.7,11.3,11.7,11.2,280341
1132182000,11.3,11.15,11.7,11.15,520792
1132268400,11.2,11.05,11.4,10.9,732534
