t,o,c,h,l,v
1233788400,16.96,15,16.96,15,113
1233874800,16.96,15.3,16.96,15.3,102
1234134000,15.15,15.1,15.15,15.1,123
1234220400,16.1,15,16.1,15,695
1234306800,15,13.4,15,13.4,801
1234393200,13.66,12.5,13.66,12.5,442
1234479600,12.2,12.2,12.2,12.2,41
1234738800,13.35,12.78,13.35,12.78,612
1234825200,13.5,13.6,13.6,13.5,296
1234911600,13.35,13,13.52,13,73
1234998000,13.57,13.57,13.57,13.57,37
1235084400,13.9,13.9,13.9,13.9,2
1235343600,13.57,11.95,13.57,11.2,143
1235430000,12,11.69,12,11.69,230
1235516400,11.45,11.45,11.45,11.45,12
1235602800,11.71,11.32,11.71,11.32,798
1235689200,11.3,10.8,11.3,10.8,691
1235948400,11.71,11.03,11.71,11.03,88
1236034800,11.71,10.43,11.71,10.43,764
1236121200,10.74,9.55,10.74,9,2670
1236207600,10.54,9.5,10.54,9.5,553
1236294000,9.96,8,9.96,8,5894
1236553200,8.9,8.69,8.9,8.69,68
1236639600,8.5,8.5,8.7,8.2,1468
1236726000,9.3,8.46,9.4,8.31,6176
1236812400,8.3,9.38,10.23,8.3,5376
1236898800,10,9.2,10,9.2,1056
1237158000,9.5,9.48,9.5,8.56,1130
1237244400,9.3,10,10,9.3,368
1237330800,9.85,10.16,10.5,9.85,1022
1237417200,9,12.5,12.5,9,3399
1237503600,12,12.5,12.5,11.69,663
1237762800,12.5,13.5,13.5,11.3,5871
1237849200,14.4,13,14.4,13,1208
1237935600,12,12.2,12.2,11.52,995
1238022000,12.25,13.18,13.18,12.25,338
1238108400,13.15,12.91,13.15,12.91,665
1238364000,12.9,12.79,13.3,12.79,155
1238450400,11.7,13.13,13.13,11.7,201
1238536800,13.64,13.49,13.64,13.49,135
1238623200,11.9,11.9,12.35,10.6,4476
1238709600,12.05,12,13.08,11.9,4068
1238968800,12.51,12.64,12.64,12.35,1652
1239055200,13.2,12.69,13.2,12.69,164
1239141600,12.75,12.1,12.75,12,658
1239228000,12.01,11.65,12.01,11.1,8699
1239660000,12.2,11.7,12.2,11.46,2684
1239746400,11.99,11.7,11.99,11.4,4569
1239832800,11.6,12.8,12.8,11.02,4493
1239919200,12.9,12.45,12.99,12.41,1066
1240178400,12.95,12.89,12.95,11.22,849
1240264800,12.29,12,12.9,11.07,7160
1240351200,12.9,13.96,13.96,12,5052
1240437600,13.9,12.93,13.9,12.65,1514
1240524000,13.17,13.15,13.17,12.5,991
1240783200,12.69,12.62,12.69,12.42,1925
1240869600,11.6,12.5,12.5,11.6,208
1240956000,12.4,12.6,12.6,12,5203
1241042400,12,11.87,12.44,11.85,3055
1241388000,11.98,12.35,12.35,11.76,5003
1241474400,12,12.33,12.95,12,5481
1241560800,12.98,12.19,12.98,12.19,1010
1241647200,11.81,12.5,12.5,11.81,1865
1241733600,12.79,12.19,12.79,12.19,688
1241992800,12.25,12.2,12.25,12.2,639
1242079200,12.79,12.2,12.79,12.2,498
1242165600,12.4,12.1,12.69,12,1078
1242252000,11.55,12.1,12.1,11.55,228
1242338400,12.2,12.18,12.2,12.18,411
1242597600,12.5,12.05,12.5,12.05,674
1242684000,12.2,12.2,12.2,12.2,5
1242770400,11.55,11.67,11.67,11.55,23
1242856800,12.25,11,12.25,11,2911
1242943200,11.02,11,11.13,11,1524
1243202400,11.3,11.03,11.3,11.03,51
1243288800,11,10.57,11,10.55,819
1243375200,11,10.52,11,10.52,617
1243461600,11,10.75,11,10.52,2275
1243548000,10.74,10.6,10.74,10.5,1846
1243807200,10.02,11,11,10.02,2968
1243893600,10.5,10.29,10.62,9.99,18955
1243980000,10.29,10,10.29,10,4612
1244066400,10.14,10.2,10.31,10,3268
1244152800,10.19,10,10.19,9.47,2870
1244412000,9.51,9.5,9.98,9.5,304
1244498400,9.21,9.87,9.87,9,1027
1244584800,9.8,9.8,9.8,9.5,749
1244757600,9.8,9.8,9.8,9.8,5
1245016800,9.8,9.83,9.84,9.35,542
1245103200,9.83,9.82,9.84,9.38,89
1245189600,9.82,9.37,9.82,9.37,1013
1245276000,9.55,9.37,9.55,9.3,320
1245362400,9.77,9.77,9.77,9.35,119
1245621600,9.77,9.83,9.83,9.4,1167
1245708000,9.48,9.69,9.69,9,1064
1245794400,9.4,9.4,9.4,9.4,100
1245880800,9.78,9.6,9.78,9.6,52
1245967200,9.6,9.6,9.6,9.6,5
1246226400,9.2,9.43,9.43,9.2,125
1246312800,9.23,9.42,9.42,9.23,40
1246399200,9.25,9.04,9.25,9.04,142
1246485600,9.48,9.05,9.48,9.05,891
1246572000,8.91,9.1,9.1,8.91,836
1246831200,9.1,9.24,9.24,9.06,257
1246917600,9.24,9,9.24,9,10017
1247004000,8.95,8.95,8.95,8.95,5
1247090400,8.95,9,9.13,8.95,332
1247176800,9,8.95,9,8.95,426
1247436000,9.18,8.7,9.18,8.7,878
1247522400,9.18,8.1,9.18,7.86,18534
1247608800,8.1,8.5,8.6,8.1,10386
1247695200,8.45,8,8.5,7.79,13686
1247781600,8.45,8,8.49,7.85,9772
1248040800,8,7.75,8.03,7.57,8767
1248127200,7.75,8.48,8.48,7.5,42990
1248213600,8.64,8.28,8.64,8.1,7884
1248300000,8.07,7.91,8.24,7.91,10130
1248386400,8.31,7.99,8.31,7.92,4705
1248645600,8.05,8.04,8.05,7.83,1202
1248732000,8.05,8.19,8.3,8.02,6908
1248818400,8.06,8.18,8.18,8.05,4070
1248904800,8.18,8.71,8.71,8.18,15202
1248991200,8.67,8.43,8.67,8.43,6775
1249250400,8.55,8.65,8.8,8.18,6532
1249336800,8.64,8.63,8.64,8.36,5462
