t,o,c,h,l,v
854924400,0,48,48,48,117705
855010800,0,46,46,46,42715
855097200,0,43,43,43,66172
855183600,0,43,43,43,28387
855270000,0,45,45,45,46773
855529200,0,46,46,46,49831
855615600,0,45,45,45,37651
855702000,0,45,45,45,22370
855788400,0,44,44,44,15459
855874800,0,45,45,45,43930
856134000,0,45,45,45,36770
856220400,0,45,45,45,23545
856306800,0,44,44,44,16134
856393200,0,43,43,43,12703
856479600,0,44,44,44,16279
856738800,0,43,43,43,9206
856825200,0,43,43,43,11353
856911600,0,44,44,44,22308
856998000,0,43,43,43,35169
857084400,0,43,43,43,30405
857343600,0,42,42,42,47189
857430000,0,42,42,42,35522
857516400,0,43,43,43,28801
857602800,0,44,44,44,33253
857689200,0,44,44,44,23910
857948400,0,44,44,44,15053
858034800,0,44,44,44,31413
858121200,0,45,45,45,25134
858207600,0,43,43,43,16999
858294000,0,41,41,41,55128
858553200,0,42,42,42,14933
858639600,0,43,43,43,34890
858726000,0,43,43,43,70421
858812400,0,43,43,43,48638
858898800,0,43,43,43,12019
859158000,0,43,43,43,14173
859244400,0,43,43,43,15667
859330800,0,44,44,44,17984
859417200,0,44,44,44,27496
859845600,0,44,44,44,76624
859932000,0,41,41,41,12631
860018400,0,42,42,42,24585
860104800,0,42,42,42,6489
860364000,0,43,43,43,13207
860450400,0,44,44,44,13445
860536800,0,43,43,43,6033
860623200,0,43,43,43,15659
860709600,0,43,43,43,3980
860968800,0,43,43,43,14504
861055200,0,44,44,44,19682
861141600,0,44,44,44,24729
861228000,0,43,43,43,13005
861314400,0,43,43,43,10103
861573600,0,44,44,44,12957
861660000,0,44,44,44,14977
861746400,0,44,44,44,14033
861832800,0,44,44,44,12297
861919200,0,43,43,43,23495
862178400,0,43,43,43,25238
862264800,0,43,43,43,16030
862351200,0,43,43,43,6428
862783200,0,43,43,43,6047
862869600,0,43,43,43,15573
862956000,0,43,43,43,11426
863042400,0,43,43,43,7839
863128800,0,43,43,43,16725
863388000,0,43,43,43,12508
863474400,0,43,43,43,10221
863560800,0,43,43,43,6125
863647200,0,44,44,44,13074
