t,o,c,h,l,v
1517266800,57,47.8,57,45.1,43098
1517353200,48.4,48,54,48,13266
1517439600,48.6,44,48.6,43.3,3970
1517526000,44.9,42.58,44.9,40.02,5592
1517785200,42.58,39.77,43,39.01,2555
1517871600,36.02,36.49,38.64,35,7478
1517958000,39,42.5,44,37,3893
1518044400,42.5,43.89,44.4,40.1,2417
1518130800,42,43.85,43.85,40.5,1022
1518390000,43.85,44,45.7,43,3072
1518476400,44.1,44,44.1,41.01,803
1518562800,44,43,44,43,380
1518649200,43.5,44,44.5,43.5,181
1518735600,44,42.05,44,42,473
1518994800,40.6,43.4,43.4,40.6,2922
1519081200,43,43.49,43.49,43,127
1519167600,43.4,43.49,43.49,43,297
1519254000,43.5,44,44,43.5,105
1519340400,44.5,43.96,46.5,43.96,593
1519599600,44.7,47,47,44.7,63
1519686000,46,46,46,45,169
1519772400,45.5,44.1,45.5,44.1,302
1519858800,45.5,43.5,45.5,43.5,227
1519945200,44.6,44,45,44,34
1520204400,44.5,45,46,44.5,997
1520290800,44,47,47.9,44,854
1520377200,47,46.5,47.5,46.5,213
1520463600,47.9,50.5,50.5,47.6,1068
1520550000,49,48,50.5,48,1121
1520809200,49.9,49.8,49.9,47,488
1520895600,49,49,49,49,63
1520982000,49,48.5,49,48.5,240
1521068400,48.5,48.5,49,48.5,495
1521154800,49,48.5,49,47.3,1833
1521414000,48.5,50.5,53,48,1582
1521500400,50.5,51,52,50.5,209
1521586800,51,52,52.25,51,616
1521673200,52,54.95,58,52,2286
1521759600,53,52,54.5,52,451
1522015200,51.75,51.8,54.45,51.75,775
1522101600,52,53.5,54,52,278
1522188000,52.3,49,52.3,49,2999
1522274400,49,49,52.8,49,637
1522706400,50.01,52.5,52.5,50,1383
1522792800,52.8,52.8,52.8,51.5,141
1522879200,52.8,52.99,52.99,51.7,570
1522965600,52.99,52,53,52,381
1523224800,51.5,53,53,51.5,22
1523311200,53,52.5,53.5,52.5,443
1523397600,53.9,51.4,53.9,51.4,1042
1523484000,51.1,51,51.1,51,606
1523570400,52.44,52.8,52.99,52.44,385
1523829600,52.8,49,52.8,49,577
1523916000,51.2,51.2,51.2,51.2,69
1524002400,50.1,52.94,52.95,50.1,753
1524088800,51,51,51.1,51,99
1524175200,51.1,51,51.1,51,98
1524434400,51,51,51,50,412
1524520800,50,50.4,50.5,49.1,227
1524607200,49,49.15,49.15,48.96,886
1524693600,49,48.7,49,48.7,202
1524780000,49,49.95,49.95,48.8,39
1525039200,50,48.95,50,48.95,293
1525212000,47,45,47,37.6,1265
1525384800,45.9,48.5,48.5,45.9,19
1525644000,48.7,47.5,49,47.5,191
1525730400,47,48,50,46,1299
1525816800,47.5,47,47.5,44,120
1525903200,46.5,45,46.5,45,28
1525989600,44.5,46,49,41,1705
1526248800,48.75,45,48.75,45,1877
1526335200,46,43,46,43,1293
1526421600,43.76,42.2,43.76,42,421
1526508000,45,44,45,44,143
1526594400,45,44.5,45,43,586
1526853600,46,48,48.5,46,236
1526940000,48,47.5,48,44,271
1527026400,48,48,48,48,34
1527112800,48,44.9,48,44.9,66
1527199200,46,46,48,46,150
1527458400,46,45,46.5,45,377
1527544800,45,47.5,47.5,45,84
1527631200,47.4,47.4,47.4,47.4,25
1527804000,47,44,47.5,44,595
1528063200,45,45,46,42,1116
1528149600,45,46,46,45,61
1528236000,45,45,45,40.1,2123
1528322400,43,43.5,44,41,357
1528408800,43.5,41,44.8,41,1730
1528668000,43,42.9,43,40.1,521
1528754400,42,42,42.9,40,223
1528840800,41.8,40,42,40,175
1528927200,40,41.8,41.8,40,473
1529013600,41.4,40.1,41.4,39.5,797
1529272800,40.5,41,41,40.4,96
1529359200,41,40.5,41,39.5,380
1529445600,40.5,41,41.4,40.5,493
1529532000,40,40.6,40.6,40,110
1529618400,40,38.5,40,37.6,393
1529877600,37.5,38.85,38.85,37.5,332
1529964000,38.85,38.95,38.95,38.85,99
1530050400,39.5,38.95,39.5,38.95,159
1530136800,39,38,39,38,105
1530223200,38.01,39,39,38.01,124
1530482400,37.6,41,41.2,37.6,938
1530568800,39.2,40.1,41,39.2,85
1530655200,40.1,40.1,40.1,40.1,41
1530741600,40.5,40.5,40.5,40.48,65
1530828000,39,39.5,40.5,38.5,58
1531087200,41,39.5,41,39.5,22
1531173600,39.7,39.7,39.7,39.7,44
1531260000,41,39,41,39,156
1531346400,39,39.39,39.39,39,30
1531432800,35.5,37.5,38.4,35.13,1010
1531692000,38,38,38,38,50
1531778400,38,37.5,38,37.5,166
1531864800,38.7,38,38.7,38,986
1531951200,38.7,38,38.9,38,30
1532037600,38.9,38.9,38.9,38.9,54
1532296800,39,39,39,39,57
1532383200,39,38.95,39,38,268
1532469600,38.95,38.95,38.95,38.01,146
1532556000,38.95,38.95,38.95,38,428
1532642400,38.95,38,38.98,38,339
1532901600,38,39,39,38,854
1532988000,38.95,39.2,39.2,38,410
1533074400,0,39.2,39.2,39.2,0
1533160800,39.2,38.5,39.2,38.5,264
1533247200,39,38,39,38,181
1533506400,38.9,39,39,38.9,138
1533592800,39,39,39,39,36
1533679200,39,38.85,39,37.02,80
1533765600,38.85,39,39,37.06,699
1533852000,39,39,39,39,6
1534111200,39,39,39,39,70
1534197600,39,39.1,39.1,39,819
1534370400,39,39,39,39,84
1534456800,39,39,39,38.8,614
1534716000,39,38.8,39,38.8,108
1534802400,39,39,39,39,93
1534888800,39,39.1,39.1,39,459
1534975200,39,38,39,38,276
1535061600,39,39.1,39.1,39,126
1535320800,39.3,39,42.98,39,1533
1535407200,39,39,39,38,1011
1535493600,39,37.9,39,37.5,770
1535580000,37.9,37.9,37.95,37.9,51
1535666400,37.9,37.95,37.95,37,323
1535925600,37.9,37.85,37.9,37,228
1536012000,36.9,36.7,37.7,36.7,160
1536098400,36.5,34.4,37.5,30.1,1191
1536184800,35.5,34,35.5,30.6,775
1536271200,35,34,35.5,32.7,717
1536530400,30.7,31.1,31.9,30,948
1536616800,32,35,35,32,618
1536703200,33.7,37.95,37.95,32.4,963
1536789600,39.25,38.85,39.25,36.8,26819
1536876000,39,38.96,39,38.96,35
1537135200,38.9,38,38.99,37.1,688
1537221600,38.9,38,38.9,38,15
1537308000,37,37,37,37,71
1537394400,37,37.99,37.99,37,130
1537480800,37.89,36.5,37.89,36.5,56
1537740000,35.7,33.1,37.99,33.1,662
1537826400,34,36.39,36.39,34,80
1537912800,0,36.39,36.39,36.39,0
1537999200,0,36.39,36.39,36.39,0
1538085600,36.49,37,37,36.49,239
1538344800,35.5,36.5,36.5,34.5,68
1538431200,36.5,36.5,36.5,36.5,62
1538517600,36.5,37.6,37.6,36,40
1538604000,37.8,37.8,37.8,37.8,30
1538690400,37.8,36.5,37.8,36.5,63
1538949600,35.5,35,35.5,34.5,170
1539036000,34.5,34.5,34.5,34.5,51
1539122400,34.55,34.55,35,34.55,517
1539208800,34,34,34,31.07,217
1539295200,36,36,36.5,35.6,702
1539554400,32,35,37.4,32,17
1539640800,33,36,36,32,742
1539727200,36,34,36,34,56
1539813600,34,34,34,34,300
1539900000,35,35,35,35,36
1540159200,36,35.5,36,35,347
1540245600,34.5,36,36,34.5,4066
1540332000,35.5,35.5,35.5,35.5,1
1540418400,35,35,35,35,2
1540504800,36,34,36,34,63
1540767600,35.5,35,35.5,35,97
1540854000,0,35,35,35,0
1540940400,35,35.5,35.5,32.4,346
1541113200,35.5,34.8,35.5,32.6,323
1541372400,35.2,35.2,35.2,35.2,33
1541458800,35,35,35,35,5
1541545200,35.2,35.2,35.2,35.2,32
