t,o,c,h,l,v
1079650800,30,29,30.4,28.2,421271
1079910000,28.9,28.8,29.2,28.6,3127
1079996400,28.8,29.9,30.4,28.6,13952
1080082800,29.6,29.3,29.6,29.1,3727
1080169200,29.2,29,29.2,28.9,8262
1080255600,29,28.5,29,28.5,12370
1080511200,28.6,28.6,29,28.5,8984
1080597600,29.3,28.4,29.3,28.4,12654
1080684000,28.4,28.4,28.5,28.3,4572
1080770400,28.5,28.5,28.5,28.4,1358
1080856800,28.7,28.7,28.9,28.4,4101
1081116000,28.5,28,28.5,27.8,15961
1081202400,28,27.5,28,27.5,3172
1081288800,27.5,27.3,27.5,27.2,1901
1081375200,27.7,28.4,28.5,27.6,11588
1081807200,28.8,28.8,28.8,28.5,6081
1081893600,29,28.7,29.2,28.7,10763
1081980000,28.7,28.7,28.7,28.3,616
1082066400,28.3,28.6,28.7,28,4352
1082325600,28,27.5,28,27.5,6118
1082412000,27.5,26.6,27.5,26.5,7884
1082498400,26.5,27.3,27.5,26.5,5005
1082584800,26.8,27.2,27.2,26.8,521
1082671200,27.4,26.9,27.4,26.6,2869
1082930400,26.9,26.9,26.9,26.8,549
1083016800,26.4,26.5,27,26.4,1980
1083103200,26.4,26.4,26.5,26.4,1782
1083189600,26.1,26.9,26.9,26,1649
1083276000,26.1,27.1,27.2,26,1123
1083621600,27.1,26.9,27.1,26.4,226
1083708000,27,26.8,27,26.1,734
1083794400,26.1,26.6,26.7,26.1,2867
1083880800,26.5,26.3,26.5,25.8,2112
1084140000,25,24.9,25,24.1,4777
1084226400,25,23.9,25.5,22,8724
1084312800,23.9,24.9,24.9,23.9,1325
1084399200,23.9,23.8,24,23.1,2596
1084485600,23.1,24,24,23.1,646
1084744800,23.1,23,23.4,22.9,4052
1084831200,22.9,23.2,23.4,22.9,489
1084917600,23.2,23.3,23.9,23.2,3249
1085004000,23.4,23.1,23.4,22.8,1142
1085090400,23.1,24,24.4,23.1,5911
1085349600,24,24.2,24.2,24,61
1085436000,24,24,24,23.7,643
1085522400,23.3,23.5,23.6,23.3,1034
1085608800,23.7,23.9,23.9,23.1,1190
1085695200,23.7,23.8,23.8,23.5,971
1085954400,23.9,24.3,24.3,23.9,297
1086040800,24.1,24.1,24.1,24.1,225
1086127200,24.1,23.9,24.3,23.9,1409
1086213600,23.7,23.9,24,23.5,1851
1086300000,23.5,23.8,23.8,23.5,1195
1086559200,23.5,23.1,23.5,23,1269
1086645600,23.1,23.3,23.3,22.8,1646
1086732000,22.8,23.3,23.3,22.8,651
1086904800,22.9,22.9,22.9,22.9,1350
1087164000,22.8,22.8,22.8,22.8,612
1087250400,23,23,23,23,1
1087336800,22.9,22.9,22.9,22.9,291
1087423200,22.9,22.5,22.9,22.2,576
1087509600,22.2,22.1,22.2,21.5,3604
1087768800,21.9,21.9,21.9,21.6,2763
1087855200,21.7,21.3,21.7,21.3,806
1087941600,21.1,21.2,21.6,20.5,3076
1088028000,0,21.2,21.2,21.2,0
1088114400,21.3,21.9,21.9,21.3,283
1088373600,21.4,22.3,22.6,21.4,2637
1088460000,22.5,23,23,22.5,600
1088546400,23,21.6,23,21.6,1527
1088632800,21.6,22.5,22.8,21.6,851
1088719200,22.5,22.5,22.7,21.8,1496
1088978400,22,22.5,22.5,22,69
1089064800,22.2,22.5,22.5,21.9,303
1089151200,22,22.4,22.4,21.8,510
1089237600,22.4,22.5,22.5,22.4,300
1089324000,22.4,23.9,24,22.4,9832
1089583200,24.4,23.9,24.4,23.7,3795
1089669600,23.9,22.9,23.9,22.9,2675
1089756000,23.1,22.4,23.1,22.4,960
1089842400,22,21.9,22.9,21.5,2208
1089928800,21.9,22.7,22.7,21.9,1264
1090188000,22.5,23.3,23.3,22.5,186
1090274400,23.3,23.1,23.3,23.1,119
1090360800,23.6,23.5,23.9,23.2,546
1090447200,23.2,23.5,23.5,23.2,159
1090533600,23.5,23.4,23.5,23,480
1090792800,23.1,23.1,23.1,22.6,801
1090879200,22.5,22.5,22.7,22.5,378
1090965600,22.5,22.9,23,22.4,616
1091052000,22.4,22.7,22.7,22,1721
1091138400,22.9,22.9,22.9,22.9,331
1091397600,22.9,22.7,22.9,22.4,1211
1091484000,22.7,22.9,22.9,22.6,400
1091570400,22.6,22.9,22.9,22.5,1258
1091656800,21.7,20.5,21.7,20,6655
1091743200,20.8,20.8,20.9,20.8,1647
1092002400,20.5,21.3,21.3,20.5,900
1092088800,20.5,21.1,21.1,20.1,373
1092175200,20.7,20.7,20.7,20.7,87
1092261600,20.1,20.1,20.7,20.1,255
1092348000,20.5,20.6,20.6,20.2,35
1092607200,20.6,20.2,20.6,20.1,146
1092693600,20.4,20.4,20.4,20.4,19
1092780000,20.1,19.55,20.1,19.5,2932
1092866400,19.75,18.55,19.75,18.1,4934
1092952800,18.55,18.2,18.55,18,1349
1093212000,18.9,18.85,18.9,18,1979
1093298400,18.85,19.4,19.4,18.85,1364
1093384800,19.4,19.4,19.5,19,1410
1093471200,19.3,19.3,19.3,19.3,70
1093557600,19.3,19.3,19.3,19.3,5
1093816800,18.85,19.2,19.2,18.7,647
1093903200,19.15,19.15,19.15,18.4,158
1093989600,18.65,19.25,19.25,18,691
1094076000,0,19.25,19.25,19.25,0
1094162400,17.7,19,19,17.7,287
1094421600,18.8,19,19,18.8,106
1094508000,18.3,18.95,18.95,18.3,266
1094594400,18.2,18.95,18.95,18.2,1206
1094680800,18.95,18.95,18.95,18.5,88
1094767200,18.95,19.7,19.75,18.95,1949
1095026400,19.75,20.1,20.1,19.7,646
1095112800,20,19.95,20,19.9,150
1095199200,0,19.95,19.95,19.95,0
1095285600,19.4,19.9,19.9,19.3,94
1095372000,19.2,20,20,19.2,148
1095631200,18.8,20,20,18.8,456
1095717600,19.35,19.95,19.95,19.1,661
1095804000,19,19.8,19.8,19,32
1095890400,19.95,19.8,19.95,18.9,400
1095976800,18.95,18.4,19.1,18.4,1059
1096236000,18.4,18.35,18.4,17.9,4883
1096322400,17.95,18.3,18.3,17.95,5360
1096408800,18,16.6,18,16.5,17521
1096495200,16.8,17,17.2,16.7,4850
1096581600,16.7,16.2,16.9,16.1,8050
