t,o,c,h,l,v
801352800,0,9,9,9,334204
801439200,0,9,9,9,261742
801698400,0,9,9,9,213816
801784800,0,8,8,8,163232
801871200,0,8,8,8,102292
801957600,0,8,8,8,41106
802044000,0,8,8,8,64278
802303200,0,8,8,8,31687
802389600,0,8,8,8,76179
802476000,0,8,8,8,80113
802562400,0,8,8,8,65044
802648800,0,8,8,8,44275
802908000,0,8,8,8,41816
802994400,0,8,8,8,38966
803080800,0,8,8,8,27080
803253600,0,8,8,8,27029
803512800,0,8,8,8,19246
803599200,0,8,8,8,29347
803685600,0,8,8,8,35268
803772000,0,8,8,8,48216
803858400,0,8,8,8,24159
804117600,0,9,9,9,110606
804204000,0,9,9,9,111019
804290400,0,9,9,9,52578
804376800,0,9,9,9,89713
804463200,0,9,9,9,54749
804722400,0,9,9,9,121991
804808800,0,9,9,9,95305
804895200,0,9,9,9,44978
804981600,0,9,9,9,36051
805068000,0,9,9,9,28270
805327200,0,9,9,9,13695
805413600,0,9,9,9,35844
805500000,0,9,9,9,27360
805586400,0,9,9,9,65612
805672800,0,9,9,9,25418
805932000,0,9,9,9,164223
806018400,0,10,10,10,234031
806104800,0,11,11,11,0
806191200,0,12,12,12,317845
806277600,0,12,12,12,336161
806536800,0,13,13,13,332401
806623200,0,14,14,14,213799
806709600,0,15,15,15,387681
806796000,0,17,17,17,271140
806882400,0,16,16,16,190464
807141600,0,14,14,14,189950
807228000,0,14,14,14,137212
807314400,0,14,14,14,140761
807400800,0,14,14,14,168652
807487200,0,14,14,14,103757
807746400,0,14,14,14,105716
807832800,0,14,14,14,74548
807919200,0,14,14,14,72220
808005600,0,14,14,14,109236
808092000,0,15,15,15,149089
808524000,0,16,16,16,161795
808610400,0,16,16,16,156394
808696800,0,15,15,15,113390
808956000,0,15,15,15,0
809042400,0,16,16,16,251823
809128800,0,16,16,16,162229
809215200,0,17,17,17,171706
809301600,0,18,18,18,193187
809560800,0,19,19,19,200684
809647200,0,19,19,19,190965
809733600,0,19,19,19,186923
809820000,0,18,18,18,175365
809906400,0,20,20,20,0
810165600,0,22,22,22,116319
810252000,0,24,24,24,429042
810338400,0,24,24,24,251219
810424800,0,25,25,25,162470
810511200,0,27,27,27,294552
810770400,0,28,28,28,224260
810856800,0,26,26,26,114562
810943200,0,25,25,25,167676
811029600,0,26,26,26,176455
811116000,0,24,24,24,106928
811375200,0,23,23,23,165746
811461600,0,21,21,21,123610
811548000,0,22,22,22,150267
811634400,0,22,22,22,181674
811720800,0,21,21,21,89424
811983600,0,21,21,21,70808
812070000,0,23,23,23,85847
812156400,0,24,24,24,112636
812242800,0,24,24,24,184682
812329200,0,24,24,24,127998
812588400,0,25,25,25,130680
812674800,0,24,24,24,126050
812761200,0,23,23,23,112728
812847600,0,23,23,23,104123
812934000,0,22,22,22,96624
813193200,0,20,20,20,144306
813279600,0,19,19,19,107857
813366000,0,19,19,19,98410
813452400,0,19,19,19,107109
813538800,0,18,18,18,83423
813798000,0,18,18,18,68731
813884400,0,19,19,19,111473
