t,o,c,h,l,v
993420000,40.9,43.7,44.7,40.9,2624
993506400,42.3,42.5,42.5,42.3,55281
993592800,42,41.2,42,41.2,39071
993679200,40.2,42.5,42.5,39.2,8839
993765600,41,42.5,43.2,41,21156
994024800,42,42,42.5,42,2273
994111200,41.3,40.1,41.3,40,486
994197600,38,38.6,39.1,38,21997
994284000,38,39,42,38,6673
994370400,38.6,39,39.5,38.6,4027
994629600,38.5,38.8,39.4,38,13247
994716000,39,38.7,39,38.5,25759
994802400,38,37.2,38.2,37.2,15284
994888800,37.5,38.2,39,37.5,34504
994975200,38.3,38.9,38.9,38.3,20988
995234400,38.1,39,39,38,4265
995320800,38.9,38.6,38.9,38.6,7854
995407200,38,38.2,38.6,37.8,11221
995493600,38.2,37.2,38.2,37.2,40642
995580000,37.1,36,37.4,36,22584
995839200,36.2,35.3,36.2,35.2,23419
995925600,35,34.9,35,34.5,46357
996012000,34.6,33.5,34.9,33.5,24428
996098400,34,34.6,35,34,48773
996184800,35.1,35,35.3,34.9,16160
996444000,34.1,33.8,34.1,32.7,82041
996530400,34,34,34.6,33.7,4474
996616800,33.7,33.4,34.2,33.4,2820
996703200,33.4,33.2,33.4,33,788
996789600,33,31.2,33,31.2,39858
997048800,31.3,30.9,31.5,30.6,66641
997135200,30.1,29,30.5,29,21996
997221600,28.5,27.7,28.5,27.7,80310
997308000,28.1,28.5,28.5,27.6,11991
997394400,28.5,28.5,29.5,28.2,38708
997653600,28.5,29,29.5,28.5,15935
997740000,29,30.5,30.5,29,56580
997912800,29.1,28.8,29.4,28.8,40157
997999200,29,28.2,29,28.2,1818
998258400,28,28.5,29,28,14266
998344800,29,29.9,30,29,48028
998431200,30,30.5,30.5,29.9,27592
998517600,30.4,30,30.4,29.2,12771
998604000,30,31,31,30,16490
998863200,31.6,32.5,32.8,31.6,27755
998949600,32.5,33.8,34,32.5,95340
999036000,33.8,33.7,33.8,33.2,12579
999122400,33.2,34.9,35,33.2,115318
999208800,34.8,36.5,36.5,34.5,50023
999468000,35.9,36,36.8,35.9,21584
999554400,36.1,36,36.1,35.1,19382
999640800,35.1,36,36,34.5,2744
999727200,35.2,35,35.6,34,18300
999813600,34.2,35.6,35.6,34.2,114635
1000072800,36,36,36,35.2,86211
1000159200,35.4,35.7,36,35,34422
1000245600,34.5,36,36,34,5223
1000332000,36,36.5,36.5,35.3,33417
1000418400,36.5,36.1,36.5,34.5,49310
1000677600,30.7,35,35,30.7,312480
1000764000,34,33.5,34.1,33.3,132287
1000850400,33.7,34.7,34.7,33.7,204015
1000936800,33.8,34,34,33.2,71284
1001023200,33,33.8,33.8,32.5,61042
1001282400,33,33.5,33.6,33,94342
1001368800,33,33.8,33.8,33,159582
1001455200,33.5,34.5,34.5,33.4,192455
1001541600,34,34.5,34.5,33.9,165340
1001628000,34.2,34.8,34.8,34.1,109172
1001887200,34.1,34.8,34.9,34.1,40206
1001973600,34.5,35,35,34.3,113888
1002060000,34.7,34.8,35,34.6,46447
1002146400,34.6,35.5,35.8,34.6,52835
1002232800,35,35.7,35.7,35,24263
1002492000,35.3,35.4,35.6,35.2,32052
1002578400,35.2,36.6,36.9,35.2,82843
1002664800,36.3,39.2,40,36.2,67047
1002751200,39.4,41.6,45,39.4,155893
1002837600,40.2,40.9,41.6,40,41522
1003096800,40,40.8,40.8,39.9,36479
1003183200,41,42.3,42.5,40.3,65443
1003269600,42,42.6,42.9,41.7,95017
1003356000,41.2,42.1,42.3,41,45336
1003442400,40.7,41.7,42,40.7,65201
1003701600,40.9,42.4,42.5,40.9,32187
1003788000,42.9,43,43.3,42.5,67816
1003874400,42.3,44,44,42.3,56272
1003960800,44,45,45.5,44,119855
1004047200,44.6,44,45.4,43.8,130190
1004310000,43.6,44.5,44.8,43.5,20495
1004396400,43.3,43,44,42.9,104116
1004482800,43,42.4,43,41.6,72096
1004655600,42,42.5,42.8,42,12651
1004914800,41.8,41.5,42.1,40.7,62586
1005001200,41,41.3,42.5,40.8,38485
1005087600,40.3,40.4,40.9,40,14825
1005174000,39.8,41.2,41.3,39.8,24445
1005260400,41.3,42.1,44,41,109361
1005519600,42.2,42.5,42.8,42.2,49301
1005606000,42.5,44.2,44.2,42.5,26196
1005692400,44.5,46.5,48,44.5,118661
1005778800,47,49,49,46.5,76222
1005865200,48.5,47.1,48.9,47.1,59375
1006124400,47.1,48.4,48.4,47,26062
1006210800,48,48.2,48.3,47.6,56667
1006297200,47.7,47,47.8,47,39453
1006383600,45.1,47,47,45.1,38326
1006470000,47.1,46.1,48,46.1,17409
1006729200,46.1,46.7,46.7,45,40450
1006815600,46.5,48.4,48.5,46.5,36116
1006902000,47.5,48,48.3,47.5,23035
1006988400,47.5,48.3,48.4,47.5,28217
1007074800,48.2,48.6,48.8,48.2,23037
1007334000,47.4,48.3,48.3,47.3,48832
1007420400,48,48.5,48.6,47.5,49152
1007506800,48.5,48.4,48.5,48.1,59026
1007593200,48,46.1,48.3,46.1,53728
1007679600,46.2,46.1,47,45.6,131587
1007938800,45.5,45.2,46,45.1,117456
1008025200,44.7,45.5,46.5,44.7,25332
1008111600,46,45.2,46,45.1,80304
1008198000,45,44.5,45.8,44.2,69716
1008284400,44,45.3,45.3,44,24154
1008543600,45.4,46,46.1,45.1,43473
1008630000,45.3,46,46.3,45.3,23361
1008716400,45.7,47,47,45.7,35899
1008802800,46.8,47.2,47.2,46.3,25237
1008889200,47,47.5,47.5,46.6,33500
1009407600,47,48.5,48.5,47,16408
1009494000,47.5,48.7,48.7,47.5,36830
1009753200,48.7,50,50,48.5,62948
1009926000,48.6,49,49.8,48.6,18485
1010012400,48.5,51.2,51.6,48.5,136380
1010098800,50.6,54.5,55.8,50.6,114905
1010358000,53.1,54.5,55.3,53.1,130063
1010444400,53.7,53.5,55.3,53.5,66031
1010530800,53.2,55.3,55.8,53.2,49117
1010617200,54.3,54.7,55.5,53,50453
1010703600,54,53.3,54.8,53.3,13074
1010962800,52,52,52.6,51.5,21042
1011049200,51.5,52.5,53,50.7,10429
1011135600,51.6,53.8,53.8,51.6,18757
1011222000,53.8,53.9,54,52.8,45741
1011308400,53.4,54.6,56.5,53.4,62256
1011567600,54.3,55.1,55.3,54.1,110325
1011654000,55.1,57.8,58.9,55.1,26308
1011740400,58,59,60.2,57.5,81186
1011826800,59,58.6,60,58.3,77417
1011913200,58.6,61.4,63,58.6,86187
1012172400,62,59,62.4,57.7,51533
1012258800,59,59,60,59,30911
1012345200,58.8,58,58.8,57,28644
1012431600,58.9,60.9,61,57.8,154434
1012518000,61,60.5,62.6,59,33610
1012777200,59.3,59.9,59.9,59,8620
1012863600,58.5,57.6,58.5,57.6,34452
1012950000,57.6,56.9,58,56.6,33995
1013036400,54,56,56.2,54,66613
1013122800,55.3,58.3,59.7,55.3,21064
1013382000,58.2,59.5,60,58.2,61321
1013468400,59.5,58.6,60.1,58.6,31868
1013554800,58.5,60,60.5,58.1,23917
1013641200,59.8,60,60.9,59.8,84402
1013727600,59.3,60.2,60.4,59.1,42876
1013986800,60,60,60.1,59.4,41496
1014073200,60,60.2,60.2,59.5,87192
1014159600,60,60.3,60.3,60,13034
1014246000,60.5,60.5,60.6,60.2,15450
1014332400,59.5,60.6,60.9,59.5,14315
1014591600,60.3,60.8,60.8,60.3,9789
1014678000,61,62.5,62.8,60.9,36113
1014764400,62,62.5,62.7,61.7,20946
1014850800,62.2,63.5,63.5,62.2,47713
1014937200,62.9,66,66.5,62.9,34195
1015196400,68.2,67.2,69.5,67.1,52677
1015282800,67,67,68,66.2,15540
1015369200,66.6,67.4,67.4,66.6,78971
1015455600,67.1,67.9,68.7,67.1,19232
1015542000,68.5,69.2,69.5,68.2,19285
1015801200,68.9,67.3,69.2,67.1,65014
1015887600,65.4,64.4,66,64.2,60657
1015974000,64,64.3,65.8,63.2,31023
1016060400,64.2,65.3,65.5,64.2,19023
1016146800,65.1,66.8,66.8,65,30865
1016406000,66.3,65,66.9,64.6,15166
1016492400,65,66.6,66.6,64.3,36445
1016578800,65.6,65.8,66.3,65.3,11339
1016665200,65.6,66.2,66.6,65.6,19568
1016751600,65.7,66.5,66.7,65.6,39982
1017010800,66.5,66.5,66.8,66.5,38767
1017097200,66,66.6,66.6,65.8,10129
1017183600,67,68.4,69,67,53907
1017270000,68.2,68.1,69,67.9,93761
1017698400,66.8,67,67,66.8,15792
