t,o,c,h,l,v
1212357600,0,10.7,10.7,10.7,0
1212444000,10.49,10.69,10.69,10.49,25000
1212530400,10.68,10.68,10.68,10.68,300
1212616800,0,10.68,10.68,10.68,0
1212703200,10.6,10.6,10.6,10.6,7000
1212962400,0,10.6,10.6,10.6,0
1213048800,10.2,10.1,10.2,10.1,275
1213135200,10.1,10.49,10.49,10.1,10140
1213221600,0,10.49,10.49,10.49,0
1213308000,10.49,10.02,10.49,10.02,301
1213567200,10.02,10.02,10.02,10.02,1000
1213653600,10.02,10.1,10.1,10.02,4001
1213740000,10.4,10.4,10.4,10.4,1
1213826400,10.49,10.49,10.49,10.49,1
1213912800,10.49,10.49,10.49,10.49,1
1214172000,10,10,10,10,1720
1214258400,10.1,10.3,10.5,10.1,1700
1214344800,10.49,10.49,10.49,10.49,1
1214431200,10.29,10.49,10.49,10,2121
1214517600,10.3,10.3,10.3,10.3,750
1214776800,10.3,10.3,10.3,10.3,1
1214863200,9.83,9.83,9.83,9.83,800
1214949600,0,9.83,9.83,9.83,0
1215036000,0,9.83,9.83,9.83,0
1215122400,0,9.83,9.83,9.83,0
1215381600,0,9.83,9.83,9.83,0
1215468000,9.85,9.85,9.85,9.85,800
1215554400,9.85,10.3,10.3,9.85,1800
1215640800,10.5,10.5,10.5,10.5,100
1215727200,10,10.5,10.5,10,158
1215986400,10.5,10.5,10.5,10.5,1
1216072800,10.5,10.5,10.5,10.5,1
1216159200,10,10,10,10,750
1216245600,10,10,10,10,500
1216332000,10,10,10,10,1
1216591200,10,10,10,10,750
1216677600,10.4,10.4,10.4,9.91,299
1216764000,10.4,10.4,10.4,10.4,100
1216850400,9.93,10.94,10.94,9.93,1110
1216936800,11.02,11.02,11.02,11.02,100
1217196000,10.95,11,11,10.95,200
1217282400,11,10.48,11,10.48,861
1217368800,10.55,10.8,10.8,10.55,800
1217455200,10.95,10.95,10.95,10.95,170
1217541600,10.97,10.9,11.49,10.9,1490
1217800800,10.97,10.97,10.97,10.97,100
1217887200,10.97,10.97,10.97,10.97,100
1217973600,10.97,10.45,10.97,10.45,751
1218060000,10.45,10.45,10.45,10.45,300
1218146400,0,10.45,10.45,10.45,0
1218405600,10.39,10.39,10.39,10.39,100
1218492000,10.39,10.45,10.45,10.39,150
1218578400,10.45,10.45,10.45,10.45,100
1218664800,10.45,10.97,10.97,10.45,850
1219010400,10.72,10.72,10.72,10.72,1
1219096800,10.52,10.97,10.97,10.52,751
1219183200,10.95,10.95,10.95,10.95,51
1219269600,10.52,10.96,10.96,10.52,1008
1219356000,10.97,10.97,10.97,10.97,100
1219615200,10.97,10.97,10.97,10.97,113
1219701600,10.45,10.5,10.5,10.45,1450
1219788000,9.66,9.98,9.99,9.57,4364
1219874400,9.99,9.99,9.99,9.99,1
1219960800,9.98,9.98,9.98,9.98,1
1220220000,9.95,10,10,9.95,171
1220306400,9.95,10,10,9.95,151
1220392800,9.54,10.5,10.5,9.54,801
1220479200,10.5,10.5,10.5,10.5,100
1220565600,10.29,10.29,10.29,10.29,750
1220824800,10.5,10.5,10.5,10.5,100
1220911200,10.5,10.5,10.5,10.5,100
1220997600,10.5,10.5,10.5,10.5,150
1221084000,10.5,10.5,10.5,10.5,100
1221170400,10.5,10.5,10.5,10.5,100
1221429600,10.5,10.5,10.5,10.5,100
1221516000,10.5,10.5,10.5,10.5,100
1221602400,10.5,10.5,10.5,10.5,100
1221688800,10.5,10.5,10.5,10.5,100
1221775200,10.5,10.5,10.5,10.5,100
