t,o,c,h,l,v
1293058800,24,49.99,49.99,24,1704
1293404400,55.05,60.55,60.55,55.05,168
1293490800,66,55,72,55,7134
1293577200,50,40,50,40,4353
1293663600,35,33,35,31.5,6554
1293750000,30.5,30.4,30.5,30,3556
1294009200,29.5,25.89,29.5,25.6,10925
1294095600,24.6,25.2,27.06,24.6,15617
1294182000,25.2,23.98,25.2,22.68,12360
1294354800,23.99,24.5,24.5,23.98,6497
1294614000,24.43,22.44,24.43,22,7423
1294700400,22.8,22,23.14,20.61,6723
1294786800,21.9,21.89,22,21.2,1819
1294873200,21.25,21.48,22.09,21,516
1294959600,21.2,20.26,21.2,20.26,1864
1295218800,20.95,19.89,20.95,19.4,2174
1295305200,19.86,19.2,19.9,19.11,2032
1295391600,19.99,19.5,20,19.31,990
1295478000,19.6,19.45,19.96,19.1,720
1295564400,19.02,19.29,19.72,19.01,2485
1295823600,19.29,19.69,19.9,19.01,627
1295910000,19.2,19.3,19.4,18.58,788
1295996400,18.4,18.95,19.67,18.4,1058
1296082800,18.25,18.6,19.42,17.85,1841
1296169200,17.51,17.43,17.53,17.03,2180
1296428400,17.08,17.95,17.96,16.01,1319
1296514800,17.95,18.95,19.44,17.12,2702
1296601200,18.5,18.93,18.99,18.1,4712
1296687600,18,18.59,18.59,18,451
1296774000,18.7,18.7,18.91,18.1,696
1297033200,18.81,19.28,19.45,18.6,1715
1297119600,19.1,19,19.1,18.5,392
1297206000,18.51,18.85,18.89,17.96,2826
1297292400,18.5,18.8,18.8,18.45,951
1297378800,18,18.6,18.6,17.8,67
1297638000,18.5,19.8,19.8,18.15,8025
1297724400,19.9,24.89,24.89,19.9,20646
1297810800,24.8,22.88,25.88,22.33,9654
1297897200,22.88,22.65,22.88,21.8,2573
1297983600,21.73,22.1,22.1,21.11,1395
1298242800,22.1,23.2,23.9,21.46,2958
1298329200,23.19,22.86,23.19,21.75,1640
1298415600,22,21,22,20.82,3331
1298502000,21.05,20.8,21.5,20.78,791
1298588400,21.2,21.79,21.79,21,311
1298847600,21.98,22.58,22.98,21.98,907
1298934000,22.2,22.52,22.52,21.7,793
1299020400,22.42,22.38,22.42,21.03,1004
1299106800,21.1,22,22,21.1,161
1299193200,21.5,21.9,21.9,21.11,859
1299452400,21.3,21.3,21.3,21.3,200
1299538800,20.33,21.2,21.2,20.33,1014
1299625200,21.2,21.55,21.55,21.2,996
1299711600,21.25,21.65,21.65,21.25,146
1299798000,21.23,21.23,21.23,21.23,432
1300057200,21.23,21.23,21.23,21.23,363
1300143600,21.23,21.41,21.61,21,1713
1300230000,21.49,21.62,21.62,21.49,300
1300316400,20.58,21,21,20.58,560
1300402800,21,20.65,21,20.65,380
1300662000,21,20.65,21,20.65,120
1300748400,21.05,21,21.05,20.7,350
1300834800,20.67,20.75,21.04,20.67,1272
1300921200,20.69,20.55,20.69,20.55,1050
1301007600,20.55,20.99,20.99,20.07,461
1301263200,20.07,20.5,20.5,20.07,80
1301349600,0,20.5,20.5,20.5,0
1301436000,20.06,20.11,20.11,20.06,780
1301522400,20.11,20.05,20.15,20.05,1890
1301608800,20.06,20.06,20.06,20.06,100
1301868000,20.06,20,20.06,20,89
1301954400,20.4,21.5,21.5,20.4,175
1302040800,21.62,20.5,21.62,20.5,930
1302127200,20.7,20.81,21.07,20.5,472
1302213600,20.85,21.08,21.08,20.5,264
1302472800,20.55,20.42,20.55,20.4,152
1302559200,20.6,21.18,21.18,20.42,300
1302645600,21.35,21.35,21.35,21.35,100
1302732000,20.42,20,20.42,20,1010
1302818400,20.21,20.3,20.3,20.21,104
1303077600,20.21,20,20.21,20,2600
1303164000,20,19.76,20,19.76,389
1303250400,19.76,19.76,19.76,19.76,54
1303336800,19.21,19.21,19.21,19.21,360
1303768800,19.21,19.21,19.21,19.21,50
1303855200,19.21,18.96,19.35,18.95,705
1303941600,18.61,18.5,18.85,18.49,4739
1304028000,18.6,18.6,18.7,18.6,562
1304287200,18.65,19,19.1,18.65,313
1304460000,0,19,19,19,0
1304546400,18.5,18.5,18.5,18.5,249
1304632800,18.5,18.75,18.75,18.5,265
1304892000,18.5,18.4,18.5,18.4,231
1304978400,0,18.4,18.4,18.4,0
1305064800,0,18.4,18.4,18.4,0
1305151200,17.11,18.7,18.7,17.11,130
1305237600,18.1,18.1,18.1,18.1,1
1305496800,0,18.1,18.1,18.1,0
1305583200,17.5,17,17.5,17,1217
1305669600,17,17,17,17,250
1305756000,16.99,21,21,15.43,16118
1305842400,21.37,21.36,21.4,19.24,2599
1306101600,21,19.5,21,19.3,1547
1306188000,18,20.5,20.5,18,1473
1306274400,20,20.01,20.55,19.9,795
1306360800,20.25,20.25,20.25,20.25,20
1306447200,20,20.5,20.54,20,246
1306706400,19.81,19.8,19.81,19.8,975
1306792800,19.41,20.2,20.2,19.41,179
1306879200,19.41,19.41,19.41,19.4,308
1306965600,0,19.41,19.41,19.41,0
1307052000,0,19.41,19.41,19.41,0
1307311200,0,19.41,19.41,19.41,0
1307397600,19.95,19.95,19.95,19.95,11
1307484000,0,19.95,19.95,19.95,0
1307570400,18.16,19.95,19.95,18.15,251
1307656800,19,20,20.05,19,1321
1307916000,20,20.5,20.6,20,988
1308002400,20,20.42,20.42,19.2,512
1308088800,19.5,20,20.25,19.5,911
1308175200,19,20.5,20.5,19,581
1308261600,19.01,20.44,20.44,19.01,63
1308520800,19.02,20.5,20.5,19.02,2561
1308607200,20.5,20.5,20.5,20.5,340
1308693600,20.5,19.55,20.5,19.55,7855
1308866400,19.53,19.53,19.53,19.53,25
1309125600,19.53,19.53,19.53,19.53,325
1309212000,19,19,19,19,100
1309298400,0,19,19,19,0
1309384800,20,20.5,20.5,20,182
1309471200,0,20.5,20.5,20.5,0
1309730400,0,20.5,20.5,20.5,0
1309816800,0,20.5,20.5,20.5,0
1309903200,19,20,20,18.45,4410
1309989600,0,20,20,20,0
1310076000,20,20,20,20,200
1310335200,20,20.1,20.1,20,200
1310421600,20.1,20.1,20.1,20.1,2
1310508000,0,20.1,20.1,20.1,0
1310594400,0,20.1,20.1,20.1,0
1310680800,0,20.1,20.1,20.1,0
1310940000,19.04,19.03,19.04,19.03,310
1311026400,0,19.03,19.03,19.03,0
1311112800,0,19.03,19.03,19.03,0
1311199200,0,19.03,19.03,19.03,0
1311285600,0,19.03,19.03,19.03,0
1311544800,0,19.03,19.03,19.03,0
1311631200,0,19.03,19.03,19.03,0
1311717600,17.22,20.98,20.98,17.22,3904
1311804000,20.85,20.5,20.98,20.5,623
1311890400,20.03,20.98,20.98,20.03,210
1312149600,0,20.98,20.98,20.98,0
1312236000,0,20.98,20.98,20.98,0
1312322400,18.92,18.92,18.92,17.3,228
1312408800,0,18.92,18.92,18.92,0
1312495200,17.02,18.7,18.7,15.35,792
1312754400,16.9,17,17.5,16.9,686
1312840800,16,15.55,16,15.55,109
1312927200,17,17,17,17,320
1313013600,0,17,17,17,0
1313100000,16,16.1,16.1,16,209
1313445600,16.9,16.9,16.9,16.9,18
1313532000,17.01,17.01,17.01,17.01,48
1313618400,16.02,18.7,18.7,16.02,93
1313704800,16.83,18,18,16.83,110
1313964000,0,18,18,18,0
1314050400,0,18,18,18,0
1314136800,17,17,17,17,26
1314223200,17,16.6,17,16.6,360
1314309600,0,16.6,16.6,16.6,0
1314568800,16,16,16,16,200
1314655200,16.8,16.8,16.8,16.8,250
1314741600,18.47,22,22,18.47,11391
1314828000,20.94,19.49,20.94,19,1568
1314914400,20,20,20,20,3
1315173600,0,20,20,20,0
1315260000,19.5,18,19.5,18,83
1315346400,0,18,18,18,0
1315432800,0,18,18,18,0
1315519200,18.1,19.8,19.8,18.01,760
1315778400,18,19.75,19.75,18,1746
1315864800,0,19.75,19.75,19.75,0
1315951200,0,19.75,19.75,19.75,0
1316037600,0,19.75,19.75,19.75,0
1316124000,19,19,19,19,40
1316383200,17.21,17.9,17.9,17.21,30
1316469600,19.68,19.75,19.75,19.58,390
1316556000,19.76,19.55,19.76,18.5,345
1316642400,19.55,19.05,19.55,19.05,381
1316728800,19.4,19.55,19.55,19.4,390
1316988000,0,19.55,19.55,19.55,0
1317074400,20.54,22.7,23,20.54,5279
1317160800,20.43,21,21.2,20.43,6420
1317247200,20.95,21.1,21.2,20.95,881
1317333600,21.15,21.1,21.15,21.1,174
1317592800,19.01,19.01,19.01,19.01,5
1317679200,0,19.01,19.01,19.01,0
1317765600,0,19.01,19.01,19.01,0
1317852000,0,19.01,19.01,19.01,0
1317938400,0,19.01,19.01,19.01,0
1318197600,20.9,18.8,20.9,18.8,800
1318284000,0,18.8,18.8,18.8,0
1318370400,0,18.8,18.8,18.8,0
1318456800,0,18.8,18.8,18.8,0
1318543200,17.52,17.52,17.52,17.52,2
1318802400,20,20,20,20,999
1318888800,20.03,20.2,20.2,20,1100
1318975200,20.01,20.01,20.01,20.01,1500
1319061600,18.6,20.3,20.3,18.6,101
1319148000,20.25,20.2,20.25,20.2,4
1319407200,20.2,20.2,20.2,20,600
1319493600,0,20.2,20.2,20.2,0
1319580000,0,20.2,20.2,20.2,0
1319666400,0,20.2,20.2,20.2,0
1319752800,0,20.2,20.2,20.2,0
1320015600,0,20.2,20.2,20.2,0
1320188400,0,20.2,20.2,20.2,0
1320274800,0,20.2,20.2,20.2,0
1320361200,0,20.2,20.2,20.2,0
1320620400,0,20.2,20.2,20.2,0
1320706800,18.45,18.45,18.45,18.45,5
1320793200,0,18.45,18.45,18.45,0
1320879600,0,18.45,18.45,18.45,0
1321225200,0,18.45,18.45,18.45,0
1321311600,0,18.45,18.45,18.45,0
1321398000,0,18.45,18.45,18.45,0
1321484400,0,18.45,18.45,18.45,0
1321570800,17.61,18,18,17.61,605
1321830000,0,18,18,18,0
1321916400,0,18,18,18,0
1322002800,0,18,18,18,0
1322089200,0,18,18,18,0
1322175600,16.66,18,18,16.66,269
1322434800,16.71,16.71,16.71,16.71,77
1322521200,16.73,18.4,18.4,16.73,79
1322607600,18.8,19,19,17,31
1322694000,0,19,19,19,0
1322780400,0,19,19,19,0
1323039600,19,19,19,19,5
1323126000,0,19,19,19,0
1323212400,0,19,19,19,0
1323298800,0,19,19,19,0
1323385200,0,19,19,19,0
1323644400,0,19,19,19,0
1323730800,17.03,17.5,17.5,17.03,260
1323817200,0,17.5,17.5,17.5,0
1323903600,0,17.5,17.5,17.5,0
1323990000,0,17.5,17.5,17.5,0
1324249200,0,17.5,17.5,17.5,0
1324335600,17,17,17,17,400
1324422000,0,17,17,17,0
1324508400,0,17,17,17,0
1324594800,0,17,17,17,0
1324940400,17,16.5,17,16.5,110
1325026800,0,16.5,16.5,16.5,0
1325113200,0,16.5,16.5,16.5,0
1325199600,17.5,17.5,17.5,17.5,5
1325458800,19.24,19.24,19.24,19.24,10
1325545200,17.32,17.32,17.32,17.32,150
1325631600,17.51,17.51,17.51,17.51,25
1325718000,17.53,17.52,17.53,17.52,500
1326063600,0,17.52,17.52,17.52,0
1326150000,0,17.52,17.52,17.52,0
1326236400,17,17,17,17,200
1326322800,16.8,16.8,16.8,16.8,200
1326409200,0,16.8,16.8,16.8,0
1326668400,16.51,16.5,16.51,16.5,620
1326754800,0,16.5,16.5,16.5,0
1326841200,0,16.5,16.5,16.5,0
1326927600,16.51,16.51,16.51,16.51,300
1327014000,0,16.51,16.51,16.51,0
1327273200,0,16.51,16.51,16.51,0
1327359600,16.5,15.7,16.5,15.7,1280
1327446000,0,15.7,15.7,15.7,0
1327532400,0,15.7,15.7,15.7,0
1327618800,0,15.7,15.7,15.7,0
1327878000,0,15.7,15.7,15.7,0
1327964400,15.6,15.6,15.6,15.6,210
1328050800,16,16,16,16,50
1328137200,17,17.3,17.3,17,549
1328223600,16,16.4,16.4,15.57,1300
1328482800,17,16.95,17,16.95,200
1328569200,16.95,17.18,17.99,16.21,1064
1328655600,17.35,17.35,17.35,17.35,100
1328742000,17.55,17.69,17.7,17.55,284
1328828400,17.7,17.7,17.7,17.7,17
1329087600,16.4,19.38,19.38,16.4,243
1329174000,17.45,17.5,18.5,17.45,758
1329260400,17.53,17.55,17.55,17.53,450
1329346800,17.57,17.84,17.84,16.82,650
1329433200,16.72,17.79,17.79,16.72,314
1329692400,16.72,17.5,17.69,16.72,340
1329778800,17.51,17.51,17.51,17.51,23
1329865200,16.62,17.43,17.43,16.62,314
1329951600,17.44,17.44,17.44,17.44,23
1330038000,17.4,17.4,17.4,17.4,42
1330297200,17.4,17,17.4,17,323
1330383600,0,17,17,17,0
1330470000,0,17,17,17,0
1330556400,0,17,17,17,0
1330642800,0,17,17,17,0
1330902000,16.3,17,17,16.3,600
1330988400,0,17,17,17,0
1331074800,0,17,17,17,0
1331161200,17.02,17.02,17.02,17.02,23
1331247600,0,17.02,17.02,17.02,0
1331506800,16,16,16,16,35
1331593200,17.89,17.89,17.89,17.89,50
1331679600,16.47,16.5,16.5,16.47,51
1331766000,17,16.55,17,16.55,1200
1331852400,16.55,16.55,16.55,16.55,49
1332111600,0,16.55,16.55,16.55,0
1332198000,0,16.55,16.55,16.55,0
1332284400,16.1,16.1,16.1,16.1,30
1332370800,16,17.71,17.71,15,621
1332457200,16,16,16,15.94,890
1332712800,16.02,15,16.02,15,520
1332799200,15.5,15.5,15.5,15.5,60
1332885600,0,15.5,15.5,15.5,0
1332972000,0,15.5,15.5,15.5,0
1333058400,15.5,15.5,15.5,15.5,50
1333317600,14.3,14.99,14.99,13.5,616
1333404000,13.82,13.82,14.52,13.82,504
1333490400,13.85,15.12,15.12,13,551
1333576800,0,15.12,15.12,15.12,0
1334008800,13.65,13.65,13.65,13.65,267
1334095200,0,13.65,13.65,13.65,0
1334181600,0,13.65,13.65,13.65,0
1334268000,0,13.65,13.65,13.65,0
1334527200,0,13.65,13.65,13.65,0
1334613600,0,13.65,13.65,13.65,0
1334700000,0,13.65,13.65,13.65,0
1334786400,12.95,12.95,12.95,12.95,50
1334872800,0,12.95,12.95,12.95,0
1335132000,14.15,14.15,14.15,14.15,1
1335218400,0,14.15,14.15,14.15,0
1335304800,0,14.15,14.15,14.15,0
1335391200,0,14.15,14.15,14.15,0
1335477600,0,14.15,14.15,14.15,0
