t,o,c,h,l,v
1210024800,13.47,13.14,13.47,12.87,8150154
1210111200,13.14,13.2,13.24,12.93,3173656
1210197600,13.1,13.15,13.2,13.02,470837
1210284000,13.15,12.84,13.15,12.76,451507
1210543200,12.87,12.85,12.93,12.76,366713
1210629600,12.8,13,13.08,12.78,659711
1210716000,13.15,13.45,13.49,13.15,846585
1210802400,13.39,13.37,13.39,13.31,198532
1210888800,13.38,13.35,13.4,13.32,362074
1211148000,13.4,13.3,13.4,13.25,796312
1211234400,13.3,13.5,13.6,13.3,1129943
1211320800,13.45,13.47,13.59,13.35,400791
1211493600,13.49,13.55,13.58,13.48,203054
1211752800,13.55,13.5,13.55,13.46,116564
1211839200,13.46,13.53,13.53,13.45,214757
1211925600,13.55,13.92,14,13.54,637736
1212012000,13.99,13.91,14.1,13.9,407538
1212098400,14,14.37,14.37,13.99,195572
1212357600,14.39,14.75,14.9,14.35,799408
1212444000,14.79,15.4,15.45,14.77,670496
1212530400,15.49,14.79,15.5,14.7,229839
1212616800,14.5,14.59,14.94,14.15,308635
1212703200,14.84,14.65,14.93,14.5,116488
1212962400,14.29,14.45,14.5,13.98,168169
1213048800,14.2,14.01,14.25,13.7,379276
1213135200,13.81,13.85,13.95,13.66,288866
1213221600,13.65,13.7,14.05,13.61,162756
1213308000,13.7,13.92,14,13.52,54365
1213567200,13.91,14.3,14.36,13.9,97037
1213653600,14.25,14.4,14.55,14.25,84131
1213740000,14.35,14,14.37,13.9,118216
1213826400,13.95,13.9,14,13.52,453670
1213912800,14,13.92,14.1,13.92,219307
1214172000,13.99,13.7,14,13.65,252414
1214258400,13.7,13.3,13.74,13.01,263582
1214344800,13.2,13.15,13.3,13.09,541794
1214431200,13.06,13.1,13.2,13.06,58438
1214517600,13,13.2,13.3,12.9,164892
1214776800,13.15,13.4,13.4,13.06,134397
1214863200,13.48,13.13,13.64,13.13,404627
1214949600,13.13,13.71,13.81,13.13,171640
1215036000,13.65,13.55,13.65,13.5,246625
1215122400,13.5,13.4,13.6,13.4,89473
1215381600,13.55,13.5,13.55,13.4,93087
1215468000,13.4,13.48,13.54,13.21,81223
1215554400,13.4,13.5,13.55,13.37,92357
1215640800,13.35,13.39,13.45,13.25,89277
1215727200,13.5,12.81,13.5,12.81,43588
1215986400,12.7,12.45,12.9,12.2,38306
1216072800,12.11,12,12.13,11.9,166706
1216159200,12,12,12.19,11.45,168064
1216245600,12.2,12.55,12.83,12.01,111222
1216332000,12.5,13,13.05,12.5,87941
1216591200,13.05,13.49,13.49,13,64800
1216677600,13.47,13.7,13.7,13.42,51759
1216764000,13.78,14.11,14.15,13.78,147478
1216850400,14.1,14,14.1,13.9,189126
1216936800,13.79,14,14.14,13.61,76287
1217196000,14.16,14.15,14.16,14,24880
1217282400,14.08,14.05,14.08,14,305088
1217368800,14.1,14.15,14.18,14.01,53992
1217455200,13.92,14.2,14.2,13.92,405667
1217541600,14.15,14.06,14.15,14,304688
1217800800,13.9,13.75,14,13.75,110758
1217887200,13.75,13.8,13.88,13.75,190700
1217973600,14,14,14.1,13.9,214348
1218060000,14,13.8,14,13.6,25056
1218146400,13.81,13.75,13.9,13.6,252179
1218405600,13.5,13.7,14,13.5,147831
1218492000,13.7,13.45,13.7,13.44,21522
1218578400,13.8,13.7,13.8,13.5,67244
1218664800,13.8,13.8,13.89,13.7,105704
1219010400,13.89,13.8,13.89,13.8,75618
1219096800,13.76,13.83,13.84,13.7,49395
1219183200,13.65,13.8,13.81,13.65,64581
1219269600,13.75,13.7,13.75,13.6,53796
1219356000,13.58,13.84,13.85,13.58,31705
1219615200,13.8,13.8,13.9,13.61,4387
1219701600,13.71,13.87,13.89,13.7,150299
1219788000,13.9,13.9,13.9,13.71,58751
1219874400,13.89,13.85,13.89,13.75,324011
1219960800,13.85,14.5,14.5,13.85,86219
1220220000,14.47,14.98,15,14.02,153298
1220306400,14.93,15.03,15.13,14.7,459549
1220392800,14.9,14.92,15,14.8,866127
