t,o,c,h,l,v
1107990000,29.6,28.1,30,28,1397541
1108076400,28.4,28.3,28.4,27.9,146970
1108335600,28.2,28.5,28.7,28.1,106446
1108422000,28.6,28.6,28.7,28.5,36758
1108508400,28.6,28.9,29,28.5,174048
1108594800,28.9,28.8,28.9,28.5,80853
1108681200,28.6,28.8,28.8,28.2,68359
1108940400,28.3,28.8,29,28,123084
1109026800,28.7,29.1,29.2,28.4,92140
1109113200,28.8,29.8,29.8,28.8,125146
1109199600,29.9,31.1,31.2,29.9,347605
1109286000,31.5,31.3,31.8,31,246261
1109545200,31.6,31,31.8,31,97450
1109631600,30.5,31,31.1,30.3,46322
1109718000,31,31,31.1,30.8,195581
1109804400,30.9,31,31.3,30.9,29753
1109890800,31,30.5,31,30.2,20890
1110150000,30.3,30.2,30.6,29.6,37093
1110236400,30,30.2,30.2,29.6,51190
1110322800,30.2,29.9,30.2,29.8,37684
1110409200,29.9,29.5,29.9,29.2,57764
1110495600,29.6,29.2,29.6,28.9,53140
1110754800,29.2,29.1,29.4,28.8,22170
1110841200,29,29.3,29.3,28.7,11489
1110927600,29.2,29.3,29.7,28.9,40217
1111014000,29,29,29.2,28.8,19244
1111100400,29,29,29.2,29,30561
1111359600,29,29,29.3,29,17813
1111446000,29,28.8,29,28.7,31618
1111532400,28.7,28.6,28.8,28.5,51355
1111618800,28.5,28.6,28.6,28.3,102705
1112047200,28.5,28.3,28.5,28.1,3264
1112133600,28.3,28.9,28.9,28.3,5980
1112220000,29,28.8,29,28.7,8146
1112306400,28.6,28.8,28.8,28.4,48448
1112565600,28.8,28.5,28.8,28.5,55800
1112652000,28.4,28.9,28.9,28.4,3782
1112738400,28.9,29.1,29.1,28.6,3329
1112824800,29,29,29.2,28.6,3674
1113170400,28.5,28.8,29,28.5,4455
1113256800,29,28.5,29,28.5,9752
1113343200,28.4,28.7,29,28.4,7855
1113429600,28.5,29,29,28.5,9860
1113516000,28.7,29,29.1,28.6,8615
1113775200,28.5,28.9,28.9,28,22420
1113861600,28.5,28.2,28.5,28.1,1451
1113948000,28.2,27.9,28.5,27.6,11247
1114034400,28,27,28,27,3966
1114120800,27.1,26.5,27.1,26.1,5377
1114380000,26,25.3,26,24.9,38750
1114466400,25.4,24.9,25.5,24.5,9189
1114552800,25,23.9,25,23.9,21709
1114639200,23.8,24,24,22.8,26397
