t,o,c,h,l,v
1480546800,22.3,22.28,22.38,21.65,14541
1480633200,22.3,22.29,22.35,22.1,15820
1480892400,22.3,22.74,22.8,22.3,92446
1480978800,22.87,23.51,23.9,22.81,52723
1481065200,23.85,24.65,25.2,23.85,82999
1481151600,25,24.6,25,24.3,58989
1481238000,24.96,24.59,24.96,24,42691
1481497200,24.7,23.95,24.96,23.9,22533
1481583600,24.35,24.3,24.4,23.95,28613
1481670000,24.4,24.2,24.5,24.02,15563
1481756400,24.05,24.55,24.7,24.04,35386
1481842800,24.56,24.69,24.88,24.4,26344
1482102000,24.62,24.41,24.7,24.21,22557
1482188400,24.42,24.41,24.5,24.37,16260
1482274800,24.45,24.75,25,24.25,66056
1482361200,24.8,24.58,24.8,24.1,38390
1482447600,24.58,24.89,25,24.58,21211
1482793200,24.9,24.95,24.98,24.8,35186
1482879600,24.97,24.76,24.97,24.61,33365
1482966000,24.87,24.8,24.89,24.63,25531
1483052400,24.8,24.51,24.8,24.51,34577
1483311600,24.99,24.47,26.49,24.47,18712
1483398000,24.7,25.58,25.59,24.7,170040
1483484400,25.57,25.42,25.58,25.16,52634
1483570800,25.5,25.87,25.9,25.5,27359
1483916400,25.87,25.9,25.9,25.69,23279
1484002800,25.8,25.7,25.9,25.69,37824
1484089200,25.9,25.88,25.9,25.75,17763
1484175600,25.88,25.66,25.88,25.51,37920
1484262000,25.52,25.44,25.88,25.15,15091
1484521200,25.3,25.2,25.3,24.28,61517
1484607600,25.19,25.19,25.19,24.83,13663
1484694000,25.18,25.79,25.9,25.15,37347
1484780400,25.78,27.05,27.44,25.55,49474
1484866800,27.38,28.11,28.9,26.89,137943
1485126000,28.25,28.99,29.4,28.11,147076
1485212400,29.49,31.95,32,29.2,221063
1485298800,31.7,31.55,32.64,31.18,135899
1485385200,31.98,31,31.98,30.11,50404
1485471600,30.9,31.4,31.4,29.82,32151
1485730800,31.4,33.39,33.9,31.4,110507
1485817200,33.5,33.7,33.7,33.05,27214
1485903600,33.79,33.3,33.9,33,36824
1485990000,33.6,32.87,33.63,32.5,260761
1486076400,32.8,30.85,32.98,30.6,144816
1486335600,30.5,30.5,30.8,29.3,87805
1486422000,30.5,30.38,30.8,30,38370
1486508400,30.6,31.45,32.15,30.6,49630
1486594800,31.98,30.75,32.25,30.66,51147
1486681200,31,30.41,31,30,30388
1486940400,30.41,30.2,30.59,29.5,88820
1487026800,30.49,30.49,30.98,29.52,20686
1487113200,30.49,31.35,31.49,30.49,24647
1487199600,31.49,32.28,32.35,31.49,64058
1487286000,32.28,31.58,32.28,31,21810
1487545200,31.98,31.25,32.08,30.95,10113
1487631600,31.25,30.49,31.9,30.12,40393
1487718000,30.87,30.47,30.9,30.11,30578
1487804400,30.47,31.69,31.79,30.2,45543
1487890800,31.66,31,31.7,30.88,27541
1488150000,31.1,31.7,32.18,31.1,29402
1488236400,31.8,31.62,32.2,31.44,70201
1488322800,32,33.1,33.1,31.31,115094
1488409200,33.45,33.8,33.93,33.35,48061
1488495600,33.9,33.75,33.9,33,26682
1488754800,33.8,34.3,34.4,33.41,42782
1488841200,34.4,33.99,34.4,32.3,58699
1488927600,33.1,33.99,33.99,32.96,16412
