t,o,c,h,l,v
1105657200,50,43,51.2,40,34864
1105916400,43.8,39.8,45,39.6,9886
1106002800,39,40,40,39,3301
1106089200,39.1,39.5,40,39.1,1115
1106175600,39.1,39.5,40,39,1143
1106262000,38.7,39.4,39.5,38.7,721
1106521200,39.5,39.2,39.5,39,4737
1106607600,38.1,40.2,40.2,38.1,11
1106694000,39.2,39.5,40.4,39.1,1959
1106780400,39.9,39.9,39.9,39.9,11
1106866800,39.4,39,39.4,39,2044
1107126000,39,38.5,39,38.5,2891
1107212400,39,40,40,39,2300
1107298800,39.7,42.2,43.9,39.7,7480
1107385200,43,41.5,43,41.5,791
1107471600,42,40.5,42,40.5,1360
1107730800,40.5,40.6,40.7,40.5,813
1107817200,40.6,40.6,40.6,40.5,630
1107903600,40.6,40,40.6,40,525
1107990000,40,42.3,42.3,39.8,6203
1108076400,42.3,42.7,42.7,41.9,51429
1108335600,42.9,43.9,43.9,42.8,522
1108422000,43.8,43.4,43.8,43.4,1727
1108508400,43.5,43.2,43.5,43,2171
1108594800,42.6,43.2,43.2,42.2,3477
1108681200,43,43,43.4,43,265
1108940400,43,43.4,43.4,42.6,2889
1109026800,41.9,43,43.3,41.9,1564
1109113200,43.2,43.6,43.7,43.2,792
1109199600,44,43,44,43,940
1109286000,43,42,43,42,710
1109545200,42,41.2,42,41.2,425
1109631600,42.1,41.2,42.1,40,1635
1109718000,41.1,42.3,42.3,41.1,900
1109804400,42.5,41.6,42.5,41.6,201
1109890800,42,42.9,42.9,40.8,2410
1110150000,41,42.5,42.5,40.6,1969
1110236400,41.2,42.5,42.5,41.2,260
1110322800,42.4,42.5,42.5,42.4,1375
1110409200,42.3,43.3,43.3,41.5,1650
1110495600,43,43,43,43,5
1110754800,42,43,43,42,940
1110841200,42.4,43,43,42.3,788
1110927600,42.3,43,43,42.3,1088
1111014000,42.8,42.9,43,41.6,1071
1111100400,43,43.1,43.1,42,900
1111359600,43.1,43.3,43.3,42.6,341
1111446000,43,44,45,43,2280
1111532400,0,44,44,44,0
1111618800,44,44,44.2,43.1,1873
1112047200,45,45,45,45,5
1112133600,44.2,44.7,44.7,44.2,105
1112220000,44.6,44,44.6,44,222
1112306400,43.1,44.3,44.3,43,150
1112565600,43.2,43,43.2,43,248
1112652000,43.7,43.3,43.7,42.5,419
1112738400,43.7,43.7,43.7,43.7,5
1112824800,43.7,43.7,43.7,43.7,5
1113170400,42.6,42.8,42.8,41.7,1487
1113256800,42,41.8,42,41.8,515
1113343200,41.8,42.5,42.5,41.8,600
1113429600,42.5,43,43,42.5,485
1113516000,41.8,43,43,41.7,750
1113775200,42.6,42.6,42.6,42.6,5
1113861600,42,43,43,41.6,505
1113948000,0,43,43,43,0
1114034400,42.8,42.8,42.8,42.8,200
1114120800,0,42.8,42.8,42.8,0
1114380000,0,42.8,42.8,42.8,0
1114466400,43,43,43,42,380
1114552800,43,43,43,43,5
1114639200,42.8,42.5,42.8,40.4,2261
1114725600,43.2,43.2,43.2,42,148
1114984800,43.9,43.9,43.9,43.9,5
1115157600,43.2,43.3,43.3,43.1,140
1115244000,42.9,42.8,42.9,41.8,1457
1115330400,42.7,42.8,42.8,41.7,368
1115589600,43.5,42.4,43.5,41.7,400
1115676000,42,42,42.6,41.3,2677
1115762400,41.8,42,42,40.5,1758
