t,o,c,h,l,v
1323039600,12.37,11.1,13.5,10.1,5203
1323126000,11.1,13.9,13.9,10,2319
1323212400,13.89,13.7,15.7,12.7,1965
1323298800,13.75,13.7,15.69,12.7,3481
1323385200,13.7,13.64,13.7,13.19,440
1323644400,13.8,13.5,13.8,13,359
1323730800,13.25,13,13.25,12.7,1123
1323817200,12.71,12.4,12.71,12.4,295
1323903600,12.51,12.51,12.51,12.51,700
1323990000,12.51,12.51,12.51,12.51,20
1324249200,12.75,12.75,12.75,12.75,20
1324335600,12.75,12.7,12.75,12.7,10
1324422000,12.51,12.51,12.51,12.51,25
1324508400,12.51,15,15,12.51,1875
1324594800,15.7,15.7,15.7,15.7,10
1324940400,15.7,15.7,15.7,15.7,10
1325026800,15.6,15.3,15.6,14.5,40
1325113200,15.6,15.6,15.6,15.6,10
1325199600,15.6,15.6,15.6,15.6,20
1325458800,15.7,15.7,15.7,15.7,10
1325545200,15.7,16,16,15.7,21
1325631600,0,16,16,16,0
1325718000,0,16,16,16,0
1326063600,0,16,16,16,0
1326150000,15.2,15,15.2,15,30
1326236400,14.8,14.8,14.8,14.8,20
1326322800,0,14.8,14.8,14.8,0
1326409200,0,14.8,14.8,14.8,0
1326668400,0,14.8,14.8,14.8,0
1326754800,0,14.8,14.8,14.8,0
1326841200,0,14.8,14.8,14.8,0
1326927600,0,14.8,14.8,14.8,0
1327014000,0,14.8,14.8,14.8,0
1327273200,0,14.8,14.8,14.8,0
1327359600,15.3,17.6,17.6,15.3,654
1327446000,18.38,18.4,18.4,18.38,50
1327532400,18.4,18.4,18.4,18.4,20
1327618800,18.4,19.1,19.1,18.4,956
1327878000,19.1,19.1,19.1,19.1,5
1327964400,19.1,17.4,19.1,17.38,673
1328050800,0,17.4,17.4,17.4,0
1328137200,17,16.8,17,16.8,15
1328223600,16.8,20.2,20.2,16.8,794
1328482800,20.2,20.17,20.2,20.16,193
1328569200,20.17,19.42,20.17,19.2,385
1328655600,19.99,19.99,19.99,19.99,2
1328742000,19.95,19.5,19.95,19.5,260
1328828400,19.8,19.8,19.8,19.8,2
1329087600,19.8,19.8,19.8,19.8,151
1329174000,20.09,20.09,20.09,20.09,10
1329260400,20.09,20.19,20.19,20.08,270
1329346800,20.18,22.9,22.9,20.18,3192
1329433200,23,27.4,27.4,23,1404
1329692400,31.4,30.2,31.4,29.9,2308
1329778800,31,29,31,29,590
1329865200,29,29,29,29,5
1329951600,0,29,29,29,0
1330038000,0,29,29,29,0
1330297200,27.91,27.91,27.91,27.91,73
1330383600,27,26.7,27,26.7,105
1330470000,26,26.7,26.7,26,329
1330556400,26.7,26.7,26.7,26.7,19
1330642800,26.7,26.7,26.7,26.7,5
1330902000,0,26.7,26.7,26.7,0
1330988400,0,26.7,26.7,26.7,0
1331074800,0,26.7,26.7,26.7,0
1331161200,0,26.7,26.7,26.7,0
1331247600,26.88,26.88,26.88,26.88,5
1331506800,26.88,28.5,28.5,26.88,95
1331593200,0,28.5,28.5,28.5,0
1331679600,0,28.5,28.5,28.5,0
1331766000,0,28.5,28.5,28.5,0
1331852400,0,28.5,28.5,28.5,0
1332111600,28.13,29,29,28.13,100
1332198000,29.55,29,29.55,29,14
1332284400,0,29,29,29,0
1332370800,0,29,29,29,0
1332457200,0,29,29,29,0
1332712800,0,29,29,29,0
1332799200,0,29,29,29,0
1332885600,28.7,28.7,28.7,28.7,10
1332972000,28.5,28.1,28.5,28.1,100
1333058400,27.3,26.95,27.3,26.95,100
1333317600,27.03,27.03,27.03,27.03,7
1333404000,0,27.03,27.03,27.03,0
1333490400,0,27.03,27.03,27.03,0
1333576800,0,27.03,27.03,27.03,0
1334008800,0,27.03,27.03,27.03,0
1334095200,0,27.03,27.03,27.03,0
1334181600,26.8,26.8,26.8,26.8,10
1334268000,27,27,27,27,20
1334527200,27,27.14,27.14,27,40
1334613600,27,28.4,28.4,27,42
1334700000,0,28.4,28.4,28.4,0
1334786400,28,27.8,28,27.8,8
1334872800,28.5,28,28.77,28,40
1335132000,0,28,28,28,0
1335218400,28.5,28.87,28.87,28.5,20
1335304800,28.9,29.19,29.19,28.9,20
1335391200,29.19,29.7,29.7,29.19,29
1335477600,0,29.7,29.7,29.7,0
1335736800,0,29.7,29.7,29.7,0
1335909600,0,29.7,29.7,29.7,0
1336082400,29.7,29.7,29.7,29.7,5
1336341600,29.7,29,29.7,29,22
1336428000,0,29,29,29,0
1336514400,29.55,30,30.65,29.55,178
1336600800,0,30,30,30,0
1336687200,30.4,30,30.45,30,100
1336946400,29.5,29,29.5,29,63
1337032800,28.7,27.8,28.7,27.8,50
1337119200,0,27.8,27.8,27.8,0
1337205600,0,27.8,27.8,27.8,0
1337292000,0,27.8,27.8,27.8,0
1337551200,0,27.8,27.8,27.8,0
1337637600,27.7,28.87,28.87,27.7,190
1337724000,29.5,29,29.5,29,40
1337810400,0,29,29,29,0
1337896800,29,29,29,29,10
1338156000,0,29,29,29,0
1338242400,0,29,29,29,0
1338328800,29,28.7,29,28.7,90
1338415200,0,28.7,28.7,28.7,0
1338501600,0,28.7,28.7,28.7,0
1338760800,0,28.7,28.7,28.7,0
1338847200,0,28.7,28.7,28.7,0
1338933600,0,28.7,28.7,28.7,0
1339106400,0,28.7,28.7,28.7,0
1339365600,28.7,27.91,28.7,27.91,110
1339452000,0,27.91,27.91,27.91,0
1339538400,0,27.91,27.91,27.91,0
1339624800,0,27.91,27.91,27.91,0
1339711200,0,27.91,27.91,27.91,0
1339970400,0,27.91,27.91,27.91,0
1340056800,0,27.91,27.91,27.91,0
1340143200,0,27.91,27.91,27.91,0
1340229600,27.6,26.6,27.6,26.6,117
1340316000,26,26.19,26.19,26,133
1340575200,0,26.19,26.19,26.19,0
1340661600,0,26.19,26.19,26.19,0
1340748000,0,26.19,26.19,26.19,0
1340834400,0,26.19,26.19,26.19,0
1340920800,0,26.19,26.19,26.19,0
1341180000,0,26.19,26.19,26.19,0
1341266400,0,26.19,26.19,26.19,0
1341352800,0,26.19,26.19,26.19,0
1341439200,0,26.19,26.19,26.19,0
1341525600,0,26.19,26.19,26.19,0
1341784800,26.5,26.5,26.5,26.5,3
1341871200,26.9,30,30.1,26.9,710
1341957600,28,27.8,28,27.5,20
1342044000,0,27.8,27.8,27.8,0
1342130400,0,27.8,27.8,27.8,0
1342389600,0,27.8,27.8,27.8,0
1342476000,0,27.8,27.8,27.8,0
1342562400,0,27.8,27.8,27.8,0
1342648800,0,27.8,27.8,27.8,0
1342735200,0,27.8,27.8,27.8,0
1342994400,0,27.8,27.8,27.8,0
1343080800,0,27.8,27.8,27.8,0
1343167200,0,27.8,27.8,27.8,0
1343253600,0,27.8,27.8,27.8,0
1343340000,0,27.8,27.8,27.8,0
1343599200,0,27.8,27.8,27.8,0
1343685600,27.5,27,27.5,27,7
1343772000,0,27,27,27,0
1343858400,0,27,27,27,0
1343944800,27,27,27,27,8
1344204000,26.7,25.5,26.7,25.5,89
1344290400,0,25.5,25.5,25.5,0
1344376800,0,25.5,25.5,25.5,0
1344463200,0,25.5,25.5,25.5,0
1344549600,0,25.5,25.5,25.5,0
1344808800,0,25.5,25.5,25.5,0
1344895200,25.4,25.67,25.67,25.4,69
1345068000,0,25.67,25.67,25.67,0
1345154400,0,25.67,25.67,25.67,0
1345413600,0,25.67,25.67,25.67,0
1345500000,0,25.67,25.67,25.67,0
1345586400,0,25.67,25.67,25.67,0
1345672800,0,25.67,25.67,25.67,0
1345759200,0,25.67,25.67,25.67,0
1346018400,26.5,26.5,26.5,26.5,5
1346104800,0,26.5,26.5,26.5,0
1346191200,0,26.5,26.5,26.5,0
1346277600,0,26.5,26.5,26.5,0
1346364000,0,26.5,26.5,26.5,0
1346623200,0,26.5,26.5,26.5,0
1346709600,0,26.5,26.5,26.5,0
1346796000,27.2,27.41,27.41,27.2,50
1346882400,27.5,30.48,30.48,27.5,30
1346968800,30.45,30.48,30.48,30.45,10
1347228000,30.48,30.48,30.48,30.48,11
1347314400,31.8,33,33,31.8,60
1347400800,33,35.67,35.67,33,30
1347487200,36,36,36,36,5
1347573600,0,36,36,36,0
1347832800,35.3,34.34,35.3,34.34,39
1347919200,33.5,31.3,33.5,31.3,83
1348005600,0,31.3,31.3,31.3,0
1348092000,0,31.3,31.3,31.3,0
1348178400,0,31.3,31.3,31.3,0
1348437600,0,31.3,31.3,31.3,0
1348524000,0,31.3,31.3,31.3,0
1348610400,0,31.3,31.3,31.3,0
1348696800,31.7,30.3,32.57,30.3,75
1348783200,30.53,30.42,30.53,30.2,150
1349042400,30,30,30,30,50
1349128800,0,30,30,30,0
1349215200,0,30,30,30,0
1349301600,29.4,28.1,29.4,28.1,64
1349388000,28.48,26.66,28.48,26.5,99
1349647200,26,25.3,26,25.3,65
1349733600,0,25.3,25.3,25.3,0
1349820000,25.42,25.42,25.42,25.42,59
1349906400,0,25.42,25.42,25.42,0
1349992800,0,25.42,25.42,25.42,0
1350252000,0,25.42,25.42,25.42,0
1350338400,24.4,20,24.4,20,294
1350424800,20.13,20.13,20.13,20.13,75
1350511200,0,20.13,20.13,20.13,0
1350597600,20.13,20.13,20.13,20.13,19
1350856800,0,20.13,20.13,20.13,0
1350943200,0,20.13,20.13,20.13,0
1351029600,0,20.13,20.13,20.13,0
1351116000,0,20.13,20.13,20.13,0
1351202400,0,20.13,20.13,20.13,0
1351465200,0,20.13,20.13,20.13,0
1351551600,0,20.13,20.13,20.13,0
1351638000,0,20.13,20.13,20.13,0
1351810800,0,20.13,20.13,20.13,0
1352070000,0,20.13,20.13,20.13,0
1352156400,20.3,20.73,20.73,20.3,103
1352242800,21,25,25,21,115
1352329200,24.4,23.52,24.4,23.52,68
1352415600,23.75,25,25,22.1,208
1352674800,0,25,25,25,0
1352761200,0,25,25,25,0
1352847600,0,25,25,25,0
1352934000,0,25,25,25,0
1353020400,0,25,25,25,0
1353279600,0,25,25,25,0
1353366000,0,25,25,25,0
1353452400,0,25,25,25,0
1353538800,24,24.2,24.2,24,100
1353625200,25,25,25,25,1
1353884400,23.7,25,25,23.7,72
1353970800,0,25,25,25,0
1354057200,0,25,25,25,0
1354143600,0,25,25,25,0
1354230000,24.07,24.07,24.07,24.07,25
1354489200,24.35,23.8,24.56,23.8,149
1354575600,23.3,24,24.49,22.65,252
1354662000,22,21.87,22,21.4,141
1354748400,0,21.87,21.87,21.87,0
1354834800,22.2,23,23,22.2,77
1355094000,0,23,23,23,0
1355180400,22.2,21.7,22.2,21.7,80
1355266800,0,21.7,21.7,21.7,0
1355353200,21.2,20.6,21.2,20.6,80
1355439600,20.96,22.14,22.14,20.96,78
1355698800,22.1,21.3,22.1,21.3,148
1355785200,20.5,20,20.5,20,83
1355871600,0,20,20,20,0
1355958000,19.8,19.05,19.8,19.05,254
1356044400,0,19.05,19.05,19.05,0
1356562800,0,19.05,19.05,19.05,0
1356649200,0,19.05,19.05,19.05,0
1357081200,0,19.05,19.05,19.05,0
1357167600,0,19.05,19.05,19.05,0
1357254000,19,19.35,19.35,19,83
1357513200,19.35,18.61,19.35,18.61,92
1357599600,0,18.61,18.61,18.61,0
1357686000,19,19,19,19,95
1357772400,19.45,18.85,19.45,18.85,158
1357858800,0,18.85,18.85,18.85,0
1358118000,0,18.85,18.85,18.85,0
1358204400,0,18.85,18.85,18.85,0
1358290800,0,18.85,18.85,18.85,0
1358377200,0,18.85,18.85,18.85,0
1358463600,18.5,17.83,18.5,17.83,92
1358722800,0,17.83,17.83,17.83,0
1358809200,0,17.83,17.83,17.83,0
1358895600,0,17.83,17.83,17.83,0
1358982000,0,17.83,17.83,17.83,0
1359068400,17.7,16.8,17.7,16.8,17
1359327600,0,16.8,16.8,16.8,0
1359414000,0,16.8,16.8,16.8,0
1359500400,16.55,17.9,17.9,16.55,100
1359586800,17.52,19.8,19.8,17.52,105
1359673200,0,19.8,19.8,19.8,0
1359932400,18.94,19.8,19.8,18.94,1991
1360018800,19.5,18.61,19.5,18.61,93
1360105200,18.61,17.6,18.61,17.6,295
1360191600,0,17.6,17.6,17.6,0
1360278000,0,17.6,17.6,17.6,0
1360537200,0,17.6,17.6,17.6,0
1360623600,0,17.6,17.6,17.6,0
1360710000,0,17.6,17.6,17.6,0
1360796400,0,17.6,17.6,17.6,0
1360882800,17.8,17.6,17.8,17.6,267
1361142000,17.6,17.6,18.1,17.6,2192
1361228400,0,17.6,17.6,17.6,0
1361314800,17.6,17.6,17.6,17.6,200
1361401200,0,17.6,17.6,17.6,0
1361487600,0,17.6,17.6,17.6,0
1361746800,0,17.6,17.6,17.6,0
1361833200,17.6,17.6,17.6,17.6,200
1361919600,0,17.6,17.6,17.6,0
1362006000,18,19.2,19.2,18,15
1362092400,0,19.2,19.2,19.2,0
1362351600,0,19.2,19.2,19.2,0
1362438000,0,19.2,19.2,19.2,0
1362524400,0,19.2,19.2,19.2,0
1362610800,0,19.2,19.2,19.2,0
1362697200,0,19.2,19.2,19.2,0
1362956400,18.2,17.5,18.2,17.4,191
1363042800,0,17.5,17.5,17.5,0
1363129200,0,17.5,17.5,17.5,0
1363215600,17.5,17.5,17.5,17.5,5
1363302000,0,17.5,17.5,17.5,0
1363561200,0,17.5,17.5,17.5,0
1363647600,0,17.5,17.5,17.5,0
1363734000,0,17.5,17.5,17.5,0
1363820400,0,17.5,17.5,17.5,0
1363906800,0,17.5,17.5,17.5,0
1364166000,0,17.5,17.5,17.5,0
1364252400,0,17.5,17.5,17.5,0
1364338800,0,17.5,17.5,17.5,0
1364425200,0,17.5,17.5,17.5,0
1364853600,0,17.5,17.5,17.5,0
1364940000,17.45,16.9,17.45,16.9,109
1365026400,0,16.9,16.9,16.9,0
1365112800,0,16.9,16.9,16.9,0
1365372000,16.91,17.75,17.75,16.2,953
1365458400,0,17.75,17.75,17.75,0
1365544800,0,17.75,17.75,17.75,0
1365631200,17.5,19.15,19.15,17.5,110
1365717600,18.7,18.2,18.7,18.2,113
1365976800,0,18.2,18.2,18.2,0
1366149600,0,18.2,18.2,18.2,0
1366236000,18.2,18.2,18.2,18.2,1
1366322400,0,18.2,18.2,18.2,0
1366581600,18.15,18.15,18.15,18.15,5
1366668000,0,18.15,18.15,18.15,0
1366754400,18.2,18.2,18.2,18.2,83
1366840800,18.7,18.7,18.7,18.7,1
1366927200,0,18.7,18.7,18.7,0
1367186400,0,18.7,18.7,18.7,0
1367272800,0,18.7,18.7,18.7,0
1367445600,0,18.7,18.7,18.7,0
1367791200,18.6,18.48,18.6,18.48,2
1367877600,0,18.48,18.48,18.48,0
1367964000,18.48,18.7,18.7,18.48,81
1368050400,0,18.7,18.7,18.7,0
1368136800,0,18.7,18.7,18.7,0
1368396000,0,18.7,18.7,18.7,0
1368482400,18.8,19.2,19.2,18.8,120
1368568800,19.2,19.2,19.2,19.19,846
1368655200,19.3,19,20.04,19,492
1368741600,0,19,19,19,0
1369000800,0,19,19,19,0
1369087200,19.31,20.6,20.99,19,3497
1369173600,20.6,20.6,21.6,20.6,1183
1369260000,20.6,21.92,21.92,19.5,1236
1369346400,21.15,22.38,22.38,21,296
1369605600,22.9,24,24,22.4,2293
1369692000,24.18,23,24.18,23,499
1369778400,23.2,21,23.2,21,705
1369951200,21.5,20.5,22.77,20.5,491
1370210400,20.6,20.6,20.6,20.4,399
1370296800,20.6,20.5,20.6,20.44,70
1370383200,20.5,20.5,20.5,20.5,35
1370469600,20.45,20.45,20.45,20.45,5
1370556000,20.55,21.4,21.4,20.55,11
1370815200,0,21.4,21.4,21.4,0
1370901600,20.85,21.4,21.4,20.85,20
1370988000,21.4,21,21.4,21,80
1371074400,0,21,21,21,0
1371160800,0,21,21,21,0
1371420000,21.1,21.1,21.1,21.1,22
1371506400,21.1,19.13,21.1,16.9,484
1371592800,18.7,20.4,20.4,18.5,383
1371679200,0,20.4,20.4,20.4,0
1371765600,0,20.4,20.4,20.4,0
1372024800,0,20.4,20.4,20.4,0
1372111200,19.88,20.05,20.1,19.88,4
1372197600,20,20,20,20,6
1372284000,19.9,20,20,19.01,111
1372370400,20,20,20,20,1
1372629600,0,20,20,20,0
1372716000,0,20,20,20,0
1372802400,0,20,20,20,0
1372888800,19.5,19.5,19.5,19.5,300
1372975200,0,19.5,19.5,19.5,0
1373234400,19.1,18,19.1,18,481
1373320800,18.15,18.7,18.7,18.15,50
1373407200,0,18.7,18.7,18.7,0
1373493600,18.5,18.9,18.9,18.5,169
1373580000,18.9,19.5,19.88,18.75,8155
1373839200,19,18.5,19,18.5,115
1373925600,18.5,18.2,18.5,18,108
1374012000,18.1,20.05,20.05,16,888
1374098400,19.67,19.5,20.2,19.5,527
1374184800,19,19,19,19,345
1374444000,17.02,17.02,17.02,17.02,116
1374530400,18.5,18.81,18.81,18.5,11
1374616800,18.81,18,18.81,18,3
1374703200,18.01,18.06,18.06,18.01,173
1374789600,18.31,18.31,18.31,18.31,42
1375048800,18.7,18.7,18.7,18.7,10
1375135200,0,18.7,18.7,18.7,0
1375221600,18.9,18.7,19,18.7,175
1375308000,18.8,18.55,18.8,18.55,282
1375394400,0,18.55,18.55,18.55,0
1375653600,18.26,18.26,18.26,18.26,1
1375740000,18.26,17.9,18.6,17.9,653
1375826400,17.89,17.89,17.89,17.89,5
1375912800,17.9,18,18,17.9,8
1375999200,18,18.06,18.06,18,15
1376258400,18.06,18.02,18.39,18,416
1376344800,18.08,18.4,19.14,18,2360
1376431200,18.47,18,18.47,18,2485
1376604000,18.18,18.19,18.19,17.9,310
1376863200,18,17.7,18,17.1,589
1376949600,17.7,17.5,17.7,17.5,516
1377036000,17.5,17.99,17.99,17.4,397
1377122400,0,17.99,17.99,17.99,0
1377208800,17.85,18,18,17.8,1850
1377468000,18,18,18,17.99,741
1377554400,18,18,18,17.99,1005
1377640800,18,17.4,18,17.4,40
1377727200,17.85,18,18.15,17.19,1613
1377813600,17.95,17.95,17.95,17.95,2
1378072800,17.2,17.05,17.2,17.05,410
1378159200,17.05,17.8,17.8,17.05,155
1378245600,17.5,17.3,17.5,15.51,1159
1378332000,16.5,16.87,16.87,16.5,229
1378418400,16.9,16.9,16.9,16.85,685
1378677600,17,17.25,19,16.2,4044
1378764000,0,17.25,17.25,17.25,0
1378850400,17,17.5,17.5,17,100
1378936800,17.25,17.25,17.25,17.25,202
1379023200,17.2,17.2,17.2,17.2,5
1379282400,17.15,18.3,18.3,17.15,145
1379368800,18,18,18,17.5,61
1379455200,18,17.95,18,17.95,12
1379541600,18,18,18,18,532
1379628000,18,18,18.39,18,974
1379887200,18,18.55,18.55,18,835
1379973600,18.5,19.2,19.2,18.5,854
1380060000,19.5,19.1,19.5,19.1,1030
1380146400,19,19.45,19.45,19,52
1380232800,19.5,19.49,19.5,18.6,1608
1380492000,19.49,19.4,19.5,19.4,225
1380578400,19.4,19.4,19.4,19.35,92
1380664800,19.4,20.2,20.2,19.4,366
1380751200,20.4,20.4,20.4,20.4,200
1380837600,20.37,20.5,20.5,19.9,716
1381096800,20.58,20.2,20.58,19.6,862
1381183200,0,20.2,20.2,20.2,0
1381269600,19,19.74,19.74,19,406
1381356000,19.3,19.2,20,19.2,804
1381442400,19.3,19.5,19.74,19.2,1266
1381701600,19,19,19,18.55,675
1381788000,18.8,20,20,18.8,173
1381874400,18.5,18.5,18.5,18.5,10
1381960800,19,20.98,20.99,19,1816
1382047200,20.99,20.5,20.99,20.5,81
1382306400,20.8,21.2,21.8,20,13922
1382392800,21.2,21.2,21.2,21.2,5
1382479200,21.2,22.3,22.3,21.2,1002
1382565600,22.3,21.9,22.57,21.9,430
