t,o,c,h,l,v
1618783200,174,171.98,175,170.98,26344
1618869600,172.8,154.04,172.8,150,18376
1618956000,155,168,169.96,150,10621
1619042400,167,173.98,174.8,167,3543
1619128800,172,174.28,174.28,169.02,1643
1619388000,180,177.9,180,172.32,397
1619474400,178,177.86,178,175.64,67
1619560800,177.96,177.46,177.96,169,164
1619647200,177.94,176.94,177.94,171.02,208
1619733600,176.9,178,178.58,172.42,594
1620079200,172.5,177.46,177.46,170.26,10875
1620165600,172.2,173,174,172.12,7318
1620252000,173,172,173,170.32,5449
1620338400,172.96,171.6,172.96,171,12763
1620597600,172,171.98,172,169,620
1620684000,172,171,172,171,51
1620770400,171,170,171.5,170,8067
1620856800,170.96,168.6,170.96,166.28,2169
1620943200,169,170.5,170.5,167.52,16858
1621202400,171.98,170,171.98,168.3,454
1621288800,171,170.98,171,168.02,36
1621375200,170.96,170.98,170.98,170.5,4
1621461600,168,170.98,170.98,168,139
1621548000,166.2,170.96,170.96,166.2,3
1621807200,170.96,170,170.96,166.4,32
1621893600,166.5,169.5,169.5,166.5,63
1621980000,170,169.9,170,166.52,32
1622066400,169.8,169.8,169.8,169.8,5
1622152800,166.56,169.5,169.78,166.56,28
1622412000,169.4,169,169.4,165.4,89
1622498400,169,170,175,165.22,3002
1622584800,170,174,174,167,7106
1622757600,174.5,174,174.9,173.9,14
1623016800,174,174,174,174,206
1623103200,174,178,178,174,1548
1623189600,178,184,184,178,586
1623276000,184,184,184,182.8,1190
1623362400,183.98,184.8,185,178.2,1909
1623621600,185,185.9,186,181.5,1444
1623708000,183.16,185.9,185.9,182.6,1212
1623794400,185.5,187.1,190,184,7440
1623880800,186.9,185.5,187,183,953
1623967200,185.5,187.94,188,185,1793
1624226400,185,187.86,187.86,184,3486
1624312800,186.98,186.5,186.98,186.5,194
1624399200,186.5,190,192.16,186,7763
1624485600,194,195,197,192,258
1624572000,195,198,199,195,571
1624831200,198,200,200,192,2614
1624917600,200,201,203,197.1,3964
1625004000,198.58,198.8,202.4,198.58,1670
1625090400,199.5,199.6,201.9,197.16,1120
1625176800,200,199.4,200,198,1716
1625436000,199.4,199.4,199.4,194,2994
1625522400,195.5,199,199,195.5,422
1625608800,196.04,198.9,198.9,196.04,89
1625695200,198.8,198.6,198.8,194.6,395
1625781600,198.6,198,198.6,193.3,17772
1626040800,197.4,197.5,197.5,193.46,107
1626127200,198,191.9,198,180.3,2211
1626213600,193,188,193,188,348
1626300000,190.7,189,190.7,186,478
1626386400,188,195,198,188,1250
1626645600,195,195,196,194.5,283
1626732000,196,194.9,196,192.06,143
1626818400,193,195,199,190,176
1626904800,195,195,195.5,190,150
1626991200,195,195.5,195.5,192,3063
1627250400,195.5,193,195.5,190,7033
1627336800,195,195,195,191,295
1627423200,195,192,195,190,162
1627509600,192,192,194.98,189,39120
1627596000,192,191,192,191,66
1627855200,192,191,192,188.2,204
1627941600,182.2,192.9,192.9,182.2,431
1628028000,192.9,192,192.9,187,8824
1628114400,192.5,190,192.5,187.04,92
1628200800,188,190.98,192.48,188,5138
1628460000,190.9,194.98,194.98,190,6313
1628546400,194,193.98,194,190,151
1628632800,193.98,193,193.98,192,144
