t,o,c,h,l,v
1533506400,100,98.78,114,90,33060
1533592800,98.7,93.2,103.4,93,4841
1533679200,94.8,97.49,98.89,90.91,2461
1533765600,98.9,92,98.9,92,1619
1533852000,92.1,87.9,92.3,84,2027
1534111200,84,92,95,82,1185
1534197600,93,94,98.5,92,731
1534370400,98.5,107,111.5,98.5,5568
1534456800,110,117.5,122,107,3394
1534716000,119,115,124,115,1771
1534802400,114.5,112,115.5,107,1987
1534888800,110,111,113,106,1951
1534975200,108,109,113,106,706
1535061600,106,108.9,108.9,103,367
1535320800,110.9,103,110.9,97.1,2864
1535407200,106,102,107,100,3911
1535493600,100,98,118,93.1,24110
1535580000,96.8,85.1,97,82.5,15868
1535666400,86.8,88,92.5,75.51,9804
1535925600,105,119,126,102,22954
1536012000,121,141,163,118,29682
1536098400,139.9,140,155,131.1,13014
1536184800,140.02,137,148,130,6744
1536271200,138,145,145,133,3734
1536530400,154,155.3,159,147,4017
1536616800,159,180.8,186,152,7998
1536703200,175,170,177.9,167,3130
1536789600,168,166,175,152,4674
1536876000,166,168.5,169,158,1858
1537135200,162,162,167,158.5,2002
1537221600,165,162.5,165,155.22,1846
1537308000,163,185,194,163,8426
1537394400,185,183,194.98,180.1,870
1537480800,180.1,178,185,175,913
1537740000,180,180,184,178,647
1537826400,180,193,194.98,180,1562
1537912800,190,194.94,195,185,388
1537999200,195,193,195,186,466
1538085600,186,185,187.4,181.02,569
1538344800,180,165,180,165,2283
1538431200,168,171.5,178,168,582
1538517600,170,172,174,165,377
1538604000,170,172,173,165,238
1538690400,165,165,170.5,163,899
1538949600,171,164.98,171,156,510
1539036000,161.5,163,163,152.2,697
1539122400,160,176.7,182,160,6306
1539208800,180,168,180,163.02,1311
1539295200,159,175,175,152.5,1003
1539554400,175,170,175,168,209
1539640800,170,160,170,157,713
1539727200,161,155.1,170,155,442
1539813600,164.4,172,173,155.2,1144
1539900000,172,169.9,173,162,1181
1540159200,161.5,160.2,170,154.42,5063
1540245600,163,155.62,165,154.5,1472
1540332000,154.5,153.5,159,151,1095
1540418400,150.7,145.1,150.7,141,1258
1540504800,149,140.1,149,134,1597
1540767600,136,137.5,141.9,134.02,388
1540854000,136,133,139,128.4,704
1540940400,133,140,140,132,628
1541113200,132.04,150,150.1,132.04,636
1541372400,151,147.5,159.4,147.02,287
1541458800,146,156.32,160.5,140.1,1698
1541545200,167,155,171,155,1232
1541631600,155,151,160,151,700
1541718000,151,145,169.9,127,753
1542063600,135,140.02,161.8,135,668
1542150000,138,146,154.6,138,120
1542236400,146,141,146,141,683
1542322800,141.6,140,141.6,133,610
1542582000,139,141,141,135,362
1542668400,141,135.06,141.2,135.02,597
1542754800,138,136.1,139,135,485
1542841200,135.1,139,140,134,210
1542927600,138.6,139,145,137.1,173
1543186800,141,149,156.5,141,455
1543273200,148,146,155,146,406
1543359600,145.6,148,150,145.6,281
1543446000,152,158,158,152,431
1543532400,159,152,159,152,184
1543791600,157.9,154.1,157.9,148,481
1543878000,153.66,147.5,153.66,147.5,63
1543964400,147.5,147.9,150,146,146
1544050800,150,143,150,143,268
1544137200,144,143,144.1,140,473
1544396400,143,144,145,137.1,157
1544482800,143,143.02,150,143,174
1544569200,143.02,146,146,142,91
1544655600,141,149.38,149.38,141,11
1544742000,149.28,147,151,147,172
1545001200,147,149,149,142,161
1545087600,0,149,149,149,0
1545174000,143,147,147,143,95
1545260400,142,142,148,142,142
1545346800,142,141,147,133.1,157
1545865200,140,133,141,133,304
1545951600,140.7,141,141,140.7,120
1546383600,141.98,148.98,159,141.98,359
1546470000,149,148,149,148,11
1546556400,148.1,148,148.1,148,105
1546815600,148.5,148.5,148.5,147,126
1546902000,148.5,148,150,145,285
1546988400,148,144,148,144,291
1547074800,143.1,147.96,147.96,143,66
1547161200,147.96,152,157,147.96,269
1547420400,148.2,148.2,148.2,146,24
1547506800,146.1,149,149,143,154
1547593200,149.5,146,149.5,146,225
1547679600,147,147,149.7,146,600
1547766000,146.1,146,149,144,127
1548025200,143,148,148,143,86
1548111600,148,153,157,147,410
1548198000,152.9,157.6,161.5,149,376
1548284400,157.9,169.98,171.5,157.9,437
1548370800,169.98,179,187,160,667
1548630000,179.9,173,179.9,173,137
1548716400,171,165.5,173,165.2,428
1548802800,169,172,179,166.6,367
1548889200,172,167.5,175,167,133
1548975600,172,170.02,175,170,71
1549234800,171,184.44,184.44,171,457
1549321200,185,181.7,186.8,180,53
1549407600,182,180,185,178,297
1549494000,175,169,178.8,157.5,221
1549580400,169.1,169.1,178.8,169.1,37
1549839600,163,180,186.9,162.2,897
1549926000,183.3,176.2,190,176.2,318
1550012400,170.6,180,182,170.6,119
1550098800,178,180,181.5,178,37
1550185200,175,174.9,175,174,69
1550444400,176,176,176,169,30
1550530800,176,175,184.44,175,261
1550617200,175,175,180,175,115
1550703600,173.5,180,180,173,214
1550790000,176,177,182,173,58
1551049200,180,175,180,175,105
1551135600,178,182,182,178,103
1551222000,175.5,180,180,175.5,8
1551308400,180,184,184,180,220
1551394800,180.2,176,181,176,66
1551654000,179.9,176.5,180,176.5,145
1551740400,178,179,193,174,901
1551826800,181,179,185.6,175,470
1551913200,179.9,180,186.2,175.4,837
1551999600,180.5,175,180.5,173,965
1552258800,174,175,179.6,174,118
1552345200,178.94,163.02,183.94,145,3251
