t,o,c,h,l,v
1633989600,76.99,73.85,76.99,71.2,48798
1634076000,75.1,87,89,74,37077
1634162400,90.5,129.98,130.12,89.9,76059
1634248800,134.9,113.02,150,110.5,72049
1634508000,116.2,113.5,123,103.28,12472
1634594400,113.1,113,118.7,105.02,4746
1634680800,109.14,100,109.98,96.1,10230
1634767200,100.7,114.48,120.02,96.32,9718
1634853600,118.96,117,118.96,106.3,5435
1635112800,119,111.3,119,111,4911
1635199200,113.8,111.3,114.2,108.22,2504
1635285600,110.9,104.48,110.9,101,1761
1635372000,104.48,110.8,110.8,99.99,2688
1635458400,108.02,107.2,108.02,101.64,2061
1635807600,106,106.88,107,99,3202
1635894000,105,101.9,105,101,1198
1635980400,102.5,104,104,99.01,632
1636066800,103.24,109.92,116,100,3270
1636326000,111.76,114,116.8,107,5443
1636412400,114,113.9,119.8,111.02,6968
1636498800,118.8,117,119,113.98,2950
1636671600,117,119,119,114.32,2609
1636930800,119.98,119.8,127.9,116.28,1693
1637017200,117.52,111,119.74,107,1606
1637103600,112.84,110,113,107,573
1637190000,112.98,107.5,112.98,101.1,1995
1637276400,109,108,109,105,895
1637535600,108,106,109,106,371
1637622000,106.48,105,108.92,101,813
1637708400,108.5,108.7,108.7,104.98,811
1637794800,108.7,105,108.7,103.5,1221
1637881200,103.04,104,107.9,103,952
1638140400,104,104,104,101,1052
1638226800,103.98,108,112,103.98,1715
1638313200,108,110,110,107.98,767
1638399600,111.86,106,111.98,101.1,719
1638486000,106.98,106,109.96,105,423
1638745200,105.98,106.4,106.98,103.04,310
1638831600,104.48,96,105.5,87.6,6590
1638918000,96.1,99,99.01,93,3773
1639004400,97,98,99.99,97,273
1639090800,101.8,97.98,101.8,97.01,564
1639350000,95,95,95.99,93,1644
1639436400,96,95,98.01,92.99,709
1639522800,97.97,106.98,108.78,97,2601
1639609200,106.98,108,108,102.5,1382
1639695600,108.98,107.88,108.98,105.7,476
1639954800,107,106,107.98,101.5,364
1640041200,107.8,109.8,114,106.98,1630
1640127600,112,113,114,111.98,1211
1640214000,113.4,107.98,113.4,105,241
1640559600,107.98,109.9,110,105.12,435
1640646000,109.88,108,109.88,106.48,630
1640732400,109.88,112.5,113.5,109.58,779
1640818800,105.5,108,111.98,105.5,873
1641164400,109.76,113.8,113.92,109,1218
1641250800,113,112.94,113,107.1,401
1641337200,113.92,112.5,114.68,108,1074
1641510000,112.5,112.88,115,109.98,797
1641769200,113,122,127,113,3975
1641855600,120,126.1,127.4,120,1183
1641942000,127,119.1,127,117,817
1642028400,123.98,139,143.78,119.08,5486
1642114800,139,139.5,142,131,3248
1642374000,132.24,134.5,136.5,128.5,3282
1642460400,135,177.5,183,130.22,10375
1642546800,170.02,158,174,151.02,4143
1642633200,160,171.88,174.98,160,4465
1642719600,166,163,175,163,1230
1642978800,164,137.24,168,136.14,3640
1643065200,137.24,157.96,159.5,137.24,3823
1643151600,154.98,158.96,164.98,154.88,2161
1643238000,157.88,147,157.88,143.2,1749
1643324400,150,154,155,138.02,1470
1643583600,150,159.5,159.8,144,533
1643670000,154.44,163.98,165,154.44,3197
1643756400,166,162.4,172,162.4,1267
1643842800,164,159.4,164.2,153.1,923
1643929200,159.4,159.94,160,150,1338
1644188400,161,160,161.94,159.94,382
1644274800,161.9,162.98,167,155.1,658
1644361200,163.5,160,163.5,160,351
1644447600,161,161.9,164.98,159,654
1644534000,166.98,166.5,166.98,160.68,758
1644793200,159.98,155,159.98,150,860
1644879600,155.3,158.14,162,154,200
1644966000,160,158.98,160,152.34,174
1645052400,157.9,148,157.9,148,964
1645138800,152.4,147,154.5,142.5,720
1645398000,143.02,139.9,144,138,1387
1645484400,136,139.9,139.9,125.4,1009
1645570800,140,136.3,146.78,134.7,758
1645657200,120,126.98,128,110,3857
1645743600,130,138.8,139.9,130,591
1646002800,132,143.96,146.74,132,582
1646089200,144,139.9,145,131.2,665
1646175600,139.9,154,155.88,139.9,2703
1646262000,156.98,156,171.98,150,1539
1646348400,156,144,156,140,984
1646607600,143.5,150,150,132.02,718
1646694000,140.02,145,148,135.02,489
1646780400,145,142.1,148.92,136.06,554
1646866800,144.98,142.98,145,138,468
1646953200,143.5,140,145.98,135,954
1647212400,142.8,139,143,135,1883
1647298800,139,144.9,144.9,139,413
1647385200,144.98,152.8,155.02,144.98,1312
1647471600,154,152,154.5,150,268
1647558000,149,152,153.9,149,610
1647817200,152,153.8,153.8,150,236
1647903600,153.8,168,168.9,153.8,1518
1647990000,169,170,171.98,165,231
1648076400,170,166,171.1,159,1036
1648162800,171.02,169.4,171.02,164.1,124
1648418400,169,172.98,172.98,169,1776
1648504800,170,170,172.98,168,259
1648591200,170,169,170,168.02,35
1648677600,163,167.02,170,163,148
1648764000,167.02,172.8,173,167,814
1649023200,173,179,185,168.02,1341
1649109600,179,170,179,170,706
1649196000,175,170,175,167,123
1649282400,165.5,163,169,163,388
1649368800,165,165,168,164.9,878
1649628000,168.9,160,169,160,506
1649714400,160.02,160,165,160,252
1649800800,170,163,170,160,112
1649887200,165.2,159,165.2,159,466
1650319200,159,153,163.6,151,755
1650405600,157.8,151,158,151,515
1650492000,153,155.2,157.4,151,241
1650578400,155.2,158.2,160,155.2,132
1650837600,156,149,156.2,149,948
1650924000,155.4,150.2,159.8,150,188
1651010400,151.8,149.8,151.8,145,388
1651096800,149.6,149.8,149.8,149.6,70
1651183200,149.6,151.6,155,149,191
1651442400,151.6,149.8,154.8,149,282
1651615200,146,149,149.6,146,153
1651701600,149,149.8,149.8,149,154
1651788000,147,145,149.6,139.8,582
1652047200,136.6,143,144,136.6,142
1652133600,139.4,140,142.8,139.2,202
1652220000,139.2,139.4,139.8,135,656
1652306400,135,129.8,135,122,2418
1652392800,129.8,134.8,135,129.8,196
1652652000,135.2,150,162,135.2,744
1652738400,150.8,149,154.4,146.8,350
1652824800,146.8,148,149.8,146.8,122
1652911200,146.2,143,146.2,143,364
1652997600,143.6,142,144.8,142,385
1653256800,141.6,143,143,140,205
1653343200,140,140,140,139,142
1653429600,139.8,135,139.8,133,258
1653516000,139.8,138,139.8,138,29
1653602400,137.8,137.6,137.8,133,74
1653861600,140,137.6,140,137.6,85
1653948000,139.6,137,140,133,246
1654034400,132,137,138,132,54
1654120800,137,136,137,136,22
1654207200,132,133,136,132,350
1654466400,131,136,136,130,229
1654552800,134,132,134,130.6,219
1654639200,131,135,135.8,130.8,82
1654725600,134,138,138,132.6,389
1654812000,136.6,136.6,138,130,379
1655071200,135,126.6,135,125,1138
1655157600,126.6,127,129.4,126.2,796
1655244000,123,129,129,118,821
1655416800,120.4,121,124,120,387
1655676000,121,127,127,120,242
1655762400,125,138,138,125,282
1655848800,129,129.2,130,128.4,64
1655935200,130,129.4,130,129.2,123
1656021600,132,123,135,120,718
1656280800,123,126,130,121.2,209
1656367200,126,125.6,129.8,122.2,54
1656453600,123,126.6,126.6,122.6,130
1656540000,126.6,125,126.6,125,16
1656626400,123,128,129.6,122.2,172
1656885600,128,125,128,122,328
1656972000,125,125,128.8,120,274
1657058400,122.8,125,128.8,122.8,58
1657144800,125,135,137,125,617
1657231200,138,146,147.8,137.8,627
1657490400,147.4,142,147.4,130.4,764
1657576800,140,137.8,140,131.2,116
1657663200,138,132.8,138,128,250
1657749600,129,131,132.8,127,156
1657836000,131,128.8,131,125,315
1658095200,125,130,134,125,223
1658181600,132.6,126,133.8,126,242
1658268000,130,129,130,127,113
1658354400,133,129,133,127,200
1658440800,127.2,129.2,133,127.2,136
1658700000,128,133,133,128,178
1658786400,133,129.8,133,128,186
1658872800,129,129.8,129.8,128,88
1658959200,129.8,127,129.8,122.8,626
1659045600,127,128.8,128.8,120,484
1659304800,127.4,127,128,127,94
1659391200,128.6,124,128.6,124,82
1659477600,123.2,128.6,129.8,121.2,442
1659564000,128,128,128,125,239
1659650400,126,128,130,126,372
1659909600,128,127.6,128,120.6,242
1659996000,126.8,124,126.8,124,168
1660082400,123,122,123,120,540
1660168800,122,124,126.8,122,205
1660255200,125,125,125,125,10
1660600800,125,123.8,125,121,319
1660687200,123,122,123,119,413
1660773600,124.8,123.4,124.8,120,139
1660860000,120.4,122.8,123.4,120.4,58
1661119200,120.2,120,120.2,119,168
1661205600,119.2,122,124.4,117.6,616
1661292000,116.6,117,121.4,115,577
1661378400,115.2,119.8,119.8,115,366
1661464800,119.8,118,119.8,116.2,47
1661724000,116.2,111.8,116.2,111.8,476
1661810400,112,118,118,112,110
1661896800,117,118,118,115,109
1661983200,117.8,114.8,117.8,111,675
1662069600,112,115.8,116.4,111,236
1662328800,115,118.6,119.4,114,254
1662415200,118,115.8,118,113.2,80
1662501600,117,114,117,109,742
1662588000,114,115.8,115.8,113,104
1662674400,115,114,117,113.8,88
1662933600,114,113,114,111.2,239
1663020000,113.6,115.6,115.8,113.6,112
1663106400,115.6,117.8,117.8,113.2,90
1663192800,113.4,113.8,113.8,110,485
1663279200,112.4,116,116,112.4,163
1663538400,114,111.6,114,111.4,71
1663624800,114,113,114,111,86
1663711200,110,109,110,109,238
1663797600,109,112,112,108.2,145
1663884000,110,111,112,110,45
1664143200,110,110.6,111.4,105,408
1664229600,110.6,112,112.4,110,150
1664316000,107.2,107.2,111.8,103,535
1664402400,106,109.8,111.8,105.2,58
1664488800,106.2,121,128.4,106.2,1967
1664748000,120,115.2,120,108.2,525
1664834400,119.8,123,125,119.4,618
1664920800,124.8,123.8,125,120.2,696
1665007200,124.8,124.4,124.8,123.8,202
1665093600,123.8,120.4,123.8,120.4,112
1665352800,121,119.2,123,119.2,236
1665439200,124,132,143,119.2,2185
1665525600,132.2,128.8,135,128,369
1665612000,135.6,132,135.6,130,60
1665698400,132,130,132,130,29
1665957600,134.8,128.4,134.8,121.8,284
1666044000,128.8,131.8,133,125,167
1666130400,130,133,133,130,45
1666216800,132,130,132,130,17
1666303200,130,131,131,125,106
1666562400,131,130.8,131,126.2,40
1666648800,126.2,126,130,126,164
1666735200,126,128.6,129,125,172
1666821600,128.8,128,128.8,128,40
1666908000,129,128,129,128,48
1667170800,129,131.8,132,124.6,415
1667343600,130,129.8,130,128.6,71
1667430000,129.6,128.8,130,123,99
1667516400,128,128.8,129,125,560
1667775600,128,128,128.8,128,179
1667862000,129,129,129,129,2
1667948400,128.4,130,130,128.4,126
1668034800,129.4,129.6,129.8,126,100
1668380400,128,121.2,128,120,1350
1668466800,124.4,114,124.8,113,2125
1668553200,112,119.2,125.6,112,726
1668639600,125,118,125,118,125
1668726000,123,122.8,123,117.8,293
1668985200,124.8,123.8,124.8,118.2,268
1669071600,123.8,123.8,123.8,122,78
1669158000,120,123,123.8,119.2,42
1669244400,123,124,124,116,303
1669330800,123,124,124,122,54
1669590000,121,124.4,127.4,119,843
1669676400,124.8,122,125,122,88
1669762800,124.8,120,124.8,116.2,605
1669849200,120,112.4,120,111.4,2036
1669935600,111.8,116,116,111.8,692
1670194800,116,115.8,117.6,112,564
1670281200,112,115.6,115.6,112,156
1670367600,116,116,116.8,113,125
1670454000,115,110.2,115,110.2,1036
1670540400,114,112,114.8,107,1051
1670799600,112,115,115,112,203
1670886000,114,117,117,114,199
1670972400,119,118,119.2,115,165
1671058800,118.8,117.6,118.8,115,61
1671145200,116,117.4,117.4,116,96
1671404400,115,117,117,115,13
1671490800,117,112,117,108.4,1312
1671577200,109.2,114.6,114.6,109.2,280
1671663600,114,113.8,114.8,111.4,310
1671750000,113.8,113,114,109,267
1672095600,110,112,114,110,166
1672182000,113.2,113.2,113.2,110.4,417
1672268400,112.8,113.8,113.8,110.4,360
1672354800,112.8,113.8,113.8,112,279
1672614000,107.2,114.6,115.2,107.2,1259
1672700400,112,120,121,112,1250
1672786800,122,119.8,122,117,181
1672873200,119.2,118.2,120.4,118.2,151
1673218800,121.8,121.6,122,118.4,178
1673305200,122,123.2,128,117.4,1465
1673391600,124,125.2,129,123.6,976
1673478000,125.8,129,129.8,125.8,736
1673564400,131.4,132.8,139,125.6,1535
1673823600,133,135,135.6,131.6,462
1673910000,137.8,132.6,138,131.2,633
1673996400,132,132.4,132.4,130.2,300
1674082800,131.8,131.6,132.2,130,323
1674169200,131.6,130,131.6,130,97
1674428400,134,133.6,134.8,130.4,215
1674514800,133,131,133.6,128,195
1674601200,132,132,132,129,26
1674687600,131.8,131.8,131.8,129.2,32
1674774000,131.8,134.6,134.6,130.6,1421
1675033200,134.6,134.4,134.6,132.4,300
1675119600,134.4,131.8,134.4,129,500
1675206000,131.8,134.2,134.2,130.8,347
1675292400,133,133,133,132.8,80
1675378800,133,133,133,132.4,98
1675638000,131.2,131.2,133,131.2,240
1675724400,130,130,130,127,132
1675810800,132.2,140.8,144,132.2,1256
1675897200,144,146,147,141.4,1008
1675983600,146,142.2,146,141,287
1676242800,144.8,141,144.8,140,1078
1676329200,142,144,144,140,687
1676415600,144,148,148,144,1105
1676502000,150,152,155,150,1047
1676588400,154.8,154.4,154.8,150,347
1676847600,156,163,164,156,1619
1676934000,162.6,169,169,162.6,686
1677020400,169,165,169,165,408
1677106800,164,157,164,154,510
1677193200,157,153,157,150.2,282
1677452400,154,158.4,159.8,151,192
1677538800,158,151.2,158,151,98
1677625200,150,147.8,151.2,145,540
1677711600,147.8,147.8,148.2,145,60
1677798000,147,148,148.4,145,251
1678057200,148.4,148,153.8,148,295
1678143600,149.4,151,153.4,149.4,265
1678230000,148,155.8,155.8,146.8,363
1678316400,155.8,163.6,165,155,1074
1678402800,162.8,162.4,165,156.2,630
1678662000,162.4,162.2,162.4,153.8,250
1678748400,162.4,162.4,162.4,156.2,283
1678834800,160,158,162,155,524
1678921200,157.2,160,161.8,157.2,310
1679007600,159.8,153.8,161,153,202
1679266800,158,155,158,151,125
1679353200,158.2,158,160,154,416
1679439600,156,155,159,152,612
1679526000,155,155,155,151.2,91
1679612400,155,150.2,155,150.2,325
1679868000,154.6,148,154.6,142.8,601
1679954400,148,152.8,152.8,146,343
1680040800,150,153,154.6,146,136
1680127200,153,154.6,154.6,153,38
1680213600,155,156,156,154,189
1680472800,157.4,162.8,173,157.4,1572
1680559200,162.8,160.8,162.8,156,188
1680645600,156.2,157,165,156,1244
1680732000,159,159.8,159.8,159,193
1681164000,160,163,163,160,382
1681250400,158.6,162.4,162.4,158.6,803
1681336800,163,163,164.2,161.4,413
1681423200,164.2,161.2,164.2,160,88
1681682400,164,156,164.2,154.8,642
1681768800,154,155,155,145,1636
1681855200,155.4,155,155.4,143,5446
1681941600,155,152,157,151,604
1682028000,151,154,154,150,172
1682287200,154,154,154,154,16
1682373600,153.5,152,154,148.5,180
1682460000,153,153,153,148,147
1682546400,148,154,161,148,1091
1682632800,154,150.5,154,150.5,216
1682978400,151,159,159.5,151,177
1683151200,153,156,159,153,132
1683237600,152,163.5,166,150,1591
1683496800,160,164,164,160,98
1683583200,164,167,167,164,228
1683669600,165,161,168,158,253
1683756000,161,170,173,160,1390
1683842400,170,177.5,179,169,1145
1684101600,178,180.5,180.5,177,253
1684188000,180,182,184.5,179.5,294
1684274400,182,169,182,166.5,650
1684360800,174,169,176,169,346
1684447200,176,176,176,175,197
1684706400,175,182,182,175,176
1684792800,182,179,182,175,206
1684879200,176,195,203,175,7512
1684965600,198,196,198,186,1404
1685052000,193,192.5,195,183,1528
1685311200,191.5,188,193,185.5,717
1685397600,187,192,196.5,187,299
