t,o,c,h,l,v
1323298800,44,50.1,62,44,1009
1323385200,52,40.2,54.95,40.1,249
1323644400,42,37.01,42,35.7,335
1323730800,39,38,40,37,245
1323817200,38.6,38.6,38.6,38.6,100
1323903600,38.1,37.9,38.1,37.9,120
1323990000,37.5,37.5,37.5,37.5,50
1324249200,37,37,37,37,17
1324335600,37,37,37,37,64
1324422000,0,37,37,37,0
1324508400,37,37,37,37,92
1324594800,0,37,37,37,0
1324940400,0,37,37,37,0
1325026800,39,39,39,39,26
1325113200,39.9,40,40,39.9,79
1325199600,0,40,40,40,0
1325458800,0,40,40,40,0
1325545200,0,40,40,40,0
1325631600,0,40,40,40,0
1325718000,0,40,40,40,0
1326063600,0,40,40,40,0
1326150000,0,40,40,40,0
1326236400,38.3,38.3,38.3,38.3,63
1326322800,0,38.3,38.3,38.3,0
1326409200,0,38.3,38.3,38.3,0
1326668400,0,38.3,38.3,38.3,0
1326754800,0,38.3,38.3,38.3,0
1326841200,0,38.3,38.3,38.3,0
1326927600,0,38.3,38.3,38.3,0
1327014000,0,38.3,38.3,38.3,0
1327273200,0,38.3,38.3,38.3,0
1327359600,0,38.3,38.3,38.3,0
1327446000,0,38.3,38.3,38.3,0
1327532400,0,38.3,38.3,38.3,0
1327618800,38.2,38.2,38.2,38.2,40
1327878000,0,38.2,38.2,38.2,0
1327964400,40,40,40,40,50
1328050800,0,40,40,40,0
1328137200,40,40,40,40,26
1328223600,0,40,40,40,0
1328482800,0,40,40,40,0
1328569200,0,40,40,40,0
1328655600,0,40,40,40,0
1328742000,0,40,40,40,0
1328828400,0,40,40,40,0
1329087600,0,40,40,40,0
1329174000,0,40,40,40,0
1329260400,0,40,40,40,0
1329346800,0,40,40,40,0
1329433200,0,40,40,40,0
1329692400,0,40,40,40,0
1329778800,0,40,40,40,0
1329865200,0,40,40,40,0
1329951600,0,40,40,40,0
1330038000,0,40,40,40,0
1330297200,41,47.99,47.99,41,365
1330383600,0,47.99,47.99,47.99,0
1330470000,50,52,52,50,17
1330556400,53,55,55,53,28
1330642800,55,66,66,55,53
1330902000,54.95,53,54.95,53,14
1330988400,0,53,53,53,0
1331074800,0,53,53,53,0
1331161200,0,53,53,53,0
1331247600,52.99,57,58,52.99,215
1331506800,0,57,57,57,0
1331593200,0,57,57,57,0
1331679600,46,46,46,46,95
1331766000,46,45,46,45,60
1331852400,0,45,45,45,0
1332111600,0,45,45,45,0
1332198000,0,45,45,45,0
1332284400,0,45,45,45,0
1332370800,0,45,45,45,0
1332457200,0,45,45,45,0
1332712800,0,45,45,45,0
1332799200,0,45,45,45,0
1332885600,0,45,45,45,0
1332972000,0,45,45,45,0
1333058400,0,45,45,45,0
1333317600,0,45,45,45,0
1333404000,0,45,45,45,0
1333490400,0,45,45,45,0
1333576800,0,45,45,45,0
1334008800,0,45,45,45,0
1334095200,0,45,45,45,0
1334181600,0,45,45,45,0
1334268000,0,45,45,45,0
1334527200,0,45,45,45,0
1334613600,0,45,45,45,0
