t,o,c,h,l,v
1628632800,24.5,24.24,25.25,23.8,3140
1628719200,24.46,24.4,24.46,24.2,1035
1628805600,24.35,24.2,24.4,24,1025
1629064800,24.3,24.05,24.3,24,1463
1629151200,24,24.1,24.1,23.85,8866
1629237600,24.2,24.1,24.25,24,1814
1629324000,24.1,24.1,24.15,24,1139
1629410400,24.1,24.2,24.205,24.1,1336
1629669600,24.15,24,24.3,24,4865
1629756000,24,24,24.1,24,1061
1629842400,24.05,24,24.2,24,848
1629928800,24.2,24.3,24.3,24.1,580
1630015200,24.35,24.35,24.35,24.15,136
1630274400,24.45,24.15,24.45,24.15,1407
1630360800,24.15,24.59,24.62,24.15,7842
1630447200,24.59,24.25,24.69,24.25,753
1630533600,24.25,24.45,24.45,24.05,490
1630620000,24.15,24.15,24.45,24.15,163
1630879200,24.44,24.55,24.55,24.4,13788
1630965600,24.54,24.79,24.79,24.5,3788
1631052000,24.7,24.99,24.99,24.5,6009
1631138400,24.99,25,25,24.65,4509
1631224800,24.95,24.7,24.95,24.24,477
1631484000,24.54,24.6,24.6,24.4,509
1631570400,24.55,24.11,24.55,24.1,536
1631656800,24.12,24.105,24.5,24.105,1466
1631743200,24.105,24,24.44,24,804
1631829600,24.4,24.395,24.4,24,1403
1632088800,24,24.185,24.29,23.55,1168
1632175200,23.56,23.89,24.18,23.56,834
1632261600,23.6,23.7,24,23.6,3695
1632348000,23.96,24.01,24.01,23.95,1533
1632434400,24,24,24.25,23.7,655
1632693600,23.65,24.24,24.24,23.65,189
1632780000,23.65,24.24,24.24,23.65,1022
1632866400,23.55,24.2,24.2,23.55,136
1632952800,23.7,24,24.15,23.6,649
1633039200,23.85,23.6,23.85,23.6,902
1633298400,23.6,23.65,24,23.5,2201
1633384800,23.7,23.5,23.7,23.5,786
1633471200,23.5,23.5,23.5,23.1,2368
1633557600,23.45,24,24,23.1,3118
1633644000,23,24.2,24.2,23,3401
1633903200,24.245,24.1,24.3,23.65,2842
1633989600,24.2,24.7,24.7,24,13169
1634076000,24.8,25,25.55,24.75,56180
1634162400,25.19,25.1,25.19,24.5,6626
1634248800,25,24.95,25.17,24.6,1064
1634508000,24.95,25,25,24,4799
1634594400,24.8,24.2,24.8,24.2,789
1634680800,24.21,24.9,24.95,24.21,8
1634767200,24.9,24.2,24.9,24.2,575
1634853600,24.1,24.4,24.6,24,1427
1635112800,24.4,24,24.45,24,186
1635199200,24.11,24.7,25,24.11,3826
1635285600,24.71,24.7,24.71,24.7,300
1635372000,24.71,24.8,24.8,24.71,55
1635458400,24.31,25,25.1,24.31,12558
1635807600,25.1,25.13,25.15,24.52,4878
1635894000,24.52,25.05,25.095,24.52,797
1635980400,24.58,25,25.04,24.58,3522
1636066800,24.995,25,25.035,24.995,4953
1636326000,25,25,25,24.3,6163
1636412400,24.7,24.75,24.995,24.7,500
1636498800,25.02,24.9,25.02,24.9,16117
1636671600,24.56,24.56,24.6,24.56,205
1636930800,24.8,24.8,24.8,24.6,3124
1637017200,25,24.8,25,24.405,739
1637103600,24.8,24.795,24.8,24.4,3265
1637190000,24.785,24.66,24.8,24.4,30126
1637276400,24.6,24.5,24.6,23.54,2288
1637535600,24,23.96,24,23.55,10183
1637622000,23.6,23.9,23.9,23.6,191
1637708400,23.4,23.79,23.79,23.35,210
1637794800,23.79,23.4,23.84,22.205,3541
1637881200,22.6,24.1,24.1,22,5962
1638140400,22.7,24.8,24.8,22.7,3026
