t,o,c,h,l,v
1562623200,0,10.8,10.8,10.8,0
1562709600,20,17.002,20,16.3,2314
1562796000,18.294,17.8,18.95,17.5,1287
1562882400,17.8,17.8,17.8,17.8,50
1563141600,18.1,18.1,18.1,18.1,10
1563228000,18.1,18.9,19,18,944
1563314400,18.8,19.16,19.35,18.8,86
1563400800,18.98,18.438,18.98,18,274
1563487200,18.2,17.28,18.2,17.28,724
1563746400,17.5,17.6,17.6,17.5,664
1563832800,17.6,17.5,17.6,17,106
1563919200,17.6,17.5,17.6,17.5,78
1564005600,17.5,17.2,17.5,17.2,131
1564092000,17.4,17.2,17.4,17.2,134
1564351200,17.1,17,17.1,17,270
1564437600,16.6,15.7,16.6,15.7,91
1564524000,15.9,17.1,18.6,13,699
1564610400,0,17.1,17.1,17.1,0
1564696800,17.5,16.9,17.5,16.9,113
1564956000,0,16.9,16.9,16.9,0
1565042400,17.1,17.5,17.5,17.1,20
1565128800,0,17.5,17.5,17.5,0
1565215200,17,16.2,17,16.2,62
1565301600,16.5,16.7,16.7,16.5,20
1565560800,16.8,16.8,16.8,16.8,5
1565647200,16.8,16.3,16.8,16.3,31
1565733600,17,17,17,17,60
1565906400,17.3,19,19.68,17.3,360
1566165600,19.1,18,19.7,18,600
1566252000,18,18,18,18,7
1566338400,18,18.2,18.2,18,40
1566424800,18.2,19.4,19.4,18.2,351
1566511200,19.2,19.2,19.2,19.2,20
1566770400,19.2,19.7,19.7,19.2,20
1566856800,19.7,19.7,19.7,19.6,54
1566943200,19.7,19.7,19.7,19.7,2
1567029600,19.3,18.4,19.3,18.4,40
1567116000,0,18.4,18.4,18.4,0
1567375200,0,18.4,18.4,18.4,0
1567461600,0,18.4,18.4,18.4,0
1567548000,18.8,18.8,18.8,18.8,5
1567634400,18.8,18.8,18.8,18.8,2
1567720800,18.8,19,19,18.8,7
1567980000,19,19,19,19,3
1568066400,19.2,19.9,19.9,19.2,1272
1568152800,19.9,20.5,20.8,19.7,1007
1568239200,22,21.65,22,21.5,503
1568325600,21.6,21.6,21.6,21.6,10
1568584800,21.4,21,21.4,21,678
1568671200,21,21,21,21,10
1568757600,20.99,20.6,20.99,20.6,12
1568844000,20.6,20.6,20.6,20.6,25
1568930400,20.59,20.59,20.59,20.59,2
1569189600,20.59,20.59,20.59,20.59,29
1569276000,20.59,20.59,20.59,20.59,61
1569362400,20.59,20.59,20.59,20.585,132
1569448800,0,20.59,20.59,20.59,0
1569535200,20.36,20.105,20.36,20.105,18
1569794400,20.6,20.595,20.6,20.595,12
1569880800,19.702,19.7,19.702,19.7,110
1569967200,19.7,19.7,19.7,19.7,15
1570053600,19.7,20,20,19.7,10
1570140000,20,19,20,19,386
1570399200,0,19,19,19,0
1570485600,19,19,19,19,82
1570572000,19,19,19,19,28
1570658400,19,18.2,19,18.2,254
1570744800,18.3,18.6,18.6,18.3,36
1571004000,18.6,20,20,18.6,85
1571090400,20,20,20,20,61
1571176800,20,20,20,20,1
1571263200,20,20,20,20,264
1571349600,20,20,20,20,52
1571608800,0,20,20,20,0
1571695200,20,20.5,20.5,20,63
1571781600,20.5,20.5,20.5,20.5,1
1571868000,20.5,20.5,20.5,20.5,42
1571954400,20.31,20.1,20.31,20.1,29
1572217200,20.11,20.11,20.11,20.11,104
1572303600,20.11,20.11,20.11,20.11,3
1572390000,20.11,20.11,20.11,20.11,2
1572476400,20.11,20.11,20.11,20.11,1
1572822000,20.11,20.11,20.11,20.11,38
1572908400,20,20.4,20.4,20,62
1572994800,20.5,20.5,20.5,20.5,92
1573081200,20.505,20.505,20.505,20.505,232
1573167600,20.505,20.7,20.7,20.505,393
1573513200,20.7,22,22,20.7,1198
1573599600,22,22,22,22,413
1573686000,22,22,22,22,424
1573772400,22,21.9,22,21.9,270
1574031600,22,22,22,22,2
1574118000,22,22,22,22,2
1574204400,22,22,22,22,52
1574290800,22,22,22,22,1
1574377200,21.98,21,21.98,20.98,275
1574636400,21,21,21,21,263
1574722800,21.3,21.9,21.9,21.3,15
1574809200,21.7,21.3,21.7,21.3,49
1574895600,21.1,21.3,21.3,21.1,70
1574982000,21.3,21.3,21.3,21.3,1
1575241200,21.3,21.3,21.3,21.3,2
1575327600,21.3,21.3,21.3,21.3,292
1575414000,21.6,22,22,21.6,210
1575500400,22,22,22,22,21
1575586800,22,26,26,22,954
1575846000,25,24.995,25,24.2,37
1575932400,24.9,24.9,24.9,24.9,1
1576018800,24.49,23.8,24.49,23.8,88
1576105200,23.8,24.2,24.2,23.8,71
1576191600,24.2,23.81,24.49,23.8,117
1576450800,24.48,24.2,24.48,24.2,14
1576537200,24.9,25,25,24.9,565
1576623600,24.99,25,25,24.9,190
1576710000,24.995,24.2,25,24.2,240
1576796400,24.5,24.5,24.5,24.5,5
1577055600,24.75,25,25,24.75,193
1577401200,25.49,24.99,25.49,24.99,311
1577660400,24.99,24.99,24.99,24.99,220
1577919600,24.99,24.99,24.99,24.99,1
1578006000,24.99,24.99,24.99,24.99,1
1578351600,24.99,24.99,24.99,24.99,1
1578438000,24.99,24.99,24.99,24.99,2
1578524400,24.95,24.95,24.95,24.95,1
1578610800,24.95,24.95,24.95,24.95,60
1578870000,24.985,24.8,24.985,24.8,101
1578956400,24.8,24.5,24.8,23.8,159
1579042800,24.49,24.49,24.49,24.49,79
1579129200,24.49,24.49,24.49,24.2,223
1579215600,24.49,24.49,24.49,22.9,331
1579474800,24.49,24.8,24.8,24.49,655
1579561200,24.69,24.69,24.69,24.69,13
1579647600,24.69,25.18,25.24,24.69,1581
1579734000,25.18,30,30,25.17,1376
1579820400,29.87,25.39,29.87,25.39,1650
1580079600,25.25,24.3,25.25,23.5,3139
1580166000,24.5,24.25,24.5,23.2,1390
1580252400,24.25,24.25,24.25,24.25,5
1580338800,24.24,22.99,24.24,22.99,737
1580425200,22.985,22.99,22.99,22.985,200
1580684400,22.99,23.5,23.5,22.99,120
1580770800,23.5,24.24,24.25,23.5,533
1580857200,24.26,25.99,25.99,24.26,2624
1580943600,26,26.94,26.99,26,2300
1581030000,27,27.19,27.19,27,917
1581289200,27.19,27.59,27.62,27.19,1438
1581375600,27.59,28,28,27.59,3023
1581462000,28,28.3,28.3,27.2,2262
1581548400,28.3,28.59,28.59,28.3,843
1581634800,28.59,29.06,29.06,28.59,1592
1581894000,29.49,31.85,32.5,29.1,10061
1581980400,31.86,34.55,34.55,31.5,8172
1582066800,34.55,33,34.68,32,3939
1582153200,33,33,33,32.6,409
1582239600,32.4,31.5,32.4,30.1,2904
1582498800,31.5,29.6,31.5,29.5,1895
1582585200,30,30,31.4,24.15,2624
1582671600,29.5,29.9,29.9,26,1359
1582758000,29.49,27.5,29.9,27.5,218
1582844400,27.5,22.2,27.5,20.1,5559
1583103600,21.7,25.7,25.7,20.99,2028
1583190000,25.7,27,27,25.7,1789
1583276400,25.5,24.9,25.5,24.79,1372
1583362800,24.9,24.7,26.49,24.5,1296
1583449200,25,25.6,25.6,25,99
1583708400,22,22,22.2,20.6,1854
1583794800,22.6,23,25,22,1471
1583881200,22.2,22,22.2,20.11,1322
1583967600,21.295,21.2,21.3,18.5,3795
1584054000,21.6,21.5,24,20.6,1019
1584313200,21.3,21,21.3,19,868
1584399600,19.7,20.74,21,19.7,1118
1584486000,20.6,19.8,20.6,19.45,987
1584572400,20,20.74,20.74,19.91,573
1584658800,19.9,20.01,20.74,19.9,790
1584918000,19.89,19.81,20,19.81,401
1585004400,19.81,20,21.6,19.81,1181
1585090800,20,19.89,20.005,19.89,485
1585177200,20.3,19.604,21.6,19.604,761
1585263600,19.45,19.45,19.45,19.45,97
1585519200,19.45,19.45,19.45,19.45,115
1585605600,19.45,19.4,19.98,19.4,55
1585692000,19.5,19.1,19.5,19,300
1585778400,19.2,19.4,19.4,18.6,108
1585864800,18.8,19.5,19.5,18.41,271
1586124000,19.5,20.8,21.8,18,455
1586210400,20.3,22.2,23.3,19.7,485
1586296800,21.2,21.3,21.5,21,83
1586383200,21.2,21,21.2,20.8,103
1586815200,21.2,21.5,21.5,21,132
1586901600,21.3,22.5,22.5,21.3,150
1586988000,21.2,22,22,20.6,275
1587074400,21.4,23.3,23.3,21.4,404
1587333600,24,25,25.9,24,730
1587420000,25.2,23.9,25.4,23,227
