t,o,c,h,l,v
1119304800,23.9,23.6,24,23.2,137922
1119391200,23.4,23.4,23.5,23.2,12000
1119477600,23.4,23.4,23.5,23.3,14373
1119564000,22.6,23,23.3,22.6,5483
1119823200,22.9,23.4,23.4,22.9,6820
1119909600,23.2,23.5,23.5,23.2,16684
1119996000,23.2,23.3,23.5,23.2,2518
1120082400,23.5,23.5,23.6,23.5,3605
1120168800,23.1,23.5,23.5,23.1,617
1120428000,23.2,23.6,23.6,23.2,4846
1120514400,23.5,23.7,23.7,23.5,6528
1120600800,23.7,23.5,23.7,23.5,1710
1120687200,23.5,23.5,23.5,21.7,4523
1120773600,23,23.5,23.5,23,283
1121032800,23,23.6,23.6,23,3886
1121119200,23,23.5,23.5,23,2058
1121205600,23.7,23.7,23.7,23.7,6650
1121292000,23.6,23.5,23.7,23.5,6547
1121378400,23.5,23.5,23.5,23.5,55
1121637600,23,23,23,23,734
1121724000,23,23.2,23.2,23,50111
1121810400,23.4,23.4,23.4,23,50999
1121896800,23,23,23.5,23,2052
1121983200,0,23,23,23,0
1122242400,22.8,22.9,22.9,22.8,984
1122328800,23.2,23.2,23.2,23.1,25800
1122415200,23.5,22.8,23.5,22.8,1047
1122501600,22.8,23,23,22.8,1076
1122588000,23,23,23,23,201
1122847200,22.8,22.8,22.8,22.8,86
1122933600,22.8,23.1,23.1,21.4,2297
1123020000,23.1,23.1,23.1,23.1,981
1123106400,23.2,23.4,23.4,23.2,1064
1123192800,22.6,23.9,23.9,22.6,12113
1123452000,23.9,24,24.8,23.9,17407
1123538400,24.1,24.7,24.7,23.9,6800
1123624800,24.4,24.2,24.5,24.2,2612
1123711200,24,24,24,24,75
1123797600,23.8,24,24,23.8,476
1124143200,24,24.4,24.4,23.6,4038
1124229600,24.4,25,25.5,24.4,11002
1124316000,25,24.9,25.1,24.6,1577
1124402400,24.9,24.5,25.1,24.4,2368
1124661600,24.8,24.8,24.8,24.3,5895
1124748000,23.6,24.5,24.5,23.6,4401
1124834400,24,24.5,24.5,24,1899
1124920800,24.2,24.7,24.7,24.2,2851
1125007200,24.3,24.7,24.7,24.3,3837
1125266400,24.2,24.2,24.5,24.2,2180
1125352800,24.3,25.2,25.3,24.3,25111
