t,o,c,h,l,v
1260831600,9.75,9.7,9.75,9.26,526
1260918000,0,9.7,9.7,9.7,0
1261004400,9.49,9.48,9.49,9.3,1300
1261090800,9.3,9.47,9.47,9.2,831
1261350000,9.47,9.7,10.4,9.47,2290
1261436400,9.44,9.58,9.7,9.11,893
1261522800,9.7,9.47,9.7,9.2,1633
1261954800,9.44,9.4,9.45,9.34,7235
1262041200,9.5,9.4,9.5,9.18,672
1262127600,9.4,9.47,9.5,9.3,1606
1262214000,9.47,9.47,9.47,9.47,1060
1262559600,9.3,9.46,9.47,9.3,1463
1262646000,9.45,9.42,9.45,9.25,1701
1262732400,9.49,9.4,9.49,9.2,158
1262818800,9.48,9.05,9.48,9.01,1864
1262905200,9.51,9.47,9.51,9.2,1328
1263164400,9.5,9.49,9.5,9.49,160
1263250800,9.15,9.47,9.5,9.13,757
1263337200,9.21,9.4,9.44,9.2,1439
1263423600,9.44,9.38,9.44,9.2,340
1263510000,9.44,9.35,9.44,9.21,771
1263769200,9.35,9.35,9.35,9.35,210
1263855600,9.34,9.34,9.34,9.34,50
1263942000,9.32,9.32,9.32,9.32,100
1264028400,9.21,9.32,9.32,9.2,191
1264114800,9.25,9.2,9.35,9.1,1600
1264374000,9,9.16,9.35,8.88,1294
1264460400,9,9.15,9.29,8.9,971
1264546800,9.28,9.5,9.7,9.27,22118
1264633200,9.65,9.5,9.68,9.41,3070
1264719600,9.5,9.68,9.85,9.5,8602
1264978800,9.86,9.65,9.86,9.55,1605
1265065200,9.55,9.7,9.7,9.55,710
1265151600,9.73,9.82,10.05,9.73,8532
1265238000,9.83,10,10.1,9.83,26226
1265324400,9.92,10,10,9.5,16557
1265583600,9.95,10.09,10.29,9.95,9516
1265670000,10.18,10.1,10.19,9.83,2292
1265756400,10.17,10,10.18,10,2148
1265842800,9.84,10.58,10.6,9.6,151187
1265929200,10.59,10.44,10.59,10.06,2360
1266188400,10.44,10.51,10.55,10.4,6034
1266274800,10.59,10.58,10.59,10.45,2843
1266361200,10.5,10.9,10.9,10.5,60743
1266447600,10.9,10.91,10.93,10.75,2641
1266534000,10.95,10.97,10.97,10.77,10098
1266793200,11,11.15,11.28,10.8,5228
1266879600,11.2,10.92,11.2,10.92,1610
1266966000,10.95,11.22,11.29,10.95,4360
1267052400,11.22,11.19,11.22,11,3782
1267138800,11.22,11.49,11.49,11.22,9022
1267398000,11.98,12.28,12.45,11.95,7538
1267484400,12,12.15,12.19,11.85,5462
1267570800,12.24,12,12.24,11.93,834
1267657200,12,12.65,12.8,12,23688
1267743600,12.65,12.88,12.9,12.65,16237
1268002800,13,14.35,14.5,13,27419
1268089200,14.45,14.2,14.8,13.34,12584
1268175600,14.49,14.49,14.49,14.18,7570
1268262000,14.4,14.38,14.48,14.01,5517
1268348400,14.47,14.46,14.78,14.31,9314
1268607600,14.55,13.78,14.68,13.67,7662
1268694000,14.28,14.14,14.38,13.7,11061
1268780400,14.39,14.42,14.44,14.2,4297
1268866800,14.3,14.1,14.3,13.82,2798
1268953200,14.3,14.12,14.3,13.77,2327
1269212400,14.3,13.7,14.3,13.6,3884
1269298800,13.85,13.55,14.05,13.55,14328
1269385200,13.7,13.2,13.8,13.11,15913
1269471600,13.2,13.4,13.4,13.11,5688
1269558000,13.4,13.19,13.4,13.18,3156
1269813600,13.12,13.35,13.38,12.95,4529
1269900000,13.54,13.75,14.1,13.25,8837
1269986400,14.1,13.9,14.11,13.62,9967
1270072800,13.9,14.6,14.6,13.5,10019
1270504800,14.6,14.3,14.7,14.13,3406
1270591200,14.4,14,14.4,14,3631
1270677600,14,13.83,14,13.75,1370
1270764000,13.8,14.19,14.19,13.8,4330
1271023200,13.37,14.45,14.45,13.37,1846
1271109600,14.45,14.4,14.45,14.3,3721
1271196000,14.1,14.15,14.15,14.1,1907
1271282400,14,14.3,14.3,14,684
1271368800,14.2,14.2,14.2,13.5,761
1271628000,13.51,13.94,14.17,13.51,1060
1271714400,13.94,13.99,14,13.82,4003
1271800800,13.82,13.7,13.83,13.68,2519
1271887200,14,13.8,14,13.8,2873
1271973600,13.67,13.7,13.7,13.67,294
1272232800,13.9,13.8,13.98,13.4,1823
1272319200,14.1,13.7,14.1,13.7,131
1272405600,13.79,13.78,13.79,13.69,1279
1272492000,13.76,13.76,13.76,13.76,2000
1272578400,13.78,13.9,13.9,13.62,517
1272924000,13.91,13.76,13.92,13.76,2252
1273010400,13.76,13.2,13.76,13.15,3260
1273096800,13.1,13.3,13.3,13.05,5706
1273183200,13.07,13.2,13.3,13.07,21745
1273442400,13.2,13.67,13.68,13.2,1018
1273528800,13.33,13.65,13.65,13.3,5463
1273615200,13.7,13.69,13.7,13.55,1708
1273701600,13.6,13.58,13.6,13.32,852
1273788000,13.55,13.45,13.55,13.45,400
1274047200,13.15,13.35,13.75,13.15,4145
1274133600,13.35,13.31,13.75,13.3,11582
1274220000,13.31,13.8,13.8,13.3,6499
1274306400,13.4,13.46,13.46,13.3,3588
1274392800,13.1,13.42,13.42,13.1,3507
1274652000,13.25,13.73,13.73,13.25,1690
1274738400,13.69,13.49,13.69,13.35,41510
1274824800,0,13.49,13.49,13.49,0
1274911200,13.4,13.4,13.8,13.4,1242
1274997600,13.8,13.4,13.8,13.25,11272
1275256800,13.45,13.3,13.5,13.3,18209
1275343200,13.35,13.4,13.4,13.3,1164
1275429600,13.63,14.68,14.68,13.51,14361
1275602400,14.69,14.52,14.89,14.45,13436
1275861600,14.5,14.79,14.79,14.46,4852
1275948000,14.8,14.82,14.82,14.69,1464
1276034400,14.81,15,15,14.81,6695
1276120800,15,15.83,15.83,15,6383
1276207200,15.83,15.79,15.83,15.33,1832
1276466400,15.79,15.85,15.85,15.75,2723
1276552800,15.85,15.75,15.85,15.35,1623
1276639200,15.34,15.75,15.85,15.34,378
1276725600,15.85,15.84,15.88,15.76,1755
1276812000,15.65,15.85,15.85,15.34,775
1277071200,15.8,15.04,15.8,14.54,70
1277157600,14.66,14.67,15.66,14.65,1314
1277244000,14.71,14.42,14.81,14.42,1512
1277330400,14.45,14.95,14.95,14.45,81
1277416800,14.5,14.47,15,14.47,142
1277676000,14.65,14.5,14.65,14.5,2034
1277762400,14.49,14.4,14.49,14.4,1758
1277848800,14.03,14.22,14.22,14.02,1469
1277935200,14.22,13.99,14.22,13.6,5041
1278021600,13.65,13.84,13.99,13.6,2536
1278280800,13.85,13.55,14,13.55,2352
1278367200,14.4,13.7,14.4,13.3,14663
1278453600,13.9,13.59,13.9,13.4,1010
1278540000,13.67,13.99,13.99,13.35,991
1278626400,13.52,13.7,14,13.5,3213
1278885600,13.76,13.8,13.9,13.7,950
1278972000,13.9,14,14.1,13.9,1646
1279058400,14.1,14.36,14.5,14.1,3556
1279144800,14.3,14.9,14.9,14.3,491
1279231200,14.45,14.43,14.45,14.43,272
1279490400,14.46,14.46,14.46,14.46,2000
1279576800,14.5,14.77,14.77,14.5,4256
1279663200,0,14.77,14.77,14.77,0
1279749600,14.77,14.47,14.78,14.46,1382
1279836000,14.55,14.7,14.7,14.5,1156
1280095200,14.68,14.79,14.79,14.49,1842
1280181600,15,15.57,15.6,14.88,5020
1280268000,15.5,15.6,15.66,15.5,4943
1280354400,15.6,15.5,15.6,15.5,65
1280440800,15.03,15,15.03,15,1464
1280700000,13.52,15.18,15.18,13.52,5504
1280786400,15.34,15.14,15.34,14.66,1325
1280872800,14.52,15,15,14.52,2560
1280959200,14.87,14.87,14.87,14.87,66
1281045600,14.85,14.85,14.85,14.85,5
1281304800,14.65,14.45,14.65,14.25,4589
1281391200,14.45,14.39,14.45,14.11,3622
1281477600,14.1,14.05,14.1,14.05,5574
1281564000,14.05,14.05,14.05,14.05,1131
1281650400,14.03,14.03,14.03,14.03,200
1281909600,14.02,14.09,14.09,14.02,123
1281996000,14.2,14.45,14.45,14.05,7138
1282082400,14.45,14.32,14.45,14.32,265
1282168800,14.45,14.7,14.7,14.45,450
1282255200,14.65,14.65,14.65,14.65,68
1282514400,14.21,14.49,14.49,14.2,412
1282600800,14.49,14.44,14.49,14.01,201
1282687200,14.64,14.64,14.64,14.64,2
1282773600,14.1,14.6,14.6,14.09,437
1282860000,0,14.6,14.6,14.6,0
1283119200,14.6,14.6,14.6,14.6,21
1283205600,14,14,14,14,200
1283292000,13.8,14,14.1,13.8,163
1283378400,13.8,14.31,14.31,13.6,1788
1283464800,14.44,14.43,14.44,14.1,987
1283724000,14.47,14.4,14.47,14.29,1286
1283810400,14.3,14.38,14.38,14.1,1294
1283896800,14.27,14.87,14.9,14.27,1211
1283983200,14.87,14.7,14.9,14.55,2255
1284069600,0,14.7,14.7,14.7,0
1284328800,14.22,14.35,14.37,14.22,321
1284415200,0,14.35,14.35,14.35,0
1284501600,14.03,14.25,14.3,14.02,592
1284588000,0,14.25,14.25,14.25,0
1284674400,0,14.25,14.25,14.25,0
1284933600,14.03,14.7,14.78,14.03,295
1285020000,14.41,14.5,14.69,14.21,394
1285106400,14.5,14.45,14.5,13.31,1245
1285192800,13.9,14.39,14.39,13.8,1587
1285279200,13.91,14.39,14.39,13.8,669
1285538400,0,14.39,14.39,14.39,0
1285624800,13.8,13.84,14.4,13.68,625
1285711200,14,14.29,14.39,13.81,635
1285797600,0,14.29,14.29,14.29,0
1285884000,14,14.25,14.25,13.8,951
1286143200,13.8,14.26,14.28,13.5,1593
1286229600,0,14.26,14.26,14.26,0
1286316000,13.8,14.26,14.26,13.8,1498
1286402400,13.8,13.8,14.2,13.4,5814
1286488800,13.8,14,14.21,13.8,432
1286748000,14,13.9,14,13.55,445
1286834400,0,13.9,13.9,13.9,0
1286920800,13.89,13.89,13.89,13.89,91
1287007200,13.85,13.61,13.89,13.61,1000
1287093600,13.9,13.65,13.9,13.56,395
1287352800,13.6,13.8,13.8,13.4,711
1287439200,13.2,13.51,13.8,13.2,722
1287525600,13.51,13.7,13.7,13.51,20
1287612000,13.3,13.65,13.65,13.3,1526
1287698400,13.4,13.65,13.65,13.4,360
1287957600,13.65,13.9,13.95,13.6,1081
1288044000,13.55,13.8,13.8,13.5,1455
1288130400,13.55,13.8,13.8,13.5,154
1288216800,13.45,13.78,13.78,13.45,100
1288303200,13.45,13.94,13.94,13.45,318
1288652400,13.5,13.89,13.89,13.45,1902
1288738800,0,13.89,13.89,13.89,0
1288825200,13.89,13.9,13.9,13.3,5952
1288911600,0,13.9,13.9,13.9,0
1289170800,13.7,13.7,13.7,13.7,50
1289257200,13.73,13.5,13.73,13.5,1683
1289343600,13.72,13.7,13.85,13.7,335
1289516400,13.32,13.85,13.85,13.32,222
1289775600,13.78,13.9,13.9,13.78,520
1289862000,13.52,13.5,13.7,13.5,568
1289948400,13.5,13.59,13.6,13.49,1459
1290034800,13.35,13.61,13.61,13.35,820
1290121200,13.37,13.28,13.45,13,7504
1290380400,13.02,13.1,13.1,13,4891
1290466800,12.75,13.39,13.39,12.75,1702
1290553200,13.29,13.3,13.3,13.29,223
1290639600,0,13.3,13.3,13.3,0
