t,o,c,h,l,v
1082412000,30,31.1,31.6,30,173540
1082498400,30.8,31,31.5,30.5,52150
1082584800,31,30.1,31,30.1,25340
1082671200,30,29.7,30.1,29.6,14638
1082930400,29.6,29.3,29.6,29.2,11200
1083016800,29.8,29.3,29.8,28.7,6307
1083103200,29.2,28.9,29.2,28.7,5293
1083189600,28.8,28.2,29,28,8873
1083276000,27.7,28,28,27.5,8876
1083621600,28.5,28.5,28.5,28,5116
1083708000,28,28,28,27.6,9756
1083794400,28,27.7,28.2,27.6,2331
1083880800,27.8,28.1,28.1,27.8,5545
1084140000,28,27.7,28,27.5,4403
1084226400,27.7,28,28,27.7,3040
1084312800,28,28.4,28.4,28,790
1084399200,28.2,27.6,28.2,27.6,2577
1084485600,27.5,28,28,27.5,564
1084744800,27.8,27.8,27.8,27.5,3190
1084831200,27.8,27.5,27.8,27.5,340
1084917600,27.8,27.7,27.8,27.7,1444
1085004000,27.6,27.5,27.8,27.5,1100
1085090400,27.2,27.2,27.2,26.5,3288
1085349600,27.8,27.4,27.8,27.4,842
1085436000,27.4,26.7,27.7,26.7,716
1085522400,27,27.3,27.5,27,305
1085608800,26.7,27.6,27.6,26.7,782
1085695200,27,27,27.3,27,353
1085954400,26.7,26.5,27.1,26.5,800
1086040800,26.5,27,27,26.5,229
1086127200,27.2,27,27.2,27,520
1086213600,27.4,27.6,27.6,27,1902
1086300000,27.7,27.7,27.7,27.7,114
1086559200,27.8,27.5,27.8,27.2,1379
1086645600,27.2,27.6,27.6,27.2,2162
1086732000,27.6,27.6,27.9,27.5,7141
1086904800,27.6,28,28.1,27.6,7479
1087164000,27.8,28.2,28.2,27.8,2618
1087250400,28.2,28.7,29.2,28.2,13263
1087336800,28.8,28.8,29.1,28.5,3172
1087423200,28.5,28.6,28.6,28.5,3382
1087509600,28.5,28.8,28.8,28.5,3085
1087768800,29,29.1,29.1,28.9,3132
1087855200,29.2,29.2,29.3,29.2,2377
1087941600,28.2,29.4,29.5,28.2,2562
1088028000,0,29.4,29.4,29.4,0
1088114400,29.4,29.7,29.7,29.3,4333
1088373600,29.7,29.7,29.7,29.7,45
1088460000,29.1,29.6,29.7,29.1,1152
1088546400,29.6,29.6,29.6,29.2,3391
1088632800,29.2,29.4,29.4,29.2,261
1088719200,29.2,29.3,29.3,29.2,715
1088978400,29.2,29.3,29.3,29.2,1302
1089064800,29.2,29.4,29.4,28.9,366
1089151200,29.5,29.6,29.6,29.4,3605
1089237600,29.6,30.3,31,29.5,6733
1089324000,30.5,29.8,30.5,29.7,2405
1089583200,30,29.9,30.5,29.9,699
1089669600,29.7,29.3,29.7,29,572
1089756000,29.5,29.5,29.5,28.9,1614
1089842400,29.1,29,29.1,29,401
1089928800,29,29.4,29.4,29,2345
1090188000,29.5,29.3,29.5,29.3,674
1090274400,29,29.8,29.8,29,75
1090360800,29.8,29.8,29.8,29.4,563
1090447200,29.4,29.4,29.4,29.4,13
1090533600,29.7,30,30.5,29.7,5338
1090792800,29.7,30.4,30.4,29.7,109
1090879200,30.1,30.5,30.6,30.1,3790
1090965600,30.5,31,31,30.5,7574
1091052000,30.8,31.2,31.2,30.8,4061
1091138400,31.2,32.1,32.1,31.2,5205
1091397600,32.8,32.8,33,32.5,4968
1091484000,32.8,32.5,32.8,32.2,3720
1091570400,32.1,32.3,32.3,31.5,3984
1091656800,32,32.5,32.5,32,4011
1091743200,32.6,32.1,32.6,32.1,568
1092002400,32,32,32.1,29.2,2529
1092088800,32.4,33.6,33.6,32.4,15356
1092175200,33.7,32.8,33.7,32.5,4984
1092261600,32.9,33,33.1,32.8,7250
1092348000,32.9,33,33,32.9,5150
1092607200,32.4,32.8,32.8,32.4,301
1092693600,32.8,31.8,32.8,31.8,190
1092780000,32,32.9,32.9,32,1351
1092866400,32.9,33,33.2,32.9,834
1092952800,32,32.5,32.9,32,1032
1093212000,32.5,31.5,32.5,31.5,351
1093298400,31.7,32.7,32.9,31.5,1060
1093384800,32.9,32.1,32.9,32.1,155
1093471200,32,32.8,32.8,32,300
1093557600,32.4,32.9,32.9,32.4,148
1093816800,32.9,32.8,32.9,32.1,744
1093903200,32.8,32.3,32.8,32.2,172
1093989600,32,32.5,32.5,32,455
1094076000,32.5,32.5,33,32,1218
1094162400,31.9,32.5,32.9,31.8,426
1094421600,32.4,32.8,32.8,31.9,3633
1094508000,32.8,32.8,32.8,32.1,1352
1094594400,32.8,33.7,33.8,32.8,15539
1094680800,33.8,33.7,33.9,33.5,355
1094767200,33.9,33.5,34,33.3,2101
1095026400,33.1,33.1,33.2,33.1,961
1095112800,33.5,33.4,33.5,32.8,445
1095199200,33,32.6,33.5,32.6,480
1095285600,32.6,32.6,32.6,32.6,360
1095372000,32.6,32.9,33,32.6,45
1095631200,32.7,32.5,33.3,32.5,505
1095717600,32,33,33,32,1260
1095804000,32.2,32.2,32.2,32,140
1095890400,31.9,31.9,31.9,31.9,312
1095976800,31.6,31.6,31.9,31.6,1055
1096236000,31.5,31.9,31.9,31.5,301
1096322400,31.2,31.6,32.3,31.2,976
1096408800,32.3,32,32.3,32,772
1096495200,0,32,32,32,0
1096581600,31.3,31.5,31.9,31.3,103
1096840800,31.5,31.5,31.6,31.5,292
1096927200,31.5,30.6,31.5,30.5,3555
1097013600,30.6,30.6,30.6,30.6,264
1097100000,30.1,30,30.1,30,381
1097186400,29.9,31.2,31.2,29.9,1247
1097445600,31.4,30.6,31.8,30.6,791
1097532000,30.4,30.3,30.4,30.3,580
1097618400,30.9,28.7,30.9,28.6,1053
1097704800,28.4,28.5,28.9,28.1,2065
1097791200,28.3,28.3,28.3,28.3,158
1098050400,28.4,29,29,28.4,134
1098136800,29,28.5,29,28.2,593
1098223200,28.2,28,28.2,28,420
1098309600,27.1,28.3,28.3,27.1,618
1098396000,28.3,28,28.9,28,1230
1098655200,28.1,28,28.3,27.3,338
1098741600,27.6,28,28.8,27.6,152
1098828000,29,28,29,28,12
1098914400,28.8,29,29,28.8,122
1099000800,29,28.3,29.2,28,4066
1099350000,29,29,29.1,28.9,828
1099436400,28.7,29.5,29.8,28.7,769
1099522800,29.6,28.8,29.6,28.3,1085
1099609200,28.7,28,28.7,28,1205
1099868400,28.7,29.2,29.2,28.3,836
1099954800,29.2,28.9,29.2,28.3,190
1100041200,28.4,29,29,28.4,7
1100214000,28.8,28.8,28.8,28.8,100
1100473200,28.5,28.8,28.8,28.5,205
1100559600,28.9,28.8,29,28.1,493
1100646000,27.9,27.5,27.9,27.4,2769
1100732400,27.5,27.5,27.5,27.1,340
1100818800,27.4,26.9,27.4,26.6,1622
1101078000,27.3,27,27.4,26.9,2694
1101164400,27.5,27,27.8,26.9,1111
1101250800,27,27.6,27.6,26.5,1789
1101337200,27.8,27,27.8,26.4,1975
1101423600,0,27,27,27,0
1101682800,26.5,27.7,27.7,26.3,1335
1101769200,27,28,28.2,27,1947
1101855600,27.7,28,28,27.7,9
1101942000,28,28,28,28,1
1102028400,28,28,28.4,28,2643
1102287600,28,28,28,28,188
1102374000,28,28,28,28,500
1102460400,28,28,28,27.3,3084
1102546800,28,28,28,28,1700
1102633200,27.3,27.6,27.9,27.3,668
1102892400,27.1,27.1,27.1,27.1,7
1102978800,27.8,27.9,27.9,27.8,2550
1103065200,28,28,28.1,28,2820
1103151600,28,28.3,28.3,27.7,1042
1103238000,28.4,29,29,28.4,2528
1103497200,28.1,28.8,28.8,28.1,3282
1103583600,29,28.4,29,28,2120
1103670000,27.9,28.7,28.8,27.9,6325
1103756400,28.5,28.7,28.8,27.5,3435
1103842800,28.7,29,29,28.6,966
