t,o,c,h,l,v
1619560800,28.6,25.45,29,24.11,52828
1619647200,25.9,22.39,26.76,21.99,20940
1619733600,22.4,26,26.8,22.4,20229
1620079200,27,30,32.2,26.65,28012
1620165600,31,29.495,31.8,28.1,6295
1620252000,30,28.7,30,27.505,2481
1620338400,29.2,28.99,29.2,28.3,5954
1620597600,29.8,28.75,30.9,28.01,5297
1620684000,28.5,28.34,28.5,28,3498
1620770400,28.3,29.295,29.6,27,4410
1620856800,29,29.3,29.5,28,5143
1620943200,28.5,28.985,29.1,28,4275
1621202400,28.985,31.8,31.845,28.35,4662
1621288800,31.79,30.7,31.79,29.8,5091
1621375200,30.005,30.4,30.4,29.4,991
1621461600,29.8,30.4,30.79,29.3,4673
1621548000,29.7,30,30.3,29.5,2240
1621807200,28.55,30,30.495,28.5,3823
1621893600,29.5,29.45,29.5,28.5,2101
1621980000,29.5,29,29.5,28,2019
1622066400,28.99,29.495,29.5,28.1,2978
1622152800,29.485,30.85,31.37,28.5,11229
1622412000,30.885,31.5,31.88,30.885,4866
1622498400,31.87,31.5,31.89,30.6,2701
1622584800,31.5,31.975,31.99,30.985,3145
1622757600,31.975,32.48,32.5,30.71,3725
1623016800,32.5,33.61,33.61,32.01,4708
1623103200,33.7,35,35.95,33.7,3808
1623189600,35.2,39.8,40.3,34.9,12668
1623276000,40,40.8,42,38,5342
1623362400,42.4,41,50,35.2,4835
1623621600,42.9,41,43,40,517
1623708000,40.5,40.3,41.5,37.5,1711
1623794400,39.4,40,40,38.055,276
1623880800,39.01,39.89,39.9,37.5,1055
1623967200,37.61,38.8,38.8,37.5,530
1624226400,38.8,37.9,38.8,37,427
1624312800,38.5,39,40,36.65,3429
1624399200,37.5,39,39,36.925,1734
1624485600,37.51,39.47,39.47,37.51,1603
1624572000,38.5,39.2,39.9,37.7,1442
1624831200,39.885,37.9,39.9,37.41,2828
1624917600,37.15,36.5,37.15,35.6,3183
1625004000,35.2,34.98,37.5,31.56,7077
1625090400,35.5,35.49,35.5,33.56,3549
1625176800,36,36.8,36.8,36,144
1625436000,36.9,39.19,39.48,36.9,1652
1625522400,39,38,39,37,1965
1625608800,37.99,37.5,37.99,37,61
1625695200,36.5,37.99,38,35.7,453
1625781600,37.99,37.89,37.99,36.8,65
1626040800,37.2,36.95,37.5,35.015,4418
1626127200,37,35.9,37,34.65,1097
1626213600,36.98,36,36.98,36,10
1626300000,36,36.97,36.98,35.35,68
1626386400,36.97,37.5,37.5,36.11,271
1626645600,36.14,38.5,38.5,35.42,1255
1626732000,37.9,40.56,44,37.9,8239
1626818400,42,42.89,43.4,40.85,2080
1626904800,43,41.99,43,40.6,678
1626991200,42,41.9,42,40.6,414
1627250400,41.6,41.2,41.6,39.1,332
1627336800,39.1,40.6,41.2,39,1062
1627423200,39,41,41,39,1551
1627509600,40.8,40.6,40.8,39,3277
1627596000,39,40,40,38,1009
1627855200,39.9,39.5,41,38.13,998
1627941600,39.5,40.99,41,38.5,1974
1628028000,40.99,38.35,41.2,38.11,2850
1628114400,38.35,40,42,38.35,1978
1628200800,40,39.8,40.65,39,1887
1628460000,39.8,40.195,40.2,38.76,1667
1628546400,40.3,41.4,41.4,40.1,1016
1628632800,41.8,40.95,41.8,40.95,71
1628719200,40.95,41.59,42,39.41,983
1628805600,42.5,41.7,42.5,39.65,399
1629064800,40.505,42.48,42.48,40.505,1325
1629151200,42.5,45.9,46.05,42.11,3785
1629237600,48,49,49.575,45.5,5697
1629324000,49.245,49.46,49.99,47.5,1927
1629410400,47.565,49.4,49.46,47.565,279
1629669600,49.4,48.98,50,48.1,2651
1629756000,50,47.5,50,46.32,1283
1629842400,47.6,47.5,50,46.6,501
1629928800,47,47.5,48.5,47,1283
1630015200,47.9,47,47.9,46.32,312
1630274400,47.8,45.995,48.9,45.6,1183
1630360800,46.695,44.9,46.695,43.6,2257
1630447200,44.9,44.94,46,43.7,2080
1630533600,44.88,45.98,45.98,43.1,1398
1630620000,46,46.49,47.4,45.5,892
1630879200,45.2,45.94,46.3,44,1463
1630965600,44.5,44.95,45.9,44,740
1631052000,44.95,44,45.9,43,2338
1631138400,43.62,44.78,45.8,43.6,207
1631224800,44.77,45,45,43.1,1274
1631484000,46,44.88,46,44.1,2965
1631570400,44.88,42.96,44.88,38.32,11582
1631656800,40,42.95,43.5,39.19,6581
1631743200,55,58,60,46,128599
1631829600,63,57.5,66.5,54.22,75629
1632088800,72,83.32,86.4,67,126373
1632175200,85,107.4,121.8,85,86643
1632261600,95,95.8,107,93.2,58677
1632348000,99.9,90,101.78,85.5,39713
1632434400,90,93.5,98.7,87.5,36323
1632693600,105,87.83,106.96,87.55,54223
1632780000,88.46,89.03,92,84.5,23432
1632866400,89.1,80,91.9,79.3,46117
1632952800,80,85.8,87.7,76.33,24277
1633039200,85.5,83.6,85.5,80.52,12056
1633298400,83.8,85.6,85.99,80.61,8230
1633384800,84.99,84.4,87,83,5218
1633471200,83,83.62,87,81.2,7031
1633557600,85.87,91.98,94.34,83.1,22072
1633644000,93.2,89.8,97.6,75.02,35231
1633903200,90.8,88.3,91.4,84.2,13150
1633989600,84.99,91.9,92.5,82.3,12163
1634076000,91,91.9,93.8,89,5119
1634162400,89.66,90,91.57,87.2,4728
1634248800,90.01,87.64,90.01,85.4,4949
1634508000,87,86.7,87.8,83.5,3016
1634594400,87.68,87.2,89.5,86.04,7157
1634680800,88.3,85.5,88.3,83.6,4209
1634767200,85.59,86,86.34,83.1,2456
1634853600,85.81,86.4,87.7,83.81,3057
1635112800,86,86.52,86.79,85.32,2822
1635199200,85.55,86,86.55,84,2163
1635285600,87.98,86.36,87.98,85.31,1609
1635372000,86.36,86.8,87.01,85.41,1209
1635458400,85.89,86.9,87.11,85,1783
1635807600,86.01,89.56,90.8,85.49,5211
1635894000,90.5,86.95,91.3,84.9,11448
1635980400,86.1,88.9,89.19,85.66,1854
1636066800,87.2,88,88.81,85.6,3197
1636326000,86,86.47,86.92,84.41,2624
1636412400,86,76.8,86.63,76.8,18514
1636498800,77,68,77,68,37542
1636671600,73.8,80,87,73.4,36596
1636930800,81.7,76.8,81.7,72.4,11667
1637017200,76.8,73.96,76.8,72,13614
1637103600,73.9,72.6,73.9,70.7,6167
1637190000,71.21,70.59,72.51,66.5,11074
1637276400,71.2,72.7,72.99,71.2,3353
1637535600,71.1,82,82,71.1,9670
1637622000,82,80.85,82,79,2873
1637708400,80.61,76.05,80.71,76,3213
1637794800,76.35,74,79,73.6,4337
1637881200,73.61,74.3,75.3,71.89,6475
1638140400,72.54,73.88,75.51,71.6,4227
1638226800,72.49,77.67,77.9,72.2,1297
1638313200,76.89,74.25,77,73.04,4315
1638399600,73.49,74.2,74.61,72.51,1321
1638486000,74.2,75.56,75.59,74.02,2034
1638745200,75.56,74.5,76.39,72.2,5231
1638831600,73.39,75.8,77,73.3,2233
1638918000,75.41,74.97,75.89,73,3557
1639004400,74.98,74.54,77,73,5725
1639090800,73.96,73.25,73.96,72.2,2909
1639350000,72.1,70.99,72.98,69.95,7357
1639436400,70.99,69.85,71,68.2,2393
1639522800,69.85,69.88,71,68.1,4606
1639609200,68.7,70.85,71,68.2,4080
1639695600,69.01,69.2,70.98,68.5,1136
1639954800,69.01,68.75,69.39,68.11,3180
1640041200,69.89,66.9,69.89,65,10325
1640127600,66.01,64.8,66.01,64.3,4392
1640214000,63.55,64.28,64.8,60,34341
1640559600,64.29,62.99,64.56,60.55,9572
1640646000,61.56,66.66,68.7,61,22536
1640732400,68,67.88,68.39,63,6645
1640818800,67.87,67.5,67.87,66.59,2959
1641164400,69.9,70.98,73.8,66.7,10753
1641250800,70.8,67.82,71.7,67.01,8571
1641337200,67.62,68.28,69.4,67.62,4028
1641510000,68,69.79,69.79,67.5,4094
1641769200,69.7,69.87,71.85,68.6,11137
1641855600,70.96,75,75,70.5,8742
1641942000,75.9,74.86,77,73.5,2478
