t,o,c,h,l,v
1103756400,3.4,3.7,4,3.35,902499
1103842800,3.77,3.92,3.92,3.72,154541
1104102000,4.08,4.59,4.6,4.02,965593
1104188400,4.73,4.96,5.2,4.6,918410
1104274800,5,4.73,5.05,4.6,388234
1104361200,4.59,4.35,4.6,4.33,395994
1104447600,4.41,4.6,4.65,4.41,165282
1104706800,4.65,4.7,4.84,4.6,209786
1104793200,4.7,4.62,4.72,4.6,81664
1104879600,4.65,4.6,4.65,4.52,74714
1104966000,4.45,4.45,4.53,4.42,66080
1105052400,4.45,4.5,4.55,4.45,31456
1105311600,4.46,4.28,4.46,4.24,65675
1105398000,4.23,4.03,4.23,4.03,139826
1105484400,4,4.05,4.09,4,52609
1105570800,4.09,4.02,4.1,4,40428
1105657200,4.03,3.97,4.04,3.9,84066
1105916400,3.91,3.8,3.95,3.76,95535
1106002800,3.77,3.67,3.8,3.6,97683
1106089200,3.65,3.93,3.96,3.61,148810
1106175600,3.9,3.82,3.9,3.78,32007
1106262000,3.85,3.81,3.88,3.72,32728
1106521200,3.82,3.8,3.82,3.7,25074
1106607600,3.82,4.08,4.09,3.8,153946
1106694000,4.2,4.12,4.29,4.01,183500
1106780400,4.13,4.09,4.15,4,94107
1106866800,4.12,4.1,4.12,4.04,47901
1107126000,4.1,4.15,4.2,4.05,62339
1107212400,4.15,4.14,4.15,4.09,19023
1107298800,4.15,4.1,4.15,4.05,31384
1107385200,4.07,4.04,4.11,4.03,20692
1107471600,4.04,4.06,4.09,4.04,27564
1107730800,4.06,4.04,4.06,3.95,66558
1107817200,4,4.04,4.04,3.97,19010
1107903600,4.06,4.03,4.06,3.99,10775
1107990000,4,4.03,4.03,3.99,11357
1108076400,4.02,4,4.02,3.98,15062
1108335600,3.99,3.9,3.99,3.9,39733
1108422000,3.9,3.85,3.9,3.77,50029
1108508400,3.95,3.9,4.03,3.85,60862
1108594800,3.86,3.95,3.99,3.82,29089
1108681200,3.95,3.95,3.95,3.9,9559
1108940400,3.9,3.95,3.95,3.86,6478
1109026800,3.91,3.9,3.91,3.85,10640
1109113200,3.9,3.86,3.9,3.86,21502
1109199600,3.86,4.07,4.09,3.85,84121
1109286000,4.1,4.07,4.15,4,81249
1109545200,4.02,3.97,4.02,3.95,10923
1109631600,3.95,3.97,4.02,3.94,6621
1109718000,3.94,3.91,3.95,3.88,14246
1109804400,3.88,3.88,3.95,3.85,16275
1109890800,3.94,3.86,3.94,3.86,5978
1110150000,3.85,3.89,3.9,3.85,24903
1110236400,3.89,3.84,3.89,3.8,6911
1110322800,3.88,3.83,3.88,3.82,6482
1110409200,3.83,3.83,3.86,3.83,2900
1110495600,3.83,3.8,3.84,3.72,6759
1110754800,3.8,3.8,3.8,3.76,2603
1110841200,3.75,3.72,3.75,3.7,18924
1110927600,3.7,3.64,3.7,3.56,46597
1111014000,3.6,3.56,3.61,3.55,20856
1111100400,3.58,3.6,3.62,3.55,23049
