t,o,c,h,l,v
913071600,0,25,25,25,3351
913158000,0,27.5,27.5,27.5,5471
913244400,0,30.2,30.2,30.2,8560
913330800,0,27.2,27.2,27.2,3679
913590000,0,24.5,24.5,24.5,6721
913676400,0,25.5,25.5,25.5,10165
913762800,0,26,26,26,8309
913849200,0,25.9,25.9,25.9,7003
913935600,0,26,26,26,7026
914194800,0,23.4,23.4,23.4,9759
914281200,0,21.1,21.1,21.1,15392
914367600,0,21.1,21.1,21.1,11093
914799600,0,22,22,22,12653
914886000,0,22,22,22,17070
914972400,0,23.8,23.8,23.8,28178
915058800,0,25.9,25.9,25.9,20913
915404400,0,23.4,23.4,23.4,1960
915490800,0,23,23,23,4435
915577200,0,23,23,23,2650
915663600,0,22.5,22.5,22.5,3383
915750000,0,23,23,23,1335
916009200,0,23.2,23.2,23.2,3103
916095600,0,23,23,23,295
916182000,0,22.2,22.2,22.2,1214
916268400,0,22,22,22,900
916354800,0,21.5,21.5,21.5,574
916614000,0,22,22,22,632
916700400,0,21.7,21.7,21.7,762
916786800,0,21.5,21.5,21.5,885
916873200,0,20.5,20.5,20.5,1097
916959600,0,18.5,18.5,18.5,1025
917218800,0,18,18,18,2886
917305200,0,18.5,18.5,18.5,964
917391600,0,19,19,19,1228
917478000,0,18.6,18.6,18.6,295
917564400,0,20.4,20.4,20.4,2481
917823600,0,19.5,19.5,19.5,683
917910000,0,18.5,18.5,18.5,1280
917996400,0,18.5,18.5,18.5,750
918082800,0,19.5,19.5,19.5,481
918169200,0,20,20,20,1691
918428400,0,20,20,20,1107
918514800,0,20.4,20.4,20.4,1070
918601200,0,19.4,19.4,19.4,343
918687600,0,19.8,19.8,19.8,170
918774000,0,20.1,20.1,20.1,394
919033200,0,19.8,19.8,19.8,219
919119600,0,18,18,18,583
919206000,0,19.8,19.8,19.8,625
919292400,0,19.3,19.3,19.3,101
919378800,0,20,20,20,128
919638000,0,19,19,19,1014
919724400,0,20.1,20.1,20.1,3510
919810800,0,20.1,20.1,20.1,1127
919897200,0,20.5,20.5,20.5,2025
919983600,0,20,20,20,2001
920242800,0,20,20,20,502
920329200,0,20,20,20,1371
920415600,0,19.5,19.5,19.5,150
920502000,0,19.4,19.4,19.4,808
