t,o,c,h,l,v
825980400,0,17,17,17,9170
826066800,0,18,18,18,21049
826153200,0,19,19,19,6765
826239600,0,19,19,19,5508
826498800,0,18,18,18,772
826585200,0,16,16,16,365
826671600,0,17,17,17,1625
826758000,0,17,17,17,934
826844400,0,17,17,17,1290
827103600,0,17,17,17,476
827190000,0,19,19,19,1179
827276400,0,18,18,18,1062
827362800,0,18,18,18,377
827449200,0,16,16,16,524
827708400,0,17,17,17,1328
827794800,0,16,16,16,1201
827881200,0,17,17,17,552
827967600,0,16,16,16,1211
828054000,0,17,17,17,727
828309600,0,16,16,16,1286
828396000,0,16,16,16,1742
828482400,0,16,16,16,750
828568800,0,17,17,17,255
828655200,0,16,16,16,1160
829000800,0,17,17,17,753
829087200,0,16,16,16,709
829173600,0,16,16,16,349
829260000,0,16,16,16,1749
829519200,0,16,16,16,857
829605600,0,17,17,17,400
829692000,0,16,16,16,1111
829778400,0,17,17,17,461
829864800,0,17,17,17,4554
830124000,0,18,18,18,2041
830210400,0,18,18,18,5208
830296800,0,18,18,18,1549
830383200,0,18,18,18,641
830469600,0,17,17,17,1032
830728800,0,17,17,17,2004
830815200,0,18,18,18,2765
831333600,0,18,18,18,3206
831420000,0,18,18,18,2030
831506400,0,17,17,17,1070
831592800,0,18,18,18,1205
831679200,0,17,17,17,2496
831938400,0,18,18,18,2043
832024800,0,18,18,18,1427
832111200,0,18,18,18,550
832197600,0,18,18,18,3074
832284000,0,18,18,18,2143
832543200,0,20,20,20,5848
832629600,0,22,22,22,9402
832716000,0,22,22,22,8627
832802400,0,22,22,22,7968
832888800,0,24,24,24,6223
833148000,0,22,22,22,9411
833234400,0,22,22,22,2835
833320800,0,22,22,22,2789
833407200,0,23,23,23,5087
833493600,0,24,24,24,12431
833752800,0,23,23,23,7919
833839200,0,20,20,20,9254
833925600,0,21,21,21,5543
834098400,0,21,21,21,3871
834357600,0,22,22,22,6117
834444000,0,22,22,22,5388
834530400,0,23,23,23,9967
834616800,0,26,26,26,28599
834703200,0,28,28,28,19777
834962400,0,28,28,28,12834
835048800,0,28,28,28,2450
835135200,0,31,31,31,6131
835221600,0,30,30,30,6558
835308000,0,30,30,30,7840
835567200,0,30,30,30,7337
835653600,0,30,30,30,9110
835740000,0,33,33,33,8644
835826400,0,36,36,36,7704
835912800,0,36,36,36,15250
836172000,0,39,39,39,6862
836258400,0,38,38,38,14052
836344800,0,37,37,37,11385
836431200,0,37,37,37,8067
836517600,0,37,37,37,11283
836776800,0,33,33,33,2089
836863200,0,34,34,34,9425
836949600,0,34,34,34,4104
837036000,0,35,35,35,10493
837122400,0,37,37,37,5842
837381600,0,39,39,39,9559
837468000,0,39,39,39,8296
837554400,0,37,37,37,7859
837640800,0,37,37,37,8585
837727200,0,39,39,39,5071
837986400,0,38,38,38,6582
