t,o,c,h,l,v
1292799600,6.36,6.31,6.4,6.1,5789
1292886000,6.25,6.1,6.25,6.07,2701
1292972400,6.05,6.3,6.4,6.05,4003
1293058800,6.4,6.45,6.45,6.4,850
1293404400,6.27,6.41,6.42,6.21,5581
1293490800,6.4,6.16,6.41,6.12,5605
1293577200,6.38,6.48,6.59,6.16,8969
1293663600,6.4,6.6,6.6,6.4,8871
1293750000,6.55,6.6,6.61,6.41,8396
1294009200,6.41,6.3,6.41,6.3,1443
1294095600,6.3,6.3,6.3,6.3,1709
1294182000,6.3,6.3,6.3,6.26,13679
1294354800,6.4,6.35,6.4,6.35,250
1294614000,6.35,6.27,6.35,6.27,925
1294700400,0,6.27,6.27,6.27,0
1294786800,6.43,6.45,6.45,6.31,1804
1294873200,6.49,6.49,6.53,6.45,2456
1294959600,6.5,6.45,6.53,6.35,4835
1295218800,6.35,6.48,6.48,6.35,132
1295305200,6.47,6.52,6.52,6.47,171
1295391600,6.52,6.31,6.53,6.31,443
1295478000,6.52,6.44,6.52,6.25,1442
1295564400,6.43,6.51,6.51,6.3,3334
1295823600,6.5,6.5,6.5,6.4,972
1295910000,6.5,6.5,6.5,6.35,415
1295996400,6.47,6.35,6.47,6.35,282
1296082800,6.35,6.44,6.44,6.35,4484
1296169200,6.44,6.39,6.44,6.31,708
1296428400,6.39,6.39,6.45,6.3,1097
1296514800,6.26,6.45,6.45,6.25,2072
1296601200,6.26,6.44,6.44,6.26,3215
1296687600,6.4,6.4,6.4,6.31,570
1296774000,6.4,6.4,6.4,6.3,330
1297033200,6.39,6.55,6.55,6.39,3706
1297119600,6.5,6.45,6.5,6.39,385
1297206000,6.49,6.45,6.49,6.41,432
1297292400,6.45,6.44,6.45,6.37,585
1297378800,6.4,6.44,6.44,6.4,110
1297638000,6.45,6.43,6.45,6.37,320
1297724400,6.43,6.43,6.43,6.43,10
1297810800,6.4,6.4,6.45,6.4,666
1297897200,6.4,6.3,6.4,6.3,3396
1297983600,6.3,6.39,6.4,6.3,3712
1298242800,6.35,6.43,6.45,6.35,683
1298329200,6.35,6.35,6.41,6.3,4787
1298415600,6.4,6.4,6.4,6.31,370
1298502000,6.31,6.38,6.38,6.31,6845
1298588400,6.3,6.35,6.35,6.3,1320
1298847600,6.35,6.45,6.45,6.35,4609
1298934000,6.48,6.48,6.48,6.35,1600
1299020400,6.4,6.4,6.4,6.4,768
1299106800,6.4,6.4,6.4,6.35,1222
1299193200,6.4,6.4,6.4,6.4,4877
1299452400,6.45,6.45,6.45,6.45,332
1299538800,6.45,6.45,6.45,6.45,300
1299625200,6.45,6.45,6.46,6.44,1536
1299711600,6.48,6.33,6.48,6.33,1526
1299798000,6.48,6.33,6.48,6.33,2027
1300057200,6.41,6.33,6.41,6.33,300
1300143600,6.4,6.39,6.4,6.32,9162
1300230000,6.32,6.39,6.39,6.32,1262
1300316400,6.38,6.38,6.38,6.38,50
1300402800,6.37,6.37,6.37,6.37,30
1300662000,6.35,6.35,6.35,6.35,664
1300748400,6.38,6.5,6.51,6.32,10305
1300834800,6.52,6.75,6.8,6.52,15629
1300921200,6.74,6.93,7.01,6.74,19124
1301007600,7,6.88,7,6.77,3368
1301263200,6.87,6.8,6.87,6.67,4275
1301349600,6.8,6.8,6.8,6.7,1382
1301436000,6.83,6.62,6.83,6.62,1751
1301522400,6.79,6.62,6.79,6.62,1706
1301608800,6.53,6.6,6.6,6.5,1505
1301868000,6.6,6.65,6.65,6.6,575
1301954400,6.64,6.64,6.64,6.64,50
1302040800,6.6,6.61,6.62,6.53,1816
1302127200,6.61,6.59,6.61,6.59,404
1302213600,6.59,6.59,6.59,6.59,50
1302472800,6.53,6.45,6.53,6.45,385
1302559200,6.45,6.35,6.45,6.35,3420
1302645600,6.36,6.44,6.44,6.3,2765
1302732000,6.4,6.54,6.54,6.4,1070
1302818400,6.55,6.55,6.55,6.55,269
1303077600,6.54,6.54,6.54,6.29,1761
1303164000,6.43,6.45,6.46,6.27,4523
1303250400,6.45,6.44,6.45,6.3,435
1303336800,6.45,6.45,6.45,6.45,25
1303768800,6.42,6.42,6.42,6.42,20
1303855200,6.42,6.37,6.42,6.25,1324
1303941600,6.35,6.3,6.35,6.25,1699
1304028000,6.3,6.3,6.3,6.15,1848
1304287200,6.25,6.25,6.25,6.25,20
1304460000,6.15,6.12,6.2,6.1,978
1304546400,6.14,6.15,6.15,6.1,1620
1304632800,6.2,6.04,6.2,5.9,5205
1304892000,5.9,5.98,5.98,5.9,2582
1304978400,5.98,5.96,5.98,5.85,2665
1305064800,6,5.81,6,5.81,4427
1305151200,5.99,5.7,5.99,5.65,4266
1305237600,5.7,5.55,5.7,5.4,1821
1305496800,5.4,5.35,5.45,5.35,12318
1305583200,5.42,5.27,5.42,5.27,1835
1305669600,5.08,4.9,5.08,4.9,12269
1305756000,4.81,5.01,5.04,4.81,8578
1305842400,5.01,5.01,5.01,4.95,5820
1306101600,4.91,5,5.02,4.91,5615
1306188000,5.02,5,5.02,5,561
1306274400,4.99,5.1,5.1,4.99,2282
1306360800,4.94,5.1,5.1,4.94,2612
1306447200,5.2,5.04,5.2,5.04,470
1306706400,5.16,5.15,5.16,5.04,516
1306792800,5.19,5.19,5.19,5,815
