t,o,c,h,l,v
1179784800,39.43,39.35,40.96,38.02,15282
1179871200,39.5,38.48,40.25,37.21,18678
1179957600,38.5,38.48,38.89,37.5,7964
1180044000,37.3,38.98,39.5,37.3,16577
1180303200,37.55,39.4,39.4,37.55,12798
1180389600,39.45,40.2,40.99,39,25551
1180476000,39.5,40.25,40.3,39,16102
1180562400,40,39.9,40.5,39.5,36225
1180648800,39.5,40,40,39,12676
1180908000,40.09,40.27,40.39,39.21,6646
1180994400,40.27,39.99,40.27,39.5,2585
1181080800,39.98,39.6,40,38.1,29720
1181253600,38,40,40,38,25674
1181512800,40,39.79,40,39.1,5935
1181599200,39.78,39.6,39.9,39.15,9425
1181685600,39.55,42.9,43,39.55,113516
1181772000,43.5,47.9,49.5,43.5,109721
1181858400,49,50,51.45,48.9,138626
1182117600,51.4,50.5,51.4,49.1,53608
1182204000,49.11,50,50.45,49.02,100051
1182290400,50.2,53,56.9,49,607152
1182376800,53.8,51.5,54.5,51.05,28860
1182463200,52,54,54.8,51.7,33342
1182722400,52.2,53.95,53.95,51.1,41211
1182808800,53,53.4,53.4,51.5,12006
1182895200,53.4,54.65,55.95,53.1,48281
1182981600,55.5,55.9,55.95,55.5,11757
1183068000,55.9,53.9,55.9,53.9,9385
1183327200,54.1,55,55,49,34078
1183413600,56.85,53.3,56.85,53.1,14094
1183500000,53.1,53.8,53.8,51.25,15018
1183586400,53.5,53.5,54.5,52.5,11706
1183672800,53.5,54.75,54.75,52,12664
1183932000,53.5,54.5,55,52.75,11674
1184018400,54,52,54,52,8651
1184104800,51.5,51.35,51.95,50,10696
1184191200,52,51,52,49,13737
1184277600,51.4,50.3,52,50.1,4342
1184536800,49.9,53.95,53.95,48.7,26186
1184623200,51,53.5,53.8,51,4765
1184709600,51.9,52,52.8,51,4569
1184796000,52.1,51,52.6,50.5,40775
1184882400,51.1,51.4,52.3,50.6,14185
1185141600,51.9,52,52.55,50.5,2953
1185228000,50.7,52.4,53.1,50.5,16529
1185314400,51.1,52.8,52.8,50,12377
1185400800,52.7,49.5,52.95,49.5,10797
1185487200,46.9,48.8,48.8,44.2,40777
1185746400,48,49.2,49.2,46.23,28138
1185832800,49,51,51,48.9,20346
1185919200,49.2,48,49.5,47.6,35547
1186005600,48.11,48,48.5,47.25,13110
1186092000,47.5,47.39,47.5,45.5,7266
1186351200,45.98,46.35,46.35,44.7,12321
1186437600,46,45,46.8,44.05,7494
1186524000,45.45,43.75,45.65,41.5,16349
1186610400,42.3,42.95,42.95,40,24622
1186696800,40.1,41.99,41.99,37.25,42912
1186956000,40.9,40.79,42,39.7,26253
1187042400,40.78,41.8,41.95,39.25,12870
1187215200,39.99,39,39.99,35.95,31701
1187301600,40.5,40.49,40.6,37.1,19171
1187560800,42.2,42,44,41,18015
1187647200,42,42,42,39.6,8517
1187733600,42.7,44.9,44.9,40.5,12853
1187820000,45.9,44.3,45.9,43.55,16177
1187906400,43.15,44,44,42.4,11647
1188165600,44,43.9,44,43.22,10420
1188252000,43.8,44.5,44.5,42.7,5457
1188338400,43,45.5,45.5,43,6980
1188424800,45.4,44.6,46,43.35,21899
1188511200,45.15,45.1,45.15,44.31,3334
1188770400,45.98,45.49,45.98,45,2440
1188856800,45.7,45.89,46,44.7,11027
1188943200,45.1,44.59,45.1,44.01,8692
1189029600,44.5,44.69,44.98,43.23,5258
1189116000,44.69,44.59,44.69,43.5,3617
1189375200,43.2,43.8,43.8,40.5,7092
1189461600,43,44.4,44.4,43,8009
