t,o,c,h,l,v
895010400,0,72,72,72,15700
895096800,0,72,72,72,10849
895183200,0,71.5,71.5,71.5,8241
895442400,0,65,65,65,1410
895528800,0,58.5,58.5,58.5,0
895615200,0,53,53,53,7103
895701600,0,56,56,56,4315
895788000,0,56,56,56,1905
896047200,0,51.5,51.5,51.5,841
896133600,0,49,49,49,4120
896220000,0,47,47,47,3239
896306400,0,47.5,47.5,47.5,1283
896392800,0,50,50,50,800
896652000,0,45.2,45.2,45.2,1970
896738400,0,43,43,43,557
896824800,0,44.8,44.8,44.8,1156
896911200,0,45,45,45,841
896997600,0,45.5,45.5,45.5,2103
897256800,0,47,47,47,1283
897343200,0,42.3,42.3,42.3,1419
897429600,0,42.4,42.4,42.4,1541
897861600,0,42.4,42.4,42.4,1677
897948000,0,38.2,38.2,38.2,1036
898034400,0,40.5,40.5,40.5,2299
898120800,0,42.5,42.5,42.5,3861
898207200,0,42,42,42,913
898466400,0,42,42,42,895
898552800,0,41.8,41.8,41.8,1821
898639200,0,40.4,40.4,40.4,637
898725600,0,40,40,40,2122
898812000,0,40,40,40,620
899071200,0,41.6,41.6,41.6,1175
899157600,0,43.8,43.8,43.8,1919
899244000,0,45,45,45,3240
899330400,0,46.5,46.5,46.5,4449
899416800,0,46.5,46.5,46.5,3678
899676000,0,45.5,45.5,45.5,1200
899762400,0,45,45,45,846
899848800,0,43.5,43.5,43.5,1625
899935200,0,42,42,42,1211
900021600,0,42,42,42,2753
900280800,0,42,42,42,3958
900367200,0,43,43,43,4083
900453600,0,42.5,42.5,42.5,993
900540000,0,42,42,42,1670
900626400,0,42,42,42,1557
900885600,0,40.6,40.6,40.6,1067
900972000,0,40,40,40,1448
901058400,0,36,36,36,519
901144800,0,36.1,36.1,36.1,2247
901231200,0,39,39,39,2428
901490400,0,40,40,40,3396
901576800,0,39,39,39,937
901663200,0,38,38,38,568
901749600,0,38,38,38,660
901836000,0,39.5,39.5,39.5,1612
902095200,0,35.6,35.6,35.6,679
902181600,0,36,36,36,1358
902268000,0,35,35,35,2153
902354400,0,34.6,34.6,34.6,2271
902440800,0,35,35,35,578
902700000,0,34.6,34.6,34.6,601
902786400,0,33.5,33.5,33.5,3316
902872800,0,33.5,33.5,33.5,3015
902959200,0,32.5,32.5,32.5,932
903045600,0,31.6,31.6,31.6,600
903304800,0,29.4,29.4,29.4,2607
903391200,0,31,31,31,2493
903477600,0,31.8,31.8,31.8,995
903564000,0,31.2,31.2,31.2,514
903650400,0,29.7,29.7,29.7,1560
903909600,0,29.7,29.7,29.7,1254
903996000,0,29.7,29.7,29.7,923
904082400,0,29.6,29.6,29.6,250
904168800,0,26.7,26.7,26.7,2073
904255200,0,24.1,24.1,24.1,1138
904514400,0,21.7,21.7,21.7,2471
904600800,0,19.6,19.6,19.6,2844
904687200,0,21.5,21.5,21.5,1452
904773600,0,21.3,21.3,21.3,3179
904860000,0,23,23,23,308
905119200,0,23.5,23.5,23.5,304
905205600,0,25.5,25.5,25.5,1174
905292000,0,25.3,25.3,25.3,685
905378400,0,23.7,23.7,23.7,2807
905464800,0,21.6,21.6,21.6,4250
905724000,0,22.7,22.7,22.7,1000
905810400,0,24,24,24,1710
905896800,0,23.2,23.2,23.2,3624
905983200,0,23.5,23.5,23.5,1611
906069600,0,22.5,22.5,22.5,1705
906328800,0,20.3,20.3,20.3,680
906415200,0,21,21,21,761
906501600,0,22,22,22,591
906588000,0,24,24,24,1600
906674400,0,22.9,22.9,22.9,668
906933600,0,23.5,23.5,23.5,388
907020000,0,23,23,23,476
907106400,0,22,22,22,506
907192800,0,20.9,20.9,20.9,2376
907279200,0,21,21,21,332
907538400,0,21.5,21.5,21.5,154
907624800,0,20.9,20.9,20.9,235
907711200,0,20.3,20.3,20.3,310
907797600,0,19.6,19.6,19.6,609
907884000,0,20,20,20,230
908143200,0,20.9,20.9,20.9,419
908229600,0,21,21,21,491
908316000,0,20,20,20,140
908402400,0,19,19,19,375
908488800,0,20,20,20,2643
908748000,0,18.2,18.2,18.2,643
908834400,0,18.2,18.2,18.2,314
908920800,0,18.6,18.6,18.6,154
909007200,0,18.6,18.6,18.6,5937
909093600,0,19,19,19,685
909356400,0,19,19,19,733
909442800,0,19.4,19.4,19.4,1293
909529200,0,18.3,18.3,18.3,3445
909615600,0,18.1,18.1,18.1,1025
909702000,0,18.5,18.5,18.5,2773
909961200,0,19,19,19,431
910047600,0,19.7,19.7,19.7,5300
910134000,0,19.8,19.8,19.8,3169
910220400,0,20.4,20.4,20.4,4574
910306800,0,20.8,20.8,20.8,2885
910566000,0,21.8,21.8,21.8,4645
910652400,0,23.4,23.4,23.4,3230
910825200,0,22.8,22.8,22.8,5504
910911600,0,22.9,22.9,22.9,2742
911170800,0,24.1,24.1,24.1,3009
911257200,0,24.6,24.6,24.6,2940
911343600,0,23.9,23.9,23.9,1126
911430000,0,22.6,22.6,22.6,3791
911516400,0,22.8,22.8,22.8,493
911775600,0,23.2,23.2,23.2,2578
