t,o,c,h,l,v
1124229600,9.25,9.2,9.6,8.75,5371
1124316000,9.4,9.1,9.4,9.1,1352
1124402400,8.9,9.3,9.4,8.9,1451
1124661600,9.3,9.4,9.45,9.15,1167
1124748000,9.45,9.45,9.45,9.45,10
1124834400,9.4,10.1,10.3,9.4,5881
1124920800,10.1,9.6,10.1,9.45,8735
1125007200,9.6,9.85,10,9.6,3575
1125266400,9.65,9.55,9.8,9.55,3186
1125352800,9.55,9.6,9.6,9.55,2005
1125439200,9.55,9.55,9.55,9.55,200
1125525600,9.75,9.55,9.75,9.55,873
1125612000,9.55,9.6,9.6,8.8,316
1125871200,9.6,9.6,9.6,9.6,360
1125957600,9.55,9.55,9.55,9.55,21645
1126044000,9.35,9.4,9.6,9.35,912
1126130400,9.35,9.35,9.35,9.35,326
1126216800,9.4,9.4,9.4,9.2,128037
1126476000,9.2,9.4,9.4,9.2,377
1126562400,9.2,9.2,9.2,9.2,150
1126648800,9.2,9.2,9.2,9.2,501
1126735200,9.2,9.2,9.2,9.2,737
1126821600,0,9.2,9.2,9.2,0
1127080800,9.4,9.2,9.4,9.2,1301
1127167200,9.35,9.2,9.35,9.2,2349
1127253600,9.2,9.2,9.25,9.2,7301
1127340000,9.3,9.3,9.3,9.25,566
1127426400,9.3,9.3,9.3,9.3,4648
1127685600,0,9.3,9.3,9.3,0
1127772000,9.1,9.2,9.2,9.1,5946
1127858400,9.3,9.25,9.4,9.25,4161
1127944800,9.2,9.2,9.2,9.2,374
1128031200,9.2,9.2,9.2,9.2,551
1128290400,9.05,9.05,9.05,9.05,339
1128376800,9.05,9.1,9.25,9.05,2550
1128463200,9.3,9.4,9.4,9.25,817
1128549600,9.4,9.5,9.5,9.2,1081
1128636000,9.3,9.05,9.3,9.05,957
1128895200,9.05,9.25,9.25,9.05,1103
1128981600,9.05,9.05,9.05,9.05,1300
1129068000,0,9.05,9.05,9.05,0
1129154400,9.1,9.3,9.3,9.1,550
1129240800,9.3,9.4,9.4,9.3,546
1129500000,9.4,9.4,9.4,9.35,1083
1129586400,0,9.4,9.4,9.4,0
1129672800,0,9.4,9.4,9.4,0
1129759200,9.4,9.5,10,9.4,8366
1129845600,9.7,9.95,9.95,9.4,3571
1130104800,9.75,10,10.6,9.55,3702
1130191200,9.8,10,10,9.8,500
1130277600,9.8,9.7,9.8,9.7,1188
1130364000,9.9,9.6,10.5,9.6,1617
1130450400,9.8,10.85,11.9,9.8,35916
1130713200,11,10.85,12.2,10.6,22506
1130886000,10.8,10.7,11.05,10.35,7150
1130972400,10.6,10.85,10.9,10.05,3456
1131058800,10.7,10.35,10.95,10,8040
1131318000,10.6,10.2,10.85,10.2,2146
1131404400,10.25,10.85,10.85,10.05,2912
1131490800,10.6,10.6,10.85,10.35,2666
1131577200,10.4,10.6,10.6,10.3,4042
1131922800,10.8,10.4,10.8,10.4,665
1132009200,10.6,11,11.45,10.6,4407
1132095600,11,10.45,11.2,10.45,4103
1132182000,10.7,10.6,11.2,10.55,3879
1132268400,10.5,10.9,11.3,10.35,6200
1132527600,10.9,10.7,11.15,10.5,8810
1132614000,10.75,10.7,10.75,10.5,1470
1132700400,10.5,11,11,10.3,2278
1132786800,10.8,10.8,10.9,10.35,5420
1132873200,10.6,10.75,10.75,10.5,794
1133132400,10.75,10.7,11,10.3,2321
1133218800,10.75,11.35,11.4,10.35,8335
1133305200,11.35,11.8,12.4,11.2,8483
1133391600,12.05,11.85,12.1,11.85,4879
1133478000,11.8,11.85,12.05,11.8,2073
1133737200,12.1,12,12.5,12,8550
1133823600,11.8,11.65,11.95,11.2,4103
1133910000,11.65,11.75,12,11.5,4338
1133996400,11.75,11.45,11.75,11.2,1811
1134082800,11.35,11.75,11.75,11.3,1202
1134342000,11.75,11.2,12,11.1,4198
1134428400,11.25,11.4,11.4,11.2,1123
1134514800,11.4,11.55,11.7,11.4,5581
1134601200,11.65,11.65,11.65,11.5,1187
1134687600,11.45,11.4,11.65,11.4,450
1134946800,11.65,11.45,11.65,11.4,206
1135033200,11.4,11.6,11.6,11.4,2006
1135119600,11.85,11.65,11.85,11.4,1260
1135206000,11.65,11.45,11.65,11.45,833
1135292400,11.45,11.65,11.65,11.4,3090
1135638000,11.8,11.6,11.85,11.6,2029
1135724400,11.8,11.75,11.8,11.75,240
1135810800,11.55,11.55,11.55,11.55,712
1135897200,11.4,11.2,11.45,10.9,5223
1136156400,11.1,11.5,11.9,10.5,8024
1136242800,11.4,11.05,11.4,10.6,5672
1136329200,11.3,11.55,11.7,11.25,8101
1136415600,11.8,11.45,11.8,11.45,4438
1136502000,11.6,11.35,11.6,11.35,3361
1136761200,11.35,11.35,11.5,11,8058
1136847600,11.4,11.45,11.45,11.4,299
1136934000,11.5,11.55,11.55,11.45,1793
1137020400,11.45,11.55,11.75,11.45,1625
1137106800,11.45,11.4,11.45,11.35,10058
1137366000,11.4,11.4,11.4,11.35,4222
1137452400,11.65,11.45,11.8,11.35,6995
1137538800,11.3,11.4,11.7,10.85,14451
1137625200,11.55,11.55,11.55,10.85,6829
1137711600,11.8,12.5,13,11.8,65463
1137970800,12.45,12.45,12.45,11.85,6671
1138057200,12.5,12.5,13,12.45,8184
1138143600,12.65,12.5,12.7,12.45,1214
1138230000,12.3,12.7,12.7,12.2,8235
1138316400,12.7,12.5,12.7,12.15,5977
1138575600,12.3,12.35,12.55,12.2,10735
1138662000,12.8,12.5,12.9,12.4,68617
1138748400,13,17.5,18.3,13,272090
