t,o,c,h,l,v
1233270000,11.3,11.28,11.35,11.11,3339
1233529200,11.3,11.02,11.3,11.01,9183
1233615600,11.01,10.72,11.05,10.5,192229
1233702000,10.6,11.2,11.2,10.4,316636
1233788400,11.22,12.53,12.88,11.06,22644
1233874800,13.01,13.89,14,13.01,36291
1234134000,14,14.5,14.5,13.99,60485
1234220400,14.5,14.5,14.69,14.03,30388
1234306800,14.3,14.02,14.45,14,61170
1234393200,14,14.1,14.25,13.72,10310
1234479600,14,14.45,14.5,14,13987
1234738800,14.49,14.7,14.89,14.49,62127
1234825200,14.55,14,14.55,13.55,30205
1234911600,13.65,13.9,14,13.47,43377
1234998000,14,14,14.2,13.8,56578
1235084400,14.1,14,14.1,13.8,64434
1235343600,13.8,13.86,14.01,13.8,100923
1235430000,13.9,14,14,13.86,5431
1235516400,14,14.4,14.4,14,17059
1235602800,14.4,14.5,14.5,14.2,10081
1235689200,14.25,14.7,14.8,14.25,10842
1235948400,14.65,14.34,14.65,14.15,8127
1236034800,14.14,14.05,14.14,13.92,7977
1236121200,14.3,14.23,14.3,14,4190
1236207600,14.01,13.96,14.23,13.8,3075
1236294000,14,14.44,14.5,14,5398
1236553200,14.31,14.39,14.49,14.29,1778
1236639600,14.4,14.7,14.7,14.39,8578
1236726000,14.69,14.75,14.95,14.65,14137
1236812400,14.8,14.74,14.8,14.5,6405
1236898800,14.75,14,14.85,14,5877
1237158000,14.15,14.3,14.56,14.15,1708
1237244400,14.2,14.5,14.6,14.2,4077
1237330800,14.59,14.55,14.59,14.21,3244
1237417200,14.58,14.5,14.58,14.22,6479
1237503600,14.5,14.49,14.5,14.2,3275
1237762800,14.49,14.39,14.49,14.21,6268
1237849200,14.49,14.2,14.49,14.1,8707
1237935600,14.21,14.4,14.4,13.95,21763
1238022000,14.3,14.4,14.4,14.2,8832
1238108400,14.3,14.3,14.38,14,57671
1238364000,14.38,14.19,14.38,14.07,29164
1238450400,14.11,14.25,14.28,14.11,940
1238536800,14.35,14.19,14.35,13.95,9242
1238623200,14.2,14.88,14.88,14.11,36729
1238709600,14.83,15,15.1,14.73,57097
1238968800,15.1,15.4,15.7,15.07,48480
1239055200,15.3,15,15.3,14.86,14120
1239141600,14.85,15.55,15.6,14.85,77165
1239228000,15.4,15.86,15.86,15.3,60760
1239660000,15.86,15.7,15.98,15.68,35147
1239746400,15.7,15.5,15.7,15.4,80190
1239832800,15.49,15.44,15.49,15.25,17722
1239919200,15.4,15.3,15.4,15.15,9584
1240178400,15.15,14.97,15.37,14.97,16036
1240264800,14.8,15,15.1,14.8,16896
1240351200,15.18,15.3,15.35,15.06,13339
1240437600,15.3,15.5,15.5,15.3,20675
1240524000,15.5,15.59,15.6,15.36,11097
1240783200,15.59,15.4,15.59,15.25,1778
1240869600,15.47,15.5,15.5,15.18,11128
1240956000,15.5,15.65,15.77,15.4,52401
1241042400,15.7,15.89,15.95,15.65,30006
1241388000,15.96,15.8,15.97,15.52,37507
1241474400,15.65,15.8,15.84,15.6,19565
1241560800,15.65,15.8,15.97,15.65,43715
1241647200,15.96,15.73,15.96,15.71,16139
1241733600,15.6,15.71,15.8,15.6,104660
1241992800,15.68,15.8,15.8,15.51,11711
1242079200,15.7,15.64,15.7,15.56,1568
1242165600,15.56,15.64,15.65,15.56,3937
1242252000,15.56,15.7,15.79,15.56,2946
1242338400,15.8,16.65,17,15.8,122876
1242597600,16.8,17.4,18.38,16.8,68201
1242684000,17.32,17.4,17.5,17.2,62954
1242770400,17.56,17.49,17.56,16.9,49655
1242856800,17.3,17.11,17.39,17,22836
1242943200,17,17,17.1,16.6,34773
1243202400,17,17,17,16.8,22515
1243288800,17.15,17.2,17.2,16.79,13880
1243375200,17.06,17.16,17.23,17.04,4739
1243461600,17.1,17,17.1,16.91,15231
1243548000,17,16.97,17,16.82,9166
1243807200,16.99,17.4,17.4,16.84,26257
1243893600,17.48,17.6,17.6,17,28694
1243980000,17.79,17.5,17.8,17.1,26978
1244066400,17.5,17.49,17.58,17.28,7856
1244152800,17.44,17.4,17.53,17.25,31568
1244412000,17.5,17.3,17.5,17.3,5006
1244498400,17.25,17.06,17.26,17.05,9418
1244584800,17.2,17.1,17.29,17.06,23232
1244757600,17.2,17.1,17.2,17,60984
1245016800,17,17,17.05,16.8,6499
1245103200,16.9,16.9,16.95,16.7,5165
1245189600,16.85,16.86,16.95,16.85,18484
1245276000,16.86,16.8,16.86,16.76,32600
1245362400,16.9,17.01,17.5,16.9,16309
1245621600,17,16.72,17,16.72,4633
1245708000,16.06,16.7,16.7,15.5,20645
1245794400,16.63,16.99,16.99,16.46,15077
1245880800,16.95,16.99,17.15,16.8,24417
1245967200,17.19,16.85,17.19,16.8,4670
1246226400,17,16.92,17.1,16.85,12696
1246312800,17.1,17.38,17.38,17.1,47122
1246399200,17.35,17.3,17.35,17.17,18634
1246485600,17.3,17.38,17.38,17.29,112836
1246572000,17.25,18.5,18.5,17.25,55028
1246831200,18.75,18.9,19.2,18.61,52824
1246917600,18.73,19.11,19.11,18.73,38325
1247004000,19.05,19,19.09,18.8,22725
1247090400,18.82,19.3,19.4,18.82,29828
1247176800,19.24,19.09,19.24,19.01,12342
1247436000,19,18.99,19.05,18.9,4639
1247522400,19,19.38,19.38,18.85,10248
1247608800,19.2,19.49,19.49,19.16,21173
1247695200,19.59,19.7,20,19.5,28124
1247781600,19.88,19.84,19.88,19.7,12540
1248040800,19.88,19.6,19.88,19.51,10202
1248127200,19.7,19.45,19.79,19.45,25023
1248213600,19.3,19.35,19.39,19.2,3489
1248300000,19.44,19.6,19.65,19.42,13810
1248386400,19.63,19.65,19.67,19.4,22172
1248645600,19.79,19.65,19.79,19.52,7596
1248732000,19.65,19.78,19.78,19.55,14202
1248818400,19.75,19.64,19.85,19.64,9460
1248904800,19.55,19.99,19.99,19.55,30648
1248991200,20,20.48,20.88,19.98,44189
1249250400,20.31,20.55,20.77,20.31,27292
1249336800,20.84,20.75,20.84,20.66,16681
1249423200,20.8,20.57,20.89,20.5,32512
1249509600,20.51,20.58,20.75,20.51,5472
1249596000,20.57,21.65,21.89,20.45,113759
1249855200,21.5,23.47,23.48,21.5,68060
1249941600,25,24,26.8,23.8,281184
1250028000,24.1,24.89,24.99,23.16,122940
1250114400,25.02,25.34,25.6,24.9,40996
1250200800,25.34,22.99,25.34,21.05,482780
1250460000,22.52,22.2,22.55,22.1,61723
1250546400,22.57,22.22,22.69,22.22,44221
1250632800,22.5,22.89,23,22.33,30823
1250719200,23.13,22.99,23.35,22.9,32189
1250805600,23.19,23.09,23.19,22.8,55108
1251064800,23.2,22.89,23.2,22.8,19711
1251151200,22.89,23,23,22.6,30482
1251237600,22.85,22.88,22.88,22.6,14362
1251324000,22.88,22.81,22.88,22.67,26143
1251410400,22.88,23.1,23.13,22.8,34198
1251669600,23.25,23.49,23.49,23.21,42284
1251756000,23.5,24.48,24.7,23.5,61848
1251842400,24.1,23.2,24.44,23,25600
1251928800,23.01,23.39,23.5,23.01,55239
1252015200,23.8,23.5,23.8,23.3,6462
1252274400,23.45,23.5,23.55,23.36,11756
1252360800,23.49,23.28,23.7,23.21,14567
1252447200,23.01,23.25,23.25,23.01,4889
1252533600,23.22,23.2,23.22,23.02,17042
1252620000,23.2,23.2,23.3,23.05,6787
1252879200,23.17,22.98,23.17,22.5,39255
