t,o,c,h,l,v
1386716400,16.95,16.09,16.95,15.3,35166936
1386802800,15.9,15.81,16.25,15.78,7061340
1386889200,15.81,16.19,16.19,15.81,3011472
1387148400,16.1,16.3,16.48,16.1,2025051
1387234800,16.27,16.05,16.35,16.03,1118982
1387321200,16.2,16.14,16.2,16.02,814864
1387407600,16.14,16.05,16.14,16,1952468
1387494000,16,16.05,16.07,15.92,3245570
1387753200,16.17,16,16.17,15.98,877342
1388098800,16,16.04,16.05,15.96,1209585
1388358000,15.95,15.93,15.98,15.91,903229
1388617200,16,15.95,16,15.8,2733679
1388703600,15.96,15.9,16,15.75,1187877
1389049200,15.81,15.8,15.91,15.51,1838465
1389135600,15.66,15.8,15.8,15.6,2412819
1389222000,15.7,15.83,15.87,15.7,971775
1389308400,15.75,15.85,15.85,15.62,2098440
1389567600,15.92,16.54,16.66,15.92,2737984
1389654000,16.39,16.49,16.6,16.29,784999
1389740400,16.41,16.43,16.48,16.28,403104
1389826800,16.42,16.45,16.55,16.4,557177
1389913200,16.58,16.71,16.84,16.5,1781181
1390172400,16.8,16.7,16.8,16.61,134902
1390258800,16.72,16.6,16.73,16.54,296333
1390345200,16.53,16.6,16.62,16.46,195950
1390431600,16.55,16.51,16.6,16.5,158469
1390518000,16.47,16.52,16.55,16.47,808293
1390777200,16.31,16.4,16.5,16.29,803246
1390863600,16.36,16.45,16.53,16.25,3199393
1390950000,16.36,16.15,16.42,16.03,2523900
1391036400,16.15,16.2,16.24,16.05,1059697
1391122800,16.17,16.1,16.2,15.98,686934
1391382000,16.03,16.19,16.21,16.03,956154
1391468400,16,16.2,16.22,15.99,573722
1391554800,16.2,16.3,16.47,16.15,1012359
1391641200,16.3,16.55,16.55,16.25,2599100
1391727600,16.6,16.7,16.73,16.47,1176834
1391986800,16.7,16.87,16.92,16.61,1673494
1392073200,16.86,16.88,16.94,16.61,733433
1392159600,16.87,17,17.1,16.71,2154093
1392246000,17,17.2,17.2,16.88,1872631
1392332400,17.2,17.34,17.35,17.09,1517273
1392591600,17.27,17.39,17.46,17.21,397799
1392678000,17.39,17.35,17.41,17.08,1410359
1392764400,17.2,17.38,17.4,17.1,843313
1392850800,17.2,17.29,17.35,17.16,656739
1392937200,17.21,17.31,17.35,17.21,309189
1393196400,17.3,17.25,17.35,17.21,290020
1393282800,17.25,17.38,17.43,17.25,1650137
1393369200,17.29,17.35,17.38,17.15,2049683
1393455600,17.3,17.5,17.52,17.28,2230184
1393542000,17.5,17.6,17.69,17.47,680826
1393801200,17,16.83,17.1,15.9,1943558
1393887600,16.85,17.17,17.25,16.85,569717
1393974000,17.2,17.2,17.23,17.17,535372
1394060400,17.17,17.4,17.43,17.17,738505
1394146800,17.3,17.4,17.46,17.22,1344964
1394406000,17.39,17.38,17.58,17.25,1597917
1394492400,17.3,17.31,17.38,17.2,1874192
1394578800,17.31,17.2,17.38,16.94,926406
1394665200,17.14,17.16,17.2,17.05,457539
1394751600,17.04,16.88,17.04,16.82,1971079
1395010800,16.92,17.25,17.3,16.91,595923
1395097200,17.25,17.24,17.27,17.15,250747
1395183600,17.14,17.3,17.3,17.14,847162
1395270000,17.15,17.57,17.57,17.15,1354109
1395356400,17.5,17.81,17.85,17.49,1982802
1395615600,17.72,17.8,17.85,17.6,3032578
1395702000,17.68,17.95,18,17.68,2096934
1395788400,17.95,17.99,18.15,17.92,1838814
1395874800,17.93,17.94,18,17.86,531543
1395961200,17.88,17.91,17.95,17.83,1199823
1396216800,17.88,17.85,17.89,17.65,601709
1396303200,17.85,17.88,17.88,17.81,461851
1396389600,17.77,17.95,17.95,17.76,482558
1396476000,17.82,17.89,17.95,17.82,528931
1396562400,17.85,18.05,18.05,17.85,536499
1396821600,17.99,18,18.1,17.97,355345
1396908000,17.98,18.3,18.3,17.98,2229710
1396994400,18.29,18.3,18.3,18.1,610657
1397080800,18.21,18.15,18.25,18.15,313159
1397167200,18.1,18.17,18.18,18,310043
1397426400,18.15,18.1,18.15,18,427119
1397512800,18,18.02,18.1,17.83,667835
1397599200,17.92,18.08,18.09,17.92,560465
1397685600,18,18.06,18.09,18,289921
1398117600,18.03,18.08,18.14,18.03,409331
1398204000,18.08,18.1,18.15,18,345031
1398290400,18.02,18,18.08,17.91,528672
1398376800,17.91,17.99,18,17.86,297799
1398636000,17.88,17.99,17.99,17.81,250798
1398722400,17.98,18.05,18.07,17.88,370752
1398808800,18.1,18.05,18.1,17.92,585897
1398981600,18.05,18.03,18.1,18,192291
1399240800,18,17.96,18,17.9,404252
1399327200,17.87,18.05,18.05,17.87,445783
1399413600,18,17.98,18.05,17.84,622670
1399500000,17.96,17.9,18,17.9,120433
1399586400,17.98,17.98,18,17.9,720131
1399845600,18,18.05,18.1,17.99,644340
1399932000,18.05,18.05,18.09,18.04,522748
1400018400,18.05,18.05,18.2,18.05,809069
1400104800,18.5,18.78,18.88,18.46,2800915
1400191200,18.71,18.8,18.88,18.66,1597254
1400450400,18.8,19.2,19.25,18.77,864432
1400536800,19.2,19.3,19.3,19.04,602136
1400623200,19.26,19.48,19.48,19.22,851592
1400709600,19.49,19.61,19.8,19.41,1843543
1400796000,18.6,18.87,19.05,18.6,2093693
1401055200,18.87,18.69,18.89,18.63,573823
1401141600,18.57,18.82,18.88,18.45,1613471
1401228000,18.63,18.4,18.73,18.3,1429923
1401314400,18.32,18.48,18.5,18.31,1254281
1401400800,18.47,18.89,18.9,18.36,16659837
1401660000,18.74,18.85,18.85,18.68,674352
1401746400,18.78,19,19,18.7,1451417
1401832800,18.91,19.5,19.5,18.91,1358036
1401919200,19.49,20,20,19.38,3260657
1402005600,19.95,20.45,20.49,19.93,4253986
1402264800,20.24,20.55,20.6,20.05,1100282
1402351200,20.4,20.8,21.09,20.38,4442257
1402437600,20.66,20.44,20.75,20.14,3742507
1402524000,20.4,20.39,20.43,20.26,2285040
1402610400,20.35,20.39,20.41,20.14,1545366
1402869600,20.15,20.4,20.44,19.5,1033010
1402956000,20.4,20.59,20.59,20.24,1319159
1403042400,20.59,20.59,20.73,20.36,3024248
1403215200,20.6,20.73,20.87,20.42,4838275
1403474400,20.55,20.65,20.74,20.46,822076
1403560800,20.48,20.55,20.8,20.4,999624
1403647200,20.42,20.56,20.59,20.33,651217
1403733600,20.37,20.55,20.6,20.22,251772
1403820000,20.45,20.49,20.49,20.34,177455
1404079200,20.45,20.68,20.68,20.45,1187975
1404165600,20.5,20.68,20.68,20.48,665837
1404252000,20.45,20.4,20.64,20.21,1619239
1404338400,20.29,20.19,20.39,19.62,1677461
1404424800,19.93,20,20.05,19.79,288965
1404684000,19.9,20.06,20.2,19.88,707663
1404770400,20,20.55,20.62,20,1331492
1404856800,20.51,20.7,20.75,20.51,1018240
1404943200,20.7,20.68,20.7,20.36,712617
1405029600,20.6,20.79,20.85,20.59,868861
1405288800,20.75,20.5,20.8,20.5,402404
1405375200,20.5,20.77,20.8,20.42,190670
1405461600,20.66,20.88,21,20.65,717365
1405548000,20.88,20.99,21.03,20.81,1056541
1405634400,20.85,20.99,21.09,20.68,493766
1405893600,20.85,21.01,21.01,20.71,268545
1405980000,21,21.25,21.25,20.88,625387
1406066400,21.12,20.94,21.3,20.94,115684
1406152800,20.92,21.4,21.48,20.91,386826
1406239200,21.33,21.12,21.35,21.04,323287
1406498400,21.12,21.17,21.3,21,161423
1406584800,21.01,20.84,21.08,20.8,169159
1406671200,20.8,20.43,20.84,20.32,429844
1406757600,20.26,20.13,20.26,19.91,516399
1406844000,19.95,20.62,20.62,19.51,192371
1407103200,20.56,20.98,20.98,20.5,422374
1407189600,20.98,20.45,21,20.3,349920
1407276000,20.5,20.44,20.8,20.1,1257171
1407362400,20.4,20.44,20.7,20.2,595748
1407448800,20.4,20.58,20.71,19.81,472743
1407708000,20.58,20.88,20.88,20.5,270623
1407794400,20.8,21.17,21.17,20.8,543293
1407880800,20.91,21.1,21.28,20.88,997598
1407967200,21,21.25,21.25,20.84,446912
1408312800,21.25,21.99,21.99,21.05,716688
1408399200,21.8,21.75,22.1,21.7,778251
1408485600,21.65,21.8,21.8,21.58,189298
1408572000,21.6,21.68,21.8,21.6,181073
1408658400,21.61,21.7,21.88,21.6,284873
1408917600,21.6,21.84,21.95,21.6,139251
1409004000,21.84,22,22,21.65,232748
1409090400,21.9,21.74,22,21.54,321365
1409176800,21.56,20.84,21.7,20.74,441009
1409263200,20.7,20.85,20.99,20.6,616481
1409522400,20.9,21.27,21.3,20.9,227503
1409608800,21.27,21.26,21.4,21.15,114888
1409695200,21.29,21.35,21.47,21.2,176324
1409781600,21.36,22.8,22.8,21.36,2357268
1409868000,22.51,22.81,22.81,22.42,707887
1410127200,22.7,23.5,23.5,22.63,774104
1410213600,23.4,23.49,23.49,23.2,255320
1410300000,23.35,23.5,23.5,23.3,288856
1410386400,23.39,22.9,23.39,22.52,844628
1410472800,22.85,23,23.5,22.8,640724
1410732000,22.9,22.99,23.21,22.55,397503
1410818400,22.99,23.2,23.25,22.76,513753
1410904800,23.2,23.25,23.8,23.05,1346693
1410991200,23.31,23,23.5,22.94,592716
1411077600,23,23.8,24,22.87,9636175
1411336800,23.4,24.1,24.39,23.4,438648
1411423200,24.15,23.8,24.45,23.7,651654
1411509600,23.81,23.68,23.9,23.66,1128982
1411596000,23.67,23.38,23.97,23.32,780447
1411682400,23.45,23.89,23.94,23.32,909695
1411941600,23.89,23.75,24,23.51,594336
1412028000,23.76,24,24.12,23.55,1849863
1412114400,24,23.74,24.09,23.52,570956
1412200800,23.58,23.4,23.87,23.33,363499
1412287200,23.34,23.61,23.9,23.32,330924
1412546400,23.63,23.89,24,23.63,442986
1412632800,23.86,23.85,23.89,23.4,850143
1412719200,23.5,23.5,23.83,23.43,713764
1412805600,23.58,23.42,23.69,23.2,934495
1412892000,23.32,23.2,23.55,22.9,742223
1413151200,23.2,23.1,23.45,23.01,648984
1413237600,23.1,23.29,23.5,23.1,865623
1413324000,23.36,23.55,24,23.32,1082357
1413410400,23.55,23.7,23.85,23.39,967960
1413496800,23.75,23.85,24,23.6,2062641
1413756000,23.81,24.25,24.29,23.74,746213
1413842400,24.01,24.5,24.5,24.01,514450
1413928800,24.46,24.5,24.99,24.38,701081
1414015200,24.38,24.39,24.59,24.38,252149
1414101600,24.4,24.69,24.76,24.4,496068
1414364400,24.66,24.6,24.78,24.41,535471
1414450800,24.65,24.7,24.78,24.39,403934
1414537200,24.71,24.9,24.95,24.61,476937
1414623600,24.9,24.66,24.95,24.6,339583
1414710000,24.9,25.03,25.03,24.71,492254
1414969200,25,25.14,25.2,24.98,450427
1415055600,25.1,24.9,25.19,24.82,569436
1415142000,24.98,24.79,24.98,24.63,560339
1415228400,24.63,24.7,24.98,24.63,268304
