t,o,c,h,l,v
1310940000,4.99,5,5,4.6,40295
1311026400,4.85,5,5,4.85,12160
1311112800,4.82,5,5,4.82,19518
1311199200,5,5,5,4.99,10973
1311285600,5,5,5,5,44269
1311544800,5,4.95,5,4.95,9218
1311631200,5,5,5,4.93,29196
1311717600,4.82,5,5,4.82,835
1311804000,4.85,4.99,4.99,4.75,1439
1311890400,4.9,4.99,5,4.88,13685
1312149600,5,5,5,5,4813
1312236000,5,4.9,5,4.87,10191
1312322400,4.95,4.9,4.98,4.81,10935
1312408800,4.9,4.9,4.98,4.87,17673
1312495200,4.7,4.8,4.88,4.7,15950
1312754400,4.6,4.6,4.7,4.6,16473
1312840800,4.55,4.3,4.6,4.3,23711
1312927200,4.5,4.72,4.72,4.3,3558
1313013600,4.7,4.8,4.8,4.36,19733
1313100000,4.8,4.79,4.8,4.56,4174
1313445600,4.8,4.62,4.8,4.62,7743
1313532000,4.63,4.79,4.83,4.63,5207
1313618400,4.79,4.6,4.79,4.6,3778
1313704800,4.5,4.6,4.6,4.5,2381
1313964000,4.6,4.7,4.7,4.6,338
1314050400,0,4.7,4.7,4.7,0
1314136800,4.6,4.8,4.8,4.55,5360
1314223200,4.7,4.8,4.8,4.7,1010
1314309600,4.8,4.8,4.8,4.65,6209
1314568800,0,4.8,4.8,4.8,0
1314655200,0,4.8,4.8,4.8,0
1314741600,4.5,4.52,4.61,4.5,2575
1314828000,4.41,4.41,4.41,4.41,12
1314914400,4.42,4.2,4.77,4.1,22395
1315173600,4.2,4.6,4.6,4.16,1475
1315260000,4.12,4.49,4.55,4.12,198
1315346400,4.12,4.24,4.48,4.12,31088
1315432800,4.3,4.4,4.4,4.21,2290
1315519200,4.47,4.21,4.47,4.21,566
1315778400,4.11,4.17,4.21,3.86,8838
1315864800,4.17,4.2,4.3,3.95,51267
1315951200,0,4.2,4.2,4.2,0
1316037600,4.07,3.9,4.07,3.9,7392
1316124000,3.93,4.2,4.2,3.85,1071
1316383200,3.8,3.8,3.8,3.75,1765
1316469600,3.8,4,4,3.7,24863
1316556000,3.82,3.99,4,3.8,40888
1316642400,3.95,3.95,3.95,3.95,1250
1316728800,3.8,3.9,4,3.7,10618
1316988000,3.8,4,4,3.72,20094
1317074400,4,4.15,4.15,4,8327
1317160800,4.2,4.2,4.2,4.2,20000
1317247200,4.3,4.3,4.3,4.3,5450
1317333600,4.3,4.4,4.4,4.3,50000
1317592800,4.4,4.4,4.4,4.4,2275
1317679200,0,4.4,4.4,4.4,0
1317765600,0,4.4,4.4,4.4,0
1317852000,4.05,4.4,4.4,3.98,9606
1317938400,4.07,4.35,4.37,4.07,20077
1318197600,0,4.35,4.35,4.35,0
1318284000,4.08,4.08,4.1,4.08,2167
1318370400,4.07,4.29,4.29,4.07,59148
1318456800,4.35,4.35,4.35,4.35,810
1318543200,4.35,4.35,4.35,4.35,187
1318802400,4.35,4.31,4.35,4.2,5117
1318888800,4.25,4.35,4.35,4.12,11332
1318975200,4.34,4.34,4.34,4.34,374
1319061600,0,4.34,4.34,4.34,0
1319148000,0,4.34,4.34,4.34,0
1319407200,4.07,4.32,4.32,4.07,5223
1319493600,4.33,4.33,4.33,4.33,250
1319580000,0,4.33,4.33,4.33,0
1319666400,4.29,4.4,4.4,4.29,164756
1319752800,4.33,4.48,4.48,4.33,1956
1320015600,4.48,4.41,4.48,4.4,9424
1320188400,4.3,4.37,4.37,4.29,1322
1320274800,4.5,4.5,4.5,4.5,400
1320361200,4.5,4.5,4.5,4.5,45
1320620400,4.49,4.49,4.49,4.49,201
1320706800,4.13,4.7,4.7,4.13,2790
1320793200,4.65,4.75,4.75,4.65,100
1320879600,4.28,4.7,4.7,4.28,5149
1321225200,4.71,4.5,4.71,4.5,2066
1321311600,4.5,4.5,4.5,4.5,668
1321398000,4.6,4.6,4.6,4.6,185
1321484400,4.6,4.6,4.6,4.55,1312
1321570800,4.5,4.15,4.5,4.15,4446
1321830000,0,4.15,4.15,4.15,0
1321916400,4.15,4.08,4.15,4.08,239
1322002800,4.08,4.06,4.08,4,1004
1322089200,0,4.06,4.06,4.06,0
1322175600,3.97,3.85,3.97,3.73,876
1322434800,3.85,3.85,3.92,3.85,5219
1322521200,3.85,3.85,3.85,3.85,391
1322607600,3.97,4.04,4.04,3.85,848
1322694000,4.14,4.04,4.46,4.04,7117
1322780400,4.44,4.4,4.44,4.3,4214
1323039600,4.4,4.4,4.4,4.4,25
1323126000,4.4,4.49,4.5,4.15,6178
1323212400,4.49,4.45,4.49,4.45,18
1323298800,4.48,4.48,4.48,4.48,10
1323385200,4.45,4.45,4.45,4.27,2933
1323644400,4.45,4.48,4.48,4.3,1439
1323730800,4.48,4.48,4.48,4.48,100
1323817200,4.48,4.38,4.48,4.22,12488
1323903600,4.4,4.12,4.48,4.12,1265
1323990000,4.25,3.96,4.25,3.96,14596
1324249200,4.14,4.14,4.37,4.14,6374
1324335600,4.35,4.25,4.35,4.25,129
1324422000,4.45,3.99,4.45,3.85,7311
1324508400,3.99,3.85,4.01,3.8,7406
1324594800,4.14,3.8,4.14,3.8,5853
1324940400,3.8,3.8,3.8,3.75,6021
1325026800,3.81,3.67,3.85,3.67,7381
1325113200,3.67,3.6,3.67,3.6,10029
1325199600,3.79,3.73,3.85,3.73,59
1325458800,3.9,3.78,3.9,3.6,1999
1325545200,3.7,3.7,3.7,3.54,5016
1325631600,3.73,3.6,3.73,3.6,3549
1325718000,3.6,3.6,3.6,3.58,2439
1326063600,3.54,3.5,3.54,3.5,694
1326150000,3.58,3.35,3.58,3.21,6094
1326236400,3.27,3.27,3.35,3.27,2024
1326322800,3.27,3.52,3.52,3.27,173
1326409200,3.37,3.4,3.52,3.37,3270
1326668400,3.41,3.5,3.5,3.41,50840
1326754800,3.51,3.5,3.51,3.38,288935
1326841200,3.5,3.52,3.52,3.5,10023
1326927600,3.52,3.6,3.6,3.52,4665
1327014000,3.5,3.76,3.9,3.5,1509
1327273200,3.7,3.71,3.71,3.6,6077
1327359600,3.7,3.71,3.75,3.7,2628
1327446000,3.71,3.8,3.9,3.71,3893
1327532400,3.89,3.89,3.89,3.8,490
1327618800,3.89,3.91,3.91,3.89,3188
1327878000,4,3.91,4,3.91,5193
1327964400,3.9,4,4,3.85,5149
1328050800,3.75,3.8,3.85,3.75,1645
1328137200,3.97,3.95,3.97,3.95,575
1328223600,3.95,3.8,3.95,3.8,512
1328482800,3.84,3.84,3.84,3.84,20
1328569200,3.99,4,4.05,3.97,18343
1328655600,4,4.08,4.08,4,400
1328742000,4.08,4.21,4.25,4.08,29666
1328828400,4.25,4.44,4.5,4.25,58499
1329087600,4.46,4.9,4.96,4.46,22239
1329174000,4.87,4.79,4.88,4.76,12828
1329260400,4.98,4.95,5,4.65,16377
1329346800,4.98,4.95,5,4.87,9345
1329433200,4.9,4.91,5.02,4.89,5569
1329692400,4.91,4.62,4.95,4.44,25113
1329778800,4.6,4.56,4.62,4.47,6032
1329865200,4.56,4.43,4.56,4.42,56373
1329951600,4.42,4.42,4.42,4.42,2363
1330038000,4.43,4.42,4.46,4.42,1590
1330297200,4.41,4.41,4.41,4.41,610
1330383600,4.41,4.41,4.5,4.41,10691
1330470000,4.41,4.43,4.44,4.41,910
1330556400,4.45,4.55,4.55,4.43,326
1330642800,4.55,4.57,4.57,4.45,1954
1330902000,4.6,4.67,4.8,4.6,6250
1330988400,4.66,4.66,4.71,4.66,4006
1331074800,4.62,4.74,4.74,4.62,4125
1331161200,4.82,4.9,4.9,4.82,1920
1331247600,4.9,4.92,4.92,4.85,6848
1331506800,4.93,4.92,4.93,4.82,3090
1331593200,4.87,4.95,4.95,4.87,19100
1331679600,4.88,4.9,4.95,4.88,2036
1331766000,4.88,4.93,4.93,4.81,5790
1331852400,4.85,4.87,4.95,4.85,4305
1332111600,4.95,4.95,4.97,4.95,4446
1332198000,4.81,4.9,4.9,4.81,2251
1332284400,4.85,4.88,4.94,4.85,16627
1332370800,4.96,4.95,4.96,4.95,4650
1332457200,4.8,4.92,4.92,4.8,4316
1332712800,4.96,4.95,4.96,4.95,2150
1332799200,4.95,4.85,4.95,4.85,11260
1332885600,4.85,4.95,4.95,4.85,7455
1332972000,4.95,4.85,4.95,4.85,6003
1333058400,4.85,4.85,4.85,4.85,30
1333317600,4.95,4.7,4.95,4.7,5832
1333404000,4.7,4.45,4.75,4.45,2325
1333490400,4.47,4.44,4.49,4.44,4488
1333576800,4.4,4.36,4.42,4.36,12974
1334008800,4.36,4.35,4.36,3.93,4265
1334095200,4,4.35,4.35,4,6987
1334181600,4.15,4.22,4.22,4.15,2108
1334268000,4.49,4.49,4.49,4.26,1560
1334527200,4.3,4.18,4.49,4.18,2912
1334613600,4.21,4.11,4.38,4.11,5963
1334700000,4.11,4,4.29,3.98,9526
1334786400,4.37,4.19,4.37,4.19,337
1334872800,4.19,4.04,4.19,4.04,305
1335132000,4.04,3.96,4.23,3.96,2226
1335218400,4,3.95,4,3.95,118
1335304800,3.98,4.13,4.13,3.95,3831
1335391200,4.25,4.04,4.25,3.98,1501
1335477600,4.33,4.33,4.33,4.33,20
1335736800,4.3,4.2,4.3,3.95,6624
1335909600,4.2,4.2,4.2,4.2,20
1336082400,4.2,4.25,4.32,3.95,5918
1336341600,4.25,4.02,4.25,4.02,404
1336428000,4,4.28,4.28,3.73,1913
1336514400,4.25,4.1,4.25,3.97,1936
1336600800,3.77,3.99,4.02,3.77,344
1336687200,4.02,4.02,4.02,4.02,10
1336946400,3.83,3.73,3.85,3.73,8958
1337032800,3.73,3.9,3.9,3.73,514
1337119200,3.9,3.75,3.9,3.75,4490
1337205600,3.73,3.5,3.75,3.5,2896
1337292000,3.45,3.45,3.45,3.37,7678
1337551200,3.4,3.79,4.05,3.4,1620
1337637600,3.96,3.94,3.96,3.9,1373
1337724000,4,3.83,4,3.83,550
1337810400,3.6,3.9,3.9,3.6,80
1337896800,3.99,3.77,3.99,3.77,1053
1338156000,3.6,3.75,3.75,3.6,300
1338242400,3.61,3.84,3.84,3.61,23
1338328800,3.62,3.74,3.74,3.6,1324
1338415200,3.62,3.7,3.7,3.61,217
1338501600,3.8,3.8,3.8,3.8,20
1338760800,3.79,3.65,3.79,3.58,649
1338847200,3.65,3.47,3.65,3.45,2134
1338933600,3.45,3.38,3.45,3.38,1154
1339106400,3.36,3.38,3.38,3.24,3973
1339365600,3.45,3.38,3.58,3.32,1690
1339452000,3.38,3.44,3.45,3.24,5121
1339538400,3.45,3.41,3.45,3.41,56
1339624800,3.36,3.4,3.45,3.36,1368
1339711200,3.42,3.42,3.42,3.35,1936
1339970400,3.35,3.5,3.5,3.35,1288
1340056800,3.36,3.63,3.63,3.36,528
1340143200,3.68,3.6,3.68,3.4,73622
1340229600,3.5,3.67,3.7,3.5,45382
1340316000,3.67,3.95,3.95,3.67,1122
1340575200,3.99,3.88,3.99,3.81,401
1340661600,3.81,3.82,3.88,3.46,8688
1340748000,3.82,3.82,3.82,3.82,10
1340834400,3.82,3.8,3.82,3.56,236
1340920800,3.8,3.8,3.8,3.66,10543
1341180000,3.84,3.68,3.84,3.68,1251
1341266400,3.7,3.7,3.71,3.7,1551
1341352800,3.72,3.7,3.72,3.7,472
1341439200,3.75,3.7,3.75,3.49,5334
1341525600,3.74,3.74,3.74,3.74,32
1341784800,3.66,3.74,3.74,3.66,165
1341871200,3.73,3.88,3.88,3.6,1257
1341957600,3.87,3.84,3.87,3.7,251
1342044000,3.8,3.7,3.8,3.7,1235
1342130400,3.7,3.7,3.7,3.61,345
1342389600,3.71,3.7,3.71,3.62,12600
1342476000,3.61,3.7,3.7,3.61,10722
1342562400,3.71,3.88,3.88,3.6,21513
1342648800,3.87,3.81,3.87,3.7,20205
1342735200,3.88,3.7,3.88,3.7,11637
1342994400,3.6,3.7,3.7,3.6,3494
1343080800,3.8,3.62,3.8,3.62,420
1343167200,3.62,3.6,3.96,3.6,5095
1343253600,3.61,3.74,3.74,3.61,561
1343340000,3.61,3.68,3.68,3.61,1071
1343599200,3.68,3.83,3.92,3.68,3923
1343685600,3.71,3.8,3.8,3.71,3851
1343772000,3.85,3.85,3.85,3.85,10
1343858400,3.96,3.9,3.97,3.76,1876
1343944800,3.85,3.9,3.9,3.7,2946
1344204000,3.9,3.9,3.91,3.9,5409
1344290400,3.91,3.91,3.91,3.91,220
1344376800,3.92,3.99,3.99,3.92,1728
1344463200,4.04,3.99,4.04,3.99,251
1344549600,4.05,4.02,4.05,3.87,888
1344808800,4.05,3.95,4.05,3.73,6505
1344895200,3.95,3.95,3.95,3.95,166
1345068000,3.95,4,4,3.95,1520
1345154400,4.02,3.95,4.02,3.89,1110
1345413600,3.85,3.99,3.99,3.85,2470
1345500000,3.99,3.95,3.99,3.85,1538
1345586400,4,3.86,4,3.86,571
1345672800,3.86,3.86,3.86,3.86,188
1345759200,3.86,3.86,3.86,3.86,1411
1346018400,3.86,3.86,3.86,3.86,10
1346104800,3.86,3.86,3.86,3.86,1998
1346191200,4.05,3.85,4.05,3.72,14874
1346277600,3.72,3.77,3.84,3.72,471
1346364000,3.89,3.9,3.9,3.8,623
1346623200,3.89,3.89,3.89,3.89,5
1346709600,3.87,3.8,3.87,3.66,2076
1346796000,3.7,3.7,3.7,3.7,914
1346882400,3.8,3.7,3.8,3.7,650
1346968800,3.87,3.7,3.87,3.7,1619
1347228000,3.62,3.7,3.8,3.61,4874
1347314400,3.69,3.7,3.7,3.61,2468
1347400800,3.7,3.7,3.7,3.7,130
1347487200,3.83,3.83,3.83,3.83,5
1347573600,3.72,3.71,3.72,3.7,840
1347832800,3.68,3.68,3.68,3.68,450
1347919200,3.7,3.63,3.7,3.63,740
1348005600,3.63,3.63,3.63,3.63,860
1348092000,3.63,3.63,3.63,3.63,10
1348178400,3.82,3.66,3.82,3.64,592
1348437600,3.6,3.64,3.64,3.55,3528
1348524000,3.77,3.64,3.77,3.6,433
1348610400,3.6,3.6,3.61,3.6,1488
1348696800,3.75,3.6,3.75,3.55,918
1348783200,3.67,3.6,3.67,3.6,4747
1349042400,3.62,3.59,3.7,3.59,299
1349128800,3.7,3.7,3.8,3.7,251
1349215200,3.7,3.65,3.7,3.65,74
1349301600,3.65,3.65,3.65,3.65,910
1349388000,3.61,3.62,3.62,3.6,1260
1349647200,3.71,3.58,3.71,3.58,160
1349733600,3.52,3.52,3.52,3.52,1646
1349820000,3.52,3.45,3.52,3.45,535
1349906400,3.45,3.45,3.45,3.45,1450
