t,o,c,h,l,v
1452812400,0,13.9,13.9,13.9,0
1453071600,13.98,13.96,13.98,13.9,289
1453158000,13.9,13.9,13.9,13.9,259
1453244400,13.97,13.65,13.97,13.54,311
1453330800,13.65,13.54,13.65,13.21,119
1453417200,13.56,13.27,13.56,13.25,627
1453676400,13.48,13.38,13.48,13,90
1453762800,13.34,13.16,13.34,12.56,493
1453849200,12.99,12.85,13,12.85,1050
1453935600,12.89,12.62,13,12.5,6671
1454022000,12.99,12.66,12.99,12.5,11008
1454281200,12.66,12.66,12.68,12.5,1076
1454367600,12.68,12.89,12.89,12.5,510
1454454000,13.9,13.8,13.9,12.58,718
1454540400,13.8,13.8,13.8,13.8,1
1454626800,12.99,12.98,12.99,12.66,556
1454886000,12.97,12.93,12.97,12.93,1001
1454972400,12.99,12.65,12.99,12.65,746
1455058800,12.99,12.85,12.99,12.41,294
1455145200,12.85,12.85,12.85,12.85,1
1455231600,12.89,12.89,12.89,12.89,1
1455490800,12.74,12.5,12.99,12.47,31691
1455577200,12.5,12.89,12.89,12.4,223
1455663600,13.9,12.89,13.9,12.89,155
1455750000,13.89,13.23,13.89,12.9,413
1455836400,13.22,13.89,13.89,12.2,4246
1456095600,13.89,13.89,13.89,13.89,1
1456182000,13.89,13.89,13.89,13.89,1
1456268400,13.89,13.89,13.89,13.89,1
1456354800,13.85,13.85,13.85,13.85,1
1456441200,13.85,13.44,13.85,13.44,41
1456700400,13.85,13.85,13.85,13.85,1
1456786800,13.82,13.82,13.82,13.12,3
1456873200,13.82,13.5,13.82,12.96,37
1456959600,13.43,13.39,13.43,12.8,327
1457046000,13.45,13.3,13.45,13.3,28
1457305200,13.1,13.55,13.55,12.89,1562
1457391600,13.98,13.5,13.98,13.5,29
1457478000,13.8,13.74,13.8,13.74,15
1457564400,13.74,13.25,13.74,13.25,177
1457650800,13.7,13.07,13.7,13.07,648
1457910000,13.7,12.75,13.7,12.75,1206
1457996400,13.1,12.99,13.1,12.85,96
1458082800,13.2,13.2,13.2,13.2,1
1458169200,13,12.9,13,12.9,27
1458255600,12.9,12.7,12.9,12.7,460
1458514800,12.69,12.55,12.79,12.55,1201
1458601200,13.14,13.5,14.2,13.14,17940
1458687600,13.6,13.27,13.61,13,15019
1458774000,13.61,14,14.05,13.05,142464
1459202400,14.04,14.03,14.04,14,256
1459288800,14,13.89,14,13.55,160
1459375200,14,14.13,14.13,13.36,8232
1459461600,14.15,15,15,14.11,2673
1459720800,14.28,13.79,14.55,13.36,4039
1459807200,13.79,14,14.23,13.36,761
1459893600,14.15,13.6,14.15,13.6,91
1459980000,14.1,14.15,14.15,14,18169
1460066400,14.14,13.8,14.15,13.63,545
1460325600,14.15,14.75,15,13.96,5379
1460412000,14.72,15.21,15.49,14.32,5184
1460498400,15.1,16.5,17.1,14.7,145555
1460584800,16.5,16.65,16.7,15.81,1826
1460671200,16.75,16.75,16.75,16.19,3304
1460930400,16.75,16.8,16.8,16.75,600
1461016800,16.92,18.7,19.98,16.92,34494
1461103200,18.7,17.16,18.7,17.15,4417
1461189600,17.13,17.7,18,16.35,2590
1461276000,19,17.16,19,17.16,441
1461535200,18,17.1,18,17,1308
1461621600,18,17,18,17,112
1461708000,17,17.5,17.98,17,1846
1461794400,17.98,18.44,18.45,17.11,66734
1461880800,18.5,19,19,18.25,41963
1462140000,18.9,18.9,18.9,18.5,14
1462312800,19.99,20.5,20.6,19.59,2115
1462399200,20.5,20.4,20.5,19.71,1835
1462485600,20.4,19.7,20.4,19.05,1419
1462744800,20.1,20,20.1,19.7,916
1462831200,20,20,20,19.5,902
1462917600,20,19.9,20,19.89,1857
1463004000,19.9,19.5,19.9,19.5,1060
1463090400,19.8,19.5,19.8,19.5,152
1463349600,19.9,19.4,19.9,19.4,142
1463436000,19,19.6,19.8,19,438
1463522400,19.9,19.25,19.9,19.25,1117
1463608800,19.9,19.3,19.9,19.3,5008
1463695200,19.2,19.2,19.2,19.2,2
1463954400,19,19,19,19,61
1464040800,19,19,19,19,32
1464127200,19,18.9,19,18.4,1784
1464300000,18.9,19.02,19.02,18,1560
1464559200,19.02,19.29,19.29,18.8,2557
1464645600,19.28,19,19.28,18.7,27834
1464732000,19.29,19,19.3,18.8,2861
1464818400,19.3,19,19.3,18.8,22635
1464904800,19.3,19.8,19.94,19.15,83226
1465164000,19.75,19.75,19.75,19.75,255
1465250400,19.75,20.5,20.6,19.75,36364
1465336800,20.5,20.5,20.5,20,791
1465423200,20.5,20.2,20.5,20.2,155
1465509600,20.4,20.5,20.68,20.4,44354
1465768800,20.5,19.7,20.5,19.7,4313
1465855200,19.69,19.49,19.69,19.11,40263
