t,o,c,h,l,v
1182204000,101,94,101,92.8,62518
1182290400,94.1,94.5,96,93.2,48264
1182376800,94.5,93,95,92.7,18027
1182463200,93,93.5,93.7,89.8,71542
1182722400,93,90.7,93,90.2,9652
1182808800,92.45,90.9,92.45,89.95,104324
1182895200,90.9,89.3,91.9,86.2,18556
1182981600,87.15,88.5,90,86.4,8071
1183068000,88,85,88.5,84.6,7712
1183327200,81.5,82.5,83.3,81.15,27527
1183413600,82,86,86.5,82,9680
1183500000,86,86.5,87.95,83.85,4131
1183586400,87.35,85.4,87.35,83.1,4264
1183672800,85,86.8,86.8,84,19490
1183932000,87.9,89.1,90,86.8,17721
1184018400,88.85,88.5,88.95,87.5,11099
1184104800,88.5,88.5,88.5,87,7980
1184191200,89.75,91,94,89.75,13429
1184277600,93,94.55,95,92.5,12690
1184536800,94.55,92.4,94.55,89.6,9985
1184623200,90,92.5,94,90,10154
1184709600,94,93,94,90.5,3539
1184796000,92.9,93,93.5,92,4017
1184882400,93.1,92.5,93.75,90.35,3833
1185141600,90.5,91,92.45,89.65,44331
1185228000,91.9,89.45,91.9,86.5,12491
1185314400,88,88,88.05,86.3,3479
1185400800,87.5,87,88.85,87,19747
1185487200,84.75,87,88.5,83.1,14595
1185746400,84.6,89,89.9,84.6,9121
1185832800,89,91.45,91.45,89,31793
1185919200,90.9,88.5,90.9,86.1,3227
1186005600,88.9,88.8,88.9,87.9,1483
1186092000,88.8,88.75,88.8,86.4,19206
1186351200,85.6,86,86.95,83.3,10401
1186437600,86.05,86.5,88.9,86.05,31770
1186524000,87,87,88,86.75,16002
1186610400,88.9,88,88.9,87,25282
1186696800,86.3,86,86.3,85.6,40737
1186956000,84.2,85,85.5,81.2,24359
1187042400,85.1,80,85.1,80,13522
1187215200,76.9,72,76.9,70.25,55088
1187301600,71.4,74.7,76.7,71,11655
1187560800,77.6,77,85,76,16667
1187647200,77,77,78.95,75.8,10779
1187733600,77,79,79,76.5,7825
1187820000,80,80,80.9,78,1276
1187906400,80.9,82.4,82.4,80,3266
1188165600,82.7,84,85.4,82.6,3293
1188252000,84.1,85.1,85.3,84.1,2755
1188338400,79.05,84.45,84.45,79.05,18379
1188424800,85.9,86,86.5,85,7505
1188511200,87,87,88.5,85.15,593
1188770400,87,88,88.9,86.1,1523
1188856800,88.5,90.7,90.8,87.1,29602
1188943200,91.5,92,92.4,91.2,5742
1189029600,91.2,91.5,92,91.15,29462
1189116000,91.1,90,91.6,88.1,2432
1189375200,88.1,88.5,88.65,86.15,17889
1189461600,89.9,89.1,89.9,88.5,2026
1189548000,90,90.9,91,90,2682
1189634400,90.9,91,91,90.25,1203
1189720800,87.2,90.2,90.5,87.2,868
1189980000,91,90,91,90,16516
1190066400,90,91,91,90,33831
1190152800,91,92,92.5,91,5872
1190239200,92,92,92,90.15,2079
1190325600,92,92.1,92.1,91.05,2825
1190584800,91.1,90.2,91.1,90.15,344
1190671200,90.15,90.1,90.8,88,1186
1190757600,91,91,91,90,3952
1190844000,92,91,92,90,2304
1190930400,90,91,91,90,10643
1191189600,89.6,90,90.35,89,233
1191276000,89,91,91,88.6,755
1191362400,88.2,91,91.5,88.2,596
1191448800,90.1,92,92,90,939
1191535200,91,91.35,91.35,90,177
1191794400,90.4,91,91.25,90.3,4616
1191880800,91,91.5,91.5,89.6,1229
1191967200,91,91.4,91.4,90.15,962
