t,o,c,h,l,v
1193698800,20.4,19.6,20.4,19,5883
1193785200,18.95,19.85,19.85,18.95,17627
1193958000,19.5,19.6,19.6,19.5,2976
1194217200,19.1,19.11,19.11,19.1,6620
1194303600,19.1,19.3,19.3,19.1,8419
1194390000,19.3,18.99,19.3,18.99,6668
1194476400,18.35,18.8,18.8,18.35,753
1194562800,18.5,18.75,18.8,18.5,5521
1194822000,18.75,18.02,18.75,18.02,13237
1194908400,18.2,18.05,18.2,18.02,4851
1194994800,19.75,19.39,19.75,19.21,10695
1195081200,18.35,18.35,18.5,18.35,2631
1195167600,18.1,19,19.25,18.1,12149
1195426800,19.4,19,19.4,18.55,1083
1195513200,19.35,18.3,19.35,18.3,266
1195599600,18.2,19,19.2,18.2,7009
1195686000,19,19.5,19.5,18.95,6050
1195772400,19.4,19.35,19.4,19.2,943
1196031600,18.11,19.39,19.5,18.11,3061
1196118000,0,19.39,19.39,19.39,0
1196204400,19.3,19.5,20,19.3,15154
1196290800,19.5,19.5,19.5,19.5,50
1196377200,19.4,19.5,19.5,19.35,1114
1196636400,19.4,19.4,19.4,19.4,70
1196722800,0,19.4,19.4,19.4,0
1196809200,0,19.4,19.4,19.4,0
1196895600,19,19,19,19,200
1196982000,19,18.7,19,18.7,994
1197241200,18.6,18.6,18.6,18.6,9
1197327600,18.3,18.3,18.3,18.3,762
1197414000,0,18.3,18.3,18.3,0
1197500400,18,18,18,18,100
1197586800,18,17.9,18,17.9,213
1197846000,17.65,18.79,18.79,16.51,672
1197932400,18.8,18.8,18.8,18.8,2000
1198018800,18.8,19.4,19.4,18.8,4660
1198105200,18.5,19.4,19.4,18,2330
1198191600,19,19,19,17.5,6900
1198710000,18.01,19,19,17.9,2150
1198796400,17.97,19.4,19.4,17.97,2123
1199228400,19.4,18.4,19.4,18,1795
1199314800,18.4,18.5,18.5,17.49,6802
1199401200,18,18.5,18.5,17.75,2470
1199660400,0,18.5,18.5,18.5,0
1199746800,17.6,17.62,17.62,17.52,576
1199833200,17.52,16.65,17.55,16.65,3986
1199919600,17.98,17.9,17.98,16.8,1589
1200006000,17,18.14,18.14,17,1363
1200265200,18.14,18.14,18.14,18.14,50
1200351600,18.14,18,18.14,17.5,4749
1200438000,17.5,16.5,18,16.5,1100
1200524400,17.98,16.67,17.98,16.52,526
1200610800,16,15.7,16.85,15.7,1230
1200870000,15.75,14.5,16.49,14.5,2927
1200956400,14.97,14.79,14.97,13.61,2911
1201042800,15,14,15,14,1662
1201129200,14.22,14.77,16.55,14.22,1349
1201215600,15.76,15.7,15.76,14.57,1075
1201474800,15.7,15.7,15.7,15.7,1216
1201561200,15.83,15.83,15.83,15.83,133
1201647600,0,15.83,15.83,15.83,0
1201734000,15.83,15.8,15.83,15.3,5587
1201820400,16.2,17.98,18.45,16.2,1200
1202079600,17.95,17.9,17.95,16.72,2279
1202166000,17.23,17.9,17.9,17.2,1971
1202252400,0,17.9,17.9,17.9,0
1202338800,17,17.5,17.5,16.7,400
1202425200,17.5,17.5,17.5,17.5,150
1202684400,0,17.5,17.5,17.5,0
1202770800,0,17.5,17.5,17.5,0
1202857200,17.2,17.2,17.2,17.2,245
1202943600,17.2,17.89,17.89,17.2,231
1203030000,17.8,17.8,17.8,17.8,1250
1203289200,15,17.8,17.8,15,1508
1203375600,0,17.8,17.8,17.8,0
1203462000,17,17,17,17,46
1203548400,17.95,17.95,17.95,17.95,250
1203634800,0,17.95,17.95,17.95,0
1203894000,0,17.95,17.95,17.95,0
1203980400,17.5,17.7,17.7,17.5,2840
1204066800,17.99,18,18,17.99,1000
1204153200,17.98,18,18,17.98,2000
1204239600,0,18,18,18,0
1204498800,17.9,17.89,17.9,17.1,328
1204585200,0,17.89,17.89,17.89,0
1204671600,17,17.99,17.99,17,1567
1204758000,17.06,16.5,17.48,16.5,10445
1204844400,17.34,17.34,17.34,17.34,1
1205103600,16,17,17,16,2000
1205190000,0,17,17,17,0
1205276400,0,17,17,17,0
1205362800,0,17,17,17,0
1205449200,16,16.5,16.5,15.9,151
1205708400,0,16.5,16.5,16.5,0
1205794800,15.05,15.8,15.8,15.05,187
1205881200,15.8,15.98,15.98,15.8,500
1205967600,15.05,15.49,15.49,15,2508
1206399600,15.1,15.2,15.2,15,3118
1206486000,0,15.2,15.2,15.2,0
1206572400,14.35,15,15.19,14.3,1036
1206658800,15.75,15.75,15.77,15.1,2790
1206914400,15.65,15.65,15.65,15.65,261
1207000800,15.95,15.96,15.98,15.1,1418
1207087200,15.98,15.95,15.98,15.95,439
1207173600,15.95,15.3,15.95,15.3,739
1207260000,15.3,15.75,15.85,15.3,1084
1207519200,15.75,15.4,15.75,15.4,312
1207605600,14.56,15.45,15.5,14.56,1157
1207692000,0,15.45,15.45,15.45,0
1207778400,0,15.45,15.45,15.45,0
1207864800,14.73,15.1,15.27,14.73,191
1208124000,0,15.1,15.1,15.1,0
1208210400,14.05,15.09,15.09,14.05,230
1208296800,14.06,14.88,14.97,13.7,1503
1208383200,14.18,14,14.18,13.6,10657
1208469600,0,14,14,14,0
1208728800,14,13.9,14,13.9,4
1208815200,0,13.9,13.9,13.9,0
1208901600,13.48,12.9,13.48,12.9,3465
1208988000,13,13,13,13,1500
1209074400,13.3,13.3,13.3,13.3,1
1209333600,0,13.3,13.3,13.3,0
1209420000,12.6,13.05,13.29,12,977
1209506400,0,13.05,13.05,13.05,0
1209938400,11.9,11.86,11.9,11.86,4792
1210024800,12,13,13,12,4415
1210111200,12.92,12.89,12.92,12.04,375
1210197600,12.5,12.89,12.89,12.5,2800
1210284000,12.99,12.99,12.99,12.99,1010
1210543200,12.95,12.5,12.95,11.8,5311
1210629600,12.45,11.98,12.45,11.58,2113
1210716000,11.6,11.2,12.25,11.2,1367
1210802400,10.5,10.79,10.79,10.25,2311
1210888800,10.59,9.5,10.59,9.5,1855
1211148000,9.5,8.89,9.5,8.89,3360
1211234400,8.2,8.3,8.9,7.99,111162
1211320800,9.1,8.65,9.1,8.65,3421
1211493600,9.35,9.5,9.8,9.2,2848
1211752800,9.55,9.5,9.55,9.49,1043
1211839200,9.75,9.51,9.75,9.51,22912
1211925600,9.75,9.7,9.75,9.7,250
1212012000,9.74,9.7,9.74,9.35,25845
1212098400,9.7,9.7,9.7,9.7,50
1212357600,0,9.7,9.7,9.7,0
1212444000,0,9.7,9.7,9.7,0
1212530400,0,9.7,9.7,9.7,0
1212616800,9.48,9.7,9.7,8.75,1696
1212703200,9,9.34,9.34,8.9,2200
1212962400,8.85,8.3,9,8.3,22559
1213048800,8.3,8.6,8.6,8.3,8562
1213135200,8.66,8.65,8.66,8.61,510
1213221600,8.59,8.55,8.59,8.55,290
1213308000,8.58,8.58,8.58,8.58,10
1213567200,8.62,8.68,8.68,8.5,30128
1213653600,8.79,8.79,8.79,8.79,10
1213740000,8.68,8.68,8.68,8.68,6
1213826400,8.7,8.7,8.7,8.7,10
1213912800,8.79,8.65,8.79,8.43,1010
1214172000,8.65,8.6,8.65,8.6,19
1214258400,8.79,8.64,8.79,8.55,20
1214344800,8.55,8.3,8.55,8.3,20
1214431200,8.3,7.55,8.3,7.55,1955
1214517600,7.55,7.95,7.95,7.55,1271
1214776800,7.95,7.95,7.95,7.95,10
1214863200,7.9,7.9,7.9,7.9,10
1214949600,7.9,7.9,7.9,7.9,10
1215036000,7.3,7.67,7.67,7.3,531
1215122400,7.2,7.2,7.2,7.2,1050
1215381600,6.6,6.6,6.6,6.4,5526
1215468000,6,6.5,6.5,6,3425
1215554400,6.09,7,7,6,7352
1215640800,6.75,6.8,6.8,6.75,1150
1215727200,6.8,6.52,6.8,6.52,259
1215986400,6.49,6.15,6.49,6.15,6161
1216072800,6,6.15,6.2,6,6210
1216159200,6.02,6.12,6.12,6.02,60
1216245600,6.1,6.6,7,6.02,9498
1216332000,6.64,6.02,6.64,6.02,3169
1216591200,6,6.1,6.2,5.82,222
1216677600,6.2,6.12,6.2,6.1,1070
1216764000,6.14,6.14,6.15,6.14,1019
1216850400,6.14,6.1,6.14,6.1,445
1216936800,6,6.16,6.16,6,215
1217196000,6.16,6.16,6.16,6.02,435
1217282400,6.05,6.16,6.16,6.05,505
1217368800,6.28,6.35,6.4,6.28,2170
1217455200,6.44,6.09,6.44,6.09,1395
1217541600,6.1,6.3,6.3,6.1,561
1217800800,0,6.3,6.3,6.3,0
1217887200,6.34,6.34,6.34,6.34,10
1217973600,6.34,6.34,6.34,6.34,10
1218060000,6.34,6.34,6.34,6.34,10
1218146400,6.34,6.25,6.34,6,2363
1218405600,0,6.25,6.25,6.25,0
1218492000,6,6.35,6.35,6,70010
1218578400,6.35,6.32,6.35,6.32,1313
1218664800,6.32,6.1,6.32,6.1,1540
1219010400,6,5.9,6,5.9,165
1219096800,5.78,5.3,5.78,5.21,102501
1219183200,5.25,5.25,5.26,5.25,351
1219269600,5.25,5.14,5.26,5.14,535
1219356000,5.24,5.35,5.55,5.2,9595
1219615200,5.21,5.5,5.5,5.21,331
1219701600,5.49,5.2,5.49,5.2,102557
1219788000,5.1,5.18,5.18,5.1,30
1219874400,5,5,5,5,44
1219960800,5.04,5.15,5.15,5.04,161
1220220000,5.15,5.15,5.25,5.15,4617
1220306400,5.04,5.45,5.45,4.72,15565
1220392800,5.27,5.3,5.3,5.15,4440
1220479200,5.35,5.5,6.15,5.35,95808
1220565600,5.5,5.79,5.8,5.5,367
1220824800,5.83,6.12,6.12,5.8,1996
1220911200,6.1,6.6,6.7,6.1,2453
1220997600,6.45,6.45,6.45,6.25,150
1221084000,6.55,6.25,6.55,6.2,13100
1221170400,6.3,6.35,6.55,6.02,5022
1221429600,6.35,6.04,6.35,6,663
1221516000,6,5.98,6,5.5,2667
1221602400,6.4,6.65,6.65,6.35,4000
1221688800,6.65,6.3,6.97,6.3,55567
1221775200,6.29,6.51,6.8,6.1,1267
1222034400,7,6.8,7.17,6.5,3129
1222120800,6.5,6.47,6.5,6.11,2935
1222207200,6.15,6.14,6.15,6.11,3383
1222293600,6.22,6.3,6.3,5.81,490
1222380000,6.39,6.4,6.4,6.12,225
