t,o,c,h,l,v
1113775200,6.15,6.05,6.15,6,5320
1113861600,6,5.85,6,5.6,8750
1113948000,5.55,5.2,5.55,5.15,16155
1114034400,5.15,5.1,5.45,5.05,9563
1114120800,5,5.1,5.5,4.9,6425
1114380000,5.4,5.4,5.45,5.35,6969
1114466400,5.5,5.7,5.8,5.5,6046
1114552800,5.55,5.75,5.75,5.55,3601
1114639200,5.55,5.75,5.75,5.55,2884
1114725600,5.6,5.75,5.75,5.55,2117
1114984800,5.55,5.75,5.75,5.5,1003
1115157600,5.55,5.8,5.9,5.55,5274
1115244000,5.6,5.75,5.75,5.6,707
1115330400,5.6,5.65,5.65,5.5,3521
1115589600,5.55,5.65,5.65,5.55,509
1115676000,5.5,5.5,5.6,5.45,19660
1115762400,5.4,5.5,5.5,5.4,1767
1115848800,5.5,5.5,5.6,5.5,923
1115935200,5.5,5.5,5.5,5.5,900
1116194400,5.4,5.45,5.45,5.1,2009
1116280800,5.35,5.15,5.35,5.1,2154
1116367200,5.05,5.15,5.4,5.05,3411
1116453600,5.05,5.2,5.25,5.05,2515
1116540000,5.2,5.35,5.35,5.2,200
1116799200,5.3,5.45,5.45,5.3,1542
1116885600,5.4,5.6,5.6,5.35,7070
1116972000,5.45,5.6,5.6,5.35,3137
1117144800,5.6,5.6,5.6,5.6,10
1117404000,5.6,5.65,5.65,5.6,3163
1117490400,5.6,5.9,5.9,5.6,7208
1117576800,5.85,6.1,6.1,5.85,17727
1117663200,6,5.85,6,5.8,12197
1117749600,5.75,5.7,5.85,5.7,1645
1118008800,5.85,5.9,5.95,5.7,5820
1118095200,5.8,6.1,6.1,5.75,10652
1118181600,6.1,6.1,6.15,6,13648
1118268000,6.1,6.4,6.5,6.1,18828
1118354400,6.4,6.35,6.4,6.35,35533
1118613600,6.3,6.55,6.55,6.25,20392
1118700000,6.6,6.7,6.7,6.6,7849
1118786400,6.75,6.7,6.75,6.6,20898
1118872800,6.65,6.65,6.65,6.65,5400
1118959200,6.65,6.65,6.7,6.6,6082
1119218400,6.55,6.6,6.6,6.45,1609
1119304800,6.5,6.45,6.5,6.45,5654
1119391200,6.35,6.4,6.5,6.35,5087
1119477600,6.5,6.8,6.8,6.5,24483
1119564000,6.7,6.95,6.95,6.7,13801
1119823200,6.9,7.1,7.1,6.9,18041
1119909600,7.05,7,7.1,6.9,7493
1119996000,6.85,7.05,7.05,6.85,2823
1120082400,7,6.95,7,6.95,4961
1120168800,6.85,6.95,6.95,6.85,452
1120428000,6.8,6.7,6.8,6.55,2799
1120514400,6.7,6.85,6.9,6.7,10172
