t,o,c,h,l,v
1293577200,18.26,18.08,18.72,18,41711
1293663600,18.14,18.07,18.2,18,14694
1293750000,18.07,18.05,18.07,17.2,9630
1294009200,18.06,18.1,18.16,18,14635
1294095600,18.1,18.11,18.11,18,7305
1294182000,18.12,18.09,18.12,18,6230
1294354800,18,18.07,18.07,17.37,5286
1294614000,18.05,18.03,18.05,17.81,4613
1294700400,18,18.05,18.09,17.99,3746
1294786800,18.05,18.28,18.3,18.05,6962
1294873200,18.29,18.24,18.29,18.06,7932
1294959600,18.25,18.24,18.4,18.11,6281
1295218800,18.25,18.2,18.25,18.11,1505
1295305200,18.22,18.21,18.22,18.15,2530
1295391600,18.21,18.2,18.21,18.15,4713
1295478000,18.15,18.2,18.2,18.15,3313
1295564400,18.21,18.28,18.28,18.15,5933
1295823600,18.21,18.27,18.27,18.21,2805
1295910000,18.27,18.14,18.27,18.1,5045
1295996400,18.14,18.14,18.14,18.04,6564
1296082800,18.1,18.15,18.15,18.1,107
1296169200,18.01,18.19,18.2,18.01,1835
1296428400,18.19,18.19,18.19,18,1002
1296514800,18.18,18.15,18.18,18,3212
1296601200,18.1,18.23,18.27,18,5435
1296687600,18.26,18.23,18.26,18.23,2
1296774000,18.23,18.22,18.23,18.1,661
1297033200,18.1,18.2,18.2,18.05,9602
1297119600,18.2,18.26,18.26,18,32955
1297206000,18.2,18.4,18.4,18,35753
1297292400,18.07,18.65,18.66,18.07,5836
1297378800,18.07,18.79,18.8,18.07,6867
1297638000,18.17,18.95,18.95,18.17,5643
1297724400,18.52,18.9,18.9,18.34,6565
1297810800,18.9,19,19,18.64,8537
1297897200,19,19.45,19.5,19,3159
1297983600,19.5,19.69,19.89,19.38,3350
1298242800,19.86,19.69,19.86,19.29,30795
1298329200,19.4,19.75,19.79,19.4,31859
1298415600,19.31,19.78,19.84,19.3,27034
1298502000,19.22,19.68,19.78,19.22,15647
1298588400,19.31,19.58,19.72,19.31,11279
1298847600,19.72,19.58,19.72,19.24,519
1298934000,19.32,19.59,19.66,19.32,84
1299020400,19.57,19.49,19.57,19.21,358
1299106800,18.41,18.79,19.11,18.15,1245
1299193200,18.99,18.69,18.99,18.37,364
1299452400,18.48,18.69,18.75,18.48,197
1299538800,18.68,18.64,18.78,18.31,371
1299625200,18.77,18.59,18.77,18.26,109
1299711600,18.59,18.45,18.59,18.11,79
1299798000,18.1,18.44,18.44,18.1,27
1300057200,18.43,18.44,18.44,18.4,23
1300143600,18.39,18.05,18.43,18.05,817
1300230000,18.38,18.05,18.4,18.05,213
1300316400,18.4,18.02,18.4,18.02,3
1300402800,18.4,18.02,18.4,18.02,85
1300662000,18.39,18.02,18.39,18.02,51
1300748400,18.39,18.1,18.39,18.1,45338
1300834800,18.39,18.39,18.39,18.02,1148
1300921200,18.39,18.1,18.39,18.1,42011
1301007600,18.25,18.04,18.25,18.04,3
1301263200,18.25,18.25,18.25,18.25,1
1301349600,18.39,18.3,18.39,18.3,2
1301436000,18.38,18.38,18.38,18.38,2
1301522400,18.04,18.38,18.38,18.04,16
1301608800,18.37,18,18.37,17.9,2284
1301868000,18,18,18,18,574
1301954400,18.29,18.29,18.29,18.29,2
1302040800,18.4,18.4,18.4,18.39,6451
1302127200,18.4,18.39,18.4,18.39,205
1302213600,18.4,18.39,18.4,18.39,2
1302472800,18.43,18.39,18.43,18.39,2
1302559200,18.39,18.3,18.39,18,78
1302645600,18.3,18.1,18.3,18,1007
1302732000,18.3,18.2,18.3,18.1,826
1302818400,18.2,18.19,18.2,18.19,1001
1303077600,18.19,18.19,18.19,17.9,52
1303164000,18.2,18.25,18.25,18.2,431
1303250400,18.25,18.24,18.25,17.9,518
1303336800,18.23,18.22,18.23,17.91,41132
1303768800,17.74,18.24,18.25,17.74,428
1303855200,18.24,18.23,18.24,18,102
1303941600,18,18,18,18,784
1304028000,18,18.1,18.1,18,141
1304287200,18.2,18.16,18.2,18.16,2
1304460000,18.16,18.1,18.16,18.1,51
1304546400,18.09,18.09,18.09,18,618
1304632800,18.09,18.09,18.09,17.9,252
1304892000,18.09,18.05,18.09,18.05,2
1304978400,17.99,18.09,18.09,17.99,2631
1305064800,18.09,18.09,18.09,17.53,41
1305151200,18.09,18.04,18.09,17.5,833
1305237600,18,17.89,18,17.16,233
1305496800,17.95,17.9,17.95,17.36,3
1305583200,17.95,17.95,17.95,17.95,2
1305669600,17.9,18,18,17.5,9889
1305756000,18.05,18.05,18.05,17.5,33920
1305842400,18.05,18.08,18.09,18.05,52
1306101600,18.09,18.09,18.09,18.09,2
1306188000,18.09,18.04,18.09,18.04,2
1306274400,18.07,18.03,18.07,18,118
1306360800,18.03,18.02,18.03,18.02,2
1306447200,18.03,18,18.03,18,4
1306706400,18,17.99,18,17.4,375
1306792800,17.99,17.98,17.99,17.98,2
1306879200,17.98,17.99,17.99,17.3,1681
1306965600,17.99,17.99,17.99,17.3,159
1307052000,17.99,17.99,17.99,17.99,2
1307311200,17.99,18,18,17.7,2151
1307397600,18.1,18.1,18.11,18.1,2589
1307484000,18.1,18.09,18.1,18.09,2
1307570400,18.1,18.1,18.1,18.1,1
1307656800,18,18,18,18,2
1307916000,18.1,18.09,18.1,18.09,2
1308002400,18.08,18.08,18.08,18.08,1
1308088800,18.08,18.08,18.08,18.08,2
1308175200,18.07,18.07,18.07,18.07,2
1308261600,18.06,18,18.06,18,2
1308520800,17.99,17.64,17.99,16.55,2502
1308607200,18,17.25,18,17.25,24
1308693600,17.2,17.2,17.2,16.58,167
1308866400,17,16.6,17,16.6,462
1309125600,16.5,16.4,16.5,16.4,372
1309212000,16.45,16.95,17.05,16.45,644
1309298400,17.05,17.04,17.05,17,724
1309384800,17.05,17.04,17.07,17.04,622
1309471200,17.5,17.5,17.5,17.5,121
1309730400,17.5,16.95,17.5,16.7,527
1309816800,17.08,16.95,17.08,16.95,87
1309903200,16.95,16.95,16.95,16.95,17
1309989600,16.95,16.95,16.95,16.95,13
1310076000,17.3,17,17.3,17,21
1310335200,17.3,16.75,17.3,16.53,503
1310421600,16.9,16.74,16.9,16.74,12
1310508000,16.74,16.6,16.74,16.55,98
1310594400,16.62,16.5,16.62,16.5,2
1310680800,16.59,16.09,16.59,16.09,531
1310940000,16.07,16.07,16.07,16,32
1311026400,16.05,15.49,16.05,15.25,652
1311112800,15.35,13.25,15.35,13.25,2852
1311199200,13.7,14.35,15,13.7,1861
1311285600,14.4,13.5,14.4,13.5,670
1311544800,14.4,14.4,14.4,13.25,3591
1311631200,14.4,15,15,14.4,313
1311717600,15,15,15,15,1
1311804000,14.4,15,15,14.3,787
1311890400,15,15,15.9,14.4,1257
1312149600,15.1,15.1,15.1,14.65,1119
1312236000,15.15,14.85,15.15,14.85,112
1312322400,14.85,14.45,14.85,14.15,270
1312408800,14.37,14.33,14.37,13.9,272
1312495200,12.89,14,14.13,12.89,1061
1312754400,13,12.8,13,12.6,461
1312840800,12,12.08,13,11.89,104
1312927200,11.96,11.9,11.96,11.9,602
1313013600,11.85,11.99,11.99,10.99,2606
1313100000,12.19,12.86,12.86,11.9,115
1313445600,12,12.07,12.3,11.72,320
1313532000,12.15,12.08,12.15,12.06,215
1313618400,11.52,12.05,12.05,11.49,329
1313704800,12.1,12.1,12.1,12.1,1
1313964000,12.1,12.1,12.1,12.1,1
1314050400,0,12.1,12.1,12.1,0
1314136800,11,13,13,11,212
1314223200,13,12.99,13,12.99,114
1314309600,12.99,12.99,12.99,12.99,2
1314568800,11.88,12.47,12.47,11.88,633
1314655200,12.6,12.6,12.6,12.54,922
1314741600,12.54,12.6,12.6,12.54,26
1314828000,12.54,12.6,12.6,12.54,161
1314914400,12.6,13,13,12.54,556
1315173600,12.75,12.15,12.75,11.95,697
1315260000,12.5,12.5,12.5,12.5,1
1315346400,0,12.5,12.5,12.5,0
1315432800,11.43,12,12,11.43,604
1315519200,11.43,12,12,11.43,161
1315778400,9.47,9.9,10.2,9.47,1907
1315864800,11.15,10.49,11.15,10.49,763
1315951200,11.45,11.44,11.45,11.44,73
1316037600,10.45,10.7,10.8,10.31,5096
1316124000,10.29,9.14,10.29,8.72,6725
1316383200,9.14,9.14,9.14,9.14,1
1316469600,8.99,8.99,8.99,8.6,726
1316556000,8.98,8.25,8.98,8.25,282
1316642400,8.87,8.65,8.87,7.56,1069
1316728800,8.65,8.1,8.65,7.7,147
1316988000,7.3,7.96,7.96,7.3,143
1317074400,7.95,6.7,7.95,6.46,35290
1317160800,7.29,6.8,7.29,6.7,1095
1317247200,7.2,7.1,7.2,6.7,1442
1317333600,7.04,6.97,7.04,6.65,2767
1317592800,6.7,6.89,7,6.7,2842
1317679200,6.99,6.98,6.99,6.98,1943
1317765600,7,7.12,7.17,7,2139
1317852000,7.21,7.15,7.21,6.95,7616
1317938400,7.15,7.22,7.26,7,1022
1318197600,7.27,7.15,7.28,6.84,2273
1318284000,7.23,7.02,7.23,6.7,2002
1318370400,7.02,6.99,7.02,6.99,103
1318456800,6.99,7.01,7.01,6.99,3446
1318543200,7,7.24,7.25,7,6618
1318802400,7.29,7.96,7.96,7.29,2525
1318888800,7.8,7.9,7.9,7.3,714
1318975200,7.9,7.9,7.9,7.9,107
1319061600,7.9,7.9,7.9,7.5,692
1319148000,7.9,7.9,7.9,7.4,686
1319407200,7.87,8.32,8.5,7.87,1039
1319493600,8.32,9.07,9.15,8.32,5894
1319580000,9.66,9.24,9.96,8.85,1007
1319666400,10.15,9.7,10.15,9.6,3930
1319752800,10.18,9.87,10.3,9.66,2528
1320015600,9.86,9.87,9.87,9.86,293
1320188400,9.5,9.5,9.5,9.5,130
1320274800,9.6,9.6,9.6,9.28,926
1320361200,9.6,9.9,9.9,9.2,1251
1320620400,9.45,9.55,9.9,9,2887
1320706800,9.89,9.89,9.89,9,4263
1320793200,9.89,10.48,10.79,9.4,3852
1320879600,9.9,10.35,10.45,9.9,3504
1321225200,10.3,10.7,10.7,10.3,731
1321311600,10.5,10.4,10.5,10.4,769
1321398000,10.5,10.5,10.5,10.5,1
1321484400,10.4,10.4,10.4,10.39,197
1321570800,10.5,10.5,10.6,10,1314
1321830000,10.45,10,10.45,9.55,794
1321916400,10.69,10,11,10,111
1322002800,10,10.65,10.8,9.97,110
