t,o,c,h,l,v
1170198000,15.51,15.99,16,15.5,32916
1170284400,15.85,15.8,16,15.8,14970
1170370800,16.01,18.4,18.94,15.8,375760
1170630000,18.4,17.85,18.8,17.23,91902
1170716400,17.7,17.5,17.88,16.81,48659
1170802800,17.5,17,17.5,16.74,17953
1170889200,16.82,16.95,17.1,16.7,17372
1170975600,16.78,17.62,17.62,16.12,32505
1171234800,17.9,18.13,18.5,17.75,19922
1171321200,18.01,18.5,18.5,17.86,13209
1171407600,18.33,19.4,19.89,18.33,37123
1171494000,19.5,18.99,19.5,18.6,5101
1171580400,19.17,19.99,19.99,18.5,42648
1171839600,20,20,20.3,19.5,19222
1171926000,19.82,19.99,20,19.6,7057
1172012400,19.81,20.25,20.5,19.81,5334
1172098800,20.68,21.28,21.3,20.25,25531
1172185200,21,20.98,21,20.4,7305
1172444400,21,20.55,21,20,21361
1172530800,20,18.3,20,18.14,18397
1172617200,17.8,18.2,19.39,17.3,31665
1172703600,18.55,17.99,18.99,17.5,13177
1172790000,17.82,17.99,18.18,17.81,9626
1173049200,18.01,17.3,18.01,17.1,9684
1173135600,17.65,16.81,17.9,16.5,30560
1173222000,17.15,17.9,18.04,17.15,7467
1173308400,17.8,18.25,18.25,17.44,9177
1173394800,18.5,17.51,18.5,17.51,7101
1173654000,17.7,17.83,18,17.33,7529
1173740400,17.51,17.3,17.6,17.2,2810
1173826800,17.12,17.6,18.29,16.6,6325
1173913200,17.8,17.3,17.8,17.3,1682
1173999600,17.12,17.2,17.36,17.1,3814
1174258800,17.55,17.7,17.8,17.36,6137
1174345200,17.7,17.7,17.8,17.5,4768
1174431600,18.05,17.75,18.18,17.71,14703
1174518000,18,17.75,18.6,17.75,14674
1174604400,17.75,18.96,19.2,17.65,37466
1174860000,19,19.2,19.65,18.85,19564
1174946400,19.19,19.19,19.46,19.19,6537
1175032800,19,19.1,19.15,19,10406
1175119200,19.1,20.9,20.9,19.1,81977
1175205600,20.9,21.49,21.49,20.19,18080
1175464800,21.4,22.5,22.5,20.61,28914
1175551200,22.5,21.99,22.5,21.75,15787
1175637600,22.4,21.9,22.59,21.5,39986
1175724000,21.68,21.87,21.99,21,29453
1176156000,21.65,21.8,21.8,21,4887
1176242400,21.58,20.99,21.58,20.9,13029
1176328800,20.78,20.5,20.99,19,5127
1176415200,20.45,20.15,20.45,19.6,9540
1176674400,19.95,20,20.25,19.95,520
1176760800,19.3,19.9,19.9,19.3,7194
1176847200,19.7,19.3,21.5,19.2,25436
1176933600,19.5,19.5,19.5,19.06,1917
1177020000,19.32,19.64,19.64,19,17494
1177279200,20.04,19.02,20.04,19,15721
1177365600,19.5,19.89,19.89,19.11,2502
1177452000,19.69,21,21.1,19.69,7873
1177538400,20.79,20.84,20.84,20,11706
1177624800,20.63,20.6,20.85,20.25,8821
1177884000,21.01,20.5,21.01,20.15,1511
1178056800,20.4,21.1,21.1,20.4,3253
1178229600,21.1,21.8,22,21.1,9594
1178488800,21.99,23.75,23.75,21.65,14001
1178575200,23.75,22.31,23.75,22.2,35549
1178661600,22.5,21,22.5,20.8,9748
1178748000,21.4,19.3,21.4,19.3,9079
1178834400,19.3,20.13,20.13,18.36,13778
1179093600,20.13,19.25,20.13,19.12,12031
1179180000,19.5,19.9,20,18.6,10802
1179266400,19.7,19.8,19.9,19,11420
1179352800,19.8,19.78,19.8,19.1,2227
1179439200,19.77,19.39,19.77,19.2,1247
1179698400,19.8,19.3,19.8,19.2,3979
1179784800,19.69,19,19.7,19,3507
1179871200,19.38,19.64,19.64,19.04,1585
1179957600,19.1,19.19,19.6,19.1,832
1180044000,19.2,19.49,19.57,19,1628
1180303200,19.51,19.72,19.8,19.5,1675
1180389600,19.75,19.53,19.75,19.5,12589
1180476000,19.43,19.42,19.43,19.19,602
1180562400,19.21,20.19,20.19,19.01,5860
1180648800,20,19.46,20,19.45,1787
1180908000,19.45,19.45,19.48,19.45,5379
1180994400,19.59,19.4,19.59,19.32,868
1181080800,19.34,19,19.34,18.99,2128
1181253600,18.81,18.69,19,18.5,5798
1181512800,18.5,19.38,19.38,18.5,2693
1181599200,19.5,19.31,19.5,18.9,8544
1181685600,19.2,19.45,19.49,19.2,15746
1181772000,19.49,20,20.19,19.3,19610
1181858400,20.39,19.99,20.39,19.7,21115
1182117600,20.1,20,20.5,20,24994
1182204000,20.35,19.99,20.35,19.8,474
1182290400,20.39,19,20.39,19,10576
1182376800,19,19.49,19.49,19,1497
1182463200,19.39,21,21.98,19.39,69010
1182722400,21.42,21.01,22.22,21.01,11083
1182808800,20.8,22,22.2,20.8,7521
1182895200,22.1,23.3,23.3,21.76,18855
1182981600,23.1,22.42,23.1,22.42,4505
1183068000,22.25,21.8,22.25,21.1,15724
1183327200,21.58,21.75,21.99,21,8043
1183413600,21.53,21.69,21.89,21.2,4009
1183500000,22.13,21.8,22.5,21,302
1183586400,21.06,21.06,21.8,21.06,1878
1183672800,21.5,20.8,21.97,20.8,4024
1183932000,21.2,21.25,21.63,21,3543
1184018400,21.03,20.15,21.03,20,4545
1184104800,20.5,20.45,20.5,19.91,656
1184191200,20.5,20.5,20.62,20.5,1020
1184277600,20.7,20.49,20.7,20.3,185
1184536800,20.28,20.55,20.55,19.35,999
1184623200,20.34,20.66,20.7,19.4,1875
1184709600,20.45,20.5,20.5,19.55,621
1184796000,20.29,20.7,20.7,20.29,396
1184882400,20.49,19.99,20.49,19.91,1080
1185141600,19.99,20.18,20.18,19.8,3864
1185228000,19.61,20,20.3,19.61,6202
1185314400,19.8,20,20,19.8,1970
1185400800,20.2,20.1,20.49,19.6,5186
1185487200,19.89,19.85,19.89,19.15,1476
1185746400,19.65,20.3,20.4,19.3,2520
1185832800,20.09,20.49,20.5,19.7,975
1185919200,20.02,20,20.02,19.8,10793
1186005600,20,20,20,20,4
1186092000,0,20,20,20,0
1186351200,19.98,19.97,19.98,19.4,1850
1186437600,19.9,20.2,20.61,19.9,52739
1186524000,20.6,20.6,20.6,20.2,10929
1186610400,20.89,19.9,20.89,19.03,12990
1186696800,20.3,19.84,20.3,19.1,5482
1186956000,20.19,20.27,20.27,19.03,4231
1187042400,20.06,20.39,20.46,19.05,2016
1187215200,18.81,18.8,20.19,18.1,2967
1187301600,18.61,18.69,18.7,17.5,9930
1187560800,18.5,19.07,19.2,16.7,6418
1187647200,19.45,18.11,19.45,18.06,2415
1187733600,19.07,19,19.07,18.35,2335
1187820000,18.8,19,19.35,18.63,14161
1187906400,19.15,18.8,19.37,18.1,4125
1188165600,18.8,19.01,19.69,18.8,14009
1188252000,19,19.44,19.44,18.8,12093
1188338400,19.23,19.68,19.68,19,1595
1188424800,19.51,19.7,19.75,19.49,3607
1188511200,19.79,19.8,20,19.41,1303
1188770400,20,20.12,20.12,19.5,9406
1188856800,20.44,20.7,20.7,20.02,3269
1188943200,20.5,20.65,20.91,20.05,4939
1189029600,20.45,20.45,20.45,19.62,9732
1189116000,20,19.47,20.01,18.75,3288
1189375200,19.27,19.17,19.27,18.8,849
1189461600,19.19,18.8,19.19,18.6,2113
1189548000,19.26,19.45,20,19,3580
1189634400,19.01,19.16,19.89,19,1504
1189720800,19.7,19.15,19.7,19.01,802
1189980000,18.9,18.95,19.07,18.6,1247
1190066400,18.5,18.45,18.5,18.2,1101
1190152800,18.9,18.8,18.9,18.3,894
1190239200,18.7,18.95,18.95,18.42,1025
1190325600,18.95,18.85,18.95,18.43,270
1190584800,18.8,18.83,18.83,18.8,125
1190671200,18.85,19.5,19.5,18.84,1524
1190757600,19.8,19.5,19.8,19.4,1453
