t,o,c,h,l,v
1154642400,327,339,345,315,49989
1154901600,338,339,339.5,335,6873
1154988000,339.5,340,340,338,6347
1155074400,339.5,340,342,337,7548
1155160800,340,339,341,338,2426
1155247200,339,339.5,340,338.5,1574
1155506400,337,339,339,337,3119
1155679200,339,337,339.5,336.5,2072
1155765600,337,337,338,337,2380
1155852000,336,337,337.5,326,4106
1156111200,337,337,337.5,335,3700
1156197600,334,335,337,334,1397
1156284000,334,336,337,333,3895
1156370400,335,342,342,335,13108
1156456800,340.5,345.5,349,340.5,11014
1156716000,347.5,354,354.5,347.5,7924
1156802400,351,379,379,351,7462
1156888800,370,365,370,360,758
1156975200,370,364,370,361,1935
1157061600,368,372,374,364,6172
1157320800,370,377,377,369.5,683
1157407200,376.8,384.9,384.9,370,3718
1157493600,384.8,382,384.8,379.5,349
1157580000,382,377,382,367,475
1157666400,377,377,379,377,777
1157925600,377,378,378,377,176
1158012000,377,376,380,375,1123
1158098400,372,375,376,372,1065
1158184800,375,374,375,372,386
1158271200,374,375,375,374,400
1158530400,375,372.1,375,372.1,34
1158616800,375,371,375,367,1126
1158703200,371,364,371,361,1009
1158789600,363.5,364,364,350.3,1375
1158876000,364,363,364,351.1,185
1159135200,360,362,362,360,177
1159221600,362,360,362,360,312
1159308000,358.5,360.1,362,355,7973
1159394400,360,360.1,360.1,360,38
1159480800,365,369.5,369.5,361,499
1159740000,370,360,375,360,1564
1159826400,358,360,364.9,358,2295
1159912800,370,364,370,358,1237
1159999200,370,368,370,360,247
1160085600,369,378,379,360,4603
1160344800,379,376,380,370,3850
1160431200,370.3,376,376,370.3,1564
1160517600,370,378.6,379,370,326
1160604000,379,379.9,379.9,376.1,6692
1160690400,380,387,387,380,4688
1160949600,387,387.5,388.9,379.2,1835
1161036000,382,393,393,380,841
1161122400,384,396.8,396.8,384,1847
1161208800,397,390,397,388,396
1161295200,393,394,396,390,456
1161554400,389,391,396.5,389,15616
1161640800,383.6,389,390.5,383.6,377
1161727200,377,385,389.8,377,1547
1161813600,381.2,386,386,377.1,183
1161900000,391,380,391,370,537
1162162800,385,385,388,378,922
1162249200,387.9,384,390,378.1,1364
1162422000,384,385,388,380,745
1162508400,380,388,388,380,500
1162767600,389,385,389,385,280
1162854000,385,386,390,385,763
1162940400,386,386,386,381,1041
1163026800,389,386,389,382,610
1163113200,383,386,386,380,878
1163372400,385.9,382,385.9,370,1107
1163458800,386.9,380,386.9,375.3,2286
1163545200,375.1,377,377,360.2,573
1163631600,363.1,368,375.9,362.1,949
1163718000,365,370,375,358.7,2096
1163977200,370.8,359,370.8,343,1252
1164063600,356,361.5,370,351.1,13360
1164150000,369.9,377,377.5,358,9750
1164236400,379,378.9,382,375,623
1164322800,378.9,378.8,378.9,371,1738
1164582000,378,377.6,378.8,366.1,229
1164668400,377.5,369,377.5,366,417
1164754800,373.9,373,373.9,369,307
1164841200,373,374.7,376,365.2,10308
1164927600,375.9,378.6,378.6,367.6,1767
1165186800,371.1,379.1,379.2,370.1,400
1165273200,379.9,376.9,379.9,373,336
1165359600,369,385.9,385.9,369,2112
1165446000,388.7,380,388.9,372,562
1165532400,370.1,380,380,370.1,320
1165791600,384.9,373,384.9,373,132
1165878000,382.6,382.5,382.7,373.5,2798
1165964400,384.9,388,389,374.1,1424
1166050800,388,385,389,382.5,347
1166137200,382.6,381.1,388,377.9,4479
1166396400,380,393,397,380,21264
1166482800,396,395,400,390,11159
1166569200,390.5,391,394,386,42290
1166655600,393,387.5,393,386.1,196
1166742000,387.5,390,395,387.5,680
1167174000,391,423,424.9,391,22310
1167260400,417.9,409.1,428,405.6,5708
1167346800,412,402.3,415,402.3,526
1167692400,403,403.1,413.8,403,253
1167778800,403.1,420,420,403.1,2576
1167865200,419.9,419.8,423.9,408,382
1167951600,419.8,410.2,419.9,408.5,1073
1168210800,410,415,418,410,242
1168297200,419,416,419,409.5,687
1168383600,418.9,409,418.9,409,285
1168470000,414.9,419.9,419.9,414.7,339
1168556400,420,440,443,419.9,1522
1168815600,440,454.6,469,438,488
1168902000,460,463,466.5,457,347
1168988400,465,463,466,455,314
1169074800,463,475,475,463,984
1169161200,475,473.9,479,465,664
1169420400,477,464,479.9,430,549
1169506800,472.1,471.8,473.8,469.9,2943
1169593200,473.8,490,490,472,99267
1169679600,515,508,518,494.5,229
1169766000,512.5,508,512.5,490,6711
1170025200,507.5,513,514.5,494,25027
1170111600,515,512,522,509,144
1170198000,522,508,522,502,10451
1170284400,518,515,518.5,505,817
1170370800,519,521,521,505.5,1040
1170630000,520,536,540,519,474
1170716400,536,526,536,523,221
1170802800,529.5,521,529.5,514,249
1170889200,520.5,511,520.5,505,21372
1170975600,480,509,510,480,394
1171234800,490,500,503,482,13340
1171321200,500,505,506,495,9963
1171407600,515,498.2,520,498.2,175
1171494000,497.5,511,511,497.5,907
1171580400,496.1,513.5,514,496.1,201
1171839600,513.5,513.5,520,505.5,74
1171926000,513.5,511,513.5,503.5,2245
1172012400,519.5,506,519.5,506,40
1172098800,502,500,513.5,499.9,561
1172185200,497,500,509.5,482.2,240
1172444400,507.5,506,514,500,475
1172530800,505,485,514.5,485,583
1172617200,450,491.5,491.5,440,394
1172703600,499,481,499,481,10242
1172790000,480,480,485,475,147
1173049200,478,479,480,464,42
1173135600,472,478,478,451.5,885
1173222000,478,489,494.9,475,413
1173308400,495,500,500,490,685
1173394800,512,502,512,498.5,234
1173654000,514,503,514,502,267
1173740400,487.2,481.9,499.8,481.9,411
1173826800,471,500,500,463.1,864
1173913200,485.4,505,505,485.3,935
1173999600,509,519,519,500,478
1174258800,515,515,519.5,501,585
1174345200,513,530,536,508,734
1174431600,530,521,530,515,362
1174518000,519,537,537,519,1015
1174604400,530,583,583,526,1626
1174860000,575,598,600,561,1126
1174946400,598,612,630,581,852
1175032800,612,611.5,616,587,1624
1175119200,620,614.5,620,595,8962
1175205600,601,613.5,614.5,590,580
1175464800,581,607,607,581,533
1175551200,605,605,605,594,245
1175637600,595.5,600,605,585.5,907
1175724000,590,598.5,600,588.5,548
1176156000,587,615,616.5,581,1144
1176242400,615,613,617,602.5,1340
1176328800,610,614,617,595,264
1176415200,614,628,628,600,1074
1176674400,628.5,650,660,628,2234
1176760800,640,663.5,663.5,640,485
1176847200,669,663.5,675,656,1082
1176933600,669.5,660,670,640,622
1177020000,680,710,740,680,1748
1177279200,734,701,795,701,1632
1177365600,724,690,724,671,13010
1177452000,699,685,712,681,1303
1177538400,699,700,700,686,52
1177624800,700,685,700,681,1289
1177884000,681,680,685,650,1704
1178056800,690,702,721.5,680,1240
1178229600,715,712,716,703,3298
1178488800,714,704,732,700,2209
1178575200,702.5,693,728.5,691.5,136
1178661600,703.5,700,717.5,693,735
1178748000,705,703,705,692.5,134
1178834400,671,683.5,690,665,753
1179093600,700,700,710,685,819
1179180000,680,669,680,652.5,1614
1179266400,662.5,619,667.5,609,2788
1179352800,602,616,626,600,2648
1179439200,610,616,620,603,3062
1179698400,629,614,629,602,225
1179784800,615,614,615,606,564
1179871200,615,615,627,602,496
1179957600,626,629,629.5,615,909
1180044000,629,633.5,642,626,576
1180303200,645,643,645,635,187
1180389600,644.5,643,644.5,626,669
1180476000,643,630,643,620,657
1180562400,630,642,644,629,796
1180648800,633,639.5,642,631.5,929
1180908000,635,645,649,614.5,876
1180994400,625,649.5,662,625,633
1181080800,650,645,655,640.5,5534
1181253600,625.5,651,651,625.5,4878
1181512800,653,685,691,650,390
1181599200,680,680,684,672.5,339
1181685600,670,685,692,670,3229
1181772000,698,710,710,685,4972
1181858400,710,699,710,694,523
1182117600,699,705,707.5,690,1621
1182204000,705,704.5,708.5,704,933
1182290400,701,704.5,704.5,700,2868
1182376800,700.5,700,704.5,700,424
1182463200,700,705,705,682,1411
1182722400,705,734,740,704.5,930
1182808800,740,748,750,736,3001
1182895200,749,737,749,715,1596
1182981600,733,733,740,718,8342
1183068000,720,733,737.5,720,5477
1183327200,722,724,724,711,186
1183413600,729,723,729,715,183
1183500000,723,719.5,723,712.5,88
1183586400,713.5,720,720,702,265
1183672800,715,718,720,704.5,570
1183932000,718,705,719,705,228
1184018400,718,690.5,718,690,1089
1184104800,698.5,676,709.5,676,276
1184191200,690,699.5,699.5,650,778
1184277600,699,699.5,717,676,951
1184536800,684.5,670,715,660,10688
1184623200,685,670,685,655,5075
1184709600,670,668,677,655.5,270
1184796000,690,689,715,689,1306
1184882400,689.5,689,690,660,10923
1185141600,691,678,691,662,633
1185228000,660,667,699,660,5858
1185314400,656.5,657,667,655,212
1185400800,665,649,667,625,680
1185487200,636,639,650,618,642
1185746400,650,660,675,640,372
1185832800,678,660,680,660,1176
1185919200,654.5,642,654.5,625,863
1186005600,6.16,5.6,6.2,5.55,125873
1186092000,5.95,5.19,5.95,5.06,267495
