t,o,c,h,l,v
1271196000,13.2,12.57,13.6,12.55,125595
1271282400,12.91,12.57,12.97,12.57,53840
1271368800,12.88,12.75,12.88,12.4,212
1271628000,12.4,12.39,12.4,11.63,341
1271714400,12.8,12.7,12.85,12.12,142679
1271800800,12.12,12.7,12.7,12.12,213
1271887200,12.59,12.59,12.6,12.59,603
1271973600,12.1,12.16,12.45,12.1,1361
1272232800,12.6,12.6,12.85,12.22,1551
1272319200,12.4,12.23,12.4,12.23,500
1272405600,12.1,12.1,12.1,12,511
1272492000,12.71,12.2,12.85,12.2,433
1272578400,12.01,12.75,12.75,12,637
1272924000,0,12.75,12.75,12.75,0
1273010400,12.4,11.9,12.4,11.9,133824
1273096800,0,11.9,11.9,11.9,0
1273183200,11.81,11.8,11.9,11.8,17898
1273442400,12,12,12,12,210
1273528800,12.01,11.65,12.01,11.65,10947
1273615200,12.1,12,12.1,12,475
1273701600,12.06,12.06,12.06,12.06,1013
1273788000,12,12.3,12.3,12,1826
1274047200,12.3,12.3,12.3,12.3,216
1274133600,12.3,12.3,12.3,12.3,3138
1274220000,0,12.3,12.3,12.3,0
1274306400,12.28,12.28,12.29,11.5,1038
1274392800,0,12.28,12.28,12.28,0
1274652000,0,12.28,12.28,12.28,0
1274738400,11.13,11.95,12,11.13,327
1274824800,11.5,11.85,11.85,11.5,1366
1274911200,11.9,12,12,11.9,11369
1274997600,12,12.06,12.06,11.7,9132
1275256800,11.85,12.02,12.02,11.85,843
1275343200,12,11.72,12,11.6,6829
1275429600,0,11.72,11.72,11.72,0
1275602400,11.65,11.72,11.72,11.62,303
1275861600,11.62,11.62,11.62,11.62,188
1275948000,11.35,11.62,11.62,11.35,1158
1276034400,11.6,11.62,11.62,11.6,69
1276120800,11.4,11.42,11.42,11.4,42
1276207200,11.72,11.51,11.72,11.51,2483
1276466400,11.51,11.51,11.51,11.51,83
1276552800,11.26,11.26,11.26,11.26,100
1276639200,11.26,11.5,11.5,11.26,30588
1276725600,11.26,11.01,11.35,11.01,22976
1276812000,11.02,11.11,11.11,11.02,919
1277071200,11,11,11,11,291
1277157600,0,11,11,11,0
1277244000,10.4,10.8,11.2,10.4,10618
1277330400,10.7,10.71,10.71,10.7,53
1277416800,11.48,11.49,11.5,11.48,341
1277676000,11.5,11.7,11.8,11.1,3998
1277762400,11.83,11.6,12.1,11.6,2549
