t,o,c,h,l,v
867362400,0,10,10,10,29646
867621600,0,11,11,11,99045
867708000,0,10.8,10.8,10.8,46001
867794400,0,10.7,10.7,10.7,39855
867880800,0,10.5,10.5,10.5,22294
867967200,0,11.5,11.5,11.5,33408
868226400,0,11.6,11.6,11.6,200986
868312800,0,11.8,11.8,11.8,51177
868399200,0,12.5,12.5,12.5,55738
868485600,0,12.9,12.9,12.9,38994
868572000,0,12,12,12,64911
868831200,0,11.9,11.9,11.9,81755
868917600,0,11.6,11.6,11.6,43973
869004000,0,11.5,11.5,11.5,50331
869090400,0,11.7,11.7,11.7,20872
869176800,0,11.4,11.4,11.4,32222
869436000,0,11.1,11.1,11.1,15658
869522400,0,11.1,11.1,11.1,9125
869608800,0,11.5,11.5,11.5,13017
869695200,0,11.1,11.1,11.1,12018
869781600,0,11.1,11.1,11.1,16700
870040800,0,11,11,11,11409
870127200,0,11.1,11.1,11.1,10126
870213600,0,11.1,11.1,11.1,6231
870300000,0,11.4,11.4,11.4,11171
870386400,0,11,11,11,12303
870645600,0,11,11,11,14254
870732000,0,10.9,10.9,10.9,9124
870818400,0,11.1,11.1,11.1,13279
870904800,0,11.1,11.1,11.1,12268
870991200,0,11.5,11.5,11.5,50609
871250400,0,12,12,12,90945
871336800,0,11.6,11.6,11.6,14043
871423200,0,12,12,12,31640
871509600,0,11.2,11.2,11.2,5036
871855200,0,11.1,11.1,11.1,13934
871941600,0,11.4,11.4,11.4,8890
872028000,0,11.7,11.7,11.7,26764
872114400,0,11.4,11.4,11.4,16029
872200800,0,11.3,11.3,11.3,9447
872460000,0,11.4,11.4,11.4,5587
872546400,0,11.2,11.2,11.2,49113
872632800,0,11.1,11.1,11.1,22591
872719200,0,11.3,11.3,11.3,22472
872805600,0,11.3,11.3,11.3,44986
873064800,0,10.5,10.5,10.5,26175
873151200,0,10.8,10.8,10.8,13440
873237600,0,11,11,11,27596
873324000,0,10.5,10.5,10.5,8729
873410400,0,11,11,11,8540
873669600,0,11.3,11.3,11.3,14322
873756000,0,11.1,11.1,11.1,16510
873842400,0,11.1,11.1,11.1,13159
873928800,0,10.9,10.9,10.9,10010
874015200,0,10.9,10.9,10.9,16898
874274400,0,11,11,11,9183
874360800,0,11,11,11,5278
874447200,0,11,11,11,20499
874533600,0,11,11,11,18541
874620000,0,11.1,11.1,11.1,29163
874879200,0,11.2,11.2,11.2,27785
874965600,0,11.4,11.4,11.4,36996
875052000,0,11.3,11.3,11.3,24740
875138400,0,11.2,11.2,11.2,15536
875224800,0,11,11,11,21684
875484000,0,10.8,10.8,10.8,14671
875570400,0,10.8,10.8,10.8,8541
875656800,0,11,11,11,8827
875743200,0,11,11,11,31235
875829600,0,11.1,11.1,11.1,24525
876088800,0,10.8,10.8,10.8,20374
876175200,0,10.8,10.8,10.8,14406
876261600,0,10.9,10.9,10.9,24755
876348000,0,11.1,11.1,11.1,42865
876434400,0,11.1,11.1,11.1,14691
876693600,0,11.1,11.1,11.1,0
876780000,0,11.4,11.4,11.4,47296
876866400,0,11.2,11.2,11.2,33092
876952800,0,11.2,11.2,11.2,35849
877039200,0,11.3,11.3,11.3,27161
877298400,0,11.8,11.8,11.8,100862
877384800,0,12,12,12,88217
877471200,0,12.3,12.3,12.3,50146
877557600,0,12.1,12.1,12.1,32644
877644000,0,11.5,11.5,11.5,43971
877906800,0,10.4,10.4,10.4,45227
877993200,0,9.4,9.4,9.4,0
878079600,0,10.2,10.2,10.2,98632
878166000,0,9.95,9.95,9.95,33598
878252400,0,9.9,9.9,9.9,11893
878511600,0,10.7,10.7,10.7,21170
878598000,0,10.5,10.5,10.5,21049
878684400,0,10.5,10.5,10.5,24439
878770800,0,10.3,10.3,10.3,4764
878857200,0,10,10,10,6999
879289200,0,9.7,9.7,9.7,24217
879375600,0,9.5,9.5,9.5,28362
879462000,0,9.5,9.5,9.5,93244
879721200,0,9.9,9.9,9.9,19442
879807600,0,9.7,9.7,9.7,23993
879894000,0,9.5,9.5,9.5,10218
879980400,0,9.5,9.5,9.5,24223
880066800,0,9.8,9.8,9.8,13342
880326000,0,9.5,9.5,9.5,10935
880412400,0,9.25,9.25,9.25,31125
880498800,0,9.3,9.3,9.3,8308
880585200,0,9.2,9.2,9.2,14964
880671600,0,9,9,9,89264
880930800,0,9.5,9.5,9.5,23025
881017200,0,9.6,9.6,9.6,47621
881103600,0,9.55,9.55,9.55,15543
881190000,0,9.5,9.5,9.5,20512
881276400,0,9.6,9.6,9.6,12117
881535600,0,9.5,9.5,9.5,17267
881622000,0,9.4,9.4,9.4,9501
881708400,0,9.2,9.2,9.2,14093
881794800,0,9,9,9,22573
881881200,0,8.7,8.7,8.7,30095
882140400,0,8.8,8.8,8.8,9353
882226800,0,8.85,8.85,8.85,6162
882313200,0,8.8,8.8,8.8,14365
882399600,0,8.5,8.5,8.5,17749
882486000,0,7.9,7.9,7.9,17757
882745200,0,7.9,7.9,7.9,8742
882831600,0,7.7,7.7,7.7,13601
883350000,0,7.9,7.9,7.9,2410
883436400,0,8.35,8.35,8.35,9630
883522800,0,7.9,7.9,7.9,44593
883954800,0,8.25,8.25,8.25,18007
884041200,0,8.1,8.1,8.1,8188
884127600,0,7.9,7.9,7.9,28678
884214000,0,7.9,7.9,7.9,3902
884300400,0,7.6,7.6,7.6,10100
884559600,0,6.85,6.85,6.85,26505
884646000,0,7.2,7.2,7.2,5285
884732400,0,7.2,7.2,7.2,19709
884818800,0,7.1,7.1,7.1,11275
884905200,0,7,7,7,5937
885164400,0,7.35,7.35,7.35,10947
885250800,0,7.15,7.15,7.15,4797
885337200,0,7.15,7.15,7.15,5544
885423600,0,7,7,7,19665
885510000,0,7,7,7,139916
885769200,0,7.1,7.1,7.1,21512
885855600,0,7,7,7,11084
885942000,0,7,7,7,22362
886028400,0,7.25,7.25,7.25,80631
886114800,0,7.4,7.4,7.4,67632
886374000,0,7.7,7.7,7.7,120372
886460400,0,7.7,7.7,7.7,93548
886546800,0,7.6,7.6,7.6,43409
886633200,0,7.5,7.5,7.5,54339
886719600,0,7.6,7.6,7.6,84436
886978800,0,7.95,7.95,7.95,148299
887065200,0,7.9,7.9,7.9,35043
887151600,0,7.8,7.8,7.8,24237
887238000,0,7.5,7.5,7.5,58284
887324400,0,7.3,7.3,7.3,13484
887583600,0,7.4,7.4,7.4,12559
