t,o,c,h,l,v
838159200,0,11,11,11,33100
838245600,0,12,12,12,102710
838332000,0,13,13,13,258870
838591200,0,14,14,14,136711
838677600,0,13,13,13,56372
838764000,0,12,12,12,98250
838850400,0,12,12,12,93781
838936800,0,11,11,11,51593
839196000,0,12,12,12,34083
839282400,0,12,12,12,35022
839368800,0,12,12,12,67474
839455200,0,12,12,12,24458
839541600,0,12,12,12,40239
839800800,0,12,12,12,9059
839887200,0,11,11,11,23007
839973600,0,11,11,11,25402
840146400,0,11,11,11,16333
840405600,0,12,12,12,40370
840492000,0,11,11,11,56697
840578400,0,11,11,11,53792
840664800,0,12,12,12,88785
840751200,0,12,12,12,149880
841010400,0,12,12,12,84096
841096800,0,11,11,11,42653
841183200,0,12,12,12,27709
841269600,0,11,11,11,22991
841356000,0,11,11,11,30616
841615200,0,11,11,11,35812
841701600,0,11,11,11,39281
841788000,0,11,11,11,48165
841874400,0,11,11,11,41609
841960800,0,11,11,11,29635
842220000,0,11,11,11,39657
842306400,0,11,11,11,67264
842392800,0,11,11,11,66653
842479200,0,11,11,11,145603
842565600,0,12,12,12,95729
842824800,0,13,13,13,129991
842911200,0,13,13,13,135006
842997600,0,13,13,13,90798
843084000,0,13,13,13,139503
843170400,0,13,13,13,95642
843429600,0,14,14,14,124173
843516000,0,14,14,14,112778
843602400,0,14,14,14,244222
843688800,0,14,14,14,78689
843775200,0,16,16,16,192946
844034400,0,16,16,16,125743
844120800,0,16,16,16,149678
844207200,0,16,16,16,84732
844293600,0,16,16,16,66418
844380000,0,16,16,16,46720
844639200,0,16,16,16,129475
844725600,0,16,16,16,224663
844812000,0,15,15,15,82786
844898400,0,15,15,15,44878
844984800,0,15,15,15,95121
845244000,0,15,15,15,81164
845330400,0,15,15,15,96738
845416800,0,15,15,15,86798
845503200,0,15,15,15,40345
845589600,0,15,15,15,37993
845848800,0,15,15,15,55731
845935200,0,15,15,15,87100
846021600,0,14,14,14,70247
846108000,0,14,14,14,72987
846194400,0,14,14,14,58945
846457200,0,13,13,13,84969
846543600,0,13,13,13,62080
846630000,0,13,13,13,85242
846716400,0,13,13,13,79779
847062000,0,13,13,13,49759
847148400,0,13,13,13,34568
847234800,0,13,13,13,56207
847321200,0,13,13,13,68374
847407600,0,13,13,13,61045
847753200,0,13,13,13,18331
847839600,0,13,13,13,43008
847926000,0,12,12,12,77532
848012400,0,13,13,13,56409
848271600,0,13,13,13,73269
848358000,0,13,13,13,111009
848444400,0,13,13,13,49728
848530800,0,13,13,13,46356
848617200,0,13,13,13,47414
848876400,0,13,13,13,59795
848962800,0,13,13,13,54569
849049200,0,13,13,13,31805
849135600,0,12,12,12,57018
849222000,0,12,12,12,36452
849481200,0,12,12,12,37589
849567600,0,12,12,12,96150
849654000,0,12,12,12,32407
849740400,0,12,12,12,67411
849826800,0,12,12,12,44103
850086000,0,11,11,11,73591
850172400,0,11,11,11,102278
850258800,0,11,11,11,69877
850345200,0,11,11,11,82525
850431600,0,11,11,11,191874
850690800,0,12,12,12,73413
850777200,0,12,12,12,39060
850863600,0,11,11,11,47875
850950000,0,11,11,11,52708
851036400,0,12,12,12,58867
851295600,0,12,12,12,63862
851382000,0,12,12,12,75645
851900400,0,12,12,12,43802
851986800,0,12,12,12,24310
852159600,0,12,12,12,19082
852246000,0,13,13,13,83954
852505200,0,13,13,13,75026
852591600,0,13,13,13,82238
852678000,0,14,14,14,91185
852764400,0,14,14,14,49776
852850800,0,14,14,14,47921
853110000,0,14,14,14,49279
853196400,0,13,13,13,43336
853282800,0,13,13,13,24559
853369200,0,13,13,13,66903
853455600,0,13,13,13,98071
853714800,0,13,13,13,79566
853801200,0,12,12,12,86105
853887600,0,12,12,12,83740
853974000,0,12,12,12,93846
854060400,0,12,12,12,103508
854319600,0,12,12,12,98712
854406000,0,12,12,12,67828
854492400,0,12,12,12,63609
854578800,0,12,12,12,133885
854665200,0,12,12,12,32471
854924400,0,12,12,12,42190
855010800,0,12,12,12,54251
855097200,0,13,13,13,89077
855183600,0,13,13,13,64983
855270000,0,15,15,15,233330
855529200,0,15,15,15,261603
855615600,0,15,15,15,124180
855702000,0,15,15,15,103722
855788400,0,15,15,15,119917
855874800,0,16,16,16,122220
856134000,0,15,15,15,84938
856220400,0,15,15,15,130716
856306800,0,15,15,15,91287
856393200,0,15,15,15,50188
856479600,0,16,16,16,82952
856738800,0,16,16,16,40559
856825200,0,17,17,17,83619
856911600,0,18,18,18,56074
856998000,0,16,16,16,189277
857084400,0,16,16,16,41176
857343600,0,16,16,16,59376
857430000,0,16,16,16,36350
857516400,0,16,16,16,94165
857602800,0,16,16,16,85295
857689200,0,17,17,17,179139
857948400,0,16,16,16,170894
858034800,0,17,17,17,69935
858121200,0,17,17,17,221358
858207600,0,17,17,17,130834
858294000,0,16,16,16,104688
858553200,0,16,16,16,23793
858639600,0,17,17,17,62348
858726000,0,16,16,16,78812
858812400,0,16,16,16,121552
858898800,0,15,15,15,24433
859158000,0,16,16,16,21300
859244400,0,16,16,16,65194
859330800,0,17,17,17,107966
859417200,0,17,17,17,128760
859845600,0,17,17,17,76108
859932000,0,16,16,16,47083
860018400,0,16,16,16,137339
860104800,0,16,16,16,70680
860364000,0,16,16,16,114011
860450400,0,16,16,16,82674
860536800,0,16,16,16,125173
860623200,0,16,16,16,11901
860709600,0,16,16,16,15563
860968800,0,16,16,16,80777
861055200,0,16,16,16,28494
861141600,0,16,16,16,17715
861228000,0,16,16,16,47438
861314400,0,16,16,16,51578
861573600,0,16,16,16,96068
861660000,0,16,16,16,75804
861746400,0,18,18,18,112967
861832800,0,18,18,18,98311
861919200,0,18,18,18,22668
862178400,0,17,17,17,70691
862264800,0,17,17,17,33298
862351200,0,18,18,18,70563
862783200,0,18,18,18,29918
862869600,0,19,19,19,64878
862956000,0,19,19,19,40467
863042400,0,19,19,19,22829
863128800,0,19,19,19,67314
863388000,0,19,19,19,63014
863474400,0,19,19,19,21383
863560800,0,18,18,18,39501
863647200,0,18,18,18,28762
863733600,0,18,18,18,13991
863992800,0,17,17,17,44536
864079200,0,17,17,17,19009
864165600,0,17,17,17,17327
864252000,0,17,17,17,11795
864338400,0,17,17,17,5703
864597600,0,17,17,17,26255
864684000,0,16,16,16,41124
864770400,0,16,16,16,16596
865202400,0,17.1,17.1,17.1,22127
865288800,0,17.1,17.1,17.1,20452
865375200,0,17,17,17,14967
865461600,0,16.9,16.9,16.9,17988
865548000,0,17.1,17.1,17.1,23868
865807200,0,17.1,17.1,17.1,4617
865893600,0,16.9,16.9,16.9,4399
865980000,0,17,17,17,21389
866066400,0,17.1,17.1,17.1,16980
866152800,0,16.8,16.8,16.8,9878
866412000,0,16.7,16.7,16.7,45833
866498400,0,16.6,16.6,16.6,26548
866584800,0,16.4,16.4,16.4,30479
866671200,0,16,16,16,41501
866757600,0,16,16,16,25407
867016800,0,16,16,16,17979
867103200,0,16,16,16,14531
867189600,0,16.2,16.2,16.2,2105
867276000,0,16,16,16,18058
867362400,0,16.2,16.2,16.2,5490
867621600,0,16.5,16.5,16.5,13736
867708000,0,16.3,16.3,16.3,18262
867794400,0,15.7,15.7,15.7,27452
867880800,0,15.7,15.7,15.7,36579
867967200,0,16.1,16.1,16.1,14535
868226400,0,16.5,16.5,16.5,4763
868312800,0,16.7,16.7,16.7,7129
868399200,0,17.1,17.1,17.1,21937
868485600,0,17.2,17.2,17.2,2756
868572000,0,17.2,17.2,17.2,20352
