t,o,c,h,l,v
969228000,0,5.5,5.5,5.5,15591
969314400,0,5.5,5.5,5.5,5376
969400800,0,4.95,4.95,4.95,400
969487200,0,4.46,4.46,4.46,8226
969573600,0,4.02,4.02,4.02,10215
969832800,0,3.63,3.63,3.63,9558
969919200,0,3.65,3.65,3.65,1873
970005600,0,3.73,3.73,3.73,790
970092000,0,3.66,3.66,3.66,1890
970178400,0,3.66,3.66,3.66,671
970437600,0,3.66,3.66,3.66,818
970524000,0,3.69,3.69,3.69,148
970610400,0,3.66,3.66,3.66,87
970696800,0,3.66,3.66,3.66,1190
970783200,0,3.62,3.62,3.62,377
971042400,0,3.6,3.6,3.6,786
971128800,0,3.6,3.6,3.6,2364
971215200,0,3.6,3.6,3.6,1750
971301600,0,3.6,3.6,3.6,100
971388000,0,3.58,3.58,3.58,156
971647200,0,3.64,3.64,3.64,153
971733600,0,3.62,3.62,3.62,2498
971820000,0,3.62,3.62,3.62,452
971906400,0,3.66,3.66,3.66,1215
971992800,0,3.76,3.76,3.76,6904
972252000,0,3.89,3.89,3.89,2114
972338400,0,3.79,3.79,3.79,2000
972424800,0,3.77,3.77,3.77,732
972511200,0,3.83,3.83,3.83,30
972597600,0,3.45,3.45,3.45,7849
972860400,0,3.6,3.6,3.6,524
972946800,0,3.6,3.6,3.6,10
973119600,0,3.73,3.73,3.73,657
973206000,0,4.1,4.1,4.1,8588
973465200,0,4.11,4.11,4.11,950
973551600,0,3.9,3.9,3.9,3000
973638000,0,3.62,3.62,3.62,1603
973724400,0,3.69,3.69,3.69,644
973810800,0,3.65,3.65,3.65,612
974070000,0,3.64,3.64,3.64,765
974156400,0,3.6,3.6,3.6,300
974242800,0,3.46,3.46,3.46,400
974329200,0,3.45,3.45,3.45,1131
974415600,0,3.63,3.63,3.63,21
974674800,0,3.31,3.31,3.31,10
974761200,0,3.18,3.18,3.18,1144
974847600,0,3.3,3.3,3.3,721
974934000,0,3.35,3.35,3.35,150
975020400,0,3.6,3.6,3.6,400
975279600,0,3.6,3.6,3.6,100
975366000,0,3.6,3.6,3.6,100
975452400,0,3.6,3.6,3.6,50
975538800,0,3.6,3.6,3.6,20
975625200,0,3.55,3.55,3.55,20
975884400,0,3.5,3.5,3.5,700
975970800,0,3.23,3.23,3.23,357
976057200,0,3.3,3.3,3.3,1000
976143600,0,3.49,3.49,3.49,10
976230000,0,3.55,3.55,3.55,11
976489200,0,3.3,3.3,3.3,150
976575600,0,3.29,3.29,3.29,7455
976662000,0,3.4,3.4,3.4,5
976748400,0,3.4,3.4,3.4,100
976834800,0,3.39,3.39,3.39,10
977094000,0,3.25,3.25,3.25,520
977180400,0,3.24,3.24,3.24,421
977266800,0,2.91,2.91,2.91,325
977353200,0,2.92,2.92,2.92,419
977439600,0,2.95,2.95,2.95,800
977871600,0,3,3,3,10
977958000,0,2.74,2.74,2.74,259
978044400,0,2.99,2.99,2.99,270
978390000,0,3,3,3,20
978476400,0,3,3,3,5
978562800,0,3,3,3,5
978649200,0,3,3,3,195
978908400,0,2.63,2.63,2.63,1364
978994800,0,2.98,2.98,2.98,30
979081200,0,2.99,2.99,2.99,1000
979167600,0,2.74,2.74,2.74,300
979254000,0,2.89,2.89,2.89,20
979513200,0,2.74,2.74,2.74,380
979599600,0,2.9,2.9,2.9,15
979686000,0,2.75,2.75,2.75,1525
979772400,0,2.85,2.85,2.85,189
979858800,0,2.8,2.8,2.8,711
980118000,0,2.8,2.8,2.8,100
980204400,0,2.75,2.75,2.75,2310
980290800,0,2.76,2.76,2.76,200
980377200,0,2.7,2.7,2.7,1
980463600,0,2.87,2.87,2.87,1
980722800,0,2.85,2.85,2.85,2100
980809200,0,3,3,3,3842
980895600,0,2.94,2.94,2.94,580
980982000,0,3,3,3,5000
981068400,0,3.14,3.14,3.14,1490
981327600,0,2.83,2.83,2.83,257
981414000,0,2.76,2.76,2.76,1100
981500400,0,2.83,2.83,2.83,990
981586800,0,2.84,2.84,2.84,10
981673200,0,2.84,2.84,2.84,10
981932400,0,2.84,2.84,2.84,10
982018800,0,2.65,2.65,2.65,999
982105200,0,2.36,2.36,2.36,1097
982191600,0,2.77,2.77,2.77,1000
982278000,0,2.6,2.6,2.6,200
982537200,0,2.83,2.83,2.83,9
982623600,0,2.84,2.84,2.84,20
982710000,0,2.65,2.65,2.65,400
982796400,0,2.65,2.65,2.65,1000
982882800,0,2.64,2.64,2.64,100
983142000,0,2.7,2.7,2.7,10
983228400,0,2.7,2.7,2.7,1000
983314800,0,2.7,2.7,2.7,10
983401200,0,2.5,2.5,2.5,800
983487600,0,2.3,2.3,2.3,500
983746800,0,2.35,2.35,2.35,547
983833200,0,2.31,2.31,2.31,259
983919600,0,2.31,2.31,2.31,0
984006000,0,2.36,2.36,2.36,20
984092400,0,2.21,2.21,2.21,400
984351600,0,2.04,2.04,2.04,1000
984438000,0,2.1,2.1,2.1,1
984524400,0,2.2,2.2,2.2,1
984610800,0,2,2,2,147
984697200,0,2.09,2.09,2.09,120
984956400,0,2.09,2.09,2.09,0
985042800,0,2.09,2.09,2.09,0
985129200,0,1.89,1.89,1.89,651
985215600,0,2,2,2,218
985302000,0,2.01,2.01,2.01,100
985557600,0,2.1,2.1,2.1,1000
985644000,0,2.1,2.1,2.1,163
985730400,0,2,2,2,10
985816800,0,2,2,2,487
985903200,0,2.1,2.1,2.1,10
986162400,0,2.09,2.09,2.09,140
986248800,0,2.19,2.19,2.19,1
986335200,0,2.19,2.19,2.19,3
986421600,0,2.19,2.19,2.19,120
986508000,0,2.19,2.19,2.19,374
986767200,0,2.28,2.28,2.28,8
986853600,0,2.28,2.28,2.28,750
986940000,0,2.28,2.28,2.28,11
987026400,0,2.28,2.28,2.28,10
987458400,0,2.2,2.2,2.2,20
987544800,2.36,2.36,2.36,2.36,20
987631200,2.4,2.4,2.4,2.4,320
987717600,2.65,2.55,2.65,2.55,1025
987976800,2.64,2.55,2.64,2.55,550
988063200,2.57,2.57,2.57,2.57,19
988149600,2.56,2.5,2.56,2.5,847
988236000,2.51,2.51,2.51,2.51,100
988322400,2.64,2.75,2.75,2.64,189
988581600,2.61,2.61,2.61,2.61,800
988754400,2.7,2.7,2.7,2.7,10
988927200,2.7,2.44,2.7,2.44,78
989186400,2.45,2.45,2.45,2.45,40
989272800,2.46,2.46,2.46,2.46,277
989359200,2.48,2.48,2.48,2.48,430
989445600,2.5,2.5,2.5,2.5,20
989532000,2.46,2.46,2.46,2.46,482
989791200,2.45,2.45,2.45,2.45,210
989877600,2.45,2.45,2.45,2.45,15
989964000,2.55,2.55,2.55,2.55,2461
990050400,2.64,2.5,2.64,2.5,472
990136800,2.7,2.3,2.7,2.3,308
990396000,2.45,2.45,2.45,2.45,5
990482400,2.49,2.49,2.49,2.49,10
990568800,2.49,2.48,2.49,2.48,12
990655200,2.48,2.48,2.48,2.48,12
990741600,2.35,2.35,2.35,2.35,237
991000800,2.4,2.4,2.4,2.4,19
991087200,2.39,2.4,2.4,2.39,2041
991173600,2.4,2.17,2.4,2.17,1253
991260000,2.29,2.29,2.29,2.29,410
991346400,2.33,2.33,2.33,2.33,1001
991605600,2.27,2.12,2.27,2.12,1408
991692000,2.25,2.2,2.25,2.2,227
991778400,2.2,2.2,2.2,2.2,900
991864800,2.15,2.15,2.15,2.15,500
991951200,2.15,2.15,2.15,2.15,477
992210400,2,2,2,2,1050
992296800,2.15,2.15,2.15,2.15,300
992383200,2.15,2.15,2.15,2.15,150
992556000,2.15,2.15,2.15,2.15,210
992815200,2.18,2.17,2.18,2.17,7
992901600,2.1,2.1,2.1,2.1,201
992988000,2.15,2.15,2.15,2.15,15
993074400,2.2,2.2,2.2,2.2,20
993160800,2.2,2.2,2.2,2.2,15
993420000,2.15,2.15,2.15,2.15,743
993506400,2.2,2.2,2.2,2.2,10
993592800,2.15,2.15,2.15,2.15,21
993679200,2.15,2,2.15,2,806
993765600,2,2,2,2,250
994024800,2,2.05,2.05,2,151
994111200,1.91,1.91,1.91,1.91,818
994197600,2,2,2,2,10
994284000,2,2,2,2,5
994370400,1.92,1.92,1.92,1.92,110
994629600,1.92,1.92,1.92,1.92,440
994716000,1.9,1.8,1.9,1.8,1650
994802400,1.88,1.88,1.88,1.88,15
994888800,2.03,2.03,2.03,2.03,100
994975200,2,2,2,2,754
995234400,2,2,2,2,400
995320800,2.1,2.2,2.2,2.1,15
995407200,2.18,2.18,2.18,2.18,4
995493600,2.18,2.18,2.18,2.18,4
995580000,1.78,1.78,1.97,1.78,2203
995839200,1.76,1.93,1.93,1.76,2218
995925600,1.8,1.8,1.8,1.8,700
996012000,1.85,1.79,1.85,1.79,250
996098400,1.8,1.81,1.81,1.8,470
996184800,1.8,1.8,1.8,1.8,200
996444000,1.81,1.81,1.81,1.81,107
996530400,1.81,1.81,1.81,1.81,130
996616800,1.89,1.89,1.89,1.89,45
996703200,1.8,1.79,1.8,1.79,353
996789600,1.75,1.63,1.75,1.63,1358
997048800,1.66,1.66,1.66,1.66,2000
997135200,1.63,1.74,1.74,1.63,1200
997221600,1.75,1.75,1.75,1.75,5
997308000,1.62,1.6,1.62,1.6,1052
997394400,1.75,1.75,1.75,1.75,4
997653600,1.73,1.73,1.73,1.73,4
997740000,1.72,1.72,1.72,1.72,3
997912800,1.72,1.71,1.72,1.71,4
997999200,1.55,1.56,1.56,1.55,1500
998258400,1.56,1.56,1.56,1.56,2
998344800,1.56,1.56,1.56,1.56,58
998431200,1.54,1.54,1.54,1.54,3
998517600,1.56,1.56,1.56,1.56,2
998604000,1.56,1.52,1.56,1.52,74
998863200,1.55,1.55,1.55,1.55,50
998949600,1.55,1.56,1.56,1.55,16
999036000,1.56,1.56,1.56,1.56,391
999122400,1.63,1.66,1.66,1.63,2
999208800,1.62,1.6,1.62,1.6,11
999468000,1.66,1.66,1.66,1.66,501
999554400,1.66,1.66,1.66,1.66,501
999640800,1.66,1.66,1.66,1.66,471
999727200,1.7,1.7,1.7,1.7,1
999813600,1.68,1.68,1.68,1.68,2
1000072800,0,1.68,1.68,1.68,0
1000159200,0,1.68,1.68,1.68,0
1000245600,0,1.68,1.68,1.68,0
1000332000,0,1.68,1.68,1.68,0
1000418400,0,1.68,1.68,1.68,0
1000677600,0,1.68,1.68,1.68,0
1000764000,1.6,1.65,1.65,1.6,2001
1000850400,1.66,1.58,1.66,1.58,1045
1000936800,1.58,1.7,1.7,1.58,2221
1001023200,1.7,1.7,1.7,1.7,2
1001282400,0,1.7,1.7,1.7,0
1001368800,1.7,1.69,1.7,1.69,706
1001455200,1.7,1.7,1.7,1.7,2
1001541600,1.7,1.7,1.7,1.7,2
1001628000,1.7,1.7,1.7,1.7,2
1001887200,1.86,1.86,1.86,1.86,100
1001973600,2,2.04,2.04,2,1400
1002060000,2.04,2,2.04,2,101
1002146400,1.99,1.95,1.99,1.95,301
1002232800,1.95,1.95,1.95,1.95,2
1002492000,1.94,1.94,1.94,1.94,2
1002578400,1.95,1.95,1.95,1.95,2
1002664800,1.95,1.95,1.95,1.95,2
1002751200,1.76,1.76,1.76,1.76,614
1002837600,1.76,1.59,1.76,1.59,308
1003096800,1.72,1.72,1.72,1.72,100
1003183200,1.6,1.76,1.76,1.6,530
1003269600,1.9,1.9,1.9,1.9,501
1003356000,1.85,1.85,1.85,1.85,201
1003442400,1.48,1.5,1.5,1.48,1654
1003701600,1.65,1.68,1.68,1.65,2951
1003788000,1.55,1.55,1.55,1.55,912
1003874400,1.71,1.71,1.71,1.71,2277
1003960800,1.88,1.88,1.88,1.88,6215
1004047200,2,1.95,2,1.95,350
1004310000,1.9,1.95,1.95,1.9,1456
1004396400,1.95,1.94,1.95,1.94,398
1004482800,2.13,1.99,2.13,1.99,2
1004655600,2,2,2,2,6002
1004914800,1.82,1.82,1.82,1.82,259
1005001200,2,2.04,2.04,2,3000
1005087600,2.04,2.14,2.14,2.04,700
1005174000,2.14,2.13,2.14,2.13,350
1005260400,2.2,2.2,2.2,2.2,200
1005519600,2.18,1.98,2.18,1.98,500
1005606000,1.81,1.92,1.92,1.81,2573
1005692400,1.92,1.92,1.92,1.92,600
1005778800,1.84,1.84,1.84,1.84,2001
1005865200,1.75,1.84,1.84,1.75,655
1006124400,1.92,1.92,1.92,1.92,2000
1006210800,2,1.8,2,1.8,1627
1006297200,1.7,1.7,1.7,1.7,371
1006383600,1.68,1.65,1.68,1.65,580
1006470000,1.71,1.75,1.75,1.71,1206
