t,o,c,h,l,v
1376863200,1.85,1.84,1.85,1.81,5466
1376949600,1.84,1.84,1.84,1.83,5557
1377036000,1.84,1.84,1.84,1.84,200
1377122400,1.84,1.83,1.84,1.76,9002
1377208800,1.84,1.84,1.84,1.84,101
1377468000,1.84,1.84,1.84,1.84,1
1377554400,1.84,1.84,1.84,1.84,4
1377640800,1.84,1.8,1.84,1.8,2508
1377727200,1.84,1.8,1.84,1.8,3292
1377813600,1.8,1.8,1.8,1.8,10
1378072800,1.8,1.8,1.8,1.8,23
1378159200,1.8,1.75,1.8,1.75,772
1378245600,1.8,1.83,1.83,1.8,35
1378332000,1.82,1.82,1.82,1.82,5
1378418400,1.82,1.79,1.82,1.73,1062
1378677600,1.79,1.79,1.79,1.79,5
1378764000,1.75,1.87,1.87,1.75,23139
1378850400,1.88,1.88,1.88,1.86,10614
1378936800,1.89,1.82,1.89,1.82,1455
1379023200,1.82,1.82,1.82,1.82,600
1379282400,1.82,1.94,1.94,1.82,25045
1379368800,1.95,2.16,2.22,1.95,102413
1379455200,2.16,2.12,2.16,2.01,349250
1379541600,2.12,2.12,2.13,2.08,3669
1379628000,2.12,2.25,2.25,2.12,40997
1379887200,2.33,2.22,2.33,2.2,31253
1379973600,2.34,2.22,2.34,2.19,14104
1380060000,2.25,2.25,2.25,2.16,19503
1380146400,2.25,2.25,2.25,2.16,29898
1380232800,2.25,2.11,2.25,2.09,20968
1380492000,2.11,2.11,2.11,2.04,11120
1380578400,2.11,2.11,2.11,2.07,3714
1380664800,2.11,2.11,2.11,2.01,8510
1380751200,2.11,2.11,2.11,2.11,2
1380837600,2.11,2.11,2.11,2.11,5
1381096800,2.03,2.05,2.05,2.03,5300
1381183200,2.05,2.05,2.05,2.03,959
1381269600,2.04,2.04,2.04,1.97,13697
1381356000,2.04,2.04,2.04,2.04,17260
1381442400,2,2,2,1.97,31319
1381701600,2.03,2.03,2.03,1.98,2484
1381788000,2.03,2.03,2.03,2.03,4510
1381874400,2.03,2.1,2.14,2.01,39059
1381960800,2.16,2.24,2.28,2.16,206770
1382047200,2.21,2.18,2.27,2.18,110109
1382306400,2.2,2.15,2.2,2.1,28204
1382392800,2.15,2.11,2.15,2.1,49873
1382479200,2.11,2.11,2.11,2.08,7110
1382565600,2.11,2.1,2.11,2.1,9211
1382652000,2.1,2,2.1,2,86195
1382914800,2.07,2.18,2.19,2.07,65852
1383001200,2.2,2.37,2.41,2.2,92860
1383087600,2.35,2.3,2.38,2.3,24679
1383174000,2.31,2.3,2.38,2.3,26331
1383519600,2.35,2.49,2.6,2.35,148346
