t,o,c,h,l,v
1595455200,0,15.5,15.5,15.5,0
1595541600,34.9,31.3,34.9,26,530983
1595800800,35,40,40,31.5,220342
1595887200,45,36.45,49.5,36.45,295546
1595973600,36.4,33.8,36.4,30,74482
1596060000,34.5,27.6,34.5,27,54361
1596146400,0,27.6,27.6,27.6,0
1596405600,0,27.6,27.6,27.6,0
1596492000,33,31,33.55,29.7,86802
1596578400,32.2,29.65,32.495,29.5,25757
1596664800,30.5,27.5,30.5,26.5,17696
1596751200,28.4,26.3,28.4,24.805,19132
1597010400,27.6,26,27.6,25.8,11636
1597096800,25.85,23.51,25.85,22,20000
1597183200,23.105,22.095,23.105,20.8,23316
1597269600,22.095,24.5,25.485,22.095,15921
1597356000,25.5,25.3,26.1,25,15690
1597615200,26.3,25,26.3,23.67,7760
1597701600,26.25,24.4,26.25,24.01,6231
1597788000,23.5,25,25.8,23.1,6121
1597874400,25.28,24.7,25.9,24.005,6764
1597960800,24.7,24.5,24.95,24.015,3433
1598220000,24.7,24.7,26.3,24,7989
1598306400,25.4,25.49,25.495,24.5,2507
1598392800,26.27,25.61,26.27,25.6,4957
1598479200,25.9,25.7,26.3,25.12,3972
1598565600,26,25.7,26,25,4934
1598824800,25.01,25.1,25.1,24.5,4016
1598911200,25.15,24.5,25.205,23.7,7046
1598997600,24.8,24.5,25.5,24,6168
1599084000,25.095,24.9,25.095,24.51,2888
1599170400,23.7,23.15,24.4,23.1,6951
1599429600,23.5,23.9,24.28,22.295,4555
1599516000,23.5,22.36,23.8,17.234,28764
1599602400,21,21.2,21.65,21,5470
1599688800,21.2,21.8,22.385,21,9345
1599775200,22.5,22.51,23.4,22.4,4634
1600034400,23,22.405,23,22.4,1442
1600120800,22.405,21.5,22.985,21.27,2582
1600207200,21.5,21.9,22.495,21.3,2303
1600293600,22.78,22.2,22.78,21.5,1408
1600380000,22.7,21.55,22.7,21.205,914
1600639200,21.55,21,21.9,20.1,3693
1600725600,21,20.99,21,19,5296
