t,o,c,h,l,v
1587074400,43.9,44,44,38,93273
1587333600,48.8,47.49,48.8,40.3,442342
1587420000,48,45.5,48.795,43.6,69917
1587506400,44,43,45.5,42.3,80573
1587592800,44.4,43,49.4,42.7,316012
1587679200,41,39.6,41.77,36,431409
1587938400,39.7,39,43,38.12,108520
1588024800,38.99,38.9,39.5,36,75263
1588111200,38.9,37.2,38.95,37,40710
1588197600,37.2,36.45,37.2,34.22,46631
1588543200,38.1,40,40,38,39951
1588629600,42,40.7,42,39.6,27896
1588716000,40.9,38.65,40.9,38.63,18483
1588802400,39.78,38.05,39.78,38.04,15384
1588888800,38.04,37.7,38.8,36.44,25056
1589148000,38,37.08,38.3,36.5,11942
1589234400,37.36,36.4,37.36,35.88,11834
1589320800,36.65,36.5,36.65,35.01,12316
1589407200,36.98,35.5,36.98,35,18826
1589493600,35.5,36.45,36.75,35.1,8498
1589752800,36.6,36.495,36.6,35.6,11939
1589839200,36.1,36.1,36.5,36.005,2568
1589925600,36.01,38.7,38.8,36.01,19988
1590012000,38.7,37.815,38.7,37.3,9335
1590098400,37.46,36.8,37.46,36.13,4584
1590357600,36.11,35.95,36.2,35.4,19990
1590444000,36,36.3,36.7,35.6,9300
1590530400,36.495,35.7,36.495,35.7,16848
1590616800,36,36.4,36.4,35.65,5220
1590703200,36.4,36.35,37.6,35.7,5688
1590962400,36,36,36.4,35.1,13266
1591048800,36.3,35.7,36.3,35.62,3954
1591135200,35.7,35.895,36.995,35.5,12228
1591221600,35.9,35.41,36.445,35.3,7947
1591308000,35.97,36,36.2,35.2,10398
1591567200,36.2,35.9,36.2,34.6,21423
1591653600,36.2,36,36.6,35.35,13562
1591740000,36.2,36.4,36.75,35.6,7597
1591912800,34.75,36.4,36.4,34.71,5543
1592172000,36.4,35.7,36.4,35.4,3616
1592258400,36,36.3,36.4,35.6,3207
1592344800,36.24,36.18,36.3,35.75,3009
1592431200,36.4,44.5,44.5,36.2,96811
1592517600,44.98,45,47.45,42.82,88646
1592776800,45,42.13,46,40.85,27747
1592863200,42.14,42,43.6,41,13488
1592949600,42.9,42.42,43.5,41,15720
1593036000,42.9,41.9,42.9,41,8359
1593122400,41.95,40.8,42,40.8,10716
1593381600,40.8,38.9,41.5,38.8,14193
1593468000,38.9,39.02,40.5,38.9,9825
1593554400,40,39.38,40,39.02,2824
1593640800,39.4,41.16,41.8,39.02,9346
1593727200,41.165,43.5,44.4,41.165,20826
1593986400,43.5,45.89,45.9,43.12,23378
1594072800,45.7,44.405,46.795,44,19042
1594159200,44.39,43.1,44.39,43.01,5961
1594245600,43.3,43,43.95,42.1,10141
1594332000,43.9,41.9,43.9,40.7,9196
1594591200,41.05,41.5,42.5,41,6126
1594677600,42,40.5,42,39.54,9077
1594764000,40,39.9,40.68,39.5,5889
1594850400,39.9,39.6,39.9,39,5292
1594936800,39.55,38.6,39.55,37.1,11029
1595196000,37.4,36.8,37.6,36.3,12943
1595282400,36.8,36.5,36.8,35,23108
1595368800,36.5,38.5,40.95,36,32892
1595455200,38.5,37.4,39,36.2,22597
1595541600,36.51,36,37,36,7754
1595800800,36.2,36,36.4,35.6,11871
1595887200,35.8,35.5,36,35.02,12513
1595973600,36,37.2,38.5,36,16639
1596060000,37.6,35.85,37.6,35,11698
1596146400,35.58,35.165,36.98,35.165,6648
1596405600,36.99,35.8,36.99,35.11,4544
1596492000,35.8,36,36,35.11,3918
1596578400,36.325,35.65,36.5,35.51,3747
1596664800,35.7,37,37.8,35.65,7062
1596751200,37,36,37,35.71,3541
1597010400,35.7,36,36.88,35.66,931
1597096800,36,35.9,36.5,35.9,1847
1597183200,35.99,35.35,36.19,35.3,2751
1597269600,35.36,35.45,36,35.36,1859
1597356000,35.31,35.41,36.2,35.31,4294
1597615200,36,37,37.9,35.45,7078
1597701600,37.5,36.3,37.5,36.01,6354
1597788000,36.02,36.51,37.3,35.7,3045
1597874400,37,37,37.1,35.61,3603
1597960800,37,39,39,36,55668
1598220000,39.3,39.7,40.95,37,11875
1598306400,40.2,38.15,40.2,38,4690
1598392800,38,38.48,38.7,37.6,1315
1598479200,38.55,38.1,38.9,38,1216
1598565600,40,39.9,40.2,39,8889
1598824800,42,39.9,42,38.81,4777
1598911200,39.9,38.3,39.9,37.51,1493
1598997600,38.505,37.73,38.8,37.02,1718
1599084000,38.72,37,38.72,37,3429
1599170400,36.9,36.99,37.49,36.1,2448
1599429600,37.5,36.95,37.5,36.21,1904
1599516000,36.8,36,36.8,35.1,6421
1599602400,35.55,36.59,36.59,35.3,1542
1599688800,36.9,36.7,36.9,36,719
1599775200,36.695,36.48,36.695,36,2316
1600034400,36.475,36.2,36.5,35.7,5208
1600120800,36.495,36.4,36.5,35.6,2734
1600207200,36.5,36.44,36.5,36.02,687
1600293600,36.5,35.7,36.5,35.5,5388
1600380000,36.45,35.5,36.45,35.41,2596
1600639200,35.605,35.25,36.2,35.25,2319
1600725600,35.915,35.4,35.915,34,5588
1600812000,35.025,34.995,35.43,34.1,12519
1600898400,34.995,33.8,34.995,33.8,2366
1600984800,33.06,32.75,34,30,6243
1601244000,33,32.9,33,32,3594
1601330400,32.9,34,34.68,32.8,3851
1601416800,35,35.5,36.4,34.7,7511
1601503200,35.3,32.1,35.3,31.77,16044
1601589600,31.775,30.9,32,30.34,7361
1601848800,30.2,32.1,32.55,30.2,2569
1601935200,32.4,32.5,32.985,30.72,8379
1602021600,31.21,32,32.98,31.21,938
1602108000,31.46,31.995,32.2,31,5826
1602194400,32.2,31,32.2,30.7,2284
1602453600,31,30.49,31,30.1,2530
1602540000,30.49,28.18,30.595,28,9388
1602626400,28.88,27.85,28.88,27.45,13514
1602712800,27.9,26,27.9,25.11,10102
1602799200,25.21,26.44,27.48,25.1,4632
1603058400,27.48,26.4,27.48,25.71,1467
1603144800,26,25.75,26.19,25.52,1266
1603231200,26.4,25.995,26.4,25.03,1873
1603317600,25.65,25.55,25.8,25.1,1528
1603404000,25.5,25.44,25.5,24.4,10324
1603666800,25.99,24.8,25.99,24.44,1271
1603753200,24.85,24.85,24.95,24.4,1656
1603839600,24.4,22.2,24.4,22.06,6203
1603926000,22.1,21.705,22.9,19.5,9825
1604012400,21.76,20.28,21.76,20.1,3816
1604271600,20.28,22.1,22.305,20.1,3802
1604358000,22.39,21.995,22.5,21.19,1231
1604444400,22,22,22.9,21.77,1369
1604530800,21.305,22.9,22.9,21.305,1940
1604617200,22.9,22.5,22.9,22,2313
1604876400,22.5,21.5,22.5,21.2,5991
1604962800,21.55,22.1,22.1,21.1,4578
1605135600,22.1,28.2,29,21.53,36495
1605222000,29,27.295,29,25.41,7884
1605481200,27.315,25.6,27.32,25.5,5736
1605567600,26.205,26,26.5,25,835
1605654000,26.1,25.8,26.1,24.66,1077
1605740400,25.8,26,26,24.85,1002
1605826800,26,25.795,26,24.86,768
1606086000,25.75,27.18,27.19,24.9,2464
1606172400,27.15,26.95,27.18,26,608
1606258800,26,26.3,26.9,25.7,744
1606345200,26.3,26,26.3,25.23,1802
1606431600,26,25.9,26.9,25.2,1128
1606690800,25.5,23.7,25.5,23.23,10425
1606777200,23.19,23.2,25,23,4714
1606863600,23.475,23,23.5,22.37,5149
1606950000,23.8,22.42,23.8,22.42,1537
1607036400,23,22.81,23,22.81,759
1607295600,22.81,23,23.59,22.5,3142
1607382000,23.4,23.06,23.5,22.8,1555
1607468400,23.4,23.4,23.78,23,5342
1607554800,23.45,22.5,23.45,21.105,26506
1607641200,22.8,22.895,23,22.1,25393
1607900400,22.89,22.15,22.89,21.56,3806
1607986800,22,21.83,22.49,21.3,5021
1608073200,22.49,21.8,22.49,21.55,1826
