t,o,c,h,l,v
1639004400,74,70,74.3,70,2188353
1639090800,69.02,67.5,69.49,65,957980
1639350000,67.56,67.5,67.64,66.5,182497
1639436400,67.66,67,68,66.5,97432
1639522800,67.4,67.5,67.5,66.51,78321
1639609200,68,67.87,68.09,67.26,58448
1639695600,68,67.6,68.02,67,74433
1639954800,67,67,67.99,67,49126
1640041200,67,67,67.48,66.53,86731
1640127600,67.3,67.7,68,67.29,78209
1640214000,68,68.8,68.9,67.86,4525
1640559600,69,70.01,70.9,69,35304
1640646000,70.49,70.3,70.49,70.02,14864
1640732400,70.4,71.74,72.43,70.31,21202
1640818800,72,72.5,72.8,72,38451
1641164400,72.5,73.37,73.5,72.5,13143
1641250800,73.95,74.8,76.4,73.01,80020
1641337200,74.2,75.51,75.99,74.2,45543
1641510000,75.5,75.2,75.99,75,77059
1641769200,75.2,75.55,75.75,75.2,27930
1641855600,75.9,75.75,76.39,75.01,197637
1641942000,75.8,76.73,77.5,75.8,69070
1642028400,77.9,77.7,77.9,76.8,33807
1642114800,77.5,77.6,77.85,77.01,130038
1642374000,78,78.2,78.2,77.49,11599
1642460400,78.2,78,79.7,77.2,118572
1642546800,77.5,79.15,79.88,76,80272
1642633200,79.15,74,79.15,72.33,192917
1642719600,74,74.7,75.84,73.2,54750
1642978800,75,73.89,75.05,73.6,63702
1643065200,73.02,73.93,74.6,73.02,29377
1643151600,73.93,73.45,74.05,73.01,10049
1643238000,72.34,72.75,73.43,72,15169
1643324400,72.75,71,73,70.23,6815
1643583600,72.68,72,72.68,70.04,6469
1643670000,72.5,73.01,74.04,72.4,8949
1643756400,73.5,75,75,73.5,18149
1643842800,75,74.5,75.3,74.5,15037
1643929200,75.3,74.5,75.3,74.5,17273
1644188400,73,72.06,73,69.2,36920
1644274800,73.98,73.8,74.2,72.85,8478
1644361200,75,74.87,75.98,73.91,50158
1644447600,76,71.8,76,71.23,221745
1644534000,71.1,72.45,72.48,71.1,2380
1644793200,72.47,73,73,71.03,4229
1644879600,73.5,73.52,73.8,73.01,1603
1644966000,73.52,73.5,74.06,73,5369
1645052400,73.56,72,73.56,71.54,3192
1645138800,72.49,70.6,72.49,70.01,858
1645398000,70.99,70.4,71.01,65.14,10196
1645484400,70.41,68.5,70.41,67,14378
1645570800,68.5,67,68.61,67,1153
1645657200,56,55.67,63,55.67,17287
1645743600,56.5,60,62.15,56.49,45526
1646002800,60,58,60.74,58,47940
1646089200,57.3,55.24,59,54,40983
1646175600,54,53.53,55,52.01,69213
1646262000,53.53,52.5,54,52.5,62806
1646348400,52.5,49.5,52.5,48.8,27039
1646607600,49.5,48.2,50,48,29740
1646694000,48.15,48.2,49.44,48.055,15275
1646780400,49.1,48.2,49.1,45,146400
1646866800,49,49,50.49,46.91,58848
1646953200,49.2,48.855,50.45,48.305,14564
1647212400,51,49,51.68,48.85,4820
