t,o,c,h,l,v
989445600,3.56,3.54,3.6,3.49,73700
989532000,3.52,3.89,3.98,3.52,157882
989791200,3.94,4.2,4.39,3.94,47390
989877600,4.34,3.9,4.34,3.9,57109
989964000,3.85,3.68,3.95,3.66,25682
990050400,3.96,3.84,3.96,3.65,5136
990136800,3.8,3.75,3.85,3.75,3196
990396000,3.68,3.75,3.78,3.65,1077
990482400,3.76,3.66,3.79,3.66,16992
990568800,3.7,3.7,3.7,3.63,9769
990655200,3.66,3.65,3.7,3.65,4091
990741600,3.65,3.65,3.7,3.65,3637
991000800,3.62,3.63,3.65,3.62,2314
991087200,3.62,3.56,3.62,3.56,7486
991173600,3.55,3.5,3.55,3.45,11749
991260000,3.37,3.5,3.5,3.37,1260
991346400,3.5,3.57,3.57,3.45,5433
991605600,3.5,3.5,3.5,3.5,13933
991692000,3.64,3.5,3.8,3.5,5085
991778400,3.5,3.51,3.51,3.5,3684
991864800,3.5,3.51,3.51,3.5,3196
991951200,3.54,3.6,3.6,3.54,3800
992210400,0,3.6,3.6,3.6,0
992296800,3.45,3.53,3.53,3.45,34919
992383200,3.58,3.54,3.58,3.5,8528
992556000,3.45,3.41,3.5,3.4,5995
992815200,3.4,3.4,3.53,3.3,5429
992901600,3.4,3.4,3.5,3.3,24517
992988000,3.35,3.35,3.35,3.35,300
993074400,3.36,3.44,3.44,3.3,6472
993160800,3.3,3.44,3.44,3.3,500
993420000,3.4,3.4,3.4,3.4,700
993506400,3.4,3.01,3.4,3.01,3436
993592800,3.2,3.1,3.2,3.1,14072
993679200,3.33,3.06,3.33,3.06,600
993765600,3.2,2.9,3.2,2.9,68980
994024800,2.9,3,3.05,2.9,6318
994111200,2.9,2.9,2.9,2.7,23547
994197600,2.66,2.79,2.89,2.66,3766
994284000,2.72,2.88,2.89,2.7,8675
994370400,2.89,2.9,2.95,2.89,18143
994629600,2.95,2.8,2.95,2.73,9300
994716000,2.89,2.81,2.9,2.8,17944
994802400,2.7,2.79,2.79,2.7,9000
994888800,2.8,2.82,2.98,2.8,65422
994975200,2.85,2.82,2.98,2.82,20813
995234400,2.85,2.9,2.9,2.85,4347
995320800,3.18,3.1,3.18,3.02,11238
995407200,3.1,3,3.1,3,2220
995493600,3,3.05,3.05,3,1400
995580000,3.05,3,3.05,2.88,7011
995839200,3,3.14,3.14,2.91,1005
995925600,0,3.14,3.14,3.14,0
996012000,3,2.97,3,2.92,5693
996098400,3,2.97,3.03,2.9,3605
996184800,3.04,3.02,3.04,2.91,1292
996444000,3.04,2.95,3.04,2.95,7856
996530400,3,2.98,3,2.9,3760
996616800,3.08,2.92,3.08,2.91,3910
996703200,2.97,2.96,2.97,2.92,5688
996789600,2.95,2.94,2.95,2.94,1911
997048800,2.83,2.91,2.91,2.83,3300
997135200,2.72,2.62,2.75,2.61,10881
997221600,2.62,2.58,2.64,2.57,15452
997308000,2.54,2.45,2.54,2.45,8713
997394400,2.39,2.39,2.5,2.1,19985
997653600,2.27,2.06,2.27,2.06,5665
997740000,2.17,1.95,2.17,1.95,8698
997912800,1.95,1.95,1.95,1.7,20071
997999200,1.9,1.89,1.9,1.89,4448
998258400,1.89,1.88,1.89,1.83,2000
998344800,1.88,1.88,1.88,1.87,4106
998431200,1.85,1.86,1.94,1.85,3345
998517600,1.88,1.88,1.88,1.88,5000
998604000,1.87,1.87,1.87,1.84,2048
998863200,1.9,1.9,1.96,1.9,2100
998949600,1.82,1.87,1.87,1.82,101
999036000,1.82,1.82,1.82,1.82,412
999122400,1.83,1.83,1.83,1.8,1753
999208800,1.83,1.86,1.86,1.83,1001
999468000,1.86,1.86,1.86,1.86,6900
999554400,1.84,1.8,1.84,1.75,12746
999640800,1.85,1.77,1.85,1.73,58118
999727200,1.77,1.8,1.81,1.77,4020
999813600,1.77,1.8,1.8,1.77,2865
1000072800,1.77,1.69,1.77,1.41,6326
1000159200,1.69,1.77,1.8,1.66,45691
1000245600,1.62,1.62,1.62,1.62,101
1000332000,1.64,1.57,1.64,1.38,8908
1000418400,1.56,1.6,1.65,1.56,463491
1000677600,0,1.6,1.6,1.6,0
1000764000,1.4,1.55,1.55,1.4,1000
1000850400,1.6,1.6,1.6,1.6,1
1000936800,1.57,1.5,1.57,1.5,5066
1001023200,1.53,1.49,1.53,1.45,712
1001282400,1.5,1.21,1.5,1.21,4577
1001368800,1.49,1.31,1.49,1.31,1200
1001455200,1.49,1.49,1.49,1.35,312
1001541600,1.27,1.2,1.38,1.2,42365
1001628000,1.22,1.2,1.3,1.2,91221
1001887200,1.32,1.22,1.32,1.22,3018
1001973600,1.31,1.25,1.31,1.21,14184
1002060000,1.25,1.24,1.25,1.2,36051
1002146400,1.25,1.24,1.25,1.23,23416
1002232800,0,1.24,1.24,1.24,0
1002492000,0,1.24,1.24,1.24,0
1002578400,1.3,1.3,1.3,1.25,5000
1002664800,1.3,1.26,1.3,1.2,49727
1002751200,1.3,1.3,1.4,1.29,35333
1002837600,1.31,1.33,1.33,1.3,4075
1003096800,1.32,1.3,1.32,1.23,257
1003183200,1.21,1.79,1.79,1.21,89132
