t,o,c,h,l,v
890089200,0,23.2,23.2,23.2,34067
890175600,0,20.9,20.9,20.9,57757
890262000,0,20.2,20.2,20.2,37765
890348400,0,20.9,20.9,20.9,26832
890607600,0,20.7,20.7,20.7,13833
890694000,0,20.4,20.4,20.4,18721
890780400,0,20.2,20.2,20.2,14411
890866800,0,20.2,20.2,20.2,22745
890953200,0,20,20,20,21357
891208800,0,20,20,20,10663
891295200,0,20,20,20,14604
891381600,0,19,19,19,7665
891468000,0,19,19,19,16678
891813600,0,18.7,18.7,18.7,12193
891900000,0,18.5,18.5,18.5,4332
891986400,0,18.6,18.6,18.6,10450
892072800,0,17.8,17.8,17.8,7297
892504800,0,17.9,17.9,17.9,13032
892591200,0,18,18,18,7242
892677600,0,18.2,18.2,18.2,6400
892764000,0,18.5,18.5,18.5,13417
893023200,0,18.8,18.8,18.8,18050
893109600,0,20.1,20.1,20.1,28170
893196000,0,20,20,20,16099
893282400,0,19,19,19,15903
893368800,0,18.8,18.8,18.8,23002
893628000,0,17,17,17,13821
893714400,0,15.8,15.8,15.8,7469
893800800,0,16.2,16.2,16.2,9408
893887200,0,16.6,16.6,16.6,9434
894232800,0,17.4,17.4,17.4,2740
894319200,0,18.2,18.2,18.2,6344
894405600,0,18.5,18.5,18.5,17498
894492000,0,18,18,18,1804
894578400,0,17,17,17,18726
894837600,0,16.2,16.2,16.2,11500
894924000,0,16.4,16.4,16.4,6099
895010400,0,16.2,16.2,16.2,4414
895096800,0,16,16,16,1273
895183200,0,15.9,15.9,15.9,9349
895442400,0,15.1,15.1,15.1,1050
895528800,0,14.2,14.2,14.2,2012
895615200,0,14.6,14.6,14.6,4724
895701600,0,15.2,15.2,15.2,4428
895788000,0,15.2,15.2,15.2,1101
896047200,0,14.5,14.5,14.5,4443
896133600,0,14.7,14.7,14.7,4505
896220000,0,13.3,13.3,13.3,2395
896306400,0,13.2,13.2,13.2,4825
896392800,0,13.3,13.3,13.3,3974
896652000,0,12,12,12,7079
896738400,0,10.8,10.8,10.8,11230
896824800,0,11.2,11.2,11.2,11447
896911200,0,11.3,11.3,11.3,6080
896997600,0,11.1,11.1,11.1,10524
897256800,0,11,11,11,5034
897343200,0,10.4,10.4,10.4,7142
897429600,0,9.9,9.9,9.9,4927
897861600,0,9,9,9,10353
897948000,0,9.2,9.2,9.2,12750
898034400,0,10.1,10.1,10.1,2160
898120800,0,11,11,11,15195
898207200,0,11,11,11,11873
898466400,0,10.5,10.5,10.5,3390
898552800,0,10.4,10.4,10.4,3155
898639200,0,10.1,10.1,10.1,6562
898725600,0,10.1,10.1,10.1,3089
898812000,0,10.7,10.7,10.7,8615
899071200,0,10.5,10.5,10.5,3497
899157600,0,11.3,11.3,11.3,11570
899244000,0,12.2,12.2,12.2,6915
899330400,0,11.8,11.8,11.8,12189
899416800,0,12.2,12.2,12.2,7822
899676000,0,12.5,12.5,12.5,5723
899762400,0,12.5,12.5,12.5,6558
