t,o,c,h,l,v
997653600,2.25,1.98,2.25,1.71,25350
997740000,1.82,1.84,1.84,1.79,8500
997912800,1.84,1.83,1.84,1.7,7516
997999200,1.92,1.82,1.92,1.82,1265
998258400,1.82,1.82,1.82,1.82,5090
998344800,1.9,1.8,1.9,1.8,4354
998431200,1.75,1.85,1.85,1.75,4866
998517600,1.9,1.85,1.9,1.85,1980
998604000,0,1.85,1.85,1.85,0
998863200,1.9,1.91,1.91,1.8,1100
998949600,0,1.91,1.91,1.91,0
999036000,0,1.91,1.91,1.91,0
999122400,0,1.91,1.91,1.91,0
999208800,1.75,1.81,1.85,1.75,7380
999468000,1.77,1.74,1.77,1.74,2844
999554400,1.75,1.75,1.75,1.75,854
999640800,1.86,1.86,1.86,1.86,500
999727200,1.8,1.8,1.8,1.8,500
999813600,1.8,1.8,1.8,1.8,1000
1000072800,0,1.8,1.8,1.8,0
1000159200,0,1.8,1.8,1.8,0
1000245600,1.5,1.8,1.8,1.5,4500
1000332000,0,1.8,1.8,1.8,0
1000418400,0,1.8,1.8,1.8,0
1000677600,1.6,1.76,1.76,1.6,165
1000764000,1.6,1.77,1.77,1.6,781
1000850400,1.75,1.75,1.75,1.75,200
1000936800,0,1.75,1.75,1.75,0
1001023200,0,1.75,1.75,1.75,0
1001282400,0,1.75,1.75,1.75,0
1001368800,1.49,1.65,1.65,1.49,6400
1001455200,1.8,1.69,1.8,1.5,1520
1001541600,1.7,1.63,1.7,1.5,841
1001628000,1.6,1.71,1.71,1.6,1003
1001887200,0,1.71,1.71,1.71,0
1001973600,1.46,1.55,1.55,1.46,305
1002060000,0,1.55,1.55,1.55,0
1002146400,0,1.55,1.55,1.55,0
1002232800,1.45,1.59,1.59,1.45,2050
1002492000,1.4,1.55,1.55,1.4,2014
1002578400,0,1.55,1.55,1.55,0
1002664800,1.55,1.75,1.75,1.47,7141
1002751200,1.8,1.8,1.8,1.54,2237
1002837600,1.8,1.78,1.8,1.65,13480
1003096800,1.77,1.77,1.77,1.77,100
1003183200,1.75,1.93,2.07,1.75,82950
1003269600,2.05,2.07,2.33,1.68,202367
1003356000,2.04,1.94,2.04,1.8,17557
1003442400,1.78,1.89,1.95,1.78,8393
1003701600,1.91,2.05,2.05,1.91,27178
1003788000,2.16,1.99,2.16,1.95,14836
1003874400,1.9,2.03,2.08,1.9,3305
1003960800,2.04,2.01,2.04,1.91,10785
1004047200,2.05,2,2.05,1.94,5310
1004310000,2.05,1.99,2.05,1.93,5683
1004396400,1.9,1.9,1.9,1.9,1000
1004482800,1.82,1.89,1.89,1.82,2299
1004655600,1.85,1.83,1.91,1.83,9337
1004914800,1.96,1.93,1.96,1.8,7500
1005001200,1.93,1.9,1.93,1.9,888
1005087600,1.93,1.93,1.93,1.93,3050
1005174000,1.83,1.9,1.9,1.8,2350
1005260400,1.9,1.8,1.9,1.8,4145
1005519600,1.82,1.82,1.82,1.82,100
1005606000,1.8,1.89,1.89,1.8,5178
1005692400,1.8,1.84,1.85,1.7,48428
1005778800,1.83,1.8,1.83,1.77,5056
1005865200,1.82,1.8,1.82,1.77,1477
1006124400,1.8,1.74,1.8,1.74,5251
1006210800,1.72,1.7,1.72,1.7,6021
