t,o,c,h,l,v
1279836000,4.32,4.7,4.86,4.3,1492610
1280095200,4.79,4.79,4.8,4.66,92647
1280181600,4.75,4.73,4.77,4.52,28554
1280268000,4.74,4.62,4.74,4.56,22670
1280354400,4.64,4.6,4.64,4.53,22527
1280440800,4.58,4.65,4.65,4.57,8871
1280700000,4.64,4.67,4.72,4.64,8991
1280786400,4.67,4.7,4.7,4.67,1908
1280872800,4.62,4.66,4.66,4.6,3018
1280959200,4.28,4.6,4.6,4.28,5694
1281045600,4.6,4.68,4.68,4.6,4936
1281304800,4.67,4.64,4.67,4.62,4533
1281391200,4.58,4.63,4.63,4.56,9815
1281477600,4.6,4.59,4.6,4.51,1132
1281564000,4.61,4.61,4.64,4.6,2150
1281650400,0,4.61,4.61,4.61,0
1281909600,4.6,4.66,4.66,4.5,65106
1281996000,4.56,4.57,4.66,4.56,5549
1282082400,4.56,4.6,4.6,4.52,1429
1282168800,4.52,4.59,4.59,4.52,1272
1282255200,4.58,4.63,4.64,4.53,13460
1282514400,4.56,4.56,4.61,4.55,7773
1282600800,4.51,4.65,4.65,4.51,19069
1282687200,4.66,4.67,4.67,4.6,5529
1282773600,4.69,4.75,4.75,4.66,10967
1282860000,4.74,4.75,4.75,4.74,3483
1283119200,4.61,4.78,4.78,4.61,3890
1283205600,4.78,4.75,4.79,4.67,3081
1283292000,4.75,4.75,4.8,4.7,9892
1283378400,4.75,5.07,5.07,4.75,40945
1283464800,5.09,5.07,5.1,4.91,55209
1283724000,5.07,5.25,5.3,5.01,67743
1283810400,5.31,5.19,5.31,5.19,8939
1283896800,5.18,5.22,5.22,5.18,3714
1283983200,5.26,5.47,5.47,5.26,80509
1284069600,5.47,6.59,6.59,5.47,16030
1284328800,6.75,6.68,7.24,6.15,57745
1284415200,6.75,6.35,6.76,6.18,8748
1284501600,6.3,6.2,6.35,6.01,11840
1284588000,5.95,6.19,6.4,5.8,10673
1284674400,6.2,6.3,6.3,6.06,5150
1284933600,6.48,6.38,6.48,6.3,5446
1285020000,6.06,6.12,6.25,6.06,21256
1285106400,6.18,6.18,6.18,6.1,5683
1285192800,6.06,6.1,6.1,6.06,2383
1285279200,6.14,6.1,6.14,6.1,924
1285538400,6.45,6.25,6.45,6.1,32055
1285624800,6.15,6.09,6.15,6.06,2711
1285711200,6.2,6.1,6.25,6.1,131247
1285797600,6.1,6.11,6.11,6,2277
1285884000,6.05,6,6.05,6,3239
1286143200,5.53,5.7,5.9,5.52,2954
1286229600,5.53,5.61,5.7,5.5,18022
1286316000,5.79,5.7,5.8,5.7,22290
1286402400,5.7,5.89,5.89,5.7,12232
1286488800,5.7,6.08,6.08,5.7,1285
1286748000,6.08,5.91,6.09,5.91,1035
1286834400,5.7,5.7,5.71,5.65,10151
1286920800,5.75,5.89,5.89,5.73,1992
1287007200,5.9,5.9,5.91,5.73,22179
1287093600,0,5.9,5.9,5.9,0
1287352800,5.51,5.55,5.84,5.51,26336
1287439200,5.52,5.55,5.55,5.52,1478
1287525600,5.4,5.45,5.55,5.22,106290
1287612000,5.2,5.4,5.4,5.2,51199
1287698400,5.6,5.5,5.6,5.5,1173
1287957600,5.3,5.38,5.38,5.3,850
1288044000,5.34,5.5,5.5,5.33,1722
1288130400,5.5,5.5,5.5,5.41,100681
1288216800,5.53,5.6,5.6,5.53,1316
1288303200,5.6,5.6,5.6,5.5,6787
1288652400,5.66,5.66,5.66,5.66,85
1288738800,5.71,5.78,5.78,5.71,1510
1288825200,5.69,6,6,5.69,7264
