t,o,c,h,l,v
1124920800,12,11.6,12,11.3,2035
1125007200,11.7,11.5,11.7,11.25,1323
1125266400,11.7,11.65,11.7,11.5,2660
1125352800,11.55,11.7,12,11.55,16095
1125439200,11.7,11.3,11.7,11.3,475
1125525600,11.5,11.5,11.8,11.5,1455
1125612000,11.4,11.45,11.45,11.3,2001
1125871200,11.3,11.5,11.5,11.3,301
1125957600,11.5,11.5,11.5,11.5,6
1126044000,11.5,11.5,11.6,11.5,426
1126130400,11.4,11.1,11.5,11.1,2346
1126216800,11.3,11.3,11.5,11.3,71
1126476000,11.3,11.5,11.5,11.1,1968
1126562400,11.15,11.3,11.5,11.1,1766
1126648800,11.1,11,11.1,10.65,2969
1126735200,10.95,10.95,10.95,10.35,369
1126821600,10.6,10.85,10.85,10.4,670
1127080800,10.55,10.85,11,10.5,2605
1127167200,10.5,10.5,10.6,10.5,1889
1127253600,10.6,10.4,10.6,10.4,738
1127340000,10.35,10.2,10.35,9.4,9806
1127426400,10.2,10.35,10.4,10,4000
1127685600,10.3,11.1,11.2,10.2,5057
1127772000,10.95,10.9,10.95,10.85,2975
1127858400,11,10.9,11,10.8,4302
1127944800,10.45,10.8,10.85,10.45,1805
1128031200,10.7,10.9,11,10.7,10193
1128290400,11,10.7,11,10.55,4652
1128376800,10.6,10.6,10.7,10.6,683
1128463200,10.6,10.55,10.6,10.5,1822
1128549600,10.6,10.35,10.6,10.35,745
1128636000,10.25,10.45,10.85,10.25,1801
1128895200,10.65,10.65,10.65,10.65,1100
1128981600,10.55,10.85,10.85,10.5,501
1129068000,10.85,10.65,10.85,10.55,1205
1129154400,10.65,10.55,10.65,10.5,2623
1129240800,10.5,10.35,10.5,10.35,2557
1129500000,10.5,10.3,10.5,10.3,62
1129586400,10.5,10.5,10.5,10.35,1092
1129672800,10.5,10.35,10.5,10.35,573
1129759200,10.35,9.8,10.35,9.7,3391
1129845600,9.8,9.85,10.2,9.8,212
1130104800,10.1,10.3,10.3,10.1,405
1130191200,10.3,10.6,10.6,10.3,332
1130277600,10.6,10.65,10.7,10.5,171758
1130364000,10.5,10.5,10.5,10.5,660
1130450400,10.3,10.5,10.55,10.3,1520
1130713200,10.5,10.5,10.85,10.5,1141
1130886000,10.5,10.45,10.5,10.4,3561
1130972400,10.4,10.5,10.65,10.35,6271
1131058800,10.75,10.6,11.05,10.6,16181
1131318000,10.95,10.45,11.05,10.45,16830
1131404400,10.65,10.45,10.65,10.45,1383
1131490800,10.5,10.5,10.6,10.4,6892
1131577200,10.5,10.6,10.65,10.45,32903
1131922800,10.8,11.25,11.3,10.7,18310
1132009200,11.3,11.25,11.45,11.2,6997
1132095600,11.3,11.3,11.35,11.1,4595
1132182000,11.3,11.7,11.7,11.2,7484
1132268400,11.8,11.55,11.8,11.45,9170
1132527600,11.35,11.25,11.45,11.2,1421
1132614000,11.25,11.4,11.4,11.2,411
1132700400,11.1,11.35,11.4,11.1,283
1132786800,11.4,11.35,11.4,11.25,2096
1132873200,11.35,11.4,11.4,11.15,3212
1133132400,11.5,11.45,11.55,11.45,4335
1133218800,11.5,11.5,11.6,11.45,8461
1133305200,11.5,11.5,11.5,11.5,3230
1133391600,11.4,11.45,11.5,11.4,2426
1133478000,11.4,11.65,11.65,11.4,3543
1133737200,11.65,12,12.3,11.65,20781
1133823600,12.25,12.3,12.4,11.9,14100
1133910000,12.4,12.35,12.45,12.2,2180
1133996400,12.45,12.45,12.45,12.15,1796
1134082800,12.45,12.5,12.8,12.05,8200
1134342000,12.5,12.6,12.6,12.3,1101
1134428400,12.45,12.5,12.5,12.35,974
1134514800,12.4,12.6,12.6,12.4,1984
1134601200,12.85,13.35,13.6,12.85,22351
1134687600,13.6,13.4,13.85,13.35,11329
1134946800,13.4,13.8,13.8,13.4,5416
1135033200,13.85,14.75,14.9,13.5,75598
1135119600,14.9,15.1,15.4,14.9,33266
1135206000,15,16,16,15,49837
1135292400,16.2,17.8,18.6,16.1,52724
1135638000,17.8,17.9,19.1,17.25,80628
