t,o,c,h,l,v
1155074400,12.5,11.3,12.5,11.3,45433
1155160800,11.1,10.95,11.35,10.8,14814
1155247200,10.8,11,11.2,10.65,16599
1155506400,11.1,10.95,11.1,10.5,3617
1155679200,10.8,10.85,10.9,10.5,8772
1155765600,10.85,10.8,10.9,10.25,18762
1155852000,10.5,9.8,10.5,9.8,29969
1156111200,9.95,10.55,11,9.3,68684
1156197600,10.2,9.6,10.3,9.55,19793
1156284000,9.9,9.4,9.95,9.15,29925
1156370400,9.5,9.2,9.6,9.15,29404
1156456800,9.55,9.45,9.55,9.2,7242
1156716000,9.65,10.1,10.1,9.05,42803
1156802400,10.2,9.7,10.5,9.6,21883
1156888800,9.95,9.3,9.95,9.15,22336
1156975200,9.55,9.2,9.6,9.2,13093
1157061600,9.4,9.21,9.59,9.2,6064
1157320800,9.42,9.69,9.69,9.16,25194
1157407200,12.44,10.93,12.45,10.82,222263
1157493600,10.93,10.77,10.99,10.25,59333
1157580000,11.15,11.95,12.35,10.95,81196
1157666400,11.95,12.27,12.35,11.46,34884
1157925600,12.65,13.24,13.9,12.6,76685
1158012000,13.4,13.08,13.4,12.73,24523
1158098400,13.4,11.91,13.4,11.91,48173
1158184800,12.35,11.69,12.35,11.1,49996
1158271200,11.3,11.37,11.69,11.3,7713
1158530400,11.65,11.75,11.79,11.45,11293
1158616800,11.79,12.6,12.6,11.58,43730
1158703200,13.01,12.6,13.25,12.3,49060
1158789600,12.35,13.49,13.5,12.35,46081
1158876000,13.48,13.45,13.48,12.77,18491
1159135200,13.92,14.1,14.2,13.6,25305
1159221600,14.2,13.99,14.2,13.6,37292
1159308000,14.7,13.8,14.95,13.6,63103
1159394400,13.85,13.79,13.97,13.52,10023
1159480800,14.19,14.33,14.5,13.8,28598
1159740000,14.49,14.3,14.49,13.81,5242
1159826400,14.25,14.22,14.25,13.7,4990
1159912800,14.7,14.35,14.7,13.85,13770
1159999200,14.4,14.31,14.61,13.92,8379
1160085600,14.79,14.69,14.79,14.11,13243
1160344800,14.97,17.98,18.3,14.97,73306
1160431200,18.4,17.87,18.48,16.25,83940
1160517600,17.98,16.98,17.98,16.61,21066
1160604000,16.69,17.5,17.9,16.5,55042
1160690400,17.8,17.48,17.8,17.2,9648
1160949600,17.8,18.78,19,17.5,99139
1161036000,18.99,18.6,18.99,18.21,11121
1161122400,18.36,18.7,18.98,18,14802
1161208800,19.1,19.46,19.9,18.5,22511
1161295200,20,19.92,20.5,19.4,34673
1161554400,20.4,20.14,20.4,19.5,12235
1161640800,20.5,20.7,20.94,20.2,14716
1161727200,21,21.7,22,20.1,31474
1161813600,22.49,22.51,23.89,22,26260
1161900000,23.3,22.7,23.3,22,17833
1162162800,22,20.87,22.97,20.02,18235
1162249200,20.5,20.99,20.99,19.2,22177
1162422000,20.99,20.26,20.99,19.8,20317
1162508400,20,20.2,20.39,19.65,9804
1162767600,20.26,19.7,20.26,19.24,16770
1162854000,18.88,18.9,19.5,18.88,18269
1162940400,18.7,17.7,18.9,17.45,38991
1163026800,17.75,19.2,19.2,17.75,21276
1163113200,19.49,18.5,19.5,18.31,20720
1163372400,19.4,18.5,19.4,18,22565
1163458800,19.2,18.15,19.2,18.12,19055
1163545200,18.1,18.2,18.45,18.1,4727
1163631600,18.4,21.2,21.2,18.4,34573
1163718000,22.7,21.7,23.8,21.4,155175
1163977200,21.5,21.4,21.9,20.81,70822
1164063600,21.35,22.45,22.9,20.3,37167
1164150000,23.3,23,23.45,22.64,27316
1164236400,23.45,23.4,23.5,23.03,18530
1164322800,22.91,24.6,25.6,22.91,55029
1164582000,26,26.1,26.1,25,39377
1164668400,25.9,24.52,25.9,24,55045
1164754800,24.64,26.7,26.8,24.51,45261
1164841200,27.5,27.3,28,26.8,45647
1164927600,27.98,28.4,28.58,27.7,45016
1165186800,28.75,28.58,29.3,28.25,52669
1165273200,29.09,31.7,31.99,28.25,64846
1165359600,16.8,18.9,21,16.6,178166
1165446000,19.87,17.12,19.87,17.1,59454
1165532400,17.79,16.97,17.79,16.5,33036
1165791600,16.8,15.9,16.88,15.7,34454
1165878000,15.79,15.24,15.79,15.04,26668
1165964400,15.25,15.98,15.98,14.3,32289
1166050800,16,15.79,16.29,15.5,22460
1166137200,15.51,14.28,15.51,13,53959
1166396400,14.28,13.83,14.75,13.77,15681
1166482800,13.7,12,13.7,11.45,70489
1166569200,12.42,11.05,13,11.05,54875
1166655600,11.3,12.39,12.39,11.26,58050
1166742000,13.49,13.46,13.78,12.95,107118
1167174000,13.5,15.95,15.95,13.5,52158
1167260400,16.9,15.96,16.9,15.25,48563
1167346800,15.96,15.3,16.25,15,22095
1167692400,15.78,15.3,15.78,14.4,42012
1167778800,15.3,15,15.86,14.87,26821
1167865200,15,14.85,15,14.4,17149
1167951600,14.99,13.95,14.99,13.5,34987
1168210800,14.09,13.34,14.09,13.34,34503
1168297200,12.99,12.6,13.18,12.06,111627
1168383600,12.6,11.86,13,11.86,53851
1168470000,12.01,12.3,12.49,11.95,47843
1168556400,12.3,12.9,13.15,12.2,53663
1168815600,12.81,12.55,13.05,12.5,28992
1168902000,12.6,14.2,14.2,12,72726
