t,o,c,h,l,v
1300748400,7.1,7.12,7.13,7.05,4336
1300834800,7.13,7.09,7.13,7.01,2715
1300921200,7.09,7,7.09,6.95,1861
1301007600,7,6.9,7,6.82,444
1301263200,6.8,6.98,6.98,6.6,12184
1301349600,7,7,7,6.8,14822
1301436000,7.08,7.07,7.08,6.82,36426
1301522400,7.07,7.08,7.08,6.96,9649
1301608800,7.08,7.07,7.08,6.91,10022
1301868000,6.83,7.05,7.05,6.83,4714
1301954400,7.05,7.09,7.1,6.9,22672
1302040800,7.08,7.05,7.11,7.05,19334
1302127200,7.1,7.36,7.49,6.99,41647
1302213600,7.37,7.3,7.37,7.05,4107
1302472800,7.3,7.25,7.3,7.09,769
1302559200,7.2,7.18,7.2,7.09,5772
1302645600,7.18,7.1,7.18,7.1,448
1302732000,7.1,7.1,7.1,7.1,82543
1302818400,7.1,7.13,7.13,7.09,3794
1303077600,7.13,7.13,7.13,7.02,8838
1303164000,7.13,7.12,7.13,7.01,823
1303250400,7.05,7.13,7.13,7.04,3391
1303336800,7.13,7.1,7.13,7.01,502
1303768800,7.1,7.11,7.11,7.1,1775
1303855200,7.11,7.13,7.13,7.1,4786
1303941600,7.1,7.1,7.13,7.1,2796
1304028000,7.13,7.12,7.13,7.01,242
1304287200,7.1,7.1,7.1,7.1,402
1304460000,7.1,7.1,7.1,6.95,5921
1304546400,7,7.09,7.09,7,502
1304632800,7.09,7.05,7.09,7.05,2
1304892000,6.74,7.1,7.1,6.74,9979
1304978400,7.12,7.1,7.12,6.91,2766
1305064800,7.11,7.07,7.11,7.07,2
1305151200,7.05,6.95,7.05,6.95,177
1305237600,7.05,7.08,7.08,7,2145
1305496800,7.09,6.98,7.09,6.9,1116
1305583200,7,7.05,7.05,6.95,200033
1305669600,7.05,7.05,7.05,7.05,42
1305756000,7.05,7.04,7.05,7.04,2
1305842400,7.04,7.04,7.05,6.87,1669
1306101600,7.04,7.04,7.04,7.04,2
1306188000,7,7,7,6.9,756
1306274400,7,7.06,7.06,7,3632
1306360800,7.06,7,7.06,7,2
1306447200,7,7.05,7.05,7,2332
1306706400,7.05,7.05,7.05,7.05,2
1306792800,7.05,7.03,7.05,7.03,2
1306879200,7,7,7,7,2
1306965600,6.99,6.97,6.99,6.97,2
1307052000,6.97,6.97,6.97,6.97,2
1307311200,6.95,6.95,6.95,6.95,2
1307397600,6.95,6.95,6.95,6.85,170
1307484000,6.95,6.94,6.95,6.85,6
1307570400,6.94,7.05,7.05,6.85,2785
1307656800,7.05,6.94,7.05,6.94,2
1307916000,7.05,7.15,7.15,7.04,5368
1308002400,7.15,7.1,7.15,7.02,217
1308088800,7.1,7.05,7.1,7.05,2
1308175200,7.05,7.03,7.05,6.9,10934
1308261600,7.05,7.03,7.05,7.03,2
1308520800,7.02,7.03,7.03,6.7,2377
1308607200,7.05,7.05,7.1,6.88,5388
