t,o,c,h,l,v
1269558000,1.95,1.8,2,1.8,1880
1269813600,1.96,1.8,1.96,1.8,24
1269900000,1.95,1.94,1.96,1.85,1103
1269986400,1.94,1.91,1.94,1.87,793
1270072800,1.87,1.85,1.87,1.85,1567
1270504800,1.88,1.91,1.95,1.88,475
1270591200,1.8,1.8,1.8,1.8,1
1270677600,1.95,1.81,1.95,1.81,3
1270764000,1.89,1.83,1.89,1.83,206
1271023200,1.94,1.94,1.94,1.94,100
1271109600,1.95,1.94,1.95,1.93,5647
1271196000,1.96,1.95,1.96,1.85,2176
1271282400,1.95,1.98,1.98,1.95,10025
1271368800,1.9,1.9,1.9,1.9,400
1271628000,1.85,1.96,1.97,1.85,1202
1271714400,1.85,1.85,1.95,1.85,502
1271800800,1.95,1.86,1.95,1.86,2395
1271887200,1.85,1.85,1.9,1.85,4724
1271973600,1.85,1.81,1.85,1.7,2302
1272232800,1.82,1.85,1.85,1.8,7449
1272319200,1.9,1.8,1.9,1.74,7416
1272405600,1.75,1.75,1.75,1.75,210
1272492000,1.8,1.78,1.8,1.78,2853
1272578400,0,1.78,1.78,1.78,0
1272924000,1.78,1.66,1.78,1.62,4800
1273010400,1.89,1.89,1.89,1.68,782
1273096800,1.89,1.89,1.89,1.89,20
1273183200,1.84,1.72,1.84,1.72,720
1273442400,1.88,1.88,1.88,1.88,200
1273528800,1.87,1.87,1.87,1.87,100
1273615200,1.79,1.8,1.8,1.79,150
1273701600,0,1.8,1.8,1.8,0
1273788000,1.7,1.7,1.7,1.7,729
1274047200,1.88,1.88,1.88,1.88,150
1274133600,1.8,1.87,1.87,1.7,12768
1274220000,1.8,1.8,1.8,1.8,100
1274306400,0,1.8,1.8,1.8,0
1274392800,0,1.8,1.8,1.8,0
1274652000,1.71,1.66,1.79,1.66,770
1274738400,1.86,1.72,1.86,1.68,23270
1274824800,1.72,1.74,1.74,1.6,13045
1274911200,1.62,1.76,1.78,1.62,2892
1274997600,1.75,1.75,1.75,1.75,100
1275256800,1.63,1.66,1.75,1.63,1751
1275343200,1.7,1.7,1.76,1.7,4399
1275429600,1.75,1.75,1.75,1.75,1859
1275602400,1.68,1.68,1.68,1.68,200
1275861600,1.79,1.77,1.79,1.77,500
1275948000,0,1.77,1.77,1.77,0
1276034400,1.7,1.7,1.7,1.7,350
1276120800,1.76,1.7,1.76,1.7,550
1276207200,1.78,1.78,1.78,1.78,200
1276466400,1.78,1.78,1.78,1.78,500
1276552800,1.73,1.73,1.73,1.73,500
1276639200,1.79,1.79,1.79,1.79,300
1276725600,1.79,1.74,1.79,1.74,772
1276812000,1.74,1.74,1.74,1.74,2825
1277071200,1.73,1.73,1.73,1.73,150
1277157600,1.73,1.72,1.73,1.72,350
1277244000,1.76,1.76,1.76,1.76,200
1277330400,1.74,1.75,1.75,1.74,5791
1277416800,1.77,1.77,1.77,1.77,4209
1277676000,1.7,1.77,1.77,1.7,2600
1277762400,1.77,1.77,1.77,1.77,280
1277848800,0,1.77,1.77,1.77,0
1277935200,0,1.77,1.77,1.77,0
1278021600,1.69,1.7,1.7,1.69,1497
1278280800,1.77,1.71,1.77,1.71,1714
1278367200,1.71,1.77,1.77,1.71,700
1278453600,1.7,1.7,1.7,1.7,17
1278540000,0,1.7,1.7,1.7,0
1278626400,1.71,1.71,1.71,1.7,1879
1278885600,1.72,1.72,1.72,1.72,100
1278972000,0,1.72,1.72,1.72,0
1279058400,1.74,1.74,1.74,1.74,1688
1279144800,0,1.74,1.74,1.74,0
1279231200,1.74,1.74,1.74,1.68,13912
1279490400,1.68,1.75,1.75,1.68,750
1279576800,1.77,1.75,1.77,1.75,650
1279663200,0,1.75,1.75,1.75,0
1279749600,1.74,1.73,1.74,1.73,1250
1279836000,1.7,1.7,1.7,1.7,1688
1280095200,1.69,1.67,1.69,1.67,4599
1280181600,0,1.67,1.67,1.67,0
1280268000,1.68,1.72,1.72,1.68,3648
1280354400,1.7,1.71,1.71,1.7,1058
1280440800,1.73,1.73,1.73,1.73,1089
1280700000,0,1.73,1.73,1.73,0
