t,o,c,h,l,v
1325631600,0.91,1.07,1.3,0.9,105932
1325718000,1.03,0.99,1.03,0.93,10884
1326063600,0.95,1,1,0.9,12835
1326150000,0.94,0.98,1,0.94,1814
1326236400,0.99,0.99,0.99,0.95,2837
1326322800,0.99,1,1,0.95,2344
1326409200,0.99,0.99,0.99,0.99,1
1326668400,0.9,0.99,0.99,0.8,10794
1326754800,1,1,1,0.9,6120
1326841200,0.86,0.94,0.94,0.85,7326
1326927600,0.86,0.94,0.94,0.85,4048
1327014000,0.94,0.94,0.94,0.94,20
1327273200,0.94,0.97,0.97,0.92,5882
1327359600,0.97,0.97,0.97,0.95,7320
1327446000,0.99,0.93,0.99,0.9,5883
1327532400,0.93,1.02,1.02,0.93,14531
1327618800,1.01,1.02,1.03,1,5146
1327878000,1.02,1.03,1.03,1.02,6129
1327964400,1.03,1,1.03,1,1320
1328050800,1.03,1,1.03,1,20
1328137200,1,0.95,1,0.94,5330
1328223600,0.95,0.95,0.95,0.95,20
1328482800,0.95,0.95,0.95,0.95,20
1328569200,0.95,0.95,0.95,0.93,3698
1328655600,0.95,0.95,0.95,0.9,1520
1328742000,0.95,1,1,0.94,66480
1328828400,0.98,1,1.07,0.98,8380
1329087600,1.1,1.1,1.1,1.1,12
1329174000,1.1,1.09,1.1,1.09,110
1329260400,1.1,1.32,1.32,1.1,10323
1329346800,1.32,1.3,1.32,1.3,230
1329433200,1.3,1.45,1.45,1.3,3460
1329692400,1.55,1.55,1.55,1.55,149
1329778800,1.55,1.5,1.55,1.45,4556
1329865200,1.54,1.55,1.55,1.51,1070
1329951600,1.55,1.55,1.55,1.55,236
1330038000,1.55,1.7,1.7,1.55,9340
1330297200,1.7,1.7,1.7,1.7,100
1330383600,1.88,1.7,1.88,1.7,1130
1330470000,1.7,1.7,1.7,1.7,20
1330556400,1.71,1.71,1.75,1.71,942
1330642800,1.72,1.68,1.72,1.68,5004
1330902000,1.65,1.65,1.65,1.65,20
1330988400,0,1.65,1.65,1.65,0
1331074800,1.65,1.6,1.65,1.6,3680
1331161200,0,1.6,1.6,1.6,0
1331247600,0,1.6,1.6,1.6,0
1331506800,0,1.6,1.6,1.6,0
1331593200,1.6,1.6,1.6,1.6,10
1331679600,0,1.6,1.6,1.6,0
1331766000,1.59,1.57,1.59,1.57,20
1331852400,1.57,1.57,1.57,1.57,90
1332111600,1.56,1.55,1.56,1.55,11
1332198000,1.55,1.55,1.55,1.55,20
1332284400,1.55,1.55,1.55,1.55,20
1332370800,1.55,1.55,1.55,1.55,20
1332457200,1.44,1.44,1.44,1.44,460
1332712800,0,1.44,1.44,1.44,0
1332799200,0,1.44,1.44,1.44,0
1332885600,1.49,1.49,1.49,1.49,29
1332972000,1.49,1.49,1.49,1.49,10
1333058400,0,1.49,1.49,1.49,0
1333317600,0,1.49,1.49,1.49,0
1333404000,0,1.49,1.49,1.49,0
1333490400,0,1.49,1.49,1.49,0
1333576800,1.49,1.49,1.49,1.49,1500
1334008800,0,1.49,1.49,1.49,0
1334095200,0,1.49,1.49,1.49,0
1334181600,0,1.49,1.49,1.49,0
1334268000,1.49,1.49,1.49,1.49,380
1334527200,1.49,1.49,1.49,1.49,4
1334613600,0,1.49,1.49,1.49,0
1334700000,0,1.49,1.49,1.49,0
1334786400,0,1.49,1.49,1.49,0
1334872800,1.4,1.4,1.4,1.4,100
1335132000,0,1.4,1.4,1.4,0
1335218400,1.49,1.49,1.49,1.49,386
1335304800,1.39,1.39,1.39,1.39,207
1335391200,1.39,1.39,1.39,1.39,17
1335477600,0,1.39,1.39,1.39,0
1335736800,1.39,1.39,1.39,1.39,91
1335909600,0,1.39,1.39,1.39,0
1336082400,0,1.39,1.39,1.39,0
1336341600,0,1.39,1.39,1.39,0
1336428000,1.39,1.39,1.39,1.39,1875
1336514400,1.3,1.2,1.3,1.2,4020
1336600800,1.2,1.39,1.39,1.2,4412
1336687200,1.39,1.39,1.39,1.39,3690
1336946400,1.39,1.39,1.39,1.39,2
1337032800,1.39,1.39,1.39,1.39,2
1337119200,1.39,1.3,1.39,1.3,5307
1337205600,0,1.3,1.3,1.3,0
1337292000,1.35,1.39,1.39,1.35,10871
1337551200,1.39,1.39,1.39,1.39,6
1337637600,1.39,1.34,1.39,1.34,1238
1337724000,1.39,1.39,1.39,1.39,1
1337810400,1.24,1.24,1.24,1.24,1997
1337896800,0,1.24,1.24,1.24,0
1338156000,0,1.24,1.24,1.24,0
1338242400,0,1.24,1.24,1.24,0
1338328800,0,1.24,1.24,1.24,0
1338415200,0,1.24,1.24,1.24,0
1338501600,0,1.24,1.24,1.24,0
1338760800,1.24,1.39,1.39,1.24,9611
1338847200,1.34,1.34,1.34,1.34,850
1338933600,0,1.34,1.34,1.34,0
1339106400,0,1.34,1.34,1.34,0
1339365600,0,1.34,1.34,1.34,0
1339452000,0,1.34,1.34,1.34,0
1339538400,0,1.34,1.34,1.34,0
1339624800,0,1.34,1.34,1.34,0
1339711200,1.35,1.35,1.35,1.35,1855
1339970400,1.35,1.35,1.35,1.35,100
1340056800,1.35,1.35,1.35,1.35,1855
1340143200,0,1.35,1.35,1.35,0
1340229600,0,1.35,1.35,1.35,0
1340316000,0,1.35,1.35,1.35,0
1340575200,1.38,1.25,1.38,1.25,4124
1340661600,1.24,1.24,1.24,1.24,1
1340748000,1.15,1.15,1.15,1.15,274
1340834400,1.24,1.24,1.24,1.24,12007
1340920800,1.24,1.19,1.24,1.19,2194
1341180000,0,1.19,1.19,1.19,0
1341266400,1.24,1.26,1.26,1.24,40634
1341352800,1.26,1.26,1.26,1.26,1
1341439200,0,1.26,1.26,1.26,0
1341525600,0,1.26,1.26,1.26,0
1341784800,0,1.26,1.26,1.26,0
1341871200,1.2,1.2,1.2,1.2,101
1341957600,1.2,1.2,1.2,1.2,2
1342044000,1.2,1.2,1.2,1.2,2
1342130400,1.2,1.2,1.2,1.2,2
1342389600,1.2,1.2,1.2,1.2,2
1342476000,1.2,1.2,1.2,1.2,2
1342562400,1.2,1.2,1.2,1.2,2
1342648800,1.2,1.2,1.2,1.2,7970
1342735200,1.2,1.2,1.2,1.2,2
1342994400,1.2,1.2,1.2,1.2,2
1343080800,1.2,1.2,1.2,1.2,2
1343167200,1.2,1.2,1.2,1.2,2
1343253600,1.1,1.1,1.1,1.1,2866
1343340000,1.1,1.02,1.1,1.02,3457
1343599200,0,1.02,1.02,1.02,0
1343685600,1,1,1,1,1460
1343772000,0,1,1,1,0
1343858400,0,1,1,1,0
1343944800,1.01,1.02,1.05,1.01,4486
1344204000,0,1.02,1.02,1.02,0
1344290400,0,1.02,1.02,1.02,0
1344376800,0,1.02,1.02,1.02,0
1344463200,0,1.02,1.02,1.02,0
1344549600,0,1.02,1.02,1.02,0
1344808800,0,1.02,1.02,1.02,0
1344895200,0,1.02,1.02,1.02,0
1345068000,0,1.02,1.02,1.02,0
1345154400,0,1.02,1.02,1.02,0
1345413600,0,1.02,1.02,1.02,0
1345500000,0,1.02,1.02,1.02,0
1345586400,0,1.02,1.02,1.02,0
1345672800,0,1.02,1.02,1.02,0
1345759200,0,1.02,1.02,1.02,0
1346018400,1,1,1,1,26
1346104800,1,1,1,1,1
1346191200,1,1,1,1,2
1346277600,1,1,1,1,2
1346364000,1,1,1,1,2
1346623200,1,1,1,1,2
1346709600,1,1,1,1,1
1346796000,1,1,1,1,2
1346882400,1,1,1,1,2
1346968800,1,1,1,1,1
1347228000,1.01,1.01,1.01,1.01,5
1347314400,0,1.01,1.01,1.01,0
1347400800,0,1.01,1.01,1.01,0
1347487200,0,1.01,1.01,1.01,0
1347573600,1.02,1.02,1.02,1.02,1
1347832800,0,1.02,1.02,1.02,0
1347919200,0,1.02,1.02,1.02,0
1348005600,0,1.02,1.02,1.02,0
1348092000,0,1.02,1.02,1.02,0
1348178400,0,1.02,1.02,1.02,0
1348437600,0,1.02,1.02,1.02,0
1348524000,0,1.02,1.02,1.02,0
1348610400,0,1.02,1.02,1.02,0
1348696800,0,1.02,1.02,1.02,0
1348783200,0,1.02,1.02,1.02,0
1349042400,0,1.02,1.02,1.02,0
1349128800,0,1.02,1.02,1.02,0
1349215200,1.02,1.02,1.02,1.02,1
1349301600,1.02,1.02,1.02,1.02,1
1349388000,0,1.02,1.02,1.02,0
1349647200,1.02,1.02,1.02,1.02,2
1349733600,1.02,1.02,1.02,1.02,1
1349820000,0,1.02,1.02,1.02,0
1349906400,0,1.02,1.02,1.02,0
1349992800,0,1.02,1.02,1.02,0
1350252000,1.03,1.03,1.03,1.03,5
1350338400,0,1.03,1.03,1.03,0
1350424800,0,1.03,1.03,1.03,0
1350511200,0,1.03,1.03,1.03,0
1350597600,0,1.03,1.03,1.03,0
1350856800,0,1.03,1.03,1.03,0
1350943200,0,1.03,1.03,1.03,0
1351029600,0,1.03,1.03,1.03,0
1351116000,0,1.03,1.03,1.03,0
1351202400,0,1.03,1.03,1.03,0
1351465200,0,1.03,1.03,1.03,0
1351551600,0,1.03,1.03,1.03,0
1351638000,0,1.03,1.03,1.03,0
1351810800,0,1.03,1.03,1.03,0
1352070000,0,1.03,1.03,1.03,0
1352156400,0,1.03,1.03,1.03,0
1352242800,0,1.03,1.03,1.03,0
1352329200,0,1.03,1.03,1.03,0
1352415600,0,1.03,1.03,1.03,0
1352674800,1.02,1.02,1.02,1.02,1
1352761200,1.02,1.02,1.02,1.02,2
1352847600,1.01,1.01,1.01,1.01,1
1352934000,0,1.01,1.01,1.01,0
1353020400,0,1.01,1.01,1.01,0
1353279600,0,1.01,1.01,1.01,0
1353366000,0,1.01,1.01,1.01,0
