t,o,c,h,l,v
1243288800,6.8,5.87,6.8,5.87,519943
1243375200,6.04,6.01,6.38,6,107315
1243461600,6.28,5.8,6.28,5.78,15951
1243548000,5.77,6.3,6.3,5.72,34477
1243807200,6.55,7,7.45,6.55,79982
1243893600,7.3,6.95,7.45,6.8,58795
1243980000,7.18,6.7,7.2,6.5,200454
1244066400,6.7,6.79,6.9,6.6,16996
1244152800,6.95,6.89,7,6.82,12138
1244412000,6.95,6.7,6.95,6.21,10734
1244498400,6.6,6.67,6.8,6.6,29965
1244584800,6.6,6.6,6.88,6.6,9530
1244757600,6.7,6.65,6.7,6.4,5796
1245016800,6.59,6.48,6.59,6.25,20672
1245103200,6.25,6.3,6.43,6.25,33779
1245189600,6.28,6.3,6.5,6,12789
1245276000,6.08,6.31,6.31,6,9310
1245362400,6.47,6.4,6.47,6.15,2603
1245621600,6.4,6.02,6.4,6.01,3644
1245708000,6.2,6.6,6.78,6.2,44288
1245794400,6.8,6.59,6.8,6.4,8698
1245880800,6.6,6.24,6.6,6.24,3664
1245967200,6.59,6.6,6.65,6.59,3593
1246226400,6.44,6.79,6.79,6.44,16366
1246312800,6.75,6.79,6.79,6.5,29608
1246399200,6.51,6.55,6.55,6.5,34406
1246485600,6.61,6.45,6.7,6.45,14233
1246572000,6.4,6.68,6.68,6.32,6855
1246831200,6.67,6.67,6.67,6.67,980
1246917600,6.65,6.39,6.65,6.15,11751
1247004000,6.05,6.2,6.2,6,27351
1247090400,6.3,6.17,6.3,6.05,5722
1247176800,6.3,6.01,6.3,6.01,73450
1247436000,6.01,6.15,6.15,6.01,4047
1247522400,6.15,6.13,6.15,6.01,18909
1247608800,6.14,6.17,6.2,6.05,110716
1247695200,6.1,6.08,6.19,6.07,133778
1247781600,6.1,6.09,6.1,6.09,17881
1248040800,6.06,6.11,6.11,6,8999
1248127200,6.14,6.07,6.14,6.07,54230
1248213600,6.1,6.1,6.1,6.05,1140
1248300000,6.05,6,6.12,6,11467
1248386400,6.1,5.97,6.1,5.85,15711
1248645600,5.98,6.12,6.15,5.9,151486
1248732000,6.12,6.09,6.14,6,3610
1248818400,5.99,6,6.03,5.88,6788
1248904800,6,6.03,6.05,5.91,36535
1248991200,6.06,6.08,6.09,6.03,55843
1249250400,6.1,6.35,6.45,6,90673
1249336800,6.35,6.48,6.68,6.35,19473
1249423200,6.48,6.68,7.3,6.48,28601
1249509600,6.85,6.9,7.09,6.8,9958
1249596000,6.9,7.15,7.27,6.9,16301
1249855200,7.28,8.12,8.2,7.2,45859
1249941600,8.14,8.1,8.2,7.8,16607
1250028000,7.55,7.8,7.92,7.55,7270
1250114400,7.9,8.15,8.2,7.9,9464
1250200800,8.19,8.2,8.7,8.18,18025
1250460000,8.3,8.12,8.3,8.05,1551
1250546400,8.14,7.99,8.19,7.99,2252
1250632800,8,7.9,8,7.25,11892
1250719200,7.97,7.85,7.97,7.59,5289
1250805600,7.95,7.85,7.95,7.4,6772
1251064800,7.9,7.72,7.9,7.35,5331
1251151200,7.4,7.28,7.75,7.2,35397
1251237600,7.3,7.55,7.67,7.18,14733
1251324000,7.55,7.6,7.6,7.2,3681
1251410400,7.54,7.7,7.73,7.5,13415
1251669600,7.72,7.78,7.82,7.61,4525
1251756000,7.51,7,7.51,6.99,47772
1251842400,6.98,6.45,6.98,6.35,22881
1251928800,6.45,6.46,6.49,6.2,16756
1252015200,6.46,6.7,6.7,6.46,3160
1252274400,6.7,6.97,6.97,6.7,8453
1252360800,6.8,6.75,6.88,6.65,25482
1252447200,6.78,6.76,6.9,6.75,10660
1252533600,6.99,6.93,6.99,6.7,4740
1252620000,6.68,6.62,6.7,6.5,36279
1252879200,6.25,6.24,6.45,6.24,6343
1252965600,6.2,6.19,6.3,5.87,10081
1253052000,6.21,6.4,6.4,6.2,1763
1253138400,6.6,6.51,6.7,6.41,3341
1253224800,6.5,6.5,6.59,6.5,130999
1253484000,6.45,6.55,6.55,6.45,3258
1253570400,6.45,6.8,6.8,6.3,5883
1253656800,6.85,6.9,6.9,6.5,5594
1253743200,6.8,6.8,6.8,6.8,121
1253829600,6.42,6.7,6.8,6.41,9067
1254088800,6.45,6.85,6.85,6.41,10245
1254175200,0,6.85,6.85,6.85,0
1254261600,0,6.85,6.85,6.85,0
1254348000,6.46,6.51,6.74,6.42,2763
1254434400,6.5,6.63,6.65,6.43,6705
1254693600,6.5,6.62,6.62,6.5,1673
1254780000,6.63,6.6,6.63,6.43,1193
1254866400,6.62,6.58,6.62,6.47,1036
1254952800,6.5,6.6,6.6,6.5,1637
1255039200,6.6,6.39,6.6,6.39,1490
1255298400,6.62,6.48,6.62,6.1,5431
1255384800,6.25,6.2,6.3,6.1,12079
1255471200,6.2,6.3,6.39,6.12,2649
1255557600,6.39,6.34,6.39,6.14,1930
1255644000,6.29,6.15,6.29,6.15,2280
1255903200,5.96,6.06,6.1,5.96,22923
1255989600,6.12,6.34,6.34,6.12,2960
1256076000,6.35,6.65,6.65,6.13,2103
1256162400,6.42,6.6,6.6,6.42,8260
1256248800,6.4,6.5,6.7,6.35,8652
1256511600,6.6,6.87,7,6.55,9324
1256598000,6.7,7,7,6.7,6680
1256684400,6.99,6.99,7,6.55,13759
1256770800,6.55,7.5,7.5,6.55,102164
1256857200,7.5,7.6,7.7,7.02,27564
1257116400,0,7.6,7.6,7.6,0
1257202800,0,7.6,7.6,7.6,0
1257289200,6.9,7.47,7.47,6.9,50100
1257375600,7.4,7.44,7.44,7,58931
1257462000,7.07,7.4,7.43,7.07,17157
1257721200,7.39,7.48,7.48,7.39,4438
1257807600,7.4,7.06,7.4,7.06,234
1257980400,7.48,7.71,7.71,7.16,31896
1258066800,7.65,7.6,7.71,7.4,8735
1258326000,7.6,8.3,8.35,7.6,31424
1258412400,8.29,8.05,8.29,8,7607
1258498800,7.55,8,8.1,7.55,1637
1258585200,7.86,8,8,7.85,7371
1258671600,8.09,8.09,8.09,8.09,1000
1258930800,8.09,8,8.09,8,6127
1259017200,7.9,8.2,8.24,7.88,7882
1259103600,8.18,8.19,8.19,8.1,4200
1259190000,7.93,8.19,8.19,7.91,3300
1259276400,7.99,8.15,8.17,7.72,7858
1259535600,8.05,8.18,8.2,7.9,13163
1259622000,8,8.18,8.18,8,8325
1259708400,8.06,8.1,8.1,8.01,5872
1259794800,7.9,8.1,8.1,7.9,2940
1259881200,8.03,8,8.08,8,9039
1260140400,7.9,7.85,7.98,7.85,1000
1260226800,8,8,8,8,125
1260313200,7.99,7.99,7.99,7.99,125
1260399600,7.97,8.08,8.08,7.9,2850
1260486000,8,8.08,8.08,7.94,9056
1260745200,7.82,8,8,7.82,10777
1260831600,7.9,7.98,7.98,7.85,5152
1260918000,7.85,8.08,8.08,7.72,10076
1261004400,7.89,8,8,7.72,13959
1261090800,7.99,7.99,7.99,7.99,2639
1261350000,7.89,7.85,7.89,7.85,5817
1261436400,7.85,7.98,7.98,7.85,4368
1261522800,7.85,7.99,7.99,7.85,2000
1261954800,8.17,8.01,8.17,7.9,17170
1262041200,8.1,8.1,8.1,8.1,2050
1262127600,8,8,8,7.93,1630
1262214000,8.1,8.1,8.1,8.1,3332
1262559600,8.1,8.09,8.1,8.09,2044
1262646000,8,7.95,8,7.95,433
1262732400,7.9,7.98,7.98,7.84,1950
1262818800,7.98,8,8,7.98,900
1262905200,8,7.86,8,7.86,2400
1263164400,7.85,7.85,7.85,7.85,200
1263250800,0,7.85,7.85,7.85,0
1263337200,7.41,7.5,7.7,7.41,1080
1263423600,7.85,7.55,7.85,7.55,125
1263510000,7.56,7.56,7.56,7.56,875
1263769200,7.6,7.6,7.6,7.6,722
1263855600,7.31,7.55,7.55,7.3,5748
1263942000,7.6,7.6,7.6,7.6,352
1264028400,7.65,7.5,7.65,7.37,2558
1264114800,7.2,7.2,7.2,7.2,400
1264374000,7.49,7.49,7.49,7.49,100
1264460400,7.16,7.15,7.35,7.15,1360
1264546800,7.01,7.8,7.8,7,5462
1264633200,7.75,7.8,7.8,7.15,6071
1264719600,7.46,7.8,7.8,7.46,4605
1264978800,0,7.8,7.8,7.8,0
1265065200,0,7.8,7.8,7.8,0
1265151600,7.5,7.8,7.8,7.5,866
1265238000,7.6,7.78,7.78,7.6,205
1265324400,7.3,7.8,7.8,7.3,7583
1265583600,7.55,7.6,7.68,7.43,14100
1265670000,7.5,7.45,7.5,7.45,8894
1265756400,0,7.45,7.45,7.45,0
1265842800,7.45,7.45,7.45,7.45,140
1265929200,0,7.45,7.45,7.45,0
1266188400,7.31,7.54,7.54,7.31,500
1266274800,0,7.54,7.54,7.54,0
1266361200,0,7.54,7.54,7.54,0
1266447600,0,7.54,7.54,7.54,0
1266534000,7.35,7.6,7.6,7.31,782
1266793200,0,7.6,7.6,7.6,0
1266879600,8,8,8,8,5000
1266966000,8.71,8,8.71,8,2331
1267052400,7.55,7.68,7.77,7.55,12206
1267138800,7.68,8,8,7.68,5000
1267398000,8,7.51,8,7.51,5500
1267484400,7.62,7.58,7.62,7.51,15037
1267570800,7.55,7.65,7.65,7.55,6450
1267657200,7.65,8.2,8.2,7.6,14545
1267743600,8.18,8.3,8.3,8.02,7744
1268002800,8.2,8.1,8.2,7.88,7919
1268089200,8,8.12,8.12,8,5617
1268175600,8.1,8.3,8.3,8.1,12342
1268262000,8.43,8.65,8.65,8.35,42759
1268348400,9.51,9.5,9.51,9.15,21200
1268607600,9.99,10.5,10.9,9.99,51464
1268694000,10.74,10.5,10.75,10.15,20762
1268780400,10.95,10.61,11.45,10.52,21521
1268866800,11.16,10.5,11.16,10.5,9657
1268953200,11,10.51,11,10.5,2900
1269212400,10.77,10.12,10.77,10.12,8423
1269298800,10.2,10,10.2,9.71,14700
1269385200,10,10,10,9.51,7425
1269471600,9.7,10,10.28,9.7,8586
1269558000,9.75,10.4,10.4,9.72,2270
1269813600,10.45,10,10.45,10,3709
1269900000,10.02,10,10.36,10,14553
1269986400,10.33,10,10.33,9.82,6498
1270072800,10,10,10.19,10,4900
1270504800,10,9.85,10,9.82,770
1270591200,9.81,9.89,10,9.8,1167
1270677600,9.89,9.9,9.9,9.8,22070
1270764000,9.82,9.9,9.9,9.82,2600
1271023200,9.83,9.9,9.9,9.82,740
1271109600,9.9,9.82,9.9,9.82,600
1271196000,9.9,9.88,9.9,9.55,750
1271282400,9.88,9.88,9.9,9.88,1400
1271368800,9.57,9.87,9.87,9.57,449
1271628000,9.5,9.85,9.85,9.5,62
1271714400,9.86,9.86,9.86,9.86,200
1271800800,9,9.84,9.84,9,4931
1271887200,9.61,9.82,9.82,9.6,2618
1271973600,9.84,9.84,9.84,9.84,100
1272232800,9.84,10,10,9.8,2061
1272319200,9.62,10,10,9.5,2015
1272405600,9.98,9.89,9.98,9.5,835
1272492000,9.61,9.98,9.98,9.61,1664
1272578400,9.99,9.98,10,9.82,201060
1272924000,10.85,10,10.85,9.63,690
1273010400,9.67,9.95,9.95,9.67,2768
1273096800,9.76,9.94,9.94,9.69,2077
1273183200,9.69,9.6,9.69,9.6,297
1273442400,9.9,9.7,9.9,9.7,915
1273528800,9.84,9.81,9.84,9.4,1221
1273615200,9.8,9.85,9.85,9.71,4346
1273701600,9.85,9.85,9.85,9.65,2256
1273788000,9.54,9.99,9.99,9.54,3388
1274047200,9.98,10,10,9.6,1200
1274133600,9.99,9.9,9.99,9.62,9100
1274220000,9.8,9.8,9.8,9.2,4316
1274306400,9.83,9.8,9.83,9.2,11545
1274392800,9.4,9.8,9.8,9.4,11627
1274652000,9.89,9.6,9.89,9.6,2419
1274738400,9.75,9.45,9.75,9.45,4100
1274824800,9.6,9.6,9.6,9.6,4459
1274911200,9.75,9.75,9.93,9.75,3619
1274997600,9.92,9.8,9.93,9.8,14836
1275256800,9.9,9.8,9.9,9.6,2000
1275343200,9.98,9.98,9.98,9.98,441
1275429600,9.93,9.93,9.93,9.93,444
1275602400,9.66,9.65,9.9,9.65,497
1275861600,9.1,9.88,9.88,8.75,1636
1275948000,9.74,9.49,9.74,9.31,5706
1276034400,9.75,9.75,9.75,9.75,452
1276120800,9.66,10.1,10.1,9.3,11056
1276207200,9.55,9.99,10.08,9.55,5100
1276466400,10.99,10,10.99,10,542
1276552800,9.99,10,10,9.66,498
1276639200,9.81,10,10,9.72,1630
1276725600,9.99,10,10,9.75,5018
1276812000,9.78,10,10,9.75,7600
1277071200,9.99,10,10,9.99,2400
1277157600,10.1,10,10.1,9.98,2016
1277244000,9.99,10,10,9.74,2871
1277330400,9.9,9.99,9.99,9.9,2200
1277416800,9.99,10,10.7,9.99,103076
1277676000,10,10.03,10.3,10,1433
1277762400,10.3,10,10.3,10,1880
1277848800,10,9.72,10,9.64,11789
1277935200,9.4,9.6,9.79,9.2,4039347
1278021600,9.73,9.65,9.73,9.65,1698
1278280800,9.97,9.66,10,9.65,9121
1278367200,9.9,10.25,10.25,9.6,7700
1278453600,10,10.19,10.19,9.75,3408
1278540000,10.17,12.8,12.8,10.17,8282
1278626400,14,12.2,14,11.74,8380
1278885600,12.1,12.3,12.3,11.52,3225
1278972000,12.25,12.29,13,11.5,10219
1279058400,12.05,13,13,12.05,108001
1279144800,13.11,13.5,13.5,13,92534
1279231200,13.5,13.5,13.5,12.7,1060
1279490400,13.5,13.36,13.5,13.1,3245
1279576800,13.35,13.3,13.35,13.05,23167
1279663200,13.35,13.1,13.35,13.01,2494
1279749600,13.23,12.8,13.23,12.8,10924
1279836000,13.1,12.83,13.1,12.83,4258
1280095200,12.84,13.19,13.5,12.3,56528
1280181600,13,13.18,13.29,13,35687
1280268000,13.2,13,13.2,13,718
1280354400,12.5,13.18,13.18,12.5,2331
1280440800,13.29,12.99,13.29,12.78,1750
